,Date,High,Low,Open,Close,Volume,Adj Close
0,2000-01-03,345.5,311.0,344.1875,321.25,285600,321.25
1,2000-01-04,321.5,300.0,320.0,300.0,215900,300.0
2,2000-01-05,299.625,262.0,282.5,283.5,1183500,283.5
3,2000-01-06,278.125,235.25,272.0,236.125,797500,236.125
4,2000-01-07,254.5,238.0,248.375,248.375,729100,248.375
5,2000-01-10,286.25,249.5625,259.125,285.5,1143200,285.5
6,2000-01-11,298.0,267.25,295.125,278.4375,481000,278.4375
7,2000-01-12,289.25,250.0,288.0,254.0,1011300,254.0
8,2000-01-13,260.5,218.375,260.375,232.8125,1031300,232.8125
9,2000-01-14,254.625,229.0,254.0,230.0,641500,230.0
10,2000-01-18,229.0625,207.5,229.0625,211.5,822200,211.5
11,2000-01-19,233.0,212.0,212.0,224.75,1367500,224.75
12,2000-01-20,235.75,220.0,229.5,234.0,916400,234.0
13,2000-01-21,275.0,229.75,235.0,269.0,1232100,269.0
14,2000-01-24,284.4375,258.625,271.9375,262.0625,886600,262.0625
15,2000-01-25,282.0,254.625,264.0,279.3125,369800,279.3125
16,2000-01-26,288.0,274.0625,278.0,277.5,596900,277.5
17,2000-01-27,290.0,264.0,270.0,281.125,544100,281.125
18,2000-01-28,285.0625,255.0,266.125,270.0625,418300,270.0625
19,2000-01-31,267.0,235.0625,264.125,249.125,675900,249.125
20,2000-02-01,256.46868896484375,235.375,255.25,239.0625,328100,239.0625
21,2000-02-02,245.0,231.25,239.125,233.625,314400,233.625
22,2000-02-03,252.0,239.875,240.0,245.375,479800,245.375
23,2000-02-04,254.0,230.4062042236328,247.625,235.0,330200,235.0
24,2000-02-07,233.0,216.0,230.0,228.625,1577400,228.625
25,2000-02-08,246.0,232.0625,241.125,240.9375,684000,240.9375
26,2000-02-09,244.0,233.0,241.25,234.875,672500,234.875
27,2000-02-10,236.875,227.0,236.75,229.0,422800,229.0
28,2000-02-11,241.0,226.125,229.0625,233.0625,393000,233.0625
29,2000-02-14,238.75,226.8125,233.5625,230.375,419000,230.375
30,2000-02-15,233.0,217.0,231.75,222.5,380600,222.5
31,2000-02-16,252.0,228.1875,229.75,246.125,1087700,246.125
32,2000-02-17,253.0,235.5,246.25,252.0,702300,252.0
33,2000-02-18,247.0,239.25,246.0,241.6875,502700,241.6875
34,2000-02-22,244.0,238.375,238.625,242.125,374400,242.125
35,2000-02-23,260.5,233.5,246.0,252.0625,497000,252.0625
36,2000-02-24,275.375,253.0,253.5,274.8125,739600,274.8125
37,2000-02-25,275.0,261.0,274.25,267.0625,493500,267.0625
38,2000-02-28,265.375,248.3125,263.375,256.75,456200,256.75
39,2000-02-29,262.75,250.0,259.28118896484375,261.25,252100,261.25
40,2000-03-01,285.875,259.3125,259.375,278.625,688000,278.625
41,2000-03-02,290.6875,265.0,282.1875,268.0,556600,268.0
42,2000-03-03,286.625,265.875,278.25,268.375,585100,268.375
43,2000-03-06,278.8125,252.75,270.5,254.0,363500,254.0
44,2000-03-07,268.1875,255.0,260.0,262.4375,585900,262.4375
45,2000-03-08,269.0625,249.0,264.1875,265.0,400700,265.0
46,2000-03-09,288.0,265.15618896484375,267.875,286.0,465200,286.0
47,2000-03-10,305.9375,288.0,288.0625,296.0,669100,296.0
48,2000-03-13,302.5,273.9375,274.0,284.75,453300,284.75
