Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,32.0,31.0,32.0,31.125,2434800.0,16.106590270996094
2000-01-04,30.96875,30.25,30.625,30.3125,2358400.0,15.686135292053223
2000-01-05,30.625,28.875,30.375,29.28125,3169400.0,15.152483940124512
2000-01-06,30.0,28.9375,29.0,29.21875,5802200.0,15.120142936706543
2000-01-07,31.15625,29.0,29.5625,30.96875,5570200.0,16.02573013305664
2000-01-10,31.8125,30.875,31.75,31.8125,3049600.0,16.462352752685547
2000-01-11,32.40625,31.46875,31.5,31.96875,3850800.0,16.5432186126709
2000-01-12,32.21875,31.40625,31.625,32.1875,2332600.0,16.65640640258789
2000-01-13,32.84375,31.90625,32.0625,32.40625,2643000.0,16.769603729248047
2000-01-14,33.375,31.03125,33.0,31.65625,4695800.0,16.38150405883789
2000-01-18,31.8125,31.03125,31.53125,31.5,2902000.0,16.30064582824707
2000-01-19,31.625,30.5625,31.5,30.75,2470200.0,15.91252613067627
2000-01-20,31.875,30.25,30.6875,30.96875,3082000.0,16.02573013305664
2000-01-21,31.625,30.1875,31.625,30.65625,3642200.0,15.864018440246582
2000-01-24,31.5,30.25,31.375,30.34375,3024800.0,15.783390045166016
2000-01-25,30.90625,29.625,30.875,29.8125,1929000.0,15.507068634033203
2000-01-26,30.3125,29.46875,29.875,30.09375,1368000.0,15.653351783752441
2000-01-27,30.65625,29.875,29.875,30.15625,2075200.0,15.685863494873047
2000-01-28,30.5625,29.25,30.28125,29.75,3138400.0,15.474554061889648
2000-01-31,29.84375,29.25,29.375,29.625,3411800.0,15.409536361694336
2000-02-01,30.09375,29.21875,29.625,29.8125,3090800.0,15.507068634033203
2000-02-02,30.8125,29.875,30.25,30.65625,3010400.0,15.945945739746094
2000-02-03,30.875,29.1875,30.5,30.0,4268600.0,15.60459041595459
2000-02-04,29.78125,27.5,29.75,28.125,6497800.0,14.629304885864258
2000-02-07,28.40625,26.78125,28.125,28.1875,5906200.0,14.661812782287598
2000-02-08,29.6875,28.1875,28.1875,29.34375,5455600.0,15.263240814208984
2000-02-09,29.875,28.75,29.875,29.09375,4435400.0,15.133200645446777
2000-02-10,29.25,28.6875,29.125,28.75,2444400.0,14.954401016235352
2000-02-11,28.8125,27.8125,28.8125,27.9375,3301200.0,14.53177547454834
2000-02-14,27.96875,26.5,27.96875,27.0,3962000.0,14.044133186340332
2000-02-15,27.90625,26.90625,27.375,27.84375,4309200.0,14.483010292053223
2000-02-16,28.375,27.5625,27.9375,27.6875,3066000.0,14.401740074157715
2000-02-17,28.0,26.75,27.8125,26.96875,2682200.0,14.027876853942871
2000-02-18,27.4375,26.0,26.25,26.53125,4189600.0,13.800312995910645
2000-02-22,26.96875,25.34375,26.53125,26.1875,3111000.0,13.621508598327637
2000-02-23,25.96875,25.46875,25.9375,25.6875,3062800.0,13.361429214477539
