Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,34.4375,33.75,34.375,33.75,581900.0,13.595837593078613
2000-01-04,34.3125,33.5625,33.5625,34.1875,602400.0,13.772080421447754
2000-01-05,35.875,34.375,34.375,35.75,817800.0,14.401512145996094
2000-01-06,35.875,35.0625,35.25,35.8125,680900.0,14.426692008972168
2000-01-07,36.1875,35.625,35.8125,36.0625,391100.0,14.527402877807617
2000-01-10,36.125,35.0,36.125,35.125,481700.0,14.149737358093262
2000-01-11,35.25,34.3125,35.125,34.4375,544600.0,13.872795104980469
2000-01-12,35.0,34.375,34.4375,34.5625,749000.0,13.923148155212402
2000-01-13,34.875,34.0,34.875,34.25,452600.0,13.797255516052246
2000-01-14,34.375,33.5625,34.125,33.6875,646700.0,13.570663452148438
2000-01-18,33.4375,32.5,33.25,32.625,740500.0,13.142645835876465
2000-01-19,33.5,32.8125,32.875,33.25,453700.0,13.394414901733398
2000-01-20,33.375,32.8125,33.25,32.875,526300.0,13.243353843688965
2000-01-21,34.25,33.0,33.125,33.5625,695400.0,13.520297050476074
2000-01-24,34.5,34.0,34.375,34.0,643500.0,13.69654655456543
2000-01-25,34.25,32.875,34.125,33.0,492000.0,13.293701171875
2000-01-26,34.0,33.0,33.25,34.0,341600.0,13.69654655456543
2000-01-27,34.25,32.8125,34.0,33.3125,469300.0,13.419594764709473
2000-01-28,33.8125,32.5,33.3125,32.5625,631600.0,13.117464065551758
2000-01-31,32.875,32.3125,32.625,32.6875,555800.0,13.167818069458008
2000-02-01,33.0625,32.5,32.75,32.875,626500.0,13.243353843688965
2000-02-02,33.0,32.3125,32.875,32.5,394000.0,13.092286109924316
2000-02-03,33.125,32.5,32.5625,32.8125,1015300.0,13.218177795410156
2000-02-04,32.875,31.625,32.8125,32.25,864300.0,12.991573333740234
2000-02-07,32.375,31.5625,32.3125,31.5625,467400.0,12.714625358581543
2000-02-08,31.625,31.1875,31.375,31.5,578900.0,12.689448356628418
2000-02-09,31.6875,31.3125,31.4375,31.4375,845300.0,12.664265632629395
2000-02-10,32.0625,31.4375,31.4375,31.8125,690400.0,12.815336227416992
2000-02-11,32.125,31.875,31.9375,32.125,1652100.0,12.9412202835083
2000-02-14,31.875,31.0625,31.75,31.25,1234200.0,12.805994987487793
2000-02-15,31.375,31.0,31.25,31.0625,389600.0,12.729154586791992
2000-02-16,30.9375,30.4375,30.9375,30.8125,349700.0,12.626715660095215
2000-02-17,30.8125,29.125,30.8125,29.25,1465300.0,11.986408233642578
2000-02-18,29.25,28.0,29.25,28.125,1251200.0,11.525392532348633
2000-02-22,28.25,27.8125,28.25,27.875,961700.0,11.422940254211426
2000-02-23,27.9375,27.5,27.9375,27.5,1122900.0,11.269269943237305
2000-02-24,27.5625,26.3125,27.5,26.75,1128600.0,10.96192455291748
2000-02-25,27.25,26.1875,26.75,26.1875,854600.0,10.73142147064209
2000-02-28,27.8125,26.5,26.75,27.375,1126000.0,11.218050003051758
2000-02-29,27.8125,27.25,27.3125,27.5625,609200.0,11.294879913330078
2000-03-01,27.875,26.8125,27.75,27.125,723200.0,11.115598678588867
2000-03-02,27.4375,27.0,27.0,27.25,551900.0,11.166823387145996
