Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,28.75,27.125,28.0625,27.1875,1730100.0,22.3956356048584
2000-01-04,28.0,26.875,27.25,27.375,1373300.0,22.550090789794922
2000-01-05,27.8125,26.5,27.375,26.5,1450800.0,21.829307556152344
2000-01-06,27.375,26.5,26.625,26.6875,1269400.0,21.9837646484375
2000-01-07,28.4375,26.375,27.0,27.6875,1509400.0,22.807504653930664
2000-01-10,29.0,27.625,29.0,28.0,1381500.0,23.064926147460938
2000-01-11,28.125,27.5625,28.0,27.875,1357200.0,22.961959838867188
2000-01-12,29.125,28.0,28.0,28.4375,2002200.0,23.425321578979492
2000-01-13,28.75,28.125,28.5,28.125,1132200.0,23.167903900146484
2000-01-14,28.375,27.4375,28.25,27.5,1553000.0,22.653064727783203
2000-01-18,28.1875,27.5,27.625,27.5625,1095600.0,22.704538345336914
2000-01-19,28.4375,27.25,27.875,27.25,2531300.0,22.447126388549805
2000-01-20,27.0625,26.125,27.0,26.125,1705800.0,21.52040672302246
2000-01-21,26.1875,24.5,26.125,25.25,3337200.0,20.799625396728516
2000-01-24,25.75,25.0625,25.6875,25.0625,1050900.0,20.645170211791992
2000-01-25,25.4375,24.125,25.3125,24.125,1206900.0,19.87291145324707
2000-01-26,24.875,24.25,24.25,24.375,935900.0,20.07884979248047
2000-01-27,24.875,24.375,24.5,24.8125,645700.0,20.43923568725586
2000-01-28,24.6875,23.0625,24.625,23.4375,1650000.0,19.306581497192383
2000-01-31,23.75,22.75,23.25,23.75,1505000.0,19.564002990722656
2000-02-01,24.5,23.25,23.6875,24.0,1224500.0,19.769939422607422
2000-02-02,24.0,22.625,23.9375,23.25,1013300.0,19.152128219604492
2000-02-03,23.25,22.4375,22.75,22.75,1733600.0,18.740251541137695
2000-02-04,23.0,22.25,22.8125,22.25,917200.0,18.32838249206543
2000-02-07,23.4375,22.1875,22.625,23.0,1357200.0,18.94619369506836
2000-02-08,23.4375,22.0625,23.25,22.0625,1651700.0,18.17392921447754
2000-02-09,23.9375,22.125,22.125,22.75,2877600.0,18.740251541137695
2000-02-10,23.625,22.5625,23.125,23.0,2212100.0,18.94619369506836
2000-02-11,23.125,21.875,23.0,21.875,1912400.0,18.01947784423828
2000-02-14,23.125,21.625,21.625,22.0,1925000.0,18.374439239501953
2000-02-15,25.125,21.9375,22.0,23.875,2625900.0,19.940444946289062
2000-02-16,25.25,23.625,25.25,23.9375,1907700.0,19.992637634277344
2000-02-17,24.375,23.375,24.375,23.375,833300.0,19.522844314575195
2000-02-18,24.3125,22.875,23.4375,23.625,1730500.0,19.731637954711914
2000-02-22,25.4375,23.5,23.6875,24.375,1546500.0,20.358043670654297
2000-02-23,24.875,24.125,24.5,24.125,1164500.0,20.149246215820312
2000-02-24,24.8125,23.4375,24.125,23.4375,1613600.0,19.575042724609375
2000-02-25,24.4375,22.875,23.6875,22.875,1234700.0,19.105239868164062
2000-02-28,23.375,22.625,22.9375,22.75,1035100.0,19.000837326049805
2000-02-29,22.9375,22.0625,22.375,22.875,1413800.0,19.105239868164062
2000-03-01,22.75,21.625,22.625,21.625,1815700.0,18.061237335205078
2000-03-02,22.625,21.75,22.5,22.4375,1135600.0,18.739843368530273
2000-03-03,23.125,21.875,22.1875,22.0625,964900.0,18.4266414642334
2000-03-06,22.3125,21.5,22.0,21.5625,940300.0,18.009033203125
2000-03-07,21.5625,20.75,21.5,20.75,1377400.0,17.33043670654297
2000-03-08,21.75,20.625,21.0,20.6875,1512300.0,17.278242111206055
2000-03-09,21.5625,20.375,20.5,20.625,1092000.0,17.226036071777344
2000-03-10,21.75,20.5,20.875,20.875,1306300.0,17.43484115600586
2000-03-13,21.0,20.5,20.5,20.5625,1155500.0,17.173845291137695
2000-03-14,20.875,20.375,20.625,20.375,1018600.0,17.017234802246094
2000-03-15,22.375,20.4375,20.5,21.9375,1259300.0,18.322242736816406
2000-03-16,24.1875,22.75,23.875,23.0,2280600.0,19.209640502929688
2000-03-17,24.9375,23.0625,23.125,23.4375,1639000.0,19.575042724609375
2000-03-20,24.1875,23.3125,24.0,23.3125,833900.0,19.470640182495117
2000-03-21,24.5,23.0,23.1875,23.75,1057700.0,19.836044311523438
2000-03-22,24.1875,23.3125,23.75,23.4375,676500.0,19.575042724609375
2000-03-23,23.875,23.1875,23.375,23.5625,584800.0,19.679443359375
2000-03-24,24.25,23.4375,23.5625,24.125,849600.0,20.149246215820312
2000-03-27,24.125,23.625,24.0,24.0625,840700.0,20.097042083740234
2000-03-28,23.75,23.0625,23.625,23.0625,888600.0,19.261842727661133
2000-03-29,23.0625,22.5625,23.0,22.75,1153100.0,19.000837326049805
2000-03-30,23.8125,22.75,22.875,23.4375,943000.0,19.575042724609375
2000-03-31,23.4375,22.875,23.375,23.3125,1297500.0,19.470640182495117
2000-04-03,25.5,22.9375,23.4375,25.3125,1682900.0,21.14104461669922
2000-04-04,27.0625,25.75,26.0,26.4375,3625700.0,22.080650329589844
2000-04-05,27.1875,26.375,26.625,26.5625,1189500.0,22.18504524230957
2000-04-06,27.1875,26.3125,26.5625,26.5,824400.0,22.13284683227539
2000-04-07,26.5625,25.0625,26.5,25.0625,845100.0,20.932241439819336
2000-04-10,28.5,25.25,25.5,28.5,2361000.0,23.803247451782227
2000-04-11,29.8125,28.1875,29.25,29.0625,3233900.0,24.27305030822754
2000-04-12,29.6875,28.625,29.25,29.0,1614600.0,24.220849990844727
2000-04-13,31.625,29.1875,30.0,29.875,2658500.0,24.951656341552734
2000-04-14,30.5625,27.5625,30.125,27.5625,2358900.0,23.020246505737305
2000-04-17,29.5,28.0625,28.1875,28.625,1454800.0,23.907655715942383
2000-04-18,29.125,28.25,28.5,28.75,1069400.0,24.012052536010742
2000-04-19,29.5,28.25,28.8125,28.5,736800.0,23.803247451782227
2000-04-20,28.875,28.1875,28.5625,28.8125,770300.0,24.06424903869629
2000-04-24,29.3125,28.25,28.5625,29.0,864500.0,24.220849990844727
2000-04-25,29.9375,29.1875,29.875,29.625,1171200.0,24.74285316467285
2000-04-26,30.0,29.3125,29.5625,29.4375,616900.0,24.586254119873047
2000-04-27,29.4375,28.75,29.1875,29.0625,852500.0,24.27305030822754
2000-04-28,29.0625,27.25,29.0,27.625,1383100.0,23.072446823120117
2000-05-01,28.625,28.0,28.125,28.1875,1465800.0,23.54224967956543
2000-05-02,29.4375,28.0625,28.1875,28.625,729400.0,23.907655715942383
2000-05-03,28.6875,28.25,28.375,28.375,651400.0,23.6988468170166
2000-05-04,28.625,28.25,28.375,28.5,472400.0,23.803247451782227
2000-05-05,28.375,27.375,28.25,27.375,559400.0,22.863651275634766
2000-05-08,28.75,28.0,28.125,28.0,669800.0,23.385648727416992
2000-05-09,28.9375,28.0,28.0,28.0,854100.0,23.385648727416992
2000-05-10,28.3125,27.125,28.0,27.25,652400.0,22.759246826171875
2000-05-11,28.5,27.1875,27.3125,28.1875,528500.0,23.54224967956543
2000-05-12,28.25,27.25,28.125,27.4375,819900.0,23.16236686706543
2000-05-15,27.3125,26.0625,27.25,26.125,1035200.0,22.05437469482422
2000-05-16,26.1875,25.25,25.625,25.5625,1534200.0,21.579513549804688
2000-05-17,26.1875,25.625,25.625,25.625,1033200.0,21.632278442382812
2000-05-18,25.6875,24.6875,25.625,25.1875,941800.0,21.2629451751709
2000-05-19,25.375,24.25,25.1875,24.3125,745400.0,20.52428436279297
2000-05-22,24.8125,24.125,24.5625,24.125,754900.0,20.365999221801758
2000-05-23,25.75,24.5,24.75,25.1875,1049600.0,21.2629451751709
2000-05-24,26.375,25.3125,25.3125,25.8125,705100.0,21.79056167602539
2000-05-25,25.6875,25.0,25.5,25.0,673500.0,21.10466194152832
2000-05-26,25.375,24.0625,25.25,24.0625,770700.0,20.3132381439209
2000-05-30,26.0,24.5,24.5,25.125,1404100.0,21.210186004638672
2000-05-31,25.6875,24.875,25.0,24.875,1164900.0,20.9991397857666
2000-06-01,26.5625,25.1875,25.25,26.1875,1020900.0,22.107135772705078
2000-06-02,27.875,26.5625,27.25,27.8125,1428100.0,23.47893524169922
2000-06-05,28.375,27.8125,28.3125,28.125,1150600.0,23.742748260498047
2000-06-06,28.125,27.25,28.0625,27.5625,1320500.0,23.267881393432617
