Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,59.125,53.4375,59.03120040893555,55.5,1199600.0,42.99995040893555
2000-01-04,55.0,52.5,54.625,52.8125,816100.0,40.91774368286133
2000-01-05,53.25,51.0625,52.75,52.75,1124700.0,40.86931610107422
2000-01-06,54.9375,52.375,52.75,53.5,1112100.0,41.45039749145508
2000-01-07,54.25,53.3125,53.75,53.625,782000.0,41.5472526550293
2000-01-10,53.75,51.5,53.6875,52.65620040893555,408800.0,40.79663848876953
2000-01-11,53.0,49.875,52.6875,49.875,987800.0,38.64186096191406
2000-01-12,50.75,49.0,50.5,50.3125,794300.0,38.980812072753906
2000-01-13,55.5,51.0,51.0625,54.6875,458700.0,42.37045669555664
2000-01-14,56.75,54.9375,56.0,55.625,596500.0,43.0968017578125
2000-01-18,56.125,52.75,55.625,52.8125,476800.0,40.91774368286133
2000-01-19,54.625,52.625,52.75,53.375,310400.0,41.353546142578125
2000-01-20,54.125,51.9375,54.125,52.4375,368200.0,40.62721252441406
2000-01-21,53.3125,50.28120040893555,53.125,52.875,448900.0,40.96617126464844
2000-01-24,54.25,51.375,53.5,52.0,573000.0,40.288246154785156
2000-01-25,53.875,51.375,51.8125,53.6875,497200.0,41.59565734863281
2000-01-26,54.21870040893555,52.5625,54.0,53.5625,541500.0,41.49882888793945
2000-01-27,58.625,53.625,53.75,57.75,967300.0,44.986759185791016
2000-01-28,57.25,54.875,57.25,56.125,801400.0,43.72089767456055
2000-01-31,59.3125,56.125,56.1875,59.125,440500.0,46.05788040161133
2000-02-01,60.0,58.5625,58.875,59.75,730800.0,46.54473876953125
2000-02-02,59.5625,58.5625,59.5,58.625,655400.0,45.66837692260742
2000-02-03,59.5,57.125,58.5625,57.9375,297300.0,45.1328239440918
2000-02-04,58.125,55.0,57.875,55.3125,240400.0,43.087947845458984
2000-02-07,55.75,53.875,55.375,55.25,384300.0,43.03929138183594
2000-02-08,58.4375,55.0,55.0625,58.0625,366000.0,45.230201721191406
2000-02-09,58.6875,54.0,58.5625,55.125,935800.0,42.94191360473633
2000-02-10,56.5,54.75,55.4375,54.9375,362500.0,42.79585266113281
2000-02-11,56.0,54.5,55.4375,54.6875,448800.0,42.60110855102539
2000-02-14,55.23429870605469,54.0625,54.6875,54.125,199400.0,42.16292953491211
2000-02-15,55.5,53.5625,54.375,54.8125,412600.0,42.698463439941406
2000-02-16,54.8125,54.25,54.75,54.5625,233900.0,42.50372314453125
2000-02-17,55.75,54.0625,54.75,55.03120040893555,439500.0,42.868839263916016
2000-02-18,55.125,49.625,55.0,49.875,1174700.0,38.85221481323242
2000-02-22,51.1875,48.875,50.0625,51.125,706100.0,39.82594299316406
2000-02-23,51.25,49.3125,51.0625,50.625,433000.0,39.43645095825195
2000-02-24,51.5625,50.4375,50.78120040893555,50.875,821900.0,39.631195068359375
2000-02-25,50.875,49.875,50.875,50.0,338300.0,38.949588775634766
2000-02-28,52.65620040893555,49.6875,49.96870040893555,51.5,1029200.0,40.1180534362793
2000-02-29,53.25,51.0,51.75,53.0625,415700.0,41.33523178100586
2000-03-01,53.1875,50.5,53.0,50.6875,786900.0,39.48515701293945
2000-03-02,52.25,50.6875,50.6875,51.4375,423300.0,40.069374084472656
2000-03-03,51.40620040893555,32.0,51.25,38.8125,14244100.0,30.234603881835938
2000-03-06,42.375,37.125,39.25,41.5625,3842200.0,32.3768310546875
2000-03-07,41.875,39.125,41.875,39.8125,1162600.0,31.01360511779785
2000-03-08,40.5625,36.5,40.5625,37.4375,1449300.0,29.163490295410156
2000-03-09,37.625,36.375,37.1875,36.875,862200.0,28.725309371948242
2000-03-10,39.75,36.0625,36.9375,37.25,822100.0,29.017423629760742
2000-03-13,38.9375,37.625,37.875,37.96870040893555,1970600.0,29.57731056213379
2000-03-14,38.625,36.0,38.34370040893555,36.4375,536200.0,28.38450813293457
2000-03-15,39.5,36.6875,36.75,38.75,832300.0,30.18592643737793
2000-03-16,41.875,39.5625,39.625,41.375,1168300.0,32.230777740478516
2000-03-17,42.9375,40.375,40.5,40.9375,1010300.0,31.889978408813477
2000-03-20,41.25,39.3125,41.0,39.3125,542200.0,30.62409782409668
2000-03-21,42.625,38.625,39.25,42.25,511800.0,32.912410736083984
2000-03-22,44.34370040893555,42.0,42.0,42.0625,529200.0,32.76633071899414
2000-03-23,44.0,41.5,41.75,44.0,673600.0,34.27561569213867
2000-03-24,44.0,42.0,43.75,42.5625,579300.0,33.15581512451172
2000-03-27,42.6875,38.8125,42.59370040893555,39.4375,900300.0,30.721485137939453
2000-03-28,41.3125,38.875,39.375,39.75,796100.0,30.964914321899414
2000-03-29,40.875,38.875,39.6875,39.51559829711914,876000.0,30.782318115234375
2000-03-30,41.0625,38.3125,39.5625,38.3125,1151400.0,29.84512710571289
2000-03-31,43.0,38.625,38.875,41.625,1414100.0,32.425537109375
2000-04-03,44.25,38.5625,44.10929870605469,40.0,3809900.0,31.15966033935547
2000-04-04,43.75,40.75,41.5,41.625,2188000.0,32.425537109375
2000-04-05,41.6875,40.95309829711914,41.0625,41.125,668100.0,32.036033630371094
2000-04-06,42.8125,41.375,41.5625,42.5,1571600.0,33.10713195800781
2000-04-07,42.625,40.25,42.5,40.625,848400.0,31.646533966064453
2000-04-10,42.875,40.5625,40.625,42.375,1062400.0,33.00975799560547
2000-04-11,46.0,42.0,42.0625,45.125,993300.0,35.15199279785156
2000-04-12,49.25,45.0,45.125,45.625,1448900.0,35.541481018066406
2000-04-13,48.25,45.75,46.5,47.5,2637700.0,37.00209045410156
2000-04-14,47.4375,45.125,47.375,45.1875,1453900.0,35.2006950378418
2000-04-17,45.0625,43.5625,45.0,44.9375,1156300.0,35.00593948364258
