Date,Open,High,Low,Close,Volume
2017-10-16,53.637000,53.921800,53.541100,53.646800,3725850
2017-10-17,53.607500,54.236000,53.421000,54.069100,5432973
2017-10-18,54.186900,55.581400,53.931600,54.766300,9044529
2017-10-19,54.894000,55.168900,54.412800,54.992200,4865319
2017-10-20,55.159100,55.424200,54.933200,55.306400,5528681
2017-10-23,55.198400,55.664800,55.060900,55.070700,4709045
2017-10-24,54.992200,55.060900,54.186900,54.383300,7200991
2017-10-25,54.383300,54.874300,54.196700,54.491300,6113165
2017-10-26,54.344000,54.687700,54.088700,54.481500,5033437
2017-10-27,54.491300,54.619000,54.186900,54.373500,4724503
2017-10-30,54.186900,54.311500,53.082200,53.312900,7542616
2017-10-31,53.499500,53.558400,53.057600,53.254000,7676194
2017-11-01,52.920100,53.587900,52.645300,53.028200,7641899
2017-11-02,53.077300,53.666500,52.988900,53.391500,6953162
2017-11-03,53.587900,54.501200,53.489700,54.471700,4567065
2017-11-06,54.324400,54.403000,54.020000,54.020000,3134181
2017-11-07,54.157500,54.265500,53.686100,54.167300,4843996
2017-11-08,53.990500,54.353900,53.735200,54.255700,3712978
2017-11-09,54.069100,54.501200,53.921800,54.452100,3644007
2017-11-10,54.236000,54.324400,53.391500,53.813800,5033162
2017-11-13,53.705700,54.373500,53.578100,54.304800,3854524
2017-11-14,54.059300,54.216400,53.774500,54.020000,6180407
2017-11-15,53.794100,54.088700,53.558400,53.843200,4999782
2017-11-16,54.118200,54.835000,53.872700,54.540400,6866883
2017-11-17,54.294900,54.707400,54.226200,54.560100,6284213
2017-11-20,54.658300,54.676400,54.137800,54.294900,3699402
2017-11-21,54.452100,55.306400,54.442200,55.110000,4612991
2017-11-22,55.021600,55.139500,54.569900,54.795800,3552077
2017-11-24,54.844900,55.178700,54.736800,55.119800,2148282
2017-11-27,55.159100,55.502800,55.002000,55.139500,4518295
2017-11-28,55.286800,55.286800,54.574800,55.011800,6841715
2017-11-29,55.080500,55.286800,54.383300,54.579700,7277873
2017-11-30,54.668100,55.443900,54.314600,55.355500,10086259
2017-12-01,55.286800,55.659900,54.275300,54.972500,5322310
2017-12-04,55.129600,55.188600,53.705700,53.725400,4589081
2017-12-05,53.656600,54.324400,53.362000,53.803900,4321075
2017-12-06,53.902100,54.120100,53.342400,53.676300,7828595
2017-12-07,53.774500,53.951200,53.371900,53.705700,4421939
2017-12-08,53.676300,53.862900,53.347300,53.656600,5103892
2017-12-11,53.784300,54.128000,53.499500,53.951200,4273000
2017-12-12,54.697600,54.864500,54.162400,54.697600,9860720
2017-12-13,54.668100,54.756500,53.813800,54.069100,9962307
2017-12-14,54.059300,54.226200,53.646800,53.745000,5935190
2017-12-15,54.039600,54.560100,53.853000,54.501200,14655482
2017-12-18,54.520800,55.502800,54.422600,55.385000,6053871
2017-12-19,55.493000,55.920200,55.434100,55.777800,7116846
2017-12-20,55.718800,56.268800,55.380100,55.993800,11948355
2017-12-21,56.111600,56.239300,55.718800,55.905400,6154694
2017-12-22,55.915200,56.292600,55.738500,55.905400,5449333
2017-12-26,55.984000,56.214800,55.876000,55.974200,3187912
2017-12-27,56.062500,56.563400,56.023300,56.435700,5243921
2017-12-28,56.406200,56.651700,56.337500,56.425900,3387664
2017-12-29,56.563400,56.725400,56.042900,56.042900,3995189
2018-01-02,57.152600,58.134600,56.776500,57.732000,10113305
2018-01-03,57.928400,57.952900,57.260600,57.859600,5684407
2018-01-04,58.429200,58.527400,57.702500,57.761400,6239956
2018-01-05,57.977500,58.026600,57.579700,57.928400,5836945
2018-01-08,57.790900,57.918500,57.471700,57.761400,5411995
2018-01-09,58.036400,58.036400,57.324400,57.859600,7467672
2018-01-10,57.692700,57.849800,57.241000,57.771200,4340836
2018-01-11,57.869900,58.175800,57.514700,58.165900,4240938
2018-01-12,58.175800,58.452100,58.008000,58.057400,6321142
2018-01-16,58.107700,58.353400,57.455500,57.662700,7175001
2018-01-17,57.978400,58.313900,57.845200,58.205400,5037504
2018-01-18,57.998200,58.476700,57.751500,58.284300,5658579
2018-01-19,58.442200,58.886200,58.175800,58.521100,7363008
2018-01-22,58.096800,58.777700,57.672600,58.777700,6841939
2018-01-23,58.728300,58.773800,58.190600,58.442200,8122077
2018-01-24,60.188600,63.306600,59.932100,60.899100,11704949
2018-01-25,62.339700,63.740800,61.491100,62.379100,15261885
2018-01-26,62.310000,62.591300,61.836400,62.576500,10242797
2018-01-29,62.250800,62.620900,62.014000,62.467900,8638541
2018-01-30,61.609500,62.275500,61.461600,61.609500,6497641
2018-01-31,61.826600,61.925200,61.027300,61.333200,7804362
2018-02-01,60.928700,61.708200,60.839900,61.353000,8101584
2018-02-02,61.372700,61.589800,60.820100,60.869500,12346542
2018-02-05,60.780700,61.047100,57.771200,57.948800,11548229
2018-02-06,57.149600,58.472400,56.567500,58.077100,15214679
2018-02-07,57.820600,59.053900,57.721900,57.889600,6872663
2018-02-08,57.988300,58.047500,55.472200,55.521600,6874534
2018-02-09,55.876800,56.922700,54.840700,56.409600,8028354
2018-02-12,56.932500,57.208800,56.118500,56.646400,8234201
2018-02-13,56.380000,57.023200,56.054400,56.873300,5816623
2018-02-14,56.557600,57.623200,56.389900,57.504800,3728920
2018-02-15,57.939000,58.718500,57.554200,58.708600,3871897
2018-02-16,58.649400,59.733800,58.540900,59.369700,7849189
2018-02-20,58.886200,59.073700,58.057400,58.333700,8182537
2018-02-21,58.284300,59.192100,58.037600,58.205400,4793848
2018-02-22,58.422500,58.609900,58.017900,58.205400,5539926
2018-02-23,58.432300,58.945400,58.195500,58.915800,5190445
2018-02-26,59.063800,59.779200,58.935500,59.724900,5364248
2018-02-27,59.942000,60.425500,59.586800,59.744600,6747678
2018-02-28,59.863000,60.307100,59.379600,59.527600,8325745
2018-03-01,59.359800,59.379600,57.751500,58.008000,9711891
2018-03-02,57.702200,58.738200,57.652800,58.669100,7979196
2018-03-05,58.126400,59.823600,58.116600,59.567000,9000405
2018-03-06,59.784100,60.208400,59.305600,60.070200,6620048
2018-03-07,59.468400,60.598100,59.389400,60.474800,7726484
2018-03-08,60.524100,61.126000,60.484700,61.047100,5245774
2018-03-09,61.224700,62.852700,61.192300,62.754100,8184391
2018-03-12,62.744200,63.099400,62.571500,62.773800,8858484
2018-03-13,63.040200,63.099400,62.167000,62.359400,6428545
2018-03-14,62.576500,62.773800,61.895600,62.023900,5162114
2018-03-15,62.211400,62.290300,61.688400,61.757500,3364910
2018-03-16,61.945000,62.472900,61.875900,62.339700,11840947
2018-03-19,62.290300,62.398900,60.869600,61.431900,5286162
2018-03-20,61.649000,61.925200,61.323400,61.816700,3943042
2018-03-21,61.915400,62.231100,61.510800,61.589800,3478298
2018-03-22,60.997700,61.274000,60.040600,60.119600,5345250
