Date,Open,High,Low,Close,Volume
2017-10-16,87.710600,87.852800,86.465700,87.073500,2007721
2017-10-17,86.916600,87.298900,86.622600,87.181300,1247273
2017-10-18,87.446000,87.495000,86.534500,87.240100,1129505
2017-10-19,86.573600,87.073500,85.652100,87.044100,1577542
2017-10-20,87.838100,88.151700,87.004900,87.171500,1778531
2017-10-23,87.661600,87.896900,86.808800,87.014700,2031182
2017-10-24,87.014700,88.994700,86.632400,88.504600,2671585
2017-10-25,87.887100,88.661400,87.465600,88.083100,2039688
2017-10-26,88.475200,89.161400,88.083100,88.769300,1239705
2017-10-27,88.975100,89.573100,88.181100,89.406400,1625012
2017-10-30,89.543600,90.141600,89.092700,89.514200,1248271
2017-10-31,89.661300,89.925900,88.955500,89.494600,1530506
2017-11-01,90.033800,90.289000,88.798700,89.190800,2373950
2017-11-02,89.053500,89.661300,88.475200,88.994700,1448167
2017-11-03,89.171200,90.014200,88.407600,89.994600,1367407
2017-11-06,90.592500,91.121800,89.837700,90.455300,1531256
2017-11-07,90.259200,90.739500,89.886700,90.082800,1416911
2017-11-08,90.082800,90.618200,89.239800,90.180800,1617599
2017-11-09,89.857300,89.876900,86.240300,87.926300,3143629
2017-11-10,87.769400,88.249700,87.122500,87.818400,2736363
2017-11-13,87.593000,88.426200,87.240100,88.249700,2428812
2017-11-14,88.014500,88.700700,87.628600,88.651600,2172550
2017-11-15,87.808600,88.171300,86.916600,87.397000,2250494
2017-11-16,88.014500,88.955500,87.642000,88.690800,2297938
2017-11-17,89.200600,89.249600,88.455600,88.632000,2342924
2017-11-20,89.171200,92.131400,88.935900,91.229600,6529634
2017-11-21,90.788500,90.994400,87.122500,88.406600,6028669
2017-11-22,87.838100,88.945700,86.681400,86.897000,4028510
2017-11-24,86.916600,87.485200,86.269700,87.387100,1623905
2017-11-27,86.740200,87.073500,85.671800,85.720800,2890664
2017-11-28,85.358100,85.711000,84.680700,85.348300,3843143
2017-11-29,85.358100,85.563900,82.236400,83.966200,6130300
2017-11-30,84.567300,85.010700,83.749400,84.853000,3866597
2017-12-01,84.261800,84.518000,82.369900,84.153400,3545012
2017-12-04,84.311100,84.388500,82.626000,83.552300,3723596
2017-12-05,83.296100,84.449000,82.931500,83.591700,2340774
2017-12-06,83.030000,84.232200,82.803400,84.163200,2805087
2017-12-07,84.360300,85.247200,83.926700,84.853000,3914204
2017-12-08,85.188100,85.651200,83.670500,84.271600,3411413
2017-12-11,84.242100,85.099400,84.045000,84.547500,2322676
2017-12-12,84.498300,84.724900,83.670500,84.232200,2248856
2017-12-13,84.567300,84.670700,83.887300,83.936600,2067998
2017-12-14,83.926700,84.715100,83.581900,84.192800,2288059
2017-12-15,84.813600,85.932000,84.045000,85.424600,3765981
2017-12-18,85.937000,87.060300,85.927100,86.804100,2743112
2017-12-19,86.498600,87.178600,86.134000,86.666200,2098577
2017-12-20,86.833700,87.631900,86.558200,87.355900,2093655
2017-12-21,87.700800,87.838800,87.129300,87.355900,1917206
2017-12-22,87.208100,87.572700,86.971600,87.553000,1680412
2017-12-26,86.991300,87.553000,86.400100,87.336200,1379370
2017-12-27,87.592400,88.272400,87.277100,87.799400,1827388
2017-12-28,87.996500,88.548300,87.405200,88.075300,1973056
2017-12-29,88.055600,88.370900,87.474200,87.730400,3414815
2018-01-02,87.937300,89.326800,87.631900,88.962200,2343204
2018-01-03,88.962200,90.272700,88.735500,90.065800,2009600
2018-01-04,90.528900,90.933000,89.918000,89.967300,1879594
2018-01-05,90.184100,90.923000,89.504100,90.331900,1799107
2018-01-08,90.469800,90.864000,90.026400,90.489500,1907387
2018-01-09,90.460000,90.982200,90.085500,90.302300,2780187
2018-01-10,89.750500,89.819500,88.479300,88.794600,2654440
2018-01-11,89.080400,89.927800,88.627100,89.858900,1924204
2018-01-12,89.730800,91.238400,89.243000,90.676800,3175716
2018-01-16,91.031500,92.332200,91.001900,91.741000,3373675
2018-01-17,92.627800,94.554300,92.243500,94.174900,4011289
2018-01-18,94.184800,96.943900,93.938400,95.820600,5285179
2018-01-19,96.214700,96.510200,94.736600,94.736600,2762390
2018-01-22,94.983000,95.584100,94.372000,95.239200,4442387
2018-01-23,95.278600,95.702300,94.490300,95.061800,3247107
2018-01-24,93.002300,95.224700,91.849400,93.948300,6258394
2018-01-25,94.785900,95.574200,90.588100,90.637300,3655853
2018-01-26,91.731100,92.795400,91.228600,92.470200,4752279
2018-01-29,91.839500,93.061400,91.061100,92.411100,3078148
2018-01-30,91.415800,92.026800,90.031300,90.213600,3684942
2018-01-31,90.548700,91.199000,90.085500,90.538800,3462002
2018-02-01,89.918000,91.228600,89.918000,90.312200,2312175
2018-02-02,89.415400,89.957400,87.760000,87.809200,2922619
2018-02-05,87.454500,88.301900,84.084400,84.153400,3817435
2018-02-06,82.970900,87.415100,81.551900,87.247600,5440793
2018-02-07,85.483700,86.666200,84.045000,84.104100,4555784
2018-02-08,84.291300,84.351600,81.364700,81.473100,5279077
2018-02-09,82.685100,83.345400,79.768300,82.704800,5649666
2018-02-12,83.069400,84.646100,82.803400,83.808500,3287666
2018-02-13,84.754500,85.168400,82.547200,83.108900,2688995
2018-02-14,82.300800,84.202700,82.172600,83.887300,2819560
2018-02-15,84.685500,84.685500,82.980800,84.153400,2214365
2018-02-16,84.035100,85.523100,83.926800,84.833300,2570580
2018-02-20,86.005900,88.183700,85.651200,87.119400,3960959
2018-02-21,87.415100,88.725700,86.567600,87.119400,2604385
2018-02-22,87.168700,88.055600,86.784400,87.267300,2430033
2018-02-23,88.045700,89.110000,87.868400,89.050800,2114897
2018-02-26,89.247900,91.070900,89.247900,91.011800,2683639
2018-02-27,90.864000,92.283000,90.292700,90.913200,3256317
2018-02-28,93.120600,93.534400,88.292200,88.834000,4248509
2018-03-01,88.577800,89.208500,85.523100,87.020900,4136105
2018-03-02,86.163600,88.361100,85.710300,88.223100,2298681
2018-03-05,87.533300,90.361400,87.469300,89.809600,2972161
2018-03-06,90.391000,91.218700,89.849000,90.588100,1958754
2018-03-07,89.996800,91.445400,89.228200,91.386200,2981069
2018-03-08,92.020200,92.416400,91.198000,91.841900,2175599
2018-03-09,92.416400,93.951700,92.416400,93.832900,2769075
2018-03-12,93.842800,94.823400,93.768500,94.625300,2766087
2018-03-13,95.090800,95.932800,93.327700,93.763500,3521766
2018-03-14,94.040900,94.426200,92.386700,93.198900,1549718
2018-03-15,93.030500,93.466400,92.277700,93.050300,1273980
2018-03-16,93.208800,94.110200,92.872000,93.258300,4067799
2018-03-19,92.842300,92.931500,90.970200,92.614500,2900298
2018-03-20,92.624400,92.743300,91.495200,91.832000,1764046
2018-03-21,91.624000,93.000800,91.448400,91.921100,1612749
2018-03-22,90.663200,91.554600,89.623100,89.682500,2842437
2018-03-23,89.504200,89.989600,86.819900,86.869400,2613285
2018-03-26,88.484000,92.307400,88.097700,92.228200,3669351
2018-03-27,92.891800,93.426700,89.415100,90.187700,4507475
2018-03-28,89.850900,90.752900,88.563200,89.058500,2601968
2018-03-29,89.841000,91.143600,88.999100,90.266900,2663466
2018-04-02,89.613200,90.019300,87.087300,87.909500,3308596
2018-04-03,88.761300,89.068400,87.067500,88.672200,2721620
2018-04-04,86.978400,90.658200,86.710900,90.375900,2069939
2018-04-05,91.227800,91.574400,89.405200,90.078700,1769446
2018-04-06,88.999100,89.623100,87.295400,87.473700,2294318
2018-04-09,88.276000,89.583500,87.067500,87.156700,2513876
2018-04-10,88.652400,89.950000,87.919400,89.177400,2242970
2018-04-11,88.404700,90.286800,88.335400,89.940100,1785178
2018-04-12,90.821600,92.357000,90.336300,92.139000,2984233
2018-04-13,92.614500,92.713600,91.321900,91.901300,1869665
2018-04-16,92.297500,92.693700,91.604200,92.257900,2125310
2018-04-17,92.763100,94.635200,92.763100,94.268700,1920040
2018-04-18,93.882400,94.546000,93.134500,93.674400,1909797
2018-04-19,92.099400,92.099400,88.909900,88.999100,3774177
2018-04-20,88.543400,89.147600,87.820300,88.909900,4413807
2018-04-23,89.316000,89.335800,86.691100,87.166600,2790338
2018-04-24,88.424600,88.622700,86.493000,86.819900,3137035
2018-04-25,87.226000,88.077900,86.502900,86.938800,2652389
2018-04-26,87.612300,88.186800,86.889200,87.860000,1981386
2018-04-27,88.424600,88.535500,86.384100,86.849600,2738572
2018-04-30,86.938800,87.369600,85.215200,86.522700,3756174
2018-05-01,86.314700,88.157100,85.918500,88.018400,2094342
2018-05-02,88.167000,88.360200,86.651500,87.463700,1586748
2018-05-03,86.691100,87.434000,85.413400,87.077400,2261117
2018-05-04,86.720800,89.459700,86.294900,89.415100,2404772
2018-05-07,89.009000,90.306600,89.009000,89.642900,1867006
2018-05-08,90.068800,90.583900,89.256600,90.554200,1575027
2018-05-09,90.990000,91.861700,90.554200,91.742800,1939391
2018-05-10,92.198500,92.515400,91.515000,92.456000,1914403
2018-05-11,92.198500,92.753200,91.544700,91.723000,1359030
2018-05-14,92.307400,94.021100,92.307400,92.981000,2173465
2018-05-15,92.188600,92.961200,91.911200,92.673900,2074877
2018-05-16,93.060200,93.902200,92.693700,93.872500,1472840
2018-05-17,93.317800,94.278600,93.268200,94.139900,3344110
2018-05-18,93.803100,94.664900,93.189000,93.981400,3222037
2018-05-21,94.664900,95.160200,93.605000,94.397500,1694232
2018-05-22,94.872900,95.457300,94.437100,94.803600,1336131
2018-05-23,93.714000,94.169600,93.154300,93.496100,3026109
2018-05-24,93.614900,94.367700,93.099900,94.139900,1920669
2018-05-25,94.031000,94.595600,93.644600,94.546000,1467930
2018-05-29,93.783300,94.417300,92.990900,93.496100,3474601
2018-05-30,92.188600,96.061500,92.119200,94.080500,3232438
2018-05-31,95.001700,97.458200,94.645100,96.259600,5076775
2018-06-01,96.754900,97.497800,95.543300,97.468100,2301728
2018-06-04,97.567100,99.335200,96.507300,99.033100,2619657
2018-06-05,99.062800,99.964200,98.706300,99.686900,1869421
2018-06-06,99.904800,101.182600,99.161900,101.133100,2183527
2018-06-07,101.819700,103.093600,101.063400,101.471400,3660582
2018-06-08,100.715100,100.824500,99.520800,100.575700,2304778
2018-06-11,100.376700,101.361900,100.217500,100.904200,1635477
2018-06-12,101.093200,101.580900,100.466300,101.531100,1998432
2018-06-13,101.650600,101.728500,100.247300,100.565800,2064256
2018-06-14,101.242500,102.486500,100.824500,101.212700,1855704
2018-06-15,101.471400,101.471400,99.620300,101.013600,3118232
2018-06-18,99.968700,100.774800,99.351600,100.605600,1861445
2018-06-19,99.023200,99.650200,98.426100,99.580500,1759024
2018-06-20,99.869100,100.585700,99.301900,100.516000,1419235
2018-06-21,100.854400,100.854400,98.505700,98.684800,1691489
2018-06-22,99.351600,99.401400,98.207100,98.615200,6226473
2018-06-25,97.669700,98.028000,96.420700,97.679700,4653476
2018-06-26,97.978200,98.933600,97.580200,98.237000,2365558
2018-06-27,98.207100,98.873900,95.977900,96.037600,4415221
2018-06-28,95.729100,96.226700,94.594500,95.490200,2349472
2018-06-29,95.967900,97.361200,95.291200,95.460400,3116694
2018-07-02,94.584600,95.908200,94.166600,95.848500,2058459
2018-07-03,96.276400,96.376000,93.917800,94.057100,876025
2018-07-05,94.873200,96.077400,94.475100,95.938100,1977695
2018-07-06,95.928100,96.943200,95.460400,96.734200,1551048
2018-07-09,96.953200,97.391100,95.709200,96.714300,1861303
2018-07-10,96.943200,98.197200,96.550100,98.067800,2229347
2018-07-11,96.933300,97.440800,95.510100,95.758900,1509676
2018-07-12,95.719100,98.107600,95.440500,97.928500,2328902
2018-07-13,98.147400,98.266900,97.420900,97.649800,1130229
2018-07-16,97.878700,97.918500,96.853700,97.172100,1380079
2018-07-17,96.505300,97.868800,95.992800,97.789200,1928858
2018-07-18,98.057900,98.919700,97.998100,98.615200,1638515
2018-07-19,98.316600,98.485800,96.933300,97.789200,1389518
2018-07-20,97.550300,98.219600,96.833800,97.341300,1393001
2018-07-23,96.923300,97.485600,95.868400,97.321400,1403708
2018-07-24,97.570200,98.701500,96.838700,96.983000,2964645
2018-07-25,97.012900,97.679700,94.634300,96.087300,2613589
2018-07-26,97.102500,98.087700,96.266500,97.231800,2546220
2018-07-27,97.620000,98.615200,96.246600,96.515300,2147637
2018-07-30,97.102500,97.102500,94.554700,94.853300,2545043
2018-07-31,95.221500,96.395900,95.122000,95.679300,2507029
2018-08-01,94.972700,96.276400,94.972700,95.579800,1717680
2018-08-02,94.544800,96.087300,94.296800,95.729100,1711780
2018-08-03,95.619600,96.236600,95.409200,96.097300,1017822
2018-08-06,95.729100,96.953200,95.599700,96.913400,1322202
2018-08-07,97.241800,98.217100,96.983000,98.117600,1128804
2018-08-08,98.028000,98.237000,97.470700,98.018100,1256580
2018-08-09,98.067800,98.197200,97.271600,97.271600,1451129
2018-08-10,94.873200,96.246600,93.629200,94.485100,2817351
2018-08-13,94.733900,95.669400,94.385500,94.674200,1939325
2018-08-14,95.122000,95.778700,94.360700,94.395500,1761598
2018-08-15,93.489900,94.067100,92.365300,93.310700,2022306
2018-08-16,93.937700,94.614400,93.509800,93.808300,1828687
2018-08-17,93.012200,94.375600,92.224000,94.126800,2869440
2018-08-20,94.335800,94.455200,92.793200,93.290800,2161016
2018-08-21,93.609300,95.997800,92.972300,95.460400,4051255
2018-08-22,92.106500,97.649800,91.608900,97.450800,7540753
2018-08-23,97.819000,98.505700,96.774000,96.923300,2666119
2018-08-24,97.590100,98.411200,96.973100,98.306700,2674789
2018-08-27,98.814200,100.237400,98.525600,99.590500,2907259
2018-08-28,100.127900,100.386600,98.983400,99.938800,3673414
2018-08-29,99.938800,99.938800,99.272000,99.690000,2370112
2018-08-30,99.480000,100.170000,98.280000,98.570000,1891693
2018-08-31,98.210000,99.240000,98.202500,98.850000,1710018
2018-09-04,97.490000,98.890000,97.110000,98.110000,4053178
2018-09-05,98.120000,98.840000,97.490000,97.870000,2689002
2018-09-06,97.450000,98.090000,96.110000,97.090000,2809812
2018-09-07,94.860000,95.920000,93.590000,93.960000,5451386
2018-09-10,94.560000,95.180000,93.050000,94.590000,3120064
2018-09-11,94.120000,94.390000,93.100000,93.250000,3229948
2018-09-12,92.100000,92.560000,89.350000,91.020000,5793632
2018-09-13,92.190000,93.070000,90.880000,92.400000,3516824
2018-09-14,92.550000,93.430000,92.090000,92.530000,2843302
2018-09-17,92.110000,92.820000,91.155000,91.310000,1976252
2018-09-18,91.670000,92.470000,91.350000,91.860000,2354912
2018-09-19,92.020000,92.805000,91.800000,92.580000,1843220
2018-09-20,93.550000,95.660000,93.450000,95.100000,3494871
2018-09-21,95.560000,95.700000,94.190000,94.560000,4416466
2018-09-24,94.140000,95.370000,93.330000,95.000000,2558793
2018-09-25,92.400000,93.490000,90.548100,92.560000,6037188
2018-09-26,92.400000,93.750000,92.190000,92.320000,3802521
2018-09-27,92.310000,92.540000,91.610000,92.180000,1963719
2018-09-28,91.960000,92.520000,91.600000,92.460000,1650247
2018-10-01,92.810000,93.390000,92.250000,92.390000,1728836
2018-10-02,92.200000,93.920000,92.110000,92.290000,1737331
2018-10-03,91.710000,93.040000,90.860000,91.830000,2914954
2018-10-04,91.140000,91.600000,89.570000,89.990000,4047390
2018-10-05,89.000000,89.480000,86.260000,87.150000,5816033
2018-10-08,86.790000,87.230000,85.520000,86.480000,2879353
2018-10-09,86.620000,86.950000,85.590000,86.760000,3950203
2018-10-10,85.460000,86.040000,83.180000,83.900000,8524035
2018-10-11,85.560000,86.590000,83.250000,83.670000,4849880
2018-10-12,85.230000,85.770000,83.070000,84.170000,3600599
