Date,Open,High,Low,Close,Volume
2017-10-16,119.690000,119.970000,118.670000,119.200000,1179639
2017-10-17,119.350000,119.759900,118.060000,118.720000,1184676
2017-10-18,118.500000,118.860000,117.783400,118.540000,1010683
2017-10-19,119.000000,119.320000,117.570000,119.290000,1099460
2017-10-20,119.980000,121.880000,119.700000,120.810000,1647622
2017-10-23,120.990000,121.720000,118.730000,118.990000,1487850
2017-10-24,118.960000,119.610000,117.900000,119.290000,1337784
2017-10-25,119.000000,120.250000,118.050000,119.940000,1080018
2017-10-26,120.210000,121.950000,119.460000,121.350000,903374
2017-10-27,121.610000,123.970000,121.400000,123.580000,1523684
2017-10-30,123.040000,124.280000,121.900000,123.910000,1610478
2017-10-31,124.280000,125.010000,123.420000,124.960000,1840426
2017-11-01,125.630000,126.440000,123.400000,124.780000,1622830
2017-11-02,125.500000,125.650000,123.510000,124.720000,1736032
2017-11-03,124.500000,125.500000,124.110100,124.850000,1309792
2017-11-06,125.000000,125.090000,123.190000,123.820000,1003236
2017-11-07,124.260000,124.540000,122.610000,123.400000,828383
2017-11-08,123.490000,124.210000,123.170000,123.840000,892522
2017-11-09,122.900000,123.090000,120.010000,122.400000,1465512
2017-11-10,121.950000,123.320000,121.310000,123.110000,929442
2017-11-13,124.340000,125.020000,122.685000,124.640000,1216739
2017-11-14,124.400000,124.820000,123.160000,123.870000,1225282
2017-11-15,123.870000,125.010000,122.440000,124.020000,1442079
2017-11-16,124.790000,127.000000,124.640000,127.000000,1545183
2017-11-17,127.490000,127.920000,125.870000,127.490000,1460974
2017-11-20,127.510000,128.280000,126.110000,126.280000,1786212
2017-11-21,127.130000,128.170000,126.970000,127.710000,1642893
2017-11-22,128.010000,128.685000,126.835000,127.770000,1469495
2017-11-24,127.740000,129.540000,127.650000,129.500000,1013550
2017-11-27,130.190000,130.920000,129.260000,130.240000,2337226
2017-11-28,130.760000,131.100000,127.490000,129.950000,4976594
2017-11-29,114.030000,114.460000,106.200000,109.340000,19486960
2017-11-30,109.640000,111.579000,106.540000,109.700000,8480972
2017-12-01,108.810000,110.120000,106.290000,107.060000,4922928
2017-12-04,108.000000,108.690000,105.160000,107.950000,3985983
2017-12-05,107.910000,109.490000,106.550000,106.590000,3002528
2017-12-06,105.730000,107.830000,105.730000,106.920000,1686633
2017-12-07,106.200000,110.180000,106.000000,109.610000,3074229
2017-12-08,109.600000,110.170000,106.690000,107.160000,3124700
2017-12-11,106.870000,107.950000,106.150000,106.830000,2412343
2017-12-12,106.320000,107.980000,105.580000,106.330000,2026067
2017-12-13,107.030000,107.890000,105.510000,106.020000,1982883
2017-12-14,105.950000,107.120000,105.950000,106.250000,1504151
2017-12-15,106.550000,108.930000,106.470000,108.400000,2704189
2017-12-18,108.660000,109.430000,107.280000,107.480000,2362554
2017-12-19,107.240000,107.840000,105.370000,105.390000,1861975
2017-12-20,106.020000,106.020000,104.190000,105.030000,2513900
2017-12-21,105.580000,105.669900,103.650000,104.430000,3920749
2017-12-22,104.850000,104.850000,103.780000,103.890000,1534573
2017-12-26,103.450000,104.150000,103.190000,103.800000,1322563
2017-12-27,103.970000,105.199000,103.480000,104.580000,1111843
2017-12-28,104.660000,105.220000,104.200000,105.070000,870897
2017-12-29,105.040000,105.650000,104.530100,104.830000,1068392
2018-01-02,105.340000,107.160000,104.386100,107.120000,2040702
2018-01-03,107.000000,109.780000,106.990000,109.380000,1953782
2018-01-04,110.130000,112.210000,109.230000,112.070000,2158663
2018-01-05,113.070000,113.350000,110.410000,110.840000,2384231
2018-01-08,110.420000,111.740000,109.040000,111.420000,1782074
2018-01-09,111.570000,112.310000,110.650000,112.110000,1848859
2018-01-10,111.710000,112.610000,110.550000,111.470000,1645019
2018-01-11,111.670000,113.960000,111.470000,113.260000,2715967
2018-01-12,113.570000,116.090000,113.070000,115.910000,2553043
2018-01-16,116.240000,117.080000,111.720000,111.980000,2698986
2018-01-17,112.880000,113.100000,111.060000,113.000000,2932163
2018-01-18,112.280000,114.150000,112.050000,112.550000,1625153
2018-01-19,112.960000,115.910000,112.370000,115.290000,2804201
2018-01-22,115.250000,118.450000,114.025000,117.430000,2905877
2018-01-23,117.140000,119.070000,116.501000,118.730000,1985443
2018-01-24,118.910000,119.240000,116.640000,116.900000,2221706
2018-01-25,117.950000,118.420000,116.570000,116.870000,1690379
2018-01-26,117.550000,118.850000,117.120000,117.780000,1836290
2018-01-29,117.700000,118.470000,116.190000,116.380000,1058818
2018-01-30,115.460000,116.350000,113.770000,115.020000,1556378
2018-01-31,115.650000,116.640000,114.900000,115.620000,1119824
2018-02-01,114.720000,117.700000,114.080000,115.570000,1596444
2018-02-02,114.120000,115.140000,111.600000,111.640000,1808333
2018-02-05,110.600000,116.150000,109.180000,109.180000,2890782
2018-02-06,106.490000,112.650000,104.610000,112.620000,3144823
2018-02-07,111.770000,113.560000,110.510000,110.540000,1599666
2018-02-08,109.170000,110.800000,104.810000,104.810000,3056474
2018-02-09,105.810000,107.920000,101.550000,105.940000,3923885
2018-02-12,107.010000,109.210000,104.740000,108.380000,1994120
2018-02-13,106.500000,110.195000,106.230100,109.790000,1339044
2018-02-14,108.360000,110.340000,107.410000,109.920000,1923888
2018-02-15,111.160000,114.710000,110.010000,113.520000,2555010
2018-02-16,113.580000,114.530000,112.100000,112.950000,1584243
2018-02-20,112.510000,115.060000,112.000000,114.270000,1354286
2018-02-21,114.180000,115.720000,112.320000,112.370000,2045088
2018-02-22,112.740000,114.760000,111.900000,112.390000,1817170
2018-02-23,113.670000,115.040000,112.380000,115.030000,1818737
2018-02-26,115.630000,117.500000,114.730000,116.920000,2335160
2018-02-27,117.000000,117.570000,115.140000,116.120000,1658025
2018-02-28,117.020000,119.740000,116.650000,117.470000,2825432
2018-03-01,117.950000,118.980000,114.010000,114.740000,2959624
2018-03-02,113.300000,116.430000,111.050000,116.280000,2681717
2018-03-05,115.180000,119.300000,115.050000,118.870000,2502555
2018-03-06,119.250000,120.640000,118.250000,119.870000,4723871
2018-03-07,133.010000,137.900000,130.060000,137.700000,12753507
2018-03-08,137.010000,137.690000,133.940000,137.290000,5255212
2018-03-09,138.440000,140.000000,137.350000,139.360000,3752141
2018-03-12,139.210000,141.190000,138.340000,138.370000,2109333
2018-03-13,139.740000,141.260000,135.070000,136.000000,2308981
2018-03-14,136.850000,137.611100,135.050000,136.190000,1596386
2018-03-15,136.690000,137.920000,135.425000,136.720000,1319163
2018-03-16,136.330000,139.010000,135.440000,135.750000,2438224
2018-03-19,133.940000,135.460000,132.060000,134.310000,2047302
2018-03-20,134.500000,136.290000,133.890000,134.600000,1760578
2018-03-21,135.010000,137.600000,133.870000,135.540000,2190997
2018-03-22,133.820000,135.930000,131.150000,131.410000,2596526
2018-03-23,131.750000,132.500000,128.000000,128.020000,2763374
2018-03-26,131.050000,134.590000,130.060000,134.220000,2290019
2018-03-27,134.530000,134.590000,127.190100,128.310000,3043592
