,Date,High,Low,Open,Close,Volume,Adj Close
0,2000-01-03,15.59375,14.6875,14.96875,15.5,7843200.0,15.5
1,2000-01-04,15.5,14.59375,15.125,14.625,6290200.0,14.625
2,2000-01-05,15.0625,14.0,14.53125,15.0,8204600.0,15.0
3,2000-01-06,16.0,15.25,15.5,16.0,11489400.0,16.0
4,2000-01-07,16.40625,15.375,15.40625,16.25,8543400.0,16.25
5,2000-01-10,17.75,16.6875,16.75,17.5,12916400.0,17.5
6,2000-01-11,17.96875,16.96875,17.5,17.25,6679800.0,17.25
7,2000-01-12,18.375,16.8125,17.0,18.125,8818600.0,18.125
8,2000-01-13,18.875,17.5625,18.375,18.875,7542200.0,18.875
9,2000-01-14,20.28125,18.5,18.5625,20.1875,15007800.0,20.1875
10,2000-01-18,20.625,19.34375,20.0,19.5,10871400.0,19.5
11,2000-01-19,21.5,19.40625,19.875,19.59375,8924400.0,19.59375
12,2000-01-20,22.5625,19.0,21.75,19.5,28847200.0,19.5
13,2000-01-21,19.5625,18.0625,19.5625,18.9375,11715000.0,18.9375
14,2000-01-24,19.21875,16.90625,18.625,17.25,10269800.0,17.25
15,2000-01-25,20.25,17.25,17.28125,20.0,10805800.0,20.0
16,2000-01-26,19.125,18.28125,18.8125,18.5,7597800.0,18.5
17,2000-01-27,19.5,18.4375,19.0,18.46875,6167800.0,18.46875
18,2000-01-28,18.875,17.1875,18.59375,17.625,6867200.0,17.625
19,2000-01-31,18.125,17.21875,17.625,18.0,4288800.0,18.0
20,2000-02-01,18.375,17.5,18.25,18.28125,5111200.0,18.28125
21,2000-02-02,18.25,17.78125,18.15625,18.03125,4076200.0,18.03125
22,2000-02-03,19.6875,18.15625,18.375,19.5,9523800.0,19.5
23,2000-02-04,20.0625,19.1875,19.5,19.28125,7109200.0,19.28125
24,2000-02-07,20.65625,19.0625,19.28125,20.65625,6056600.0,20.65625
25,2000-02-08,21.0,19.59375,20.5,20.6875,8583800.0,20.6875
26,2000-02-09,21.1875,20.25,20.6875,21.03125,7813600.0,21.03125
27,2000-02-10,21.375,20.65625,21.03125,21.25,6373600.0,21.25
28,2000-02-11,22.75,20.90625,21.375,22.75,14933400.0,22.75
29,2000-02-14,22.75,21.0625,22.40625,21.625,8745200.0,21.625
30,2000-02-15,22.375,21.1875,21.75,21.75,8673800.0,21.75
31,2000-02-16,22.59375,21.6875,21.875,21.875,7579800.0,21.875
32,2000-02-17,22.09375,21.0625,22.09375,21.5,5442600.0,21.5
33,2000-02-18,21.8125,20.0,21.1875,21.5,6451000.0,21.5
34,2000-02-22,21.21875,19.8125,20.125,20.90625,5422600.0,20.90625
35,2000-02-23,20.96875,20.53125,20.84375,20.53125,2930400.0,20.53125
36,2000-02-24,21.46875,20.34375,20.75,21.28125,4091400.0,21.28125
37,2000-02-25,21.1875,19.625,20.78125,20.25,10911400.0,20.25
38,2000-02-28,20.15625,18.8125,20.15625,18.875,8847000.0,18.875
39,2000-02-29,20.125,19.5,19.6875,19.75,8303200.0,19.75
40,2000-03-01,20.6875,19.84375,19.9375,20.25,6552200.0,20.25
41,2000-03-02,20.21875,19.25,20.21875,19.625,4540600.0,19.625
42,2000-03-03,21.0,19.875,19.875,20.75,6913000.0,20.75
43,2000-03-06,24.5,23.0,23.0,23.75,22458400.0,23.75
44,2000-03-07,29.5,24.5,24.71875,27.5,25724000.0,27.5
45,2000-03-08,27.75,24.0,27.75,26.75,13466000.0,26.75
46,2000-03-09,30.0,25.25,26.34375,29.0625,13412000.0,29.0625
47,2000-03-10,27.125,25.0,26.5625,26.0,16850000.0,26.0
48,2000-03-13,26.625,24.125,24.15625,25.75,7735800.0,25.75
49,2000-03-14,26.875,24.0,26.0,24.0,5936200.0,24.0
50,2000-03-15,25.21875,23.75,24.5,24.625,8376200.0,24.625
51,2000-03-16,25.0,23.15625,24.8125,24.59375,6421000.0,24.59375
52,2000-03-17,25.34375,24.0625,24.40625,25.0,5280200.0,25.0
53,2000-03-20,27.0625,25.375,25.46875,26.875,7369200.0,26.875
54,2000-03-21,27.875,26.3125,27.0625,27.40625,9448000.0,27.40625
