Date,Open,High,Low,Close,Volume
2017-10-16,177.818700,179.023800,176.108100,176.788400,2211464
2017-10-17,176.914800,181.803400,176.035200,180.957900,3753749
2017-10-18,182.571200,183.533400,180.608000,181.045400,2580235
2017-10-19,180.763500,181.725700,178.100500,178.946100,2563623
2017-10-20,178.916900,179.625400,176.195600,177.818700,3179172
2017-10-23,178.100500,178.460100,175.301400,175.456900,2571242
2017-10-24,176.166400,176.437200,172.249700,175.301400,3449844
2017-10-25,174.067100,174.980700,171.598500,172.512100,4052517
2017-10-26,166.068400,172.453800,164.915900,171.559600,5998501
2017-10-27,170.422500,171.472200,168.421400,170.354500,3478617
2017-10-30,170.568300,171.831800,168.702200,169.683900,2550770
2017-10-31,169.256200,171.238900,169.256200,170.296200,2906601
2017-11-01,170.373900,172.327400,169.810200,170.490500,2734854
2017-11-02,169.858800,170.451700,166.447400,167.565100,4029331
2017-11-03,167.263800,169.139600,166.777900,168.566200,2433100
2017-11-06,168.002500,168.454400,165.893500,166.000400,2691959
2017-11-07,165.815700,169.839400,165.815700,168.605100,3097087
2017-11-08,169.110400,169.742200,168.313500,168.702200,2003416
2017-11-09,167.895600,169.334000,166.496000,169.110400,2005086
2017-11-10,168.284300,168.602800,166.379400,167.506800,1927376
2017-11-13,166.758400,168.080200,166.291900,166.680700,2120195
2017-11-14,166.087800,166.671000,163.580300,165.349200,2604705
2017-11-15,165.407500,165.728200,163.599800,164.620300,3150627
2017-11-16,165.276500,167.468300,165.119900,167.096500,3131040
2017-11-17,166.998600,167.409600,165.892900,166.343000,2039739
2017-11-20,166.245200,166.558300,164.532800,165.159100,2012777
2017-11-21,165.707000,166.822500,165.256900,166.186500,2629620
2017-11-22,166.206000,167.057200,165.687400,166.303900,1533133
2017-11-24,165.853800,167.086700,165.844000,166.460500,999771
2017-11-27,166.891000,167.575900,165.912500,166.059300,2150128
2017-11-28,166.900800,166.988800,165.785300,166.597400,2658731
2017-11-29,167.321500,170.257000,166.920300,168.525100,3244457
2017-11-30,168.916500,172.272700,168.916500,171.881300,3819407
2017-12-01,170.413500,174.034000,170.305900,173.388100,3389862
2017-12-04,174.621000,176.852000,174.327500,174.846100,4417129
2017-12-05,175.159200,176.842200,174.112200,174.826500,3589409
2017-12-06,175.589700,175.619100,170.917500,172.429200,2519718
2017-12-07,171.900800,173.133700,169.699300,170.217800,3102210
2017-12-08,170.677700,172.184600,169.699200,171.636700,3336250
2017-12-11,172.302000,173.867600,171.245300,173.026100,1873979
2017-12-12,173.026100,173.182700,170.384200,172.468400,2193736
2017-12-13,173.065200,174.386200,172.184600,173.564300,3166850
2017-12-14,173.623000,174.141600,170.795200,171.157200,2723557
2017-12-15,172.595600,173.593600,170.394000,173.231600,5796759
2017-12-18,174.034000,174.787400,172.243300,172.351000,2799962
2017-12-19,172.331400,173.466400,171.631800,173.065200,2705000
2017-12-20,173.779500,175.315800,173.231600,173.300100,3246053
2017-12-21,173.750200,174.396000,172.664100,172.879300,2106367
2017-12-22,172.820600,173.671900,171.988900,172.624900,1477851
2017-12-26,172.390100,173.114200,171.724700,172.302000,1339225
2017-12-27,172.644500,173.466400,172.302000,172.419400,1403910
2017-12-28,172.967400,173.192500,171.294200,171.480100,1637727
2017-12-29,171.480100,172.272700,170.022100,170.159100,1948642
2018-01-02,171.577900,173.990400,170.668000,173.192500,2301141
2018-01-03,173.104400,177.537400,171.979100,176.460600,3083966
2018-01-04,176.744400,176.969400,174.904800,175.717000,2021054
2018-01-05,176.949800,176.989000,175.178800,176.763900,2211382
