Date,Open,High,Low,Close,Volume
2017-10-16,192.140000,192.500000,188.430000,188.790000,521924
2017-10-17,188.860000,190.959000,188.860000,190.610000,355103
2017-10-18,190.940000,191.210000,188.560000,189.940000,288721
2017-10-19,188.420000,190.130000,185.250000,190.130000,524215
2017-10-20,191.050000,192.950000,191.050000,191.680000,324583
2017-10-23,192.000000,194.240000,191.197500,191.570000,464879
2017-10-24,192.650000,193.720000,190.370000,193.100000,343360
2017-10-25,192.020000,193.340000,188.790000,189.610000,457874
2017-10-26,190.940000,193.900000,190.745000,191.830000,429900
2017-10-27,193.890000,196.675000,192.910000,195.650000,556279
2017-10-30,196.250000,200.820000,195.440000,196.160000,836113
2017-10-31,197.330000,201.950000,196.900000,199.890000,818362
2017-11-01,201.410000,201.410000,195.170000,197.260000,993718
2017-11-02,197.500000,197.500000,177.920000,181.170000,2758336
2017-11-03,201.835000,202.150000,192.750000,201.490000,3205081
2017-11-06,202.990000,207.350000,200.490000,206.680000,1146072
2017-11-07,206.600000,214.990000,206.600000,209.560000,1438262
2017-11-08,212.590000,216.000000,211.020000,214.190000,1214770
2017-11-09,213.350000,217.920000,211.200000,213.550000,1010585
2017-11-10,213.600000,221.670000,213.300000,221.050000,1160155
2017-11-13,221.730000,227.129000,221.730000,225.150000,963332
2017-11-14,225.100000,228.860000,224.400000,227.100000,632222
2017-11-15,226.000000,228.000000,221.160000,224.900000,616465
2017-11-16,226.880000,233.335000,226.340000,231.770000,849936
2017-11-17,232.460000,234.630000,229.468100,233.820000,581256
2017-11-20,235.000000,241.950000,234.910000,241.830000,721024
2017-11-21,242.300000,245.650000,240.775700,241.430000,954693
2017-11-22,241.450000,243.355000,238.160000,239.010000,617288
2017-11-24,241.080000,243.429000,240.580000,242.060000,298113
2017-11-27,241.700000,243.590000,238.450000,238.640000,542559
2017-11-28,239.000000,243.670000,238.200000,243.550000,539881
2017-11-29,244.820000,244.900000,226.530000,234.210000,1211091
2017-11-30,237.520000,238.033000,231.190000,233.120000,838388
2017-12-01,232.500000,233.220000,222.430000,228.650000,1138572
2017-12-04,232.270000,233.775000,208.620000,209.480000,2586659
