Date,Open,High,Low,Close,Volume
2017-10-16,181.084000,183.099000,180.471600,181.508700,1366146
2017-10-17,181.903800,187.227800,181.439600,184.965900,2025711
2017-10-18,188.047600,196.789200,187.682200,189.440400,3293369
2017-10-19,188.926700,190.951600,185.449900,190.833100,2270544
2017-10-20,191.396100,194.537100,191.317100,192.304800,1235030
2017-10-23,192.166600,195.070500,190.956600,193.243200,1028084
2017-10-24,193.411100,194.122300,191.643000,192.858000,1963828
2017-10-25,197.549800,207.170500,197.302800,203.189800,3741164
2017-10-26,203.476300,207.338400,202.726000,204.375100,2114835
2017-10-27,204.464000,209.402800,203.412100,208.750900,2219506
2017-10-30,208.415000,209.471900,206.083900,206.893900,1442871
2017-10-31,207.091400,207.427300,204.444300,206.647000,1266356
2017-11-01,207.456900,208.395300,206.113600,206.963000,1857757
2017-11-02,207.624800,208.770600,205.846900,208.010000,1087549
2017-11-03,208.079200,210.835000,206.686500,209.205200,1177204
2017-11-06,210.983200,217.304800,210.558400,213.650100,2516193
2017-11-07,214.756400,218.045600,211.852400,214.805800,1681881
2017-11-08,213.660000,216.198500,212.533900,214.213100,1149394
2017-11-09,213.106800,214.450200,210.677000,213.334000,919671
2017-11-10,213.482200,216.297300,212.316600,215.596000,1835381
2017-11-13,214.519300,217.117100,214.134100,215.783600,2432975
2017-11-14,215.329300,216.801000,213.289600,215.773800,1316113
2017-11-15,214.894700,216.455300,214.262500,215.526800,1190714
2017-11-16,215.042800,219.487700,215.042800,218.183900,1459629
2017-11-17,217.867800,219.517300,217.452900,218.124600,1204231
2017-11-20,218.292500,218.914800,215.339100,216.810900,1304107
2017-11-21,218.174000,218.934500,216.603500,217.324500,1559539
2017-11-22,217.166500,218.322100,216.593600,217.719600,1215697
2017-11-24,217.966600,218.756800,217.156600,217.690000,443214
2017-11-27,218.104800,218.504900,216.702200,217.334400,2132475
2017-11-28,218.065300,219.853200,216.554100,219.556800,1712005
2017-11-29,220.040800,227.636600,219.942100,224.525200,2198479
2017-11-30,224.643700,233.148300,223.952300,232.081500,4622425
2017-12-01,232.614900,233.494000,224.307900,229.493600,2742178
2017-12-04,231.445300,231.445300,222.726900,222.865600,1856553
2017-12-05,222.865600,223.014200,220.259900,221.419100,1870448
2017-12-06,222.231500,222.231500,220.190600,220.646300,1013028
2017-12-07,220.577000,222.657500,220.443200,221.567700,1222394
2017-12-08,223.549200,224.054500,222.033400,222.766500,981335
2017-12-11,223.509600,225.570300,222.994400,223.925700,1401901
2017-12-12,226.630400,226.967200,223.043900,226.630400,2179499
2017-12-13,227.611200,230.791400,226.244000,229.909700,2604697
2017-12-14,229.483700,230.375300,224.024700,225.015500,1937513
2017-12-15,225.401900,226.957300,223.668100,224.113900,3398367
2017-12-18,226.154800,227.294200,222.459400,224.916400,1441532
2017-12-19,224.956000,226.996900,223.360900,225.877400,1134317
2017-12-20,225.877400,229.037800,225.669400,225.808100,1109883
2017-12-21,226.739300,226.739300,222.875500,222.994400,934743
2017-12-22,223.796900,224.718200,221.595900,223.509600,1215518
2017-12-26,223.578900,224.827200,222.925000,223.341100,441253
2017-12-27,224.113900,224.242700,222.043300,223.152900,1237411
2017-12-28,224.104000,225.283000,222.915100,224.936200,703418
2017-12-29,225.699100,226.382600,222.717000,222.925000,857906
2018-01-02,222.915100,224.500300,221.676700,223.905800,1291425
2018-01-03,225.758500,227.418000,222.974600,227.026700,1302278
2018-01-04,227.472500,229.265700,226.739300,228.076800,1062980
2018-01-05,228.057000,232.366700,227.749900,232.168600,1427607
2018-01-08,231.326400,231.326400,228.587100,229.671900,1630822
2018-01-09,229.671900,233.288100,228.869400,232.485600,1777122
2018-01-10,230.910300,232.594600,229.919600,231.722700,851162
2018-01-11,231.831700,234.803900,231.732600,232.822400,1520365
2018-01-12,236.914200,238.172400,235.368600,237.597800,1916549
2018-01-16,238.965000,241.545900,238.350700,239.509900,1513841
2018-01-17,240.758200,247.723100,239.916100,246.841300,1712364
2018-01-18,247.931100,247.931100,244.721200,247.336700,1205673
2018-01-19,248.327400,248.357200,247.034500,247.742900,1523463
2018-01-22,247.832100,248.585000,245.702000,248.178800,1267381
2018-01-23,248.149100,248.357200,246.405400,248.178800,1007294
2018-01-24,248.763400,251.517600,247.733000,250.645800,1472839
2018-01-25,250.566500,252.049600,247.901400,249.020900,1075777
2018-01-26,249.020900,256.134400,247.792400,255.797600,1213291
2018-01-29,254.311500,256.639700,253.697200,254.638400,1975854
2018-01-30,241.550800,247.158400,237.260900,241.184200,4527895
2018-01-31,257.798800,265.467100,242.551500,245.553400,4063338
2018-02-01,245.127400,246.613500,239.668400,241.669700,2001670
2018-02-02,239.807100,241.580500,236.408900,236.963700,1380018
2018-02-05,235.903600,237.444200,225.699100,228.314600,2016395
2018-02-06,223.727500,234.159900,222.528700,232.654000,2347075
2018-02-07,231.712800,238.449800,230.553700,236.230600,2312331
2018-02-08,235.814500,238.023800,228.284900,228.433500,2362384
2018-02-09,230.137600,231.267000,223.252000,229.562900,2597160
2018-02-12,230.523900,232.277500,228.324500,230.613100,1790861
2018-02-13,228.691100,232.654000,227.234700,231.286800,1397867
2018-02-14,229.562900,233.545700,229.315300,232.842300,1500188
2018-02-15,234.903000,234.903000,227.206000,229.909700,1532815
2018-02-16,229.216200,234.110400,229.216200,232.842300,1086638
2018-02-20,231.118400,232.673800,229.473800,230.068200,998789
2018-02-21,230.841000,233.258400,229.850200,229.880000,967000
2018-02-22,231.108500,232.990900,229.850200,231.514700,1023480
2018-02-23,232.802600,233.377300,230.672600,233.060200,1052677
2018-02-26,233.248500,236.448500,232.178500,236.012600,974303
2018-02-27,236.666500,238.539000,234.843500,235.012000,1341496
2018-02-28,235.269600,237.469000,233.159300,233.198900,1593652
2018-03-01,232.475700,234.452200,227.175300,229.889900,1498414
2018-03-02,228.740600,231.603800,227.185200,230.920200,989788
2018-03-05,229.681800,230.751800,226.323200,229.889900,1244494
2018-03-06,230.157400,231.227400,227.918300,230.593300,991771
2018-03-07,228.502900,230.008800,227.858900,229.711500,972972
2018-03-08,230.586200,230.730300,225.984200,227.405600,1998743
2018-03-09,229.045600,231.878400,226.819200,231.391300,1957225
2018-03-12,230.795000,231.321700,227.862800,228.469100,1961969
2018-03-13,229.552500,230.486800,225.894800,228.826900,1783273
2018-03-14,229.154900,229.582300,226.729700,227.644100,1670607
2018-03-15,228.002000,229.965000,226.998100,228.608300,1378584
2018-03-16,229.393500,229.522700,226.620400,226.729700,1834702
2018-03-19,226.799300,227.763400,224.821300,226.610400,1088814
2018-03-20,227.067600,229.512800,226.471300,228.588400,1326075
2018-03-21,228.260400,228.260400,224.612600,224.622500,1316318
2018-03-22,223.419800,224.244800,216.989000,217.525700,1571904
2018-03-23,217.823900,219.404300,214.215900,214.325200,1481728
2018-03-26,216.263400,220.000700,216.263400,219.742200,1594076
2018-03-27,220.398200,222.366300,216.839900,218.112200,1338758
2018-03-28,218.877500,221.710300,218.216500,220.139800,1509718
2018-03-29,221.312700,222.127700,218.042600,218.370600,1633991
2018-04-02,220.020500,223.280700,216.174000,218.798000,1935804
2018-04-03,220.408200,226.958300,218.907300,226.133300,1648448
2018-04-04,223.042100,227.614300,222.813500,227.037800,1572156
2018-04-05,227.952300,229.910300,226.262500,229.333800,1227390
2018-04-06,227.206800,228.777200,221.079100,223.419800,1786025
