Date,Open,High,Low,Close,Volume
2017-10-16,47.451500,47.925400,47.234300,47.836600,4361538
2017-10-17,47.728000,48.290700,47.346400,48.280900,4374837
2017-10-18,48.113000,48.888100,47.797100,48.152500,5619338
2017-10-19,47.935300,49.100400,47.905700,48.053800,5751045
2017-10-20,48.261100,48.537600,48.014300,48.389500,4590624
2017-10-23,48.577100,48.764700,47.471200,47.491000,5488806
2017-10-24,47.797100,48.261100,47.165200,47.441600,6989114
2017-10-25,47.234300,47.520600,46.750500,47.076300,5822257
2017-10-26,47.076300,47.392300,46.153100,47.086200,5328859
2017-10-27,46.691200,48.211800,46.464200,48.192000,6509190
2017-10-30,48.448700,48.799700,47.905700,48.073500,5775314
2017-10-31,47.619300,48.863400,47.402100,48.744900,6857218
2017-11-01,49.011500,50.374000,48.537600,49.505200,9065661
2017-11-02,49.228700,49.722400,48.201900,48.764700,6414901
2017-11-03,48.695500,49.248500,48.517800,48.883100,6537127
2017-11-06,49.169500,51.183600,48.932500,51.173800,7401170
2017-11-07,51.351500,51.509500,49.959300,50.433300,6931558
2017-11-08,50.354300,50.936800,49.712500,50.512300,4630144
2017-11-09,50.374000,51.173800,50.201200,50.749200,4230132
2017-11-10,50.571500,50.818300,49.712500,50.462900,5004669
2017-11-13,50.403600,50.897300,49.238600,49.594000,11018139
2017-11-14,49.080600,49.209000,47.273800,47.441600,8113178
2017-11-15,47.105900,47.471200,46.424700,47.017100,7143900
2017-11-16,46.987500,47.520600,46.414800,46.898600,5820373
2017-11-17,47.283700,47.718100,47.130600,47.540400,6102798
2017-11-20,47.254000,47.955000,46.819600,47.698300,3632411
2017-11-21,47.846400,47.946500,47.120700,47.412000,5259763
2017-11-22,47.777300,47.955000,47.520600,47.737800,5948708
2017-11-24,48.024200,48.083400,47.342900,47.500900,2079081
2017-11-27,47.352800,47.352800,46.755400,47.086200,4839841
2017-11-28,47.155300,47.293500,46.780100,47.165200,2813368
2017-11-29,47.096100,47.866200,46.914100,47.273800,3802652
2017-11-30,47.728000,48.409000,47.199100,47.481100,9469498
2017-12-01,47.984700,49.199100,47.821800,48.103100,8414455
2017-12-04,47.964900,48.715300,47.714500,47.974800,4468546
2017-12-05,47.856300,48.017000,47.175000,47.649000,2884900
2017-12-06,47.323100,47.431800,46.246900,46.513500,7328234
2017-12-07,46.404900,46.829500,46.207500,46.720900,4665320
2017-12-08,47.145400,47.609500,46.824500,47.313300,6163289
2017-12-11,47.510700,47.935300,47.342900,47.688500,4074639
2017-12-12,47.975100,48.775700,47.510600,47.975100,6886759
2017-12-13,48.004700,48.108500,47.372200,47.698300,4412721
2017-12-14,47.362300,47.688500,46.818700,47.332700,5013628
2017-12-15,47.767500,47.807100,46.838500,46.967000,9229380
2017-12-18,47.135000,48.360500,46.986700,47.965200,4737974
2017-12-19,48.291400,49.546600,48.103600,48.815200,5714929
2017-12-20,49.358800,50.544800,48.825100,50.139600,7822096
2017-12-21,49.932000,52.264600,49.932000,51.355300,7677844
2017-12-22,51.384900,52.837800,51.335500,52.314000,5371727
2017-12-26,52.580900,53.816300,52.527000,53.470400,5258956
2017-12-27,53.470400,53.623600,53.124500,53.154100,3869314
2017-12-28,53.154100,53.430800,52.907000,53.134300,2665423
2017-12-29,53.351800,53.490100,52.808200,53.015700,2546284
2018-01-02,53.500000,54.211700,53.371500,54.132600,3829887
2018-01-03,54.063400,54.814600,54.014000,54.132600,4328261
2018-01-04,54.300600,55.022100,53.628500,55.002300,4500777
2018-01-05,54.755200,55.081400,53.930000,54.379700,3920786
2018-01-08,54.330300,54.913400,54.014000,54.745400,4765018
2018-01-09,55.012200,55.269200,54.602100,54.873900,4637033
2018-01-10,54.962800,55.862200,54.725600,54.765100,4625033
2018-01-11,55.130800,58.352900,54.933200,57.819200,11122228
2018-01-12,58.135400,58.481400,57.512800,58.293600,4907195
2018-01-16,58.254100,59.025000,57.829100,57.868600,6092529
2018-01-17,58.066300,58.832200,57.234700,58.283700,4472747
2018-01-18,58.046500,58.461600,57.394200,57.611600,4229556
2018-01-19,57.354600,57.789500,57.206400,57.522700,6056385
2018-01-22,57.621500,60.023200,57.522700,60.013300,6220088
2018-01-23,60.141800,60.655800,59.499500,60.230800,6338221
2018-01-24,60.537200,61.061000,60.023200,60.715100,5828912
2018-01-25,60.764500,61.120300,60.270300,60.774400,7888249
2018-01-26,60.902900,61.782500,60.586600,61.120300,5981721
2018-01-29,60.725000,61.624400,60.146800,60.250500,3379968
2018-01-30,59.479600,59.776100,58.273800,59.054600,5362427
2018-01-31,59.054600,59.657500,58.748200,59.351100,3910249
2018-02-01,59.875000,60.784300,59.351100,60.655800,4614176
2018-02-02,59.884800,60.102300,58.194700,58.422100,8902338
2018-02-05,57.453500,58.807500,55.872100,56.188400,8064603
2018-02-06,55.298800,56.890100,53.341900,56.820900,8742165
2018-02-07,60.052900,60.517400,56.998800,58.036600,12011935
2018-02-08,58.382500,59.084300,55.526200,55.545900,8008036
2018-02-09,56.099400,56.573800,53.220900,55.476800,8746600
2018-02-12,56.336600,58.010100,56.168600,57.147100,6654901
2018-02-13,56.662800,57.216300,56.109300,56.514500,4234710
2018-02-14,55.743600,59.242400,55.545900,59.084300,5783251
2018-02-15,59.262200,59.301700,57.858700,58.926100,5431858
2018-02-16,58.649400,59.415400,58.382500,58.491300,3857361
2018-02-20,58.609900,60.339500,58.471500,58.560400,5979258
2018-02-21,58.550600,58.995300,56.564000,56.603500,6568559
2018-02-22,57.176700,58.847100,56.998800,57.601700,4823311
2018-02-23,58.204600,60.280200,57.819200,60.112200,5063642
2018-02-26,60.527300,60.744700,59.212800,59.697100,4283420
2018-02-27,59.509300,59.697100,57.769800,57.789500,5515821
2018-02-28,57.769800,58.308400,56.356400,56.376200,5429619
2018-03-01,56.524400,57.157000,55.990700,56.455200,4270399
2018-03-02,56.050000,56.959300,55.387800,56.781400,6565576
2018-03-05,56.573800,58.659300,56.376200,58.263900,6540703
2018-03-06,58.649400,58.649400,57.670900,58.125600,3803490
2018-03-07,57.562200,58.451700,56.791300,57.048200,5257298
2018-03-08,56.979100,57.325000,55.970900,56.415700,4725076
2018-03-09,56.909900,57.700600,56.811000,57.354600,4359895
2018-03-12,57.325000,58.570300,57.196500,58.293600,4073431
2018-03-13,58.650900,59.057900,57.846900,58.114900,3111356
2018-03-14,58.273700,58.928800,58.144700,58.482200,4076724
2018-03-15,58.799800,59.425100,57.291100,57.479700,6348733
2018-03-16,57.638500,58.889100,57.638500,58.095100,4680811
2018-03-19,57.479700,58.025600,56.205300,56.596300,4394278
2018-03-20,57.211700,58.909000,57.112400,58.045400,4343205
2018-03-21,58.482200,61.172000,58.422600,61.043000,7388248
2018-03-22,60.090100,61.008300,59.683200,60.209200,6470649
