Date,Open,High,Low,Close,Volume
2017-10-16,64.690500,64.697100,63.819200,64.677300,2073844
2017-10-17,64.690500,64.756500,63.891800,64.188800,1590689
2017-10-18,64.327400,64.591500,63.977600,64.512300,1417458
2017-10-19,64.188800,64.538700,63.258100,64.452900,1241159
2017-10-20,64.848900,65.073400,63.812600,63.924800,1637460
2017-10-23,64.327400,65.060200,64.096400,64.538700,976804
2017-10-24,64.796100,65.251600,64.565100,64.868700,1095357
2017-10-25,64.677300,64.885200,63.918200,64.294400,1141416
2017-10-26,64.888500,65.680700,64.624500,65.396800,1128196
2017-10-27,65.383600,65.396800,64.294400,65.172400,1572689
2017-10-30,64.848900,64.954500,64.320800,64.855500,1155158
2017-10-31,64.888500,65.680700,64.796100,65.601500,1322285
2017-11-01,66.340800,66.756600,65.410000,65.601500,1851607
2017-11-02,65.383600,65.944700,63.528900,65.555200,3081121
2017-11-03,65.462800,65.495800,63.792800,63.957800,2475762
2017-11-06,64.221800,64.650900,63.647500,64.208600,1455573
2017-11-07,64.407300,64.804500,64.135800,64.394000,1178600
2017-11-08,63.897500,64.387300,63.573000,63.791500,1195780
2017-11-09,63.374400,63.731900,62.606400,63.281700,1210663
2017-11-10,63.222100,63.811400,62.950700,63.089700,1910611
2017-11-13,62.884500,63.526700,62.679200,63.275100,2211399
2017-11-14,64.890600,66.400100,64.890600,66.400100,3540072
2017-11-15,65.731400,66.135300,64.586700,64.989900,2264976
2017-11-16,65.380500,66.055800,65.234900,65.704900,1169873
2017-11-17,65.493100,65.731400,64.665500,65.347400,1540262
2017-11-20,67.532300,68.187700,67.075800,67.625000,2981202
2017-11-21,67.982500,68.061900,67.472700,67.532300,1830559
2017-11-22,67.532300,67.913000,66.545800,66.724500,2084824
2017-11-24,66.724500,66.857000,66.373600,66.777500,629568
2017-11-27,66.870200,67.181400,66.499400,66.717900,1116037
2017-11-28,66.870200,67.505800,66.618600,67.346900,1214982
2017-11-29,67.677900,67.830200,67.108500,67.565400,1282368
2017-11-30,67.929500,69.511900,67.029100,69.300000,2212285
2017-12-01,68.969000,69.200700,67.191300,68.532000,1845051
2017-12-04,68.558500,69.511900,67.337000,69.055100,2735016
2017-12-05,88.278600,89.043300,85.567400,88.159400,3522147
2017-12-06,87.831700,89.023400,84.594100,84.772900,2692557
2017-12-07,84.216700,84.832500,83.293100,83.799600,2962311
2017-12-08,84.633800,85.338900,83.650600,84.633800,2677552
2017-12-11,85.726300,86.342000,84.455100,85.299200,3697224
2017-12-12,85.080700,86.024200,84.792700,85.080700,2630578
2017-12-13,85.398500,85.478000,82.866100,82.985200,2130947
2017-12-14,83.005100,84.047900,82.399300,82.478800,2042428
2017-12-15,83.303000,83.898900,82.846200,83.819500,2947483
2017-12-18,83.998200,84.882100,83.551300,83.660600,1676089
2017-12-19,84.167100,86.312200,84.067800,85.031100,2233932
2017-12-20,85.547500,85.795800,84.713300,85.279400,1646447
2017-12-21,85.448200,86.193000,84.296200,84.395500,1661784
2017-12-22,84.604000,84.604000,83.581100,84.206800,907072
2017-12-26,84.057800,84.534500,83.879100,84.296200,335650
