Date,Open,High,Low,Close,Volume
2017-10-16,174.514800,174.543800,173.084500,173.181100,514166
2017-10-17,172.891200,173.973600,172.862200,173.973600,574961
2017-10-18,173.712700,174.070200,172.958800,174.031600,524657
2017-10-19,173.944600,174.582400,173.239100,174.534100,736941
2017-10-20,174.872300,175.249200,173.616000,175.104300,722661
2017-10-23,175.345900,176.022400,174.630700,175.867800,624374
2017-10-24,175.345900,175.597200,173.287400,173.480700,638811
2017-10-25,173.674000,175.075300,173.282600,174.418100,539186
2017-10-26,175.307200,175.307200,173.770600,174.592100,537642
2017-10-27,174.282800,175.983700,174.050900,175.548800,452871
2017-10-30,175.133300,176.041700,174.534100,175.780800,555261
2017-10-31,174.582400,177.356000,171.963400,175.239600,661462
2017-11-01,175.239600,177.375400,174.688700,177.240100,609878
2017-11-02,177.278700,177.684600,172.717200,174.292500,723836
2017-11-03,173.490400,176.708500,172.581900,175.858100,492219
2017-11-06,176.283300,178.622000,176.283300,177.230400,490092
2017-11-07,177.443000,178.738000,176.244700,177.588000,521525
2017-11-08,177.491300,180.516200,177.032300,180.419600,605457
2017-11-09,180.076500,182.062500,179.830000,181.173400,628009
2017-11-10,180.806100,182.565000,180.284300,180.873800,460752
2017-11-13,181.038100,182.304100,180.274600,181.791900,400569
2017-11-14,181.753200,181.927200,180.216600,181.212000,757372
2017-11-15,181.250700,181.758000,178.303100,178.486700,575986
2017-11-16,178.767000,180.603200,178.148500,179.839700,751982
2017-11-17,179.839700,179.839700,177.635300,178.177500,472129
2017-11-20,178.303100,178.452900,177.486500,177.761900,415785
2017-11-21,178.129200,178.873300,177.544500,178.805600,455628
2017-11-22,179.201900,179.201900,177.394700,178.399800,325244
2017-11-24,178.670300,178.912000,178.148500,178.428700,202135
2017-11-27,178.148500,178.583400,176.293000,176.698900,575351
2017-11-28,176.776200,177.307700,174.572800,175.181600,721822
2017-11-29,175.191300,176.399300,173.016800,175.925700,519555
2017-11-30,176.244700,176.930800,174.886800,175.239600,900982
2017-12-01,175.819400,177.752300,174.698400,175.239600,628840
2017-12-04,175.858100,176.302500,174.814400,175.036600,539220
2017-12-05,175.268600,175.365200,172.417700,172.804200,636368
2017-12-06,173.364700,173.500000,171.654200,173.355100,465229
2017-12-07,173.094100,173.915600,172.408100,173.915600,549983
2017-12-08,174.650100,176.254300,173.485500,176.099700,523215
2017-12-11,175.722800,176.766500,175.722800,176.669900,576188
2017-12-12,177.472000,178.177500,175.800100,177.472000,583719
2017-12-13,178.119500,178.206500,175.664800,176.186700,508961
2017-12-14,176.418600,177.172400,175.152600,176.244700,341240
2017-12-15,177.230400,177.230400,175.326600,175.558500,1272847
2017-12-18,175.626100,178.071200,175.577800,176.331600,605848
2017-12-19,176.669900,177.457500,170.475200,171.750800,789061
2017-12-20,171.596200,172.765600,171.412600,171.654200,803367
2017-12-21,171.818500,172.137400,169.296100,169.653700,540042
2017-12-22,170.368900,172.427300,170.107900,172.137400,660898
2017-12-26,172.272700,173.529000,171.596200,172.978200,444661
2017-12-27,173.529000,173.992900,172.185700,172.572300,438643
2017-12-28,172.728100,174.121200,172.182600,173.965300,412826
2017-12-29,174.432900,174.432900,173.449000,173.799700,403811
2018-01-02,173.975100,174.569300,172.426200,172.660000,595274
