Date,Open,High,Low,Close,Volume
2017-10-16,33.303800,33.484800,32.913400,32.971100,2896282
2017-10-17,32.912400,33.333100,32.579800,33.059200,4636842
2017-10-18,33.108100,33.519000,33.020000,33.069000,2631429
2017-10-19,32.824400,33.157000,32.335200,32.433000,4702269
2017-10-20,31.317700,32.707000,30.760000,32.540600,7152564
2017-10-23,32.384100,32.540600,30.720900,30.789400,5767345
2017-10-24,30.877400,30.975300,29.967500,30.026200,4213779
2017-10-25,30.036000,30.192600,29.351200,29.419600,4848981
2017-10-26,29.468600,29.683800,29.087000,29.292500,2599019
2017-10-27,29.145700,30.632800,28.979400,30.623000,4641739
2017-10-30,30.505600,31.082900,30.417600,30.818700,4545954
2017-10-31,30.613300,30.848100,30.378800,30.750200,3144708
2017-11-01,31.063300,31.640500,30.877400,31.161100,3127214
2017-11-02,31.102400,31.474200,30.422500,30.603500,3900514
2017-11-03,30.417100,30.958300,30.359100,30.682800,4539086
2017-11-06,31.046900,33.438100,31.037000,33.379100,8134486
2017-11-07,33.497200,33.536500,32.778800,32.867400,4451305
2017-11-08,32.709900,33.182300,32.267100,32.316300,3370157
2017-11-09,32.168700,32.424500,31.676700,32.217900,4218703
2017-11-10,32.129300,32.611500,31.883300,32.424500,2512611
2017-11-13,32.217900,32.267100,31.332200,31.371600,3665153
2017-11-14,30.958300,31.243700,29.472400,30.023400,6311904
2017-11-15,29.374000,30.338300,29.147600,30.112000,4733244
2017-11-16,30.121900,30.653200,29.629800,29.669200,3926933
2017-11-17,29.718400,30.525300,29.679000,30.417100,2690587
2017-11-20,30.426900,30.426900,29.826600,29.954600,3927182
2017-11-21,30.062800,30.495800,30.062800,30.171100,3346074
2017-11-22,30.259600,30.633600,30.112000,30.220300,3378941
2017-11-24,30.289100,30.613900,30.111900,30.308800,1314053
2017-11-27,30.180900,30.308800,29.698700,29.826600,2622592
2017-11-28,29.718400,29.885700,29.511700,29.600300,4314469
2017-11-29,29.551100,29.816800,29.423200,29.501900,4887853
2017-11-30,29.541300,30.141500,29.221400,29.255900,11606444
2017-12-01,29.560900,30.338300,29.354300,30.210400,10813070
2017-12-04,30.210400,32.070300,30.107100,31.204300,7928433
2017-12-05,31.243700,31.479800,30.259600,30.318700,4719815
2017-12-06,30.161200,30.672900,29.807000,30.023400,4477537
2017-12-07,30.033300,30.604000,29.816800,29.885700,3670109
2017-12-08,30.062800,30.308800,29.590500,29.777400,4723836
2017-12-11,30.102200,30.200600,29.728200,30.102200,7036912
2017-12-12,30.456400,31.155100,30.102200,30.456400,5889758
2017-12-13,30.407200,30.525300,29.610100,29.846300,5404062
2017-12-14,29.600300,30.348200,29.541300,30.102200,7625301
2017-12-15,30.279300,30.348200,29.620000,29.777400,9025329
2017-12-18,29.944700,30.727000,29.846300,30.535200,6014837
2017-12-19,30.702400,31.579200,30.367900,31.322400,6025242
2017-12-20,31.391300,32.355700,31.302700,32.217900,4432071
2017-12-21,32.208000,32.591800,31.775100,31.784900,6206689
2017-12-22,31.361800,31.942400,30.987800,31.716000,2640570
2017-12-26,31.716000,31.952200,31.391300,31.548700,2191608
2017-12-27,31.568400,31.834100,31.371600,31.519200,2930091
2017-12-28,31.489700,31.617600,30.771300,30.899300,2746359
2017-12-29,31.076400,31.288000,30.564700,31.135400,3050236
2018-01-02,31.204300,31.725900,31.105900,31.716000,3653271
2018-01-03,31.912800,33.113400,31.893100,32.995300,4954241
2018-01-04,33.241300,34.117100,32.769000,34.077700,6213650
2018-01-05,34.146600,34.146600,33.152700,33.890800,4034566
2018-01-08,33.871100,34.028500,33.113400,33.959700,4656781
2018-01-09,33.969500,34.491000,33.546400,34.471400,3396731
2018-01-10,34.412300,35.081500,34.313900,34.904300,3496155
2018-01-11,34.933900,36.036000,34.540300,35.917900,5641504
2018-01-12,35.839200,36.631400,35.671900,36.606800,4082422
2018-01-16,36.488700,36.508400,35.484900,35.701400,3872694
2018-01-17,35.780200,36.065500,35.366900,35.711300,4075132
2018-01-18,35.494800,35.544000,34.087600,34.186000,7035413
2018-01-19,33.821900,34.382800,33.654700,34.186000,5061821
2018-01-22,34.441800,35.184800,33.812100,34.983100,6013088
2018-01-23,34.992900,35.465300,34.436900,35.248800,6187327
2018-01-24,35.386500,35.583300,32.630100,33.241300,10236277
2018-01-25,33.261000,33.343500,31.775100,31.794700,6469444
2018-01-26,31.952200,32.478700,31.588100,32.217900,3885072
2018-01-29,31.981700,32.178500,30.820500,30.899300,4832574
2018-01-30,30.584400,31.381400,30.230100,31.351900,6497647
