Date,Open,High,Low,Close,Volume
2017-10-16,41.964700,41.964700,41.529100,41.766700,1755988
2017-10-17,41.697400,41.826100,41.390500,41.558800,1384460
2017-10-18,41.638000,41.836000,41.598400,41.687500,1348829
2017-10-19,41.598400,41.677600,41.261800,41.519200,2541022
2017-10-20,41.766700,41.875600,41.494400,41.875600,1504356
2017-10-23,42.212200,42.687300,41.935000,42.479400,2809671
2017-10-24,42.618000,42.642800,42.241900,42.489300,2292974
2017-10-25,42.429900,42.491700,41.806300,42.024100,1688541
2017-10-26,42.321100,42.459600,42.043900,42.301300,1744594
2017-10-27,42.340800,42.489300,41.885500,42.340800,1804766
2017-10-30,42.261700,42.429900,41.984500,42.212200,1238356
2017-10-31,42.321100,42.568500,42.123100,42.499200,1628889
2017-11-01,42.766500,42.806100,42.182500,42.271600,2264761
2017-11-02,42.202300,42.395300,39.865900,41.380600,5981030
2017-11-03,41.400400,41.667700,41.014300,41.331100,2866574
2017-11-06,41.400400,41.400400,40.742100,41.034100,2752961
2017-11-07,41.083600,41.291500,40.628200,40.638100,2244474
2017-11-08,40.638100,40.747000,40.261900,40.331200,3323242
2017-11-09,40.044100,40.375800,39.737200,39.915400,2857139
2017-11-10,39.826300,39.865900,39.539200,39.578800,2826219
2017-11-13,39.430300,39.955000,39.380900,39.905500,4434804
2017-11-14,39.687700,39.885700,39.499600,39.588700,3021011
2017-11-15,39.420400,39.747100,38.965100,38.984900,3501038
2017-11-16,39.103700,40.281700,39.054200,40.113400,3258807
2017-11-17,39.816400,40.093600,39.549100,39.578800,2979082
2017-11-20,39.588700,39.628300,39.173000,39.341300,2251936
2017-11-21,39.519400,39.588700,39.168000,39.202700,2280181
2017-11-22,39.341300,39.371000,39.024500,39.123500,1632270
2017-11-24,39.311600,39.568900,39.202700,39.539200,699171
2017-11-27,39.598600,39.875800,39.539200,39.638200,1947724
2017-11-28,39.806500,39.915400,39.004700,39.182900,2450588
2017-11-29,39.163100,39.321500,39.054200,39.163100,2035104
2017-11-30,39.153100,39.733700,39.103500,39.609700,2658792
2017-12-01,39.679100,39.778400,38.686700,39.441000,1628638
2017-12-04,40.234900,40.860200,39.828000,40.344100,3346182
2017-12-05,40.354000,40.631900,40.115800,40.483100,2198800
2017-12-06,40.572400,40.760900,40.403700,40.493000,2202778
2017-12-07,40.364000,40.612100,40.334200,40.502900,1679748
2017-12-08,39.957000,39.996700,38.319500,39.302000,6541723
2017-12-11,39.311900,39.649400,39.024100,39.302000,3140144
2017-12-12,38.597300,39.391300,38.527900,38.597300,4210412
2017-12-13,38.607300,38.795800,38.269800,38.349200,3298527
2017-12-14,38.418700,38.508000,37.972100,38.001900,2391897
2017-12-15,38.517900,39.252400,38.101100,39.103500,7210065
