Date,Open,High,Low,Close,Volume
2017-10-16,81.577700,81.932600,81.449500,81.932600,346033
2017-10-17,81.932600,82.100200,81.370600,81.824100,256502
2017-10-18,82.021300,82.553800,81.972000,82.435400,365843
2017-10-19,82.080500,82.672100,81.952400,82.494600,241908
2017-10-20,83.056600,83.391800,82.859400,83.174900,287845
2017-10-23,83.174900,83.401700,83.056600,83.145300,185964
2017-10-24,83.174900,83.510100,82.889000,83.194600,274440
2017-10-25,83.214300,83.372100,82.632600,83.076300,315209
2017-10-26,83.391800,84.091800,83.362200,83.884800,278096
2017-10-27,84.377800,84.762300,83.618600,84.742600,374022
2017-10-30,84.752400,84.752400,84.003100,84.436900,287022
2017-10-31,84.486200,85.008800,84.318600,84.713000,412505
2017-11-01,84.929900,85.501700,84.673600,85.206000,401886
2017-11-02,84.998900,85.334100,84.860900,85.048200,339020
2017-11-03,85.284800,85.876400,85.077800,85.620100,266783
2017-11-06,85.620100,86.477800,85.620100,85.935600,463275
2017-11-07,86.014400,86.270800,85.620100,86.142600,383714
2017-11-08,86.882100,90.461100,86.882100,89.208900,1142530
2017-11-09,89.475100,89.475100,86.122900,86.596200,966707
2017-11-10,86.458100,87.513100,86.270800,87.207400,638455
2017-11-13,87.099000,87.434200,86.221500,86.349700,813740
2017-11-14,86.201800,88.489200,85.580600,88.449700,833128
2017-11-15,88.301900,88.587800,87.187700,87.473700,427268
2017-11-16,87.749700,87.996200,87.197600,87.414500,786444
2017-11-17,87.246900,88.045500,87.168000,87.996200,569956
2017-11-20,88.459600,88.686400,88.055400,88.558200,681708
2017-11-21,89.110300,89.770900,88.479300,89.425800,576554
2017-11-22,89.425800,89.711800,87.158100,87.503200,679789
2017-11-24,87.661000,88.242700,87.562400,88.084900,255065
2017-11-27,88.173700,88.282100,87.700400,87.789200,465971
2017-11-28,88.144100,88.962400,88.134200,88.942700,559386
2017-11-29,89.199100,89.327200,87.572200,87.868000,593288
2017-11-30,88.242700,89.194100,87.897600,88.992000,1555625
2017-12-01,88.844100,89.327200,87.532800,88.863800,498340
2017-12-04,89.534300,89.800500,88.607500,88.903300,503500
2017-12-05,87.532800,88.794800,86.877200,87.315900,695294
2017-12-06,87.030000,88.124400,86.891900,87.404600,434674
2017-12-07,87.503200,88.104700,87.276500,88.015900,452422
2017-12-08,88.370900,88.883600,88.084900,88.272300,427161
2017-12-11,88.055400,88.666700,88.055400,88.538500,470426
2017-12-12,88.410300,88.656800,87.996300,88.124400,465595
2017-12-13,88.094800,89.248400,87.966600,88.223000,465261
2017-12-14,88.356600,88.792200,87.653700,87.950700,415146
2017-12-15,88.138800,89.227800,88.133900,89.128800,795194
2017-12-18,89.584200,90.425700,89.141200,90.009900,872904
2017-12-19,89.980200,90.663300,89.604100,90.247500,434854
2017-12-20,90.544500,90.960300,89.891100,90.247500,510226
2017-12-21,90.603900,91.514700,90.564300,90.693000,412077
2017-12-22,91.019700,91.019700,89.871300,90.039600,352055
2017-12-26,90.089100,90.316800,89.743600,89.950500,181960
2017-12-27,89.940600,90.247500,89.771300,89.920800,197698
2017-12-28,90.316800,90.316800,89.554500,89.970300,235689
2017-12-29,90.079200,90.499700,89.643600,89.673300,292077
2018-01-02,89.811900,90.287100,89.527300,89.891100,571327
2018-01-03,89.802000,90.198000,89.471700,89.811900,415038
2018-01-04,90.079200,91.059300,90.079200,90.524700,349152
2018-01-05,90.900900,91.722600,90.772200,91.633500,258908
2018-01-08,91.623600,92.722500,91.564200,92.197800,439074
2018-01-09,92.257200,92.890700,91.960200,92.376000,451825
2018-01-10,92.187900,92.682900,90.970200,92.049300,402474
2018-01-11,92.267100,92.613600,91.692900,92.514600,455621
2018-01-12,92.702700,93.361800,92.138400,93.098700,361679
2018-01-16,93.465000,93.692700,92.673000,93.128400,375938
2018-01-17,93.514500,94.524300,93.276900,94.227300,298690
2018-01-18,94.286700,94.514400,93.950100,94.177800,360599
