Date,Open,High,Low,Close,Volume
2017-10-16,188.000000,188.620000,187.570000,187.960000,2316734
2017-10-17,187.960000,188.000000,186.500000,187.390000,2273060
2017-10-18,187.750000,188.130000,186.800000,187.850000,2192928
2017-10-19,187.160000,187.500000,186.430000,187.210000,2831912
2017-10-20,187.750000,189.040000,187.580000,189.040000,2934866
2017-10-23,189.180000,189.720000,188.640000,189.390000,2418165
2017-10-24,189.920000,190.680000,189.530000,189.780000,2888644
2017-10-25,189.830000,190.000000,187.660000,188.710000,3394242
2017-10-26,189.650000,189.920000,187.831000,188.610000,2740876
2017-10-27,188.320000,188.630000,187.050000,188.590000,2978782
2017-10-30,188.020000,188.520000,187.347400,187.850000,2473723
2017-10-31,188.060000,188.110000,186.410000,186.940000,3290354
2017-11-01,188.100000,188.130000,186.730000,187.170000,2727823
2017-11-02,186.750000,188.780000,185.890000,188.610000,3340869
2017-11-03,188.130000,188.550000,187.020000,187.270000,2159941
2017-11-06,186.100000,187.570000,185.300000,186.680000,2603060
2017-11-07,187.230000,188.190000,185.610000,186.300000,2500555
2017-11-08,186.310000,186.890000,184.350000,184.600000,4118808
2017-11-09,183.340000,184.679000,181.760000,184.490000,3633049
2017-11-10,183.840000,184.070000,182.510000,183.680000,3043339
2017-11-13,183.160000,184.850000,183.160000,184.400000,1889919
2017-11-14,183.660000,184.000000,182.500100,183.340000,3087975
2017-11-15,182.130000,182.900000,181.410000,181.810000,4004451
2017-11-16,182.210000,183.050000,181.650000,182.050000,3944011
2017-11-17,181.700000,181.940000,180.500000,181.060000,2715940
2017-11-20,181.430000,181.980000,180.440000,181.630000,2428837
2017-11-21,181.780000,183.500000,181.510000,183.180000,3046964
2017-11-22,183.780000,183.780000,181.940000,182.560000,3017043
2017-11-24,182.660000,182.980000,182.245600,182.360000,1038600
2017-11-27,182.740000,183.870000,182.410000,183.490000,2985187
2017-11-28,184.100000,187.840000,184.020000,187.540000,3721044
2017-11-29,188.200000,192.000000,187.570000,189.850000,4898043
2017-11-30,190.350000,193.810000,189.950000,193.010000,6420402
2017-12-01,193.590000,194.990000,189.720000,194.560000,5177289
2017-12-04,196.180000,199.480000,196.180000,196.960000,4899504
2017-12-05,197.770000,197.990000,195.500000,196.070000,3411657
2017-12-06,196.060000,196.829900,194.800000,196.010000,3315684
2017-12-07,195.910000,196.750000,194.980000,196.340000,2650907
2017-12-08,196.440000,197.280000,195.020000,196.440000,3953424
2017-12-11,196.630000,197.180000,195.300000,196.700000,3605038
2017-12-12,199.070000,199.920000,197.000000,199.070000,4343014
2017-12-13,198.560000,199.630000,197.350000,197.400000,4151856
2017-12-14,198.120000,198.190000,195.935500,196.660000,3594449
2017-12-15,198.240000,199.200000,197.230000,197.780000,9169379
2017-12-18,199.500000,200.260000,198.940000,199.340000,4600104
2017-12-19,200.160000,200.500000,197.680000,197.910000,3645240
2017-12-20,199.390000,199.750000,197.680000,197.790000,3914274
2017-12-21,198.850000,199.560000,198.210000,198.890000,3262442
2017-12-22,199.240000,199.680000,196.880000,197.920000,3786759
2017-12-26,197.970000,198.570000,197.280000,197.570000,1769585
2017-12-27,197.500000,198.820000,197.280000,198.690000,3343161
2017-12-28,199.340000,199.960000,198.820000,199.560000,2340013
2017-12-29,200.000000,200.070000,198.220000,198.220000,3565996
2018-01-02,198.870000,198.870000,195.960000,197.220000,4112983
2018-01-03,197.000000,200.000000,197.000000,199.790000,3526694
2018-01-04,200.900000,202.129900,200.010000,200.690000,3899998
2018-01-05,201.000000,201.670000,199.310000,201.420000,4207636
2018-01-08,201.150000,203.070000,199.800000,202.740000,3887912
2018-01-09,203.340000,204.400000,202.580000,203.020000,3834919
2018-01-10,203.000000,205.724000,202.500000,205.610000,3793089
2018-01-11,205.960000,207.280000,205.715600,206.690000,3641516
2018-01-12,207.270000,210.390000,206.800000,210.160000,4184374
2018-01-16,213.120000,214.030000,209.360000,210.290000,6220020
2018-01-17,211.920000,214.500000,211.140000,214.160000,4600654
2018-01-18,215.670000,215.780000,213.055000,213.190000,5141495
2018-01-19,213.450000,214.300000,212.110000,213.250000,5140181
2018-01-22,213.290000,216.080000,213.250000,215.970000,3267192
2018-01-23,216.040000,216.350000,212.770000,215.560000,3659082
2018-01-24,216.120000,216.890000,214.590000,215.610000,4294243
