Date,Open,High,Low,Close,Volume
2017-10-16,29.420000,29.500000,29.090000,29.160000,4441535
2017-10-17,29.190000,29.430000,29.080000,29.400000,4725951
2017-10-18,29.500000,29.550000,29.300000,29.520000,5313739
2017-10-19,29.520000,29.600000,29.360000,29.570000,2590834
2017-10-20,29.630000,29.830000,29.530000,29.690000,4708025
2017-10-23,29.640000,29.930000,29.510000,29.610000,4495603
2017-10-24,29.830000,29.840000,29.580000,29.800000,4468808
2017-10-25,29.750000,29.820000,29.470000,29.610000,7756919
2017-10-26,28.440000,29.310000,28.370000,28.820000,12223783
2017-10-27,28.930000,29.090000,28.250000,28.500000,10274637
2017-10-30,28.400000,28.500000,28.120000,28.160000,6885770
2017-10-31,28.160000,28.270000,27.820000,28.140000,8527816
2017-11-01,28.230000,28.270000,27.770000,27.850000,6185259
2017-11-02,27.890000,28.015000,27.220000,27.440000,13217229
2017-11-03,27.490000,27.920000,27.380000,27.860000,7182897
2017-11-06,27.850000,27.900000,27.600000,27.810000,7662024
2017-11-07,27.930000,27.980000,27.740000,27.960000,4884141
2017-11-08,27.820000,28.130000,27.640000,28.100000,7645584
2017-11-09,27.960000,28.610000,27.920000,28.590000,9620206
2017-11-10,28.500000,28.550000,27.970000,28.360000,6526094
2017-11-13,28.280000,28.610000,28.190000,28.450000,4722382
2017-11-14,28.430000,28.500000,28.230000,28.320000,6892846
2017-11-15,28.260000,28.260000,26.760000,28.010000,5377481
2017-11-16,28.100000,28.490000,28.050000,28.280000,3846385
2017-11-17,28.200000,28.370000,28.140000,28.260000,5264063
2017-11-20,28.280000,28.370000,28.175000,28.350000,3410638
2017-11-21,28.460000,28.880000,28.400000,28.800000,5998650
2017-11-22,28.770000,28.810000,28.460000,28.470000,5265186
2017-11-24,28.510000,28.680000,28.470000,28.660000,1236835
2017-11-27,28.690000,28.690000,28.450000,28.510000,3255106
2017-11-28,28.420000,28.552500,26.290000,26.390000,34262589
2017-11-29,26.700000,27.110000,25.645000,25.950000,25930380
2017-11-30,26.240000,26.390000,25.750000,26.280000,18722438
2017-12-01,26.210000,26.360000,25.730000,26.150000,16183181
2017-12-04,26.210000,26.230000,24.890000,24.900000,20707949
2017-12-05,24.900000,25.450000,24.900000,24.940000,15065687
2017-12-06,24.860000,25.275000,24.540000,25.240000,12018646
2017-12-07,25.300000,25.340000,24.975000,25.040000,9674608
2017-12-08,25.510000,25.770000,25.100000,25.770000,14297555
2017-12-11,25.640000,25.770000,25.490000,25.500000,9054744
2017-12-12,25.610000,25.730000,25.540000,25.610000,11201624
2017-12-13,25.620000,26.000000,25.600000,25.710000,9586829
2017-12-14,25.790000,25.890000,25.485000,25.620000,10490127
2017-12-15,25.670000,25.900000,25.540000,25.780000,12186964
2017-12-18,25.880000,26.120000,25.745000,25.780000,8356758
2017-12-19,25.740000,25.875000,25.445000,25.490000,8793170
2017-12-20,25.450000,25.590000,25.335000,25.370000,8204406
2017-12-21,25.500000,25.510000,25.140000,25.140000,5700226
2017-12-22,25.140000,25.320000,25.045000,25.100000,5358253
2017-12-26,25.150000,25.280000,25.090000,25.130000,2988159
2017-12-27,25.200000,25.275000,25.140000,25.200000,3796271
2017-12-28,25.200000,25.300000,25.060000,25.190000,6739975
2017-12-29,25.260000,25.300000,24.790000,24.790000,6146955
2018-01-02,24.940000,25.520000,24.840000,25.280000,9980547
2018-01-03,25.270000,25.600000,25.090000,25.560000,8543022
2018-01-04,25.400000,25.610000,25.210000,25.320000,7928638
2018-01-05,25.860000,26.035000,25.590000,25.970000,14260396
2018-01-08,25.910000,26.070000,25.545000,25.810000,10847127
2018-01-09,26.770000,28.029000,26.610000,27.960000,24987924
2018-01-10,27.700000,27.750000,27.150000,27.520000,13011025
