Date,Open,High,Low,Close,Volume
2017-10-16,124.870200,125.269200,124.344700,124.938300,409126
2017-10-17,124.724200,125.278800,124.500400,124.626900,506810
2017-10-18,124.685300,125.201100,123.264400,123.274100,497286
2017-10-19,123.167100,123.196300,120.150200,120.315600,909868
2017-10-20,120.549200,120.607600,118.719600,119.634400,687673
2017-10-23,120.014000,120.364300,119.060200,119.585700,414061
2017-10-24,119.313300,119.741500,118.116200,118.164900,452217
2017-10-25,118.213500,118.904500,117.026300,118.233000,563934
2017-10-26,118.972600,118.972600,117.172200,118.028600,409636
2017-10-27,117.843700,118.573600,117.327900,117.980000,452089
2017-10-30,117.843700,118.544400,117.084600,117.571200,392961
2017-10-31,117.269600,118.262200,116.705100,117.931300,577357
2017-11-01,117.989700,119.449500,117.834000,118.709900,614901
2017-11-02,118.729300,120.374000,118.184400,119.478700,682552
2017-11-03,118.797500,118.855900,116.529900,117.444700,1067619
2017-11-06,117.717200,120.471400,117.717200,120.121000,639878
2017-11-07,120.208600,121.275000,119.770700,120.860600,563172
2017-11-08,120.753600,121.892200,120.588100,121.395900,620928
2017-11-09,121.279100,122.748600,120.773000,122.631800,752386
2017-11-10,121.746200,123.254700,121.736500,122.476100,566855
2017-11-13,122.807000,122.977300,121.931100,122.554000,386724
2017-11-14,122.349600,123.021100,120.850900,121.434800,543494
2017-11-15,121.502900,121.668400,120.617300,120.821700,409279
2017-11-16,120.568700,122.369100,120.520000,121.824100,604235
2017-11-17,121.220700,122.125800,121.201200,121.687800,360006
2017-11-20,121.892200,122.028700,121.079600,121.230400,473549
2017-11-21,121.765700,122.067400,121.094200,121.843600,480384
2017-11-22,121.337500,122.223100,121.230400,121.648900,351615
2017-11-24,122.047900,122.378800,121.648900,121.804600,134916
2017-11-27,122.125800,122.646400,121.615500,121.872700,351578
2017-11-28,122.086800,122.310700,120.821700,121.347200,401368
2017-11-29,121.386200,122.038200,120.850900,121.697600,534302
2017-11-30,122.116000,122.880000,121.259600,122.018700,1001384
2017-12-01,122.554000,123.721800,121.979800,123.721800,781437
2017-12-04,123.673100,124.879900,123.449300,124.412800,1802745
2017-12-05,124.753400,125.074500,122.047900,122.125800,549136
2017-12-06,122.456700,122.758400,121.142900,122.047900,1411607
2017-12-07,121.678100,122.018700,120.481100,120.627100,837504
2017-12-08,121.035800,121.678100,119.984800,121.318000,518511
2017-12-11,121.123400,121.804600,120.938500,121.697600,511305
2017-12-12,122.797300,123.137900,121.361800,122.797300,499837
2017-12-13,122.982200,123.634200,122.437200,122.982200,761165
2017-12-14,122.991900,123.731500,122.476100,123.313100,608292
2017-12-15,123.848300,126.295900,123.678000,125.940700,2158083
2017-12-18,125.979600,128.461300,125.979600,127.449100,1882469
2017-12-19,127.371300,127.371300,124.889600,125.386000,925093
2017-12-20,125.269200,125.376200,124.266800,124.422500,1903156
2017-12-21,124.422500,124.977200,123.313100,123.536900,702548
2017-12-22,123.887300,124.334900,123.371500,123.926200,382514
2017-12-26,124.266800,125.142700,123.536900,125.045300,330908
2017-12-27,125.493000,125.872600,124.568500,125.629300,544493
2017-12-28,125.404000,126.207000,125.022100,126.167900,457053
2017-12-29,126.422500,127.715100,126.349000,127.333200,650606
2018-01-02,127.685700,127.685700,126.216800,126.598700,689987
2018-01-03,126.882700,127.107900,126.061100,126.667300,570631
2018-01-04,126.324500,126.324500,123.837200,123.856800,2078973
2018-01-05,124.199500,125.315900,123.891100,125.208200,860912
2018-01-08,124.894800,125.345300,123.210500,124.111400,724340
2018-01-09,123.435700,123.778500,122.622900,122.799200,598889
2018-01-10,122.387900,122.387900,121.051200,122.064800,582601
2018-01-11,122.319400,122.554400,121.163800,121.291100,447865
2018-01-12,121.418400,121.692600,119.694900,119.792900,637036
2018-01-16,120.194400,121.952100,118.921300,119.038800,826741
2018-01-17,119.792900,120.057300,118.348500,119.959300,844437
2018-01-18,119.538300,119.773300,118.177100,118.666700,1080886
2018-01-19,119.136800,119.773300,118.382700,119.420800,1061517
2018-01-22,119.420800,121.114900,119.176000,120.909200,1067107
2018-01-23,121.056100,121.712200,120.723200,121.575100,1083235
2018-01-24,121.506600,122.045200,120.341300,120.684000,603827
2018-01-25,120.566500,121.056100,118.980100,120.135600,846394
2018-01-26,120.654600,121.056100,119.313000,120.419600,559227
2018-01-29,119.832000,120.086700,118.686300,118.823400,604248
2018-01-30,118.382700,119.215100,116.884500,116.943200,1106796
2018-01-31,117.481800,122.769800,117.481800,121.144300,2001103
2018-02-01,121.026700,121.310700,116.654300,116.718000,1020514
2018-02-02,115.640800,117.109700,114.906400,116.864900,977951
2018-02-05,116.042300,118.216300,112.224200,112.360300,1051909
2018-02-06,110.607400,113.261200,109.549800,112.928300,1731981
2018-02-07,112.575700,114.539100,112.575700,112.947800,927972
2018-02-08,112.605100,114.054400,109.726100,109.765300,1134871
2018-02-09,110.754300,113.966300,109.500900,112.957600,941519
2018-02-12,113.192700,113.420100,109.256000,112.752000,829181
2018-02-13,112.673700,114.245400,111.684600,113.780200,736619
2018-02-14,113.271000,113.271000,110.969700,113.065400,1006285
2018-02-15,114.093600,116.042300,114.010300,114.965100,1062852
2018-02-16,115.014100,117.697300,115.014100,117.158700,911631
2018-02-20,117.011800,118.656900,116.629900,116.913900,934153
2018-02-21,116.531900,117.099900,113.447300,113.447300,1040681
2018-02-22,114.074000,117.432900,113.858600,116.012900,897829
2018-02-23,116.150000,118.480700,115.895400,118.461100,652318
2018-02-26,118.892000,119.376700,117.383900,118.911500,687921
2018-02-27,119.381600,119.694900,116.727800,117.031400,979472
2018-02-28,117.491600,118.206500,116.375300,116.404600,1064963
2018-03-01,115.425400,117.217400,114.651800,115.552700,963510
2018-03-02,115.552700,116.678800,114.730100,116.463400,639876
2018-03-05,116.796300,119.283700,116.453600,118.843000,503085
2018-03-06,118.588400,119.714500,117.814800,119.567600,495358
2018-03-07,119.175900,120.302100,118.598200,120.194400,655823
2018-03-08,120.546900,120.781900,118.940900,119.773300,522613
2018-03-09,119.910400,121.193200,118.921300,121.056100,675636
2018-03-12,120.742800,123.308400,120.742800,122.955900,886398
2018-03-13,123.200700,123.768700,122.143100,122.662100,718173
2018-03-14,123.053800,123.141900,121.722000,122.985300,560273
2018-03-15,123.230100,123.504300,122.074600,123.298600,682653
2018-03-16,123.102800,124.669600,122.216500,124.522700,887137
2018-03-19,124.659800,124.777300,122.965700,123.661000,441147
2018-03-20,123.905800,124.894800,122.779600,123.063600,678967
2018-03-21,122.906900,123.416100,120.938600,121.771000,766253
2018-03-22,121.418400,123.014600,119.930000,120.037700,659952
2018-03-23,119.518700,120.223700,115.493900,115.973800,1198436
2018-03-26,117.295800,117.643400,116.243100,117.383900,821063
2018-03-27,117.481800,120.458800,116.267500,118.363200,677731
2018-03-28,119.132100,122.030300,118.106900,121.645800,759944
2018-03-29,122.040100,122.700600,120.600900,121.468400,640407
2018-04-02,121.685200,121.966200,118.599700,119.733400,750386
2018-04-03,119.733400,121.226900,118.491300,120.453000,863802
2018-04-04,119.270100,121.626100,119.270100,121.172600,871177
2018-04-05,121.310700,121.428900,119.713700,120.531900,578129
2018-04-06,120.492500,121.241600,118.580000,119.240500,597899
2018-04-09,119.437700,119.743300,118.323700,118.412400,661843
2018-04-10,119.033500,120.255900,118.412400,119.723500,779885
2018-04-11,119.368700,120.413600,119.161600,119.230600,611789
2018-04-12,119.694000,119.694000,116.608500,117.140800,952327
2018-04-13,117.170400,118.264600,116.657700,118.195600,544489
2018-04-16,118.649000,119.486900,117.673100,118.806800,539483
2018-04-17,119.457400,120.748800,118.471600,119.891100,740207
2018-04-18,120.334700,120.561500,118.836300,119.122200,431686
2018-04-19,118.846200,119.023600,116.549300,117.643500,637234
2018-04-20,118.175900,118.264600,116.618300,117.061900,520765
2018-04-23,117.170400,117.377400,115.898700,116.874600,506570
2018-04-24,116.992900,117.436500,115.869100,116.756300,944282
2018-04-25,116.963300,117.377400,114.774900,116.638000,1410309
2018-04-26,116.825300,119.023600,116.716900,118.856000,903325
2018-04-27,118.540600,121.379700,118.540600,120.709300,606064
2018-04-30,120.916300,121.537400,119.595400,119.684100,635623
2018-05-01,119.970000,121.212100,119.141900,120.926200,673727
2018-05-02,120.098100,120.650200,116.992900,119.092600,884179
2018-05-03,118.727900,120.591000,118.650000,120.088300,537891
2018-05-04,119.881300,122.720300,119.861500,122.276700,563409
2018-05-07,122.769600,123.124500,122.010600,122.385200,451659
2018-05-08,122.237300,122.237300,120.157300,121.024800,1057562
