Date,Open,High,Low,Close,Volume
2017-10-16,145.559400,147.586200,145.441900,147.184700,1503052
2017-10-17,146.930200,147.312000,145.951000,146.949700,1250676
2017-10-18,146.597200,148.026800,145.804100,147.958300,941377
2017-10-19,147.801600,150.836900,146.988900,150.768400,1561837
2017-10-20,151.845500,152.051100,150.073200,150.788000,1737950
2017-10-23,150.964200,152.002100,150.122200,151.953200,854821
2017-10-24,152.354600,152.746300,151.169800,151.179600,1512990
2017-10-25,151.316700,152.031500,150.190700,150.944600,1703702
2017-10-26,151.639800,152.149000,150.827100,151.522300,1218626
2017-10-27,151.032800,151.032800,148.339900,149.564100,2419552
2017-10-30,149.466100,151.091500,148.222600,149.701100,1338058
2017-10-31,149.485700,150.249400,147.625300,147.674300,2128614
2017-11-01,147.390400,149.074500,147.370800,148.154100,1511371
2017-11-02,148.438000,148.947200,144.697700,146.146800,2708702
2017-11-03,145.549600,146.558100,144.678100,145.177500,1822331
2017-11-06,144.668300,146.293700,144.198300,146.088100,1472269
2017-11-07,146.695200,147.664500,146.019600,146.675600,1345219
2017-11-08,148.496800,148.496800,146.499300,146.969300,1466340
2017-11-09,146.607000,148.555500,146.137100,148.477200,1206764
2017-11-10,147.997400,148.722000,146.920400,148.193300,1016006
2017-11-13,147.987600,148.663200,146.891000,148.183500,1065364
2017-11-14,147.537200,147.889700,146.293700,147.547000,1216348
2017-11-15,147.116200,148.584900,145.916700,148.007200,1597537
2017-11-16,148.320500,148.320500,145.696400,145.755200,1244819
2017-11-17,145.099200,146.048900,144.893500,145.530000,966673
2017-11-20,145.471200,146.293700,144.756500,145.892300,983255
2017-11-21,146.381800,146.871400,145.862900,146.068500,960641
2017-11-22,145.657300,146.000000,144.883700,145.157900,982159
2017-11-24,145.990200,145.990200,144.962100,145.823700,465154
2017-11-27,145.823700,146.577700,145.069800,146.146800,798175
2017-11-28,146.636400,148.947200,145.892300,148.408700,1119583
2017-11-29,149.074500,150.136800,148.418500,149.456300,1408596
2017-11-30,149.808800,150.269000,147.468700,148.937400,2256821
2017-12-01,148.741600,149.603200,145.109000,148.477200,1556358
2017-12-04,150.180900,150.180900,147.664500,147.674300,1311570
2017-12-05,148.301000,148.301000,145.892300,147.047700,1476218
2017-12-06,146.851800,148.154100,146.460200,147.723300,1395822
2017-12-07,147.488300,147.831000,145.794400,146.323100,1383400
2017-12-08,146.293700,146.979100,145.167700,146.920400,1311812
2017-12-11,146.910600,147.145600,146.019600,147.106400,1306392
2017-12-12,147.361000,147.625300,146.479800,147.361000,1216935
2017-12-13,147.576400,147.576400,145.295000,145.343900,1236869
2017-12-14,145.343900,145.549600,142.200900,143.072300,2639861
2017-12-15,143.982900,146.283900,143.601100,145.618100,2532963
2017-12-18,146.117500,146.969300,144.002500,144.776000,1394799
2017-12-19,145.285200,146.004900,144.031900,144.541000,1502503
2017-12-20,144.746700,144.996300,142.690500,142.925500,1656967
2017-12-21,143.699000,143.885000,141.749500,141.985500,1621912
2017-12-22,142.778600,142.778600,141.290300,142.171500,1322843
2017-12-26,141.868000,143.219200,141.584000,142.279200,744585
2017-12-27,142.553400,143.326900,142.107900,143.121300,1134126
2017-12-28,143.308200,144.262600,143.200000,143.810000,1270945
2017-12-29,144.321700,144.882500,143.652600,143.780500,1311145
2018-01-02,144.065900,144.705400,139.126600,140.012100,1986481
2018-01-03,139.628400,141.822500,139.480800,141.114100,2675392
2018-01-04,141.301000,142.993400,141.035400,141.684800,1935542
2018-01-05,142.039000,142.629300,140.484400,141.940600,1629097
2018-01-08,141.251800,141.428900,139.727700,141.222300,1556053
2018-01-09,141.428900,143.869100,140.563100,143.505000,2208646
2018-01-10,143.190200,143.485300,142.619500,142.954000,1541601
2018-01-11,142.895000,143.534500,141.537200,142.176700,1428613
2018-01-12,142.373500,143.475500,141.360100,143.298400,1357440
2018-01-16,143.613300,143.819900,142.353800,143.327900,1867848
2018-01-17,144.164200,145.443300,143.436100,145.167800,1729098
2018-01-18,145.177700,145.925500,144.075700,145.315400,1327419
2018-01-19,145.630300,145.915600,144.587300,145.817200,1474974
2018-01-22,146.151800,147.411200,146.004200,147.381700,1436637
2018-01-23,147.391500,151.710900,147.342300,150.825400,3036061
2018-01-24,150.697500,152.881800,150.117000,152.488200,2113562
2018-01-25,152.419400,152.793200,150.820500,152.321000,1641686
2018-01-26,152.468500,153.403300,151.770000,153.295000,1311417
2018-01-29,152.999900,153.304900,151.455100,151.642100,1334670
2018-01-30,151.464900,153.049100,150.471200,150.599100,2203700
2018-01-31,151.868400,154.967700,151.371500,153.639400,3363810
2018-02-01,153.334400,154.377400,152.094700,152.980200,2088052
2018-02-02,152.557100,153.925200,150.638500,150.786000,1469096
2018-02-05,150.530200,151.189500,144.213400,144.980900,2327624
2018-02-06,142.668700,144.725100,139.175800,143.534500,3348689
2018-02-07,143.259000,147.234100,142.563500,145.148200,3102309
2018-02-08,145.276100,145.640100,138.054100,138.132800,2266041
2018-02-09,139.382400,143.249200,137.837600,142.196400,3508423
2018-02-12,142.649000,143.928100,140.189200,142.285000,2205831
2018-02-13,141.448600,143.180300,141.055100,142.786800,1387834
2018-02-14,142.176700,144.990700,141.488000,144.921900,1989089
