Date,Open,High,Low,Close,Volume
2017-10-16,65.699900,66.360400,65.369700,66.282700,2552002
2017-10-17,65.884400,66.535200,65.874700,66.175800,1877900
2017-10-18,66.205000,66.205000,65.126800,65.525100,2605676
2017-10-19,65.398800,65.449400,63.757300,63.903000,4742765
2017-10-20,64.388600,64.757700,63.825300,63.990400,2640156
2017-10-23,63.912700,64.330300,63.679600,64.204100,2142904
2017-10-24,64.349800,64.514900,64.038900,64.514900,2258040
2017-10-25,64.505200,64.757700,63.835000,63.951500,2530606
2017-10-26,64.340100,64.956800,64.340100,64.689700,2149513
2017-10-27,64.592600,65.777600,64.126400,65.282200,2741526
2017-10-30,65.282200,65.398800,64.092400,64.126400,2255651
2017-10-31,64.262300,64.884000,64.165200,64.485800,2589153
2017-11-01,64.670300,64.748000,62.305100,62.718000,5136625
2017-11-02,62.718000,63.793200,62.339100,63.329900,5120067
2017-11-03,63.456200,63.757300,63.339600,63.553300,1719060
2017-11-06,63.495000,64.495500,63.495000,63.786400,3233243
2017-11-07,64.952000,65.865000,64.106900,64.476000,3575321
2017-11-08,64.000100,64.165200,63.291000,64.038900,2530413
2017-11-09,63.786400,64.553700,63.708700,64.281800,2708678
2017-11-10,63.903000,64.155500,61.775800,62.805400,4345186
2017-11-13,62.611100,64.126400,62.601400,64.087500,2554543
2017-11-14,64.038900,64.422600,63.349300,64.126400,2399050
2017-11-15,64.000100,64.281800,63.538700,63.893200,2246742
2017-11-16,64.126400,64.378900,63.796100,63.932100,2126398
2017-11-17,63.903000,64.408000,63.728100,64.320600,1839217
2017-11-20,64.388600,64.573200,64.009800,64.233200,1626440
2017-11-21,64.835400,65.379400,64.495500,65.078300,2307556
2017-11-22,65.224900,65.508500,64.990200,65.312900,1658676
2017-11-24,65.195600,65.352100,64.882700,65.234700,1069720
2017-11-27,65.283600,65.684500,64.618600,64.696900,3278300
2017-11-28,64.902200,65.567200,64.579500,65.039100,2521269
2017-11-29,65.039100,65.158600,64.022100,64.247100,3872851
2017-11-30,63.973200,64.530600,62.878000,64.188400,5269906
2017-12-01,63.875500,64.628400,63.455000,64.540400,3611871
2017-12-04,65.596500,66.378800,65.469400,65.762800,4100508
2017-12-05,65.547600,65.625900,64.315500,64.481700,2798952
2017-12-06,64.437700,65.102700,64.207900,64.599100,3002853
2017-12-07,64.569800,64.960900,64.413300,64.716400,2314853
2017-12-08,64.853300,65.635600,64.853300,65.430300,1753460
2017-12-11,65.283600,65.606300,65.195600,65.547600,2215985
2017-12-12,65.078300,65.401000,64.687100,65.078300,2706934
2017-12-13,64.882700,65.283600,63.914600,63.963500,3275124
2017-12-14,63.973200,64.315500,63.650500,63.738600,2924160
2017-12-15,63.484300,64.731100,63.239800,64.491500,5507234
2017-12-18,65.127100,65.665000,64.721300,65.127100,4916933
2017-12-19,65.860600,67.219800,65.592200,66.623300,6814472
2017-12-20,66.985100,67.640300,66.163700,66.202800,3206979
2017-12-21,65.958400,66.095300,64.579500,64.872900,3719157
2017-12-22,64.863100,65.420500,64.648000,64.882700,1816866
2017-12-26,64.912000,65.097800,64.173700,64.237300,1438924
2017-12-27,64.696900,65.288500,64.560000,65.283600,2225525
2017-12-28,65.449900,65.518300,64.794700,65.009800,1996996
2017-12-29,65.420500,65.420500,64.882700,64.902200,1877017
2018-01-02,65.733400,65.772600,65.127100,65.273800,2784023
2018-01-03,65.264100,65.645400,64.599100,65.420500,2808203
2018-01-04,65.420500,65.625900,64.990200,65.371600,3050324
2018-01-05,65.518300,65.635600,64.736000,64.833800,3793549
2018-01-08,64.755600,64.833800,64.491500,64.589300,2027088
2018-01-09,65.645400,66.515700,65.401000,66.134400,3470382
2018-01-10,66.682000,67.356700,66.369100,66.447300,3300864
2018-01-11,67.307800,67.611000,66.642900,67.278500,2632409
2018-01-12,67.454500,68.178200,67.288300,68.148800,3243963
2018-01-16,67.865200,68.187900,66.701500,67.004700,3664020
2018-01-17,67.043800,68.060800,66.926500,67.914100,3299540
2018-01-18,68.021700,68.099900,67.327400,67.493600,2491022
2018-01-19,67.796800,67.982600,66.818900,67.043800,4097353
2018-01-22,67.073100,67.376300,66.545100,67.337200,3752559
2018-01-23,67.210000,68.041200,66.916700,66.994900,4189863
2018-01-24,67.845700,69.909000,67.376300,69.596100,6755825
2018-01-25,69.596100,69.752500,68.823600,69.195200,2863815
2018-01-26,69.439600,70.080100,69.146300,70.065500,2811762
2018-01-29,69.860100,70.505500,69.640100,70.349100,3510202
2018-01-30,70.065500,71.092200,70.045900,70.202400,3495956
2018-01-31,70.221900,70.574000,69.860100,70.026400,3634628
2018-02-01,70.339300,70.691300,69.361400,69.537400,2658066
2018-02-02,69.429800,69.909000,68.207500,68.403100,2577684
2018-02-05,68.178200,68.911600,66.418000,66.535300,3518195
2018-02-06,65.938800,67.914100,65.293400,67.738100,4476034
2018-02-07,67.092700,68.407000,66.867800,67.591400,3122572
2018-02-08,68.051000,68.060800,65.273800,65.283600,3683577
2018-02-09,65.811700,66.124600,63.367900,65.586800,5188931
2018-02-12,66.075700,67.425200,66.065900,67.249200,3145990
2018-02-13,67.092700,67.542500,66.721100,67.229600,2052355
2018-02-14,66.760200,68.520400,66.584200,68.373700,2740154
2018-02-15,68.354200,68.540000,67.659900,68.060800,2499698
2018-02-16,67.630500,68.344400,67.034000,67.963000,2286232
2018-02-20,67.796800,68.432400,67.513200,67.914100,1869328
2018-02-21,68.520400,68.999600,67.972800,68.041200,2914441
2018-02-22,68.149500,68.247900,67.017600,67.125900,2492649
2018-02-23,67.352300,67.696800,67.155400,67.677100,2042006
2018-02-26,67.667200,67.893600,67.421200,67.559000,1643928
2018-02-27,67.657400,67.716400,66.417200,66.427100,3027690
2018-02-28,66.781400,67.017600,65.846400,65.856200,3181966
2018-03-01,65.560900,66.240100,64.635700,64.940900,2797450
2018-03-02,64.675100,64.753900,63.503900,63.946800,3749460
2018-03-05,64.104200,64.812900,63.794200,64.163300,3380750
2018-03-06,64.566800,65.108200,64.074700,65.108200,2972082
2018-03-07,64.803100,65.039300,64.104200,64.970400,2245902
2018-03-08,65.403500,65.915300,65.334600,65.679000,2369389
2018-03-09,65.944800,66.446800,65.669200,66.407400,2700117
2018-03-12,66.515700,66.683000,66.062900,66.299100,1926963
2018-03-13,66.643600,67.219400,66.377900,66.505800,2227674
2018-03-14,66.604200,66.663300,65.728300,65.905400,2151713
2018-03-15,66.161300,66.274500,65.630600,65.679000,2910869
2018-03-16,65.767600,66.013700,65.285200,65.856200,3955267
2018-03-19,66.112100,66.929000,65.925100,66.564900,3477101
2018-03-20,66.938900,67.864100,66.643600,66.781400,4205003
2018-03-21,66.810900,67.076700,65.767600,66.003800,4586254
2018-03-22,67.637700,68.021600,64.931000,65.157400,6151045
2018-03-23,66.289300,66.436900,63.395600,63.395600,5608524
2018-03-26,64.025500,64.793200,63.479200,64.763700,4491046
2018-03-27,65.039300,65.836500,64.232200,64.694800,4917070
2018-03-28,64.734200,65.108200,63.238100,63.622000,5391099
2018-03-29,63.799100,64.911300,63.415300,64.547200,3710093
2018-04-02,64.645600,64.881800,62.647600,63.602300,4017142
2018-04-03,63.927100,64.025500,62.992000,63.474300,3023561
2018-04-04,63.060900,64.035300,62.775500,63.956600,3329762
2018-04-05,64.173100,64.714500,63.690900,64.478300,2332209
2018-04-06,64.586500,64.734200,62.977300,63.494000,3312409
2018-04-09,64.320800,64.596400,63.759800,63.838500,2250377
2018-04-10,64.497900,64.694800,60.915300,62.106200,8881191
2018-04-11,62.244000,63.582600,62.165300,62.637700,5543340
2018-04-12,63.031400,63.425100,62.116100,62.746000,3390636
2018-04-13,63.218400,63.385700,61.751900,61.948700,4409029
2018-04-16,62.716500,63.287300,62.549100,63.070800,2963432
2018-04-17,63.661300,64.005800,62.992000,63.159400,3573983
2018-04-18,63.582600,64.310900,63.533400,64.242000,3125453
2018-04-19,64.212500,64.468400,63.872900,64.035300,4343269
2018-04-20,63.917200,64.872000,63.917200,64.842400,3845044
2018-04-23,64.842400,65.511700,64.773500,65.226300,3621127
2018-04-24,65.462500,65.698700,64.123900,64.507800,3303307
2018-04-25,64.517600,65.039300,64.212500,65.029400,3147412
2018-04-26,65.354200,65.511700,63.090500,63.297200,5282401
2018-04-27,63.356200,64.055000,62.942800,63.346400,3226538
2018-04-30,63.986100,63.986100,62.047200,62.066800,3950578
2018-05-01,62.244000,63.129800,61.919200,63.100300,4537245
2018-05-02,63.228300,63.415300,61.692800,61.860200,3822580
2018-05-03,61.988100,62.342400,61.294000,62.303100,4182749
2018-05-04,62.007800,62.800100,61.614100,62.568800,2228487
2018-05-07,62.637700,62.637700,61.594400,61.938900,3319443
2018-05-08,62.234200,62.982200,61.958600,62.155400,3589788
2018-05-09,62.499900,62.962500,62.224300,62.942800,3239432
2018-05-10,62.982200,63.562900,62.952700,63.051100,2256556
2018-05-11,63.011700,63.435000,62.519600,63.011700,2542370
2018-05-14,62.992000,64.153500,62.770600,63.799100,2552688
2018-05-15,63.936900,64.310900,63.631800,64.153500,3744974
2018-05-16,64.251900,64.960500,64.084600,64.429000,2920295
2018-05-17,64.507800,64.547100,63.553100,63.799100,2679663
2018-05-18,63.887700,63.986100,63.183400,63.818800,2627331
2018-05-21,63.956600,64.478300,63.562900,63.749900,2252634
2018-05-22,63.858200,64.340500,63.690900,64.025500,2800039
2018-05-23,63.848300,64.301100,63.021600,63.661300,3523365
2018-05-24,63.830000,64.013500,63.195100,63.631600,3276151
2018-05-25,63.562100,64.107700,63.552200,63.730800,3637581
2018-05-29,63.175300,63.224900,61.717200,62.044500,4545372
2018-05-30,62.153600,62.590100,61.846100,62.371800,3175405
2018-05-31,62.530500,62.689300,61.637800,61.776700,8064163
2018-06-01,62.173500,62.709100,62.104000,62.659500,3127291
2018-06-04,62.877700,63.066200,62.530500,62.828100,2827859
2018-06-05,60.189600,61.231100,60.001200,60.100300,11535326
2018-06-06,59.882100,61.003000,59.812700,60.953400,4817158
2018-06-07,60.874000,61.439400,60.507000,60.834400,4265803
2018-06-08,60.536800,60.665700,59.981300,60.447500,2878573
2018-06-11,60.507000,61.042700,60.507000,60.645900,2225278
2018-06-12,60.794700,61.955200,60.745100,61.667600,4348436
2018-06-13,61.965200,63.373700,61.885800,63.314200,6936707
2018-06-14,63.929100,64.891300,63.294300,63.681200,5777130
2018-06-15,63.482800,64.727600,62.917400,64.653300,5509708
2018-06-18,63.760500,64.028300,63.462900,63.929100,3604814
2018-06-19,63.443100,63.631600,62.555300,62.957100,3106807
2018-06-20,63.403400,63.482800,62.123900,62.490900,3974673
2018-06-21,62.411500,62.976900,61.672500,61.895700,2829446
2018-06-22,62.153600,63.234800,62.094100,63.016600,5180944
2018-06-25,59.703600,60.021000,56.489800,58.066900,16789966
2018-06-26,58.066900,59.515100,57.531800,59.277100,6526342
2018-06-27,59.812700,59.812700,57.580900,57.600700,5691691
2018-06-28,57.630500,57.719700,56.331100,56.698100,5906188
2018-06-29,56.698100,57.670100,56.608800,56.846900,4986132
2018-07-02,56.370700,56.975800,56.093000,56.688100,5315088
2018-07-03,56.678200,56.712900,55.993800,56.301300,4037378
2018-07-05,56.608800,56.688100,56.068200,56.430200,4248793
2018-07-06,56.469900,57.531300,56.271500,57.084900,4357579
2018-07-09,57.035300,57.541200,56.787300,57.471800,4122736
2018-07-10,57.065100,58.384300,56.886500,58.344600,6029141
2018-07-11,57.531300,57.987400,57.020400,57.521400,5568871
2018-07-12,57.838800,58.076800,57.541200,57.928000,3452856
2018-07-13,57.551100,58.146300,57.442000,57.580900,3241003
2018-07-16,57.759400,58.096700,57.164300,57.928000,2865126
2018-07-17,57.848700,58.384300,57.709800,58.116500,2400151
2018-07-18,58.652100,59.291900,58.523200,59.048900,4564058
2018-07-19,58.721600,58.850500,58.265300,58.384300,3813609
2018-07-20,58.245500,58.314900,57.620500,57.670100,3351322
2018-07-23,57.729700,57.931300,57.442000,57.680100,2433534
2018-07-24,58.007400,58.017300,56.926200,57.283300,4035232
2018-07-25,56.965900,57.342800,56.350900,57.303100,3072632
2018-07-26,56.956000,57.511400,56.896400,57.203900,3106718
2018-07-27,57.402300,57.908200,57.208900,57.749500,3256699
2018-07-30,57.709800,58.523200,57.561000,58.255400,3241534
2018-07-31,58.364500,59.019200,58.180400,58.761300,3243182
2018-08-01,58.681900,58.791000,57.928000,58.146300,2499374
2018-08-02,57.481700,58.652100,56.757600,58.374400,4946044
2018-08-03,58.463700,58.979500,58.334700,58.572800,2644870
2018-08-06,58.037200,58.096700,57.551100,57.938000,2456386
2018-08-07,58.156200,58.255400,57.749500,58.215700,2708280
2018-08-08,58.652100,58.781100,58.027200,58.126400,2232241
2018-08-09,58.612500,59.108400,58.374400,58.860400,3606716
2018-08-10,59.257200,59.832500,59.019200,59.118300,4521895
2018-08-13,58.900100,59.088600,58.225600,58.513300,3622986
2018-08-14,58.443800,58.979500,58.121500,58.840600,3590350
2018-08-15,58.017300,58.731500,57.818900,58.721600,3590884
2018-08-16,58.791000,59.539900,58.681900,59.346500,3494492
2018-08-17,58.890200,60.145000,58.761300,60.090400,3421744
2018-08-20,59.882100,60.363200,59.852400,60.259100,2673983
2018-08-21,60.507000,61.151600,60.318600,60.953400,3207752
2018-08-22,60.804600,61.627900,60.631000,61.370000,4191056
2018-08-23,60.770000,61.120000,60.680000,61.000000,3340942
2018-08-24,61.050000,61.660000,61.040000,61.230000,2324839
2018-08-27,61.570000,62.020000,61.330000,61.700000,2647111
2018-08-28,61.760000,61.780000,61.220000,61.740000,2923014
2018-08-29,61.870000,62.530000,61.810000,62.310000,3879059
2018-08-30,61.970000,62.040000,61.360000,61.580000,2068003
2018-08-31,61.550000,61.839900,61.283500,61.490000,2477793
2018-09-04,61.210000,61.330000,60.890000,61.200000,2379061
2018-09-05,60.970000,61.270000,60.760000,60.950000,2980341
2018-09-06,61.490000,61.960000,61.050000,61.740000,4005135
2018-09-07,61.270000,62.199900,61.200000,62.060000,2365346
2018-09-10,62.330000,62.719900,61.980000,61.990000,3134460
