Date,Open,High,Low,Close,Volume
2017-10-16,42.090000,42.565000,41.870000,41.970000,2731279
2017-10-17,42.000000,42.000000,41.640000,41.810000,1870065
2017-10-18,41.800000,42.050000,41.530000,41.790000,2926907
2017-10-19,41.660000,41.870000,41.320000,41.810000,1201842
2017-10-20,41.990000,42.450000,41.830000,42.280000,1861853
2017-10-23,42.470000,42.560000,42.090000,42.150000,1404005
2017-10-24,42.160000,42.330000,41.930000,42.310000,2299642
2017-10-25,42.230000,42.420000,41.850000,42.220000,2544710
2017-10-26,42.370000,42.880000,42.260000,42.720000,1842936
2017-10-27,41.850000,43.230000,41.350000,43.080000,2119251
2017-10-30,43.110000,43.210000,42.630000,42.900000,1471565
2017-10-31,42.910000,43.190000,42.710000,43.160000,2044259
2017-11-01,43.470000,43.620000,42.960000,43.010000,2123763
2017-11-02,43.380000,43.840000,43.075000,43.790000,1888642
2017-11-03,43.820000,43.920000,43.610000,43.900000,1359035
2017-11-06,44.000000,44.340000,43.690000,44.290000,1739083
2017-11-07,44.400000,44.665000,44.040000,44.300000,1631263
2017-11-08,44.250000,44.390000,43.980000,44.070000,2002259
2017-11-09,43.900000,44.190000,43.200000,43.550000,2664659
2017-11-10,43.510000,44.160000,43.410000,44.040000,2761577
2017-11-13,43.830000,44.690000,43.830000,44.670000,1644536
2017-11-14,44.520000,44.830000,44.360000,44.770000,2674733
2017-11-15,44.520000,44.670000,44.010000,44.320000,1728592
2017-11-16,44.570000,45.390000,44.420000,44.860000,3005210
2017-11-17,44.870000,45.100000,44.410000,44.580000,1813641
2017-11-20,44.580000,45.160000,44.560000,44.850000,2015876
2017-11-21,45.040000,45.480000,44.915000,45.330000,1054511
2017-11-22,45.410000,45.487600,44.960000,45.000000,876786
2017-11-24,45.140000,45.640000,45.060000,45.600000,474324
2017-11-27,45.510000,45.510000,44.990000,45.140000,2064027
2017-11-28,45.280000,45.410000,45.010000,45.190000,1341960
2017-11-29,45.040000,45.150000,43.140000,43.160000,2801604
2017-11-30,43.560000,44.030000,43.410000,43.910000,3407682
2017-12-01,43.660000,44.080000,42.790000,43.720000,1755813
2017-12-04,43.950000,43.950000,42.400000,42.420000,1910771
2017-12-05,42.410000,43.450000,42.230000,42.670000,2302935
2017-12-06,42.460000,43.010000,42.380000,42.900000,2088227
2017-12-07,42.960000,43.580000,42.960000,43.550000,2110528
2017-12-08,43.800000,43.960000,43.430000,43.560000,1583270
2017-12-11,43.690000,43.880000,43.380000,43.500000,1394891
2017-12-12,43.430000,43.640000,43.110000,43.290000,1920061
2017-12-13,43.310000,43.539900,43.020000,43.060000,3443421
2017-12-14,43.140000,43.590000,43.040000,43.190000,3613213
2017-12-15,43.310000,43.845000,42.990000,43.680000,16057314
2017-12-18,44.170000,44.460000,43.350000,43.560000,3283169
2017-12-19,43.470000,44.095000,43.420000,43.760000,3319106
2017-12-20,43.940000,43.940000,43.110000,43.210000,1836673
2017-12-21,43.250000,43.390000,42.395000,42.480000,1532535
2017-12-22,42.390000,42.390000,41.951000,42.260000,1239542
2017-12-26,41.990000,42.260000,41.740000,41.970000,980561
2017-12-27,42.100000,42.370000,41.900000,42.250000,1053002
2017-12-28,42.370000,42.410000,42.035000,42.290000,1325829
2017-12-29,42.310000,42.490000,41.810000,41.820000,1633295
2018-01-02,42.000000,42.210000,41.710000,42.050000,1935304
2018-01-03,42.160000,42.950000,42.050000,42.930000,2144820
2018-01-04,43.190000,43.930000,43.075000,43.580000,3178368
2018-01-05,43.780000,44.200000,43.670000,43.990000,2215165
2018-01-08,43.950000,45.050000,43.920000,44.920000,2005745
2018-01-09,45.000000,45.270000,44.620000,45.070000,1693155
2018-01-10,44.890000,45.170000,44.570000,44.840000,1367276
2018-01-11,44.900000,45.140000,44.770000,44.870000,1173224
2018-01-12,44.980000,45.160000,44.640000,45.070000,1205068
2018-01-16,45.220000,45.408500,44.200000,44.280000,2219259
2018-01-17,44.660000,45.060000,44.510000,44.860000,2167754
2018-01-18,44.910000,45.080000,44.720000,44.940000,1633440
2018-01-19,45.000000,45.740000,44.840000,45.600000,2147919
2018-01-22,45.520000,45.860000,45.250000,45.690000,1452805
2018-01-23,45.600000,45.940000,45.500000,45.750000,1531402
2018-01-24,45.890000,46.000000,45.360000,45.380000,1552065
2018-01-25,45.580000,45.950000,44.770000,44.860000,1571138
2018-01-26,45.170000,45.810000,44.671000,45.800000,1529437
2018-01-29,45.560000,45.745000,44.475000,44.560000,1965639
2018-01-30,44.360000,44.710000,43.820000,43.980000,2258144
2018-01-31,44.060000,45.030000,43.920000,44.860000,3580601
2018-02-01,44.400000,45.250000,41.900000,42.230000,7211410
2018-02-02,42.040000,42.150000,41.080000,41.100000,3802854
2018-02-05,40.930000,41.410000,39.270000,39.290000,3299068
2018-02-06,38.730000,39.660000,37.780000,39.580000,4281944
2018-02-07,37.910000,39.715000,37.610000,38.570000,2765421
2018-02-08,38.480000,38.497800,36.790000,36.820000,3622359
2018-02-09,37.330000,38.020000,36.230000,37.680000,3471576
2018-02-12,37.950000,38.835000,37.930000,38.600000,2422378
2018-02-13,39.130000,39.130000,37.540000,37.900000,2561087
2018-02-14,37.550000,38.720000,37.420000,38.630000,2723732
2018-02-15,38.780000,39.210000,38.300000,39.070000,2546226
2018-02-16,39.110000,39.460000,38.810100,39.160000,1913429
2018-02-20,38.910000,40.310000,38.900000,40.170000,3138068
2018-02-21,40.180000,40.340000,39.255000,39.260000,2189642
2018-02-22,39.420000,39.750000,38.610000,38.800000,2641975
2018-02-23,39.040000,39.760000,39.040000,39.740000,1590630
2018-02-26,39.830000,40.110000,39.645000,39.890000,1717143
2018-02-27,40.010000,40.100000,39.390000,39.390000,1646100
2018-02-28,39.640000,39.940000,38.760000,38.770000,2797996
2018-03-01,38.840000,39.020000,37.910000,38.230000,3311587
2018-03-02,37.890000,39.370000,37.800000,39.290000,2336970
2018-03-05,38.950000,39.819900,38.730000,39.500000,2222596
2018-03-06,39.510000,39.570000,38.860000,38.980000,2507614
2018-03-07,38.800000,39.630000,38.735000,39.370000,1940945
2018-03-08,39.380000,39.810000,39.060000,39.300000,3611194
2018-03-09,39.650000,39.800000,38.760000,39.680000,2714610
2018-03-12,39.830000,40.050000,39.610000,39.700000,3467570
2018-03-13,39.960000,40.300000,39.030000,39.170000,2283866
2018-03-14,39.250000,39.540000,38.670000,38.830000,2186773
2018-03-15,38.750000,39.390000,38.750000,39.080000,2570903
2018-03-16,39.210000,39.330000,38.410000,38.590000,6533961
2018-03-19,38.300000,38.790000,37.750000,38.230000,3455831
2018-03-20,38.230000,38.500000,37.740000,37.960000,2960830
2018-03-21,37.960000,38.750000,37.700000,38.350000,3148136
2018-03-22,37.860000,38.280000,37.380000,37.390000,2117455
2018-03-23,37.290000,37.500000,36.380000,36.380000,2306464
2018-03-26,36.970000,38.000000,36.560000,37.460000,2939420
2018-03-27,37.600000,37.660000,36.220000,36.400000,2122507
2018-03-28,36.510000,36.840000,36.020000,36.140000,2183691
2018-03-29,36.400000,37.510000,36.370000,36.770000,3697021
2018-04-02,36.690000,37.050000,35.490000,35.850000,2274797
2018-04-03,36.010000,36.468900,35.670000,36.310000,2787742
2018-04-04,35.750000,36.780000,35.590000,36.680000,2475685
2018-04-05,37.410000,37.520000,36.800000,36.980000,2762699
2018-04-06,36.710000,36.800000,35.660000,35.900000,3395911
2018-04-09,36.160000,37.130000,36.030000,36.250000,1971249
2018-04-10,36.820000,37.280000,36.550000,37.010000,2356932
2018-04-11,36.690000,37.080000,36.250000,36.700000,1684330
2018-04-12,36.850000,37.680000,36.780000,37.470000,2235609
2018-04-13,37.680000,37.780000,37.160000,37.300000,1212168
2018-04-16,37.580000,37.590000,37.230000,37.540000,2106830
2018-04-17,37.860000,38.220000,36.990000,38.100000,2467865
2018-04-18,38.090000,38.330000,37.520000,38.170000,2632112
2018-04-19,37.880000,37.890000,37.220000,37.380000,2413033
2018-04-20,37.300000,37.620000,36.770000,37.020000,2960028
2018-04-23,37.210000,37.470000,36.645000,36.740000,3266912
2018-04-24,40.110000,41.490000,39.620000,40.090000,9009838
2018-04-25,39.960000,39.990000,38.580000,39.560000,3961869
2018-04-26,39.850000,40.480000,39.310000,39.890000,2979270
2018-04-27,40.040000,40.220000,39.800000,39.960000,2922068
2018-04-30,40.070000,40.360000,39.960000,40.060000,3089325
2018-05-01,39.910000,40.380000,39.570000,40.340000,2275040
2018-05-02,39.890000,40.350000,39.750000,39.970000,2471324
2018-05-03,39.700000,40.319900,39.580000,40.250000,2312452
2018-05-04,40.150000,40.880000,39.950000,40.800000,2009866
2018-05-07,40.840000,41.270000,40.840000,41.070000,2967288
2018-05-08,40.890000,41.200000,40.660000,40.900000,3765315
2018-05-09,41.000000,41.890000,40.960000,41.760000,1586654
2018-05-10,41.860000,42.280000,41.560000,42.230000,3097382
2018-05-11,42.270000,42.470000,42.060000,42.250000,1911684
2018-05-14,42.370000,42.540000,42.000000,42.190000,3880003
2018-05-15,41.830000,41.960000,40.920000,41.080000,3196780
2018-05-16,41.160000,41.280000,40.880000,41.030000,2787016
2018-05-17,40.970000,41.750000,40.900000,41.520000,2409063
2018-05-18,41.450000,41.890000,41.170000,41.800000,2664068
2018-05-21,41.990000,42.130000,41.770000,42.010000,2083469
2018-05-22,42.030000,42.630000,42.010000,42.050000,3104877
2018-05-23,41.720000,42.340000,41.540000,42.330000,2063212
2018-05-24,42.210000,42.430000,41.835000,42.230000,2935391
2018-05-25,42.090000,42.290000,41.960000,42.240000,1921422
