Date,Open,High,Low,Close,Volume
2017-10-16,136.500000,138.200000,136.010000,136.710000,4175750
2017-10-17,137.830000,139.720000,137.230000,138.860000,4306128
2017-10-18,138.800000,139.395000,136.520000,137.170000,3263662
2017-10-19,136.890000,137.450000,135.330000,135.960000,5700001
2017-10-20,124.500000,124.540000,120.800000,121.330000,27765072
2017-10-23,121.760000,123.180000,121.110000,122.370000,7667340
2017-10-24,123.250000,123.250000,119.160000,120.340000,8414903
2017-10-25,120.370000,121.600000,117.265000,119.560000,7175679
2017-10-26,98.950000,101.150000,94.551300,99.990000,69847444
2017-10-27,99.640000,99.830000,95.520000,98.170000,24135277
2017-10-30,98.630000,101.889000,98.280000,100.970000,16067452
2017-10-31,101.930000,102.500000,98.830900,100.970000,12966525
2017-11-01,101.890000,102.300000,100.040000,100.530000,8320625
2017-11-02,101.000000,101.030000,97.730000,98.200000,10523279
2017-11-03,98.200000,100.850000,98.170000,100.040000,7147859
2017-11-06,99.890000,102.230000,99.300000,101.640000,9157669
2017-11-07,101.870000,103.020000,101.510000,102.330000,7462336
2017-11-08,102.860000,103.520000,101.210000,101.650000,6407786
2017-11-09,101.010000,102.860000,100.220000,102.460000,6805158
2017-11-10,102.060000,102.620000,101.000000,102.340000,6473591
2017-11-13,101.930000,102.230000,100.780000,101.160000,5476079
2017-11-14,101.700000,101.700000,98.840000,98.860000,9162976
2017-11-15,98.560000,101.035000,98.440000,100.340000,5984756
2017-11-16,100.820000,103.910000,100.650000,103.350000,7317241
2017-11-17,103.490000,104.590000,103.240000,104.100000,5972508
2017-11-20,104.600000,105.460000,102.405000,103.150000,6183743
2017-11-21,103.690000,105.980000,103.495000,104.500000,7092052
2017-11-22,104.960000,106.130000,104.800000,105.160000,4069084
2017-11-24,105.200000,105.790000,104.340000,104.500000,2524615
2017-11-27,104.410000,105.340000,103.050000,103.330000,4683962
2017-11-28,103.530000,104.460000,102.710000,103.990000,4586107
2017-11-29,104.060000,105.820000,102.680000,103.120000,5729133
2017-11-30,103.540000,104.510000,100.350000,100.830000,10492252
2017-12-01,100.500000,102.460000,100.080000,102.140000,6231193
2017-12-04,103.000000,104.390000,102.530100,102.610000,5470364
2017-12-05,101.890000,104.090000,101.890000,102.560000,5344011
2017-12-06,102.880000,103.500000,101.130500,102.170000,4278514
2017-12-07,102.090000,103.347000,101.810000,102.730000,4037411
2017-12-08,103.740000,106.520000,103.665000,106.090000,5797072
2017-12-11,110.070000,110.810000,107.320000,108.000000,8268566
2017-12-12,108.420000,109.670000,107.440000,109.040000,5143890
2017-12-13,109.280000,109.940000,107.330000,108.200000,5523399
2017-12-14,108.150000,109.520000,107.950000,108.240000,5353801
2017-12-15,109.280000,109.640000,107.680000,109.410000,10411486
2017-12-18,109.660000,110.200000,107.723800,108.040000,5979202
2017-12-19,107.960000,108.690000,106.750200,107.060000,4932839
2017-12-20,107.500000,108.630000,107.500000,108.270000,3847895
2017-12-21,108.190000,109.440000,107.720000,107.880000,5347006
2017-12-22,102.890000,106.800000,102.350000,106.330000,9611942
2017-12-26,105.960000,107.330000,105.680000,106.970000,2688150
2017-12-27,106.570000,107.209000,104.100000,104.460000,5967386
2017-12-28,104.740000,105.574700,104.080000,104.750000,3927803
2017-12-29,104.270000,105.360000,104.150000,104.360000,4500810
2018-01-02,105.290000,106.700000,104.580000,106.160000,4742039
2018-01-03,106.220000,109.890000,105.820000,109.140000,5451800
2018-01-04,109.950000,109.980000,106.565000,106.680000,5929880
2018-01-05,106.010000,106.680000,104.050000,104.990000,10586730
2018-01-08,106.000000,106.150000,101.130000,104.180000,11417214
2018-01-09,104.330000,106.100000,103.830000,105.490000,7472191
2018-01-10,105.260000,105.823400,104.650000,105.460000,8539241
2018-01-11,105.620000,105.830000,104.340000,104.580000,7010835
2018-01-12,104.760000,106.430000,104.310000,106.000000,8748823
2018-01-16,106.720000,107.290000,104.680000,104.820000,6253148
