Date,Open,High,Low,Close,Volume
2017-10-16,47.308700,47.319500,47.002800,47.229700,1231804
2017-10-17,47.032400,47.121200,46.756000,47.071800,1119225
2017-10-18,47.091600,47.249500,46.647500,46.785700,1401223
2017-10-19,46.598200,46.657400,46.292200,46.657400,1273307
2017-10-20,46.588300,46.593200,45.177100,45.571800,2418025
2017-10-23,45.611300,45.838300,45.384400,45.581700,1737935
2017-10-24,45.591600,45.769200,45.078400,45.117900,1546593
2017-10-25,45.088300,45.389300,44.328400,45.157400,1530852
2017-10-26,45.206700,45.532400,45.068600,45.157400,1453519
2017-10-27,44.762600,44.960000,44.491300,44.723200,1712016
2017-10-30,44.624500,44.654100,44.160700,44.219900,2194691
2017-10-31,44.219900,44.831700,44.150800,44.575200,3555349
2017-11-01,44.792300,45.863000,44.683700,45.571800,4003726
2017-11-02,45.463300,45.492900,43.420600,44.831700,5230949
2017-11-03,44.831700,44.900800,42.927100,43.341600,2914329
2017-11-06,43.252800,43.302100,42.641000,42.749500,2897615
2017-11-07,42.877800,43.302100,42.848200,43.183700,3160632
2017-11-08,43.420600,44.150800,43.420600,43.864600,2412120
2017-11-09,43.795600,44.210000,43.410700,43.420600,2566315
2017-11-10,43.420600,44.377800,43.381100,44.160700,3618838
2017-11-13,44.200200,44.960000,44.160700,44.940300,2189687
2017-11-14,44.840400,45.543900,44.840400,45.325900,3565354
2017-11-15,45.226800,45.296200,43.978200,44.008000,1850639
2017-11-16,44.196200,44.909700,44.077300,44.731400,2138114
2017-11-17,44.463800,44.800700,44.037700,44.344900,1871320
2017-11-20,44.275500,44.543100,44.003000,44.275500,1486253
2017-11-21,44.344900,44.780900,44.235900,44.394400,1257260
2017-11-22,44.632300,44.790800,44.131800,44.354800,1523022
2017-11-24,44.523300,44.523300,44.196200,44.414300,900604
2017-11-27,44.335000,44.850300,44.315200,44.691700,1491090
2017-11-28,44.850300,45.276400,44.771000,45.236700,2519329
2017-11-29,46.485300,46.693400,45.910600,46.366400,3081616
2017-11-30,46.812300,47.664600,46.455600,46.663700,3530887
2017-12-01,46.544800,46.653800,45.524100,46.416000,3149208
2017-12-04,46.822300,47.961800,46.634000,47.912300,2666210
2017-12-05,47.813200,48.120400,47.565500,47.842900,2832833
2017-12-06,47.912300,48.060900,47.169100,47.357400,1869674
2017-12-07,47.297900,47.694300,47.070000,47.694300,2115373
2017-12-08,47.773600,48.110500,47.397000,47.961800,1505977
2017-12-11,47.852800,47.961800,47.446600,47.525800,1447260
2017-12-12,47.951900,48.328500,47.327600,47.951900,1957228
2017-12-13,47.981700,48.060900,47.456500,47.694300,1787058
2017-12-14,47.743800,48.219600,47.565500,48.021300,1375698
2017-12-15,48.318600,49.042000,47.515900,48.615900,3294893
2017-12-18,48.298800,49.388800,48.278900,48.814100,1972634
2017-12-19,49.091500,49.646500,48.724900,48.774400,1588706
2017-12-20,48.814100,49.205500,48.566300,49.032100,1621451
2017-12-21,49.081600,49.349200,48.903200,49.051900,1918922
2017-12-22,49.220300,49.596900,49.022200,49.596900,1446881
2017-12-26,49.636500,49.844600,49.418500,49.705900,923210
2017-12-27,49.834700,49.834700,49.468100,49.606800,676142
2017-12-28,49.785200,49.834700,49.388800,49.725700,951131
2017-12-29,49.874400,50.132000,49.715800,49.715800,902589
2018-01-02,49.616700,49.735600,48.962700,48.982500,4942273
2018-01-03,49.051900,49.141100,48.417700,48.665400,1649959
2018-01-04,48.814100,49.567200,48.784300,49.487900,1496323
2018-01-05,49.626600,49.844600,49.349200,49.616700,1478429
2018-01-08,49.596900,50.300500,49.596900,49.983400,1351842
2018-01-09,50.003200,50.171700,49.894200,49.933800,1414159
2018-01-10,49.636500,49.735600,48.604200,49.339300,1453974
2018-01-11,49.269900,49.448300,48.804100,48.923100,1666434
2018-01-12,49.042000,49.091500,48.521700,48.576200,1395497
2018-01-16,49.002300,49.468100,48.764500,48.804100,2435971
2018-01-17,49.101400,49.656400,49.032100,49.398700,2057690
2018-01-18,49.369000,49.587000,48.942900,49.022200,1444130
2018-01-19,49.220300,49.666300,49.220300,49.458200,1713751
2018-01-22,49.319400,49.656400,49.240200,49.656400,1892874
2018-01-23,49.478000,49.517600,49.121300,49.408600,1685125
2018-01-24,49.448300,49.567200,48.566300,48.665400,2650158
2018-01-25,48.754600,49.121300,48.566300,48.893300,2100779
2018-01-26,48.625800,48.685200,48.239300,48.665400,2211235
2018-01-29,48.586100,48.933000,48.477100,48.487000,1726011
2018-01-30,48.437500,49.002300,48.239300,48.655500,1774893
2018-01-31,48.586100,48.942900,48.194700,48.407800,2763989
2018-02-01,48.467200,48.586100,47.991600,48.051000,2365659
2018-02-02,47.704200,47.704200,45.712400,45.910600,5484508
2018-02-05,46.198000,48.348300,46.198000,46.990700,4838847
2018-02-06,46.485300,48.521700,46.316900,47.436600,5139907
2018-02-07,47.942000,48.397900,46.921300,46.941200,4354860
2018-02-08,47.030400,47.575400,46.624100,46.951100,2372794
2018-02-09,47.436600,48.397900,47.030400,48.120400,3864975
2018-02-12,48.239300,48.843800,47.724000,48.189800,2083859
2018-02-13,48.060900,48.437500,48.001500,48.199700,1603993
2018-02-14,48.216000,48.833200,48.066700,48.654000,1352308
2018-02-15,48.783400,49.490100,48.196100,49.480200,1636760
2018-02-16,49.340800,49.768800,49.231300,49.549800,3294725
2018-02-20,49.191500,49.395500,48.106500,48.156300,2135843
2018-02-21,48.116500,48.564400,47.718300,47.718300,1846956
2018-02-22,47.817900,48.355400,47.768100,47.947300,1566097
2018-02-23,48.076700,48.952600,47.778100,48.892900,1962697
2018-02-26,49.141700,50.028100,48.952600,49.758900,2189199
2018-02-27,49.659300,50.296400,49.231300,49.241300,2907338
2018-02-28,49.510000,49.539900,48.962600,48.962600,2481703
2018-03-01,48.873000,49.500100,48.435000,48.863000,2555734
2018-03-02,48.753500,49.818600,48.753500,49.798700,1844930
2018-03-05,49.758900,50.415800,49.699100,50.186900,2104831
2018-03-06,50.176900,50.575100,49.709300,50.535300,1624599
2018-03-07,50.316300,50.356100,49.629500,49.729000,2043353
2018-03-08,49.739000,50.764200,49.649400,50.744300,1396415
2018-03-09,50.764200,50.843800,50.087300,50.356100,1394543
2018-03-12,50.415800,50.604900,50.221700,50.326200,1355978
2018-03-13,50.196800,50.545200,50.047500,50.505400,1439153
2018-03-14,50.356100,50.664700,49.574700,49.609600,1843328
2018-03-15,49.669300,50.057500,49.121800,49.310900,1378395
2018-03-16,49.510000,49.838500,49.335800,49.778800,3123561
2018-03-19,49.898200,50.505400,49.729000,49.957900,1965203
2018-03-20,50.017700,50.306300,49.281100,49.450300,1338584
2018-03-21,49.380600,49.380600,48.683900,48.763500,1541405
2018-03-22,48.773400,49.111900,48.136400,48.156300,1578447
2018-03-23,48.275700,48.435000,47.041500,47.081300,2373208
2018-03-26,47.340100,47.559100,46.713000,47.151000,1993240
2018-03-27,47.151000,48.345400,47.071300,47.937300,1850977
2018-03-28,48.096600,49.659300,48.096600,49.012300,2647018
2018-03-29,49.301000,50.316300,49.235300,50.127100,1858587
2018-04-02,50.087300,50.087300,48.315600,48.703800,1936003
2018-04-03,48.843100,49.659300,48.713700,49.420400,2238418
2018-04-04,49.310900,50.575100,49.101900,50.236600,2024346
2018-04-05,50.286400,50.565100,49.301000,49.629500,1985783
2018-04-06,49.380600,50.167000,48.912800,49.271100,1243511
2018-04-09,49.400500,49.619500,49.022300,49.241300,1483940
2018-04-10,49.430400,49.708600,49.251200,49.450300,1456057
2018-04-11,49.231300,49.430400,48.873000,49.151700,1152257
2018-04-12,49.470200,49.510000,48.425100,48.574400,1216631
2018-04-13,48.574400,48.873000,48.375300,48.723700,762998
2018-04-16,49.310900,50.117200,48.922700,49.868400,1028617
2018-04-17,50.167000,50.216700,49.639400,50.087300,1078658
2018-04-18,50.057500,50.246600,49.868400,50.037600,1330780
2018-04-19,49.181500,49.201400,47.798000,48.494700,3181099
2018-04-20,47.957200,48.166300,45.578300,45.628000,4577122
2018-04-23,45.608100,45.847000,44.971100,45.200000,3275891
2018-04-24,45.239900,45.498600,44.662500,45.249800,2639374
2018-04-25,45.170200,46.295000,45.160200,45.677800,1688116
2018-04-26,45.667900,46.056100,45.364300,45.926700,1910169
2018-04-27,45.876900,46.633400,45.847000,46.563700,1409571
2018-04-30,46.782700,46.782700,45.777400,45.986400,1811626
2018-05-01,45.986400,46.095900,45.289600,46.085900,2199452
2018-05-02,46.006300,46.245200,45.538500,45.657900,5796218
2018-05-03,46.036200,47.638700,45.558400,47.330100,6721533
2018-05-04,47.290300,47.290300,46.752800,47.131100,2460957
2018-05-07,47.300300,47.489400,46.742900,47.300300,2701875
2018-05-08,47.449600,47.658600,47.210700,47.509300,5634917
2018-05-09,47.459500,47.636600,47.131100,47.529200,1918811
2018-05-10,47.768100,47.977100,47.419700,47.549100,1713251
2018-05-11,47.579000,47.798000,47.091300,47.240600,2101368
2018-05-14,47.300000,47.500000,46.840000,47.040000,1784965
2018-05-15,46.730000,46.780000,46.000000,46.520000,4021784
2018-05-16,46.500000,46.720000,46.250000,46.610000,2464849
2018-05-17,46.690000,46.750000,46.380000,46.690000,2864596
2018-05-18,46.540000,46.560000,45.550000,46.120000,5851956
2018-05-21,46.280000,46.495000,45.920000,46.410000,1928047
2018-05-22,46.620000,46.940000,46.420000,46.470000,1913080
2018-05-23,46.490000,47.130000,46.150000,47.090000,2368316
2018-05-24,47.100000,47.360000,46.630000,46.730000,1252002
2018-05-25,46.750000,47.580000,46.750000,47.420000,2054959
2018-05-29,47.290000,48.030000,47.170000,47.610000,2999679
2018-05-30,47.690000,48.340000,47.060000,48.130000,2003022
2018-05-31,48.010000,48.010000,46.520100,46.950000,4138852
2018-06-01,47.100000,47.490000,46.840000,47.320000,1942139
2018-06-04,47.460000,47.600000,46.940000,47.010000,1585587
2018-06-05,47.140000,47.210000,46.630000,46.760000,2375029
2018-06-06,46.700000,46.830000,46.320000,46.740000,1622467
2018-06-07,46.700000,47.535000,46.410000,47.400000,1827418
2018-06-08,47.370000,48.335000,47.370000,48.190000,1562680
2018-06-11,48.160000,49.300000,48.080000,48.850000,3003668
2018-06-12,49.270000,49.750000,48.460000,49.690000,3589041
2018-06-13,49.600000,49.820000,49.330000,49.630000,2806440
2018-06-14,49.670000,49.890000,49.220000,49.800000,2256480
2018-06-15,49.730000,50.350000,49.630000,50.260000,2944690
2018-06-18,50.130000,50.350000,49.870000,50.280000,2518561
2018-06-19,50.240000,51.700000,50.240000,51.440000,3495518
2018-06-20,51.210000,51.350000,50.460000,50.750000,1662918
2018-06-21,50.750000,50.900000,50.430000,50.690000,1075055
2018-06-22,50.670000,51.155000,50.610000,50.630000,2282323
2018-06-25,50.530000,51.740000,50.470000,51.570000,2347566
2018-06-26,51.550000,51.940000,51.090000,51.690000,1703752
2018-06-27,51.790000,52.430000,51.470000,52.280000,2383654
2018-06-28,52.320000,53.215000,52.200000,53.170000,3698063
2018-06-29,53.160000,53.620000,52.770000,53.160000,2256062
2018-07-02,53.000000,53.210000,52.700000,52.940000,1516253
2018-07-03,53.310000,53.495000,52.800000,53.280000,916074
2018-07-05,53.430000,54.345000,53.380000,54.310000,2722419
2018-07-06,54.420000,54.750000,54.210000,54.660000,1945948
2018-07-09,54.360000,54.580000,53.400000,53.450000,2128437
2018-07-10,53.450000,54.545000,53.160000,54.470000,2115606
2018-07-11,54.790000,54.915000,54.333900,54.660000,2501254
2018-07-12,54.660000,55.050000,54.420000,54.930000,2120119
2018-07-13,55.000000,55.940000,54.912100,55.890000,1942349
2018-07-16,55.920000,55.920000,54.760000,54.870000,2418405
2018-07-17,54.870000,55.120000,54.670000,54.770000,1706109
2018-07-18,54.540000,54.750000,53.520000,53.790000,2308258
2018-07-19,53.790000,54.520000,53.146600,54.140000,1616079
2018-07-20,54.050000,55.030000,54.000000,54.980000,2449719
2018-07-23,55.030000,55.185000,54.470000,54.770000,1075370
2018-07-24,54.470000,54.970000,54.120000,54.670000,1259738
2018-07-25,54.690000,55.010000,54.090000,54.950000,1854508
2018-07-26,55.080000,55.510000,54.760000,55.310000,1240044
2018-07-27,55.140000,55.555000,54.930000,55.360000,1379152
2018-07-30,55.140000,55.670000,54.863500,55.290000,1466976
2018-07-31,55.290000,56.250000,54.950000,55.900000,2316947
2018-08-01,55.820000,55.820000,54.530200,55.150000,2581831
2018-08-02,55.630000,57.570000,55.260000,56.790000,3159515
2018-08-03,57.040000,58.030000,57.000000,57.170000,1722217
2018-08-06,57.090000,57.620000,56.960000,57.460000,1316915
2018-08-07,57.110000,57.160000,56.210000,56.470000,2313681
2018-08-08,56.330000,56.550000,55.900000,55.940000,1677580
2018-08-09,55.840000,56.050000,55.270000,55.570000,2300177
2018-08-10,55.600000,56.250000,55.534700,55.740000,855335
2018-08-13,55.930000,56.080000,55.500000,55.890000,1336576
2018-08-14,55.770000,56.120000,55.410000,55.450000,1628163
2018-08-15,55.530000,56.149000,55.300000,56.060000,1187325
2018-08-16,56.150000,56.950000,56.070000,56.850000,1030519
2018-08-17,56.850000,57.290000,56.780000,57.150000,1321517
2018-08-20,57.300000,57.870000,57.290000,57.630000,3026797
2018-08-21,57.430000,57.600000,56.427100,56.790000,1541174
2018-08-22,56.760000,56.780000,56.220000,56.360000,932191
2018-08-23,56.250000,56.660000,56.110000,56.520000,719786
2018-08-24,56.510000,56.520000,56.205000,56.330000,963479
2018-08-27,56.540000,56.635000,55.730000,56.200000,653216
2018-08-28,56.500000,57.100000,56.290000,56.450000,842112
2018-08-29,56.600000,56.740000,56.130000,56.500000,661744
2018-08-30,56.500000,56.850000,56.270000,56.380000,580370
2018-08-31,56.510000,56.870000,56.330000,56.580000,1116929
2018-09-04,56.070000,57.040000,56.060000,56.480000,1155688
2018-09-05,56.300000,57.810000,56.170000,57.700000,1997735
2018-09-06,57.500000,58.290000,57.230000,58.120000,1305253
2018-09-07,57.830000,58.940000,57.780000,58.690000,1342829
2018-09-10,59.000000,59.270000,58.455000,58.480000,934777
2018-09-11,58.540000,59.060000,58.182000,59.000000,1148121
2018-09-12,58.940000,59.585000,58.860000,59.430000,1205720
2018-09-13,59.370000,59.460000,58.750000,59.450000,846136
2018-09-14,59.420000,59.735000,59.060000,59.550000,1035935
2018-09-17,59.630000,60.000000,59.395000,59.800000,921747
2018-09-18,59.720000,59.840000,59.080000,59.720000,1142804
2018-09-19,59.580000,59.770000,58.795000,58.990000,1013864
2018-09-20,59.130000,59.770000,59.070000,59.660000,1018389
2018-09-21,59.950000,60.390000,59.790000,60.040000,1988592
