Date,Open,High,Low,Close,Volume
2017-10-16,76.564000,77.122600,74.937200,75.780000,1553186
2017-10-17,75.515400,75.750600,74.427700,74.496300,1586799
2017-10-18,74.427700,76.113200,74.408100,75.789800,1600981
2017-10-19,75.711400,76.480700,75.211600,76.417000,712644
2017-10-20,76.809000,77.122600,76.064200,76.730600,1471007
2017-10-23,77.103000,77.137300,76.230800,76.858000,1052527
2017-10-24,77.151900,78.053500,75.535000,77.249900,1218294
2017-10-25,76.858000,77.328300,76.377800,77.024600,1221042
2017-10-26,78.033900,79.209900,77.573300,77.994700,2095430
2017-10-27,78.474900,78.474900,76.926600,78.220100,1649002
2017-10-30,78.073100,78.425900,76.456200,76.779600,1665780
2017-10-31,76.730600,77.739900,76.730600,76.956000,2280636
2017-11-01,79.278500,79.317700,76.270000,77.739900,3029706
2017-11-02,78.543500,79.719400,77.024600,77.955500,4220585
2017-11-03,77.906500,78.533700,77.406700,77.847700,2348559
2017-11-06,77.857500,78.063300,76.750200,77.494900,2183166
2017-11-07,77.896700,79.180500,77.514500,78.886500,2410823
2017-11-08,78.651300,79.307900,78.391600,79.013900,1567423
2017-11-09,78.602300,79.464600,78.533700,79.062900,2254919
2017-11-10,78.700300,78.866900,78.435700,78.719900,1115846
2017-11-13,78.729700,78.886500,78.190700,78.749300,1185952
2017-11-14,78.494500,78.994300,78.396500,78.759100,1016525
2017-11-15,78.494500,78.582700,77.926100,78.347500,1103824
2017-11-16,78.465100,78.915900,78.347500,78.788500,924803
2017-11-17,77.171500,77.720200,75.966200,76.867800,2570526
2017-11-20,77.034400,77.357700,76.662000,76.858000,1345557
2017-11-21,77.005000,77.416500,76.730600,77.210700,1314633
2017-11-22,77.132400,78.171100,77.122600,77.651700,896786
2017-11-24,77.857500,78.318100,76.338600,78.073100,325519
2017-11-27,77.906500,78.435700,77.769300,77.945700,1067986
2017-11-28,78.592500,79.993800,78.122100,79.895800,1405490
2017-11-29,79.768400,82.865100,79.513600,82.796500,2180711
2017-11-30,82.659300,85.422800,82.659300,84.913200,3268456
2017-12-01,84.864200,85.280700,82.865100,84.805400,2029013
2017-12-04,85.795200,87.323900,84.844600,85.021000,2544671
2017-12-05,85.187600,85.618800,83.992000,84.197800,1632279
2017-12-06,84.001800,85.579600,83.747100,85.403200,1479818
2017-12-07,85.109200,85.991200,84.697600,85.667800,1708874
2017-12-08,85.658000,86.637900,85.354200,86.608500,1251442
2017-12-11,86.510500,86.647600,85.854000,86.206700,963171
2017-12-12,86.422300,86.667300,85.667800,86.236100,912938
2017-12-13,86.324300,86.765300,85.824600,86.010800,1523452
2017-12-14,86.285100,86.285100,83.903800,84.070400,2319452
2017-12-15,84.336500,85.469500,83.932500,84.937500,3197453
2017-12-18,85.597600,86.494100,85.085200,85.873400,1819823
2017-12-19,85.499000,86.021200,85.144400,85.351300,1093921
2017-12-20,86.031100,86.366000,85.439900,85.469500,1250849
2017-12-21,85.696100,85.972000,85.085200,85.843900,946693
2017-12-22,85.932500,87.922700,85.607400,87.390700,1352043
2017-12-26,87.292200,88.395600,87.154200,87.479400,741034
2017-12-27,87.656700,88.469500,86.912900,88.178900,674476
2017-12-28,88.188700,88.228100,87.065600,88.139500,756059
2017-12-29,88.375900,88.563100,87.735500,87.774900,637881
2018-01-02,88.415300,88.749300,87.508900,88.415300,988833
2018-01-03,87.863600,88.277400,87.144400,88.169000,1214307
2018-01-04,89.006500,89.272500,87.863600,88.395600,1610755
2018-01-05,88.750300,89.326700,87.912900,88.247900,902520
2018-01-08,88.070500,89.863600,88.070500,89.440000,1083300
2018-01-09,89.568100,91.045900,89.568100,90.110000,1932576
2018-01-10,90.031100,91.036100,89.740500,90.090300,1043081
2018-01-11,90.336600,92.617400,90.326700,92.533600,1060314
2018-01-12,92.642000,93.114900,91.844000,92.888300,983297
2018-01-16,93.105100,93.558300,91.410500,91.597700,1601263
2018-01-17,91.893200,92.243000,91.321800,91.607500,1104289
2018-01-18,91.755300,93.154300,90.977000,92.297200,1378418
2018-01-19,92.651900,93.873600,92.208500,93.755300,1622302
2018-01-22,93.469600,94.257800,92.701100,94.021400,972481
2018-01-23,93.824300,94.238100,92.937600,93.499200,1021518
2018-01-24,93.715900,95.095300,92.927700,94.760300,1765635
2018-01-25,95.223300,97.203700,94.898200,95.105100,2246832
2018-01-26,95.903200,98.701200,95.154400,95.302200,2835747
2018-01-29,94.868700,96.188900,94.651900,94.888400,2123159
2018-01-30,94.336600,95.400700,93.420400,93.528700,3124657
2018-01-31,90.582900,94.474600,88.976900,90.110000,7558735
2018-02-01,89.903100,91.311900,88.844500,90.622300,2107356
2018-02-02,89.824200,90.898100,89.223200,90.435100,2046080
2018-02-05,89.893200,90.760200,88.957200,88.996600,2989152
2018-02-06,87.666600,90.031100,86.737300,89.430100,2467031
2018-02-07,89.134600,92.262700,89.134600,91.203600,2069344
2018-02-08,91.302100,91.765200,89.134600,89.134600,1641312
2018-02-09,89.499100,89.912900,85.874400,88.031100,2591415
2018-02-12,88.573000,89.981900,88.041000,89.834100,1357120
2018-02-13,89.430100,91.873500,89.065600,91.351400,1182067
2018-02-14,89.380900,91.844000,88.710900,91.065600,1482291
2018-02-15,91.174000,91.578000,90.090300,91.578000,1382891
2018-02-16,91.509000,92.129700,90.967100,91.252800,876159
2018-02-20,91.134600,91.587800,88.316800,88.641900,1204381
2018-02-21,88.681400,90.213400,88.681400,88.848800,1219977
2018-02-22,89.272500,89.725700,88.533600,88.760200,982201
2018-02-23,88.986800,91.302100,88.820300,91.262700,1003426
2018-02-26,91.627200,93.272600,91.050900,93.233200,854077
2018-02-27,93.410500,94.257800,92.080400,92.090300,1147471
2018-02-28,92.336600,93.292300,91.617400,91.981900,1573022
2018-03-01,91.793800,92.269000,88.655100,88.813500,1863346
2018-03-02,87.665000,89.061100,87.278900,88.625400,1418570
2018-03-05,88.328400,89.080900,86.882800,88.892700,1303700
2018-03-06,89.278900,89.942300,88.754100,89.100700,941156
2018-03-07,88.229400,89.338300,87.080800,89.120500,1183496
2018-03-08,89.239300,89.486800,88.358100,88.714500,1045720
2018-03-09,89.120500,90.882900,88.377900,90.833400,1630576
2018-03-12,91.130400,91.595800,89.803700,90.130400,783624
2018-03-13,90.506600,91.358100,90.056100,90.803700,937042
2018-03-14,90.853200,90.902700,88.704600,88.853100,946788
2018-03-15,89.090800,89.833400,88.813500,89.387800,752521
2018-03-16,89.714500,91.536400,89.189800,91.229400,1817346
2018-03-19,91.209600,93.130400,90.952200,91.714600,1255749
2018-03-20,91.952200,92.704700,91.140300,92.150200,716245
2018-03-21,92.179900,93.496800,92.120500,92.694800,904693
2018-03-22,91.962100,93.021500,90.308600,91.744300,1229035
2018-03-23,91.665100,92.397800,89.892800,89.962100,1517578
2018-03-26,91.031400,92.130400,90.778900,91.843300,927021
2018-03-27,92.011600,92.783900,90.348200,90.655200,943444
2018-03-28,90.853200,91.288800,89.759100,90.783900,847195
2018-03-29,90.972000,93.199800,90.972000,92.783900,1333236
2018-04-02,92.605700,92.764100,90.724500,91.318500,1614137
2018-04-03,91.684900,92.754200,91.288800,92.704700,1298477
2018-04-04,91.665100,93.645300,91.516600,93.427500,1114916
2018-04-05,94.021600,94.041400,91.328400,92.368100,1688406
2018-04-06,91.843300,92.179900,88.872900,89.585800,1507323
2018-04-09,89.734300,91.576000,89.556100,90.665100,1083152
2018-04-10,91.952200,93.447300,91.783900,93.189900,1655616
2018-04-11,92.724500,93.348300,92.209600,93.021500,728779
2018-04-12,93.308700,95.358200,93.219600,94.467100,1218676
2018-04-13,94.486900,95.041400,92.952200,93.338400,1290330
2018-04-16,96.090900,97.685000,95.081000,96.655300,2290926
2018-04-17,97.368100,97.526600,94.279000,95.081000,1794318
2018-04-18,95.625500,95.625500,94.001700,94.001700,1834730
2018-04-19,93.556200,94.378000,93.150300,93.358200,2094791
2018-04-20,93.684900,93.694800,92.249200,92.754200,1151516
2018-04-23,92.585900,93.427500,92.100700,92.783900,1047971
2018-04-24,93.308700,93.615600,90.595700,91.447200,1267365
2018-04-25,91.635400,92.194800,91.249200,91.675000,1180025
2018-04-26,92.150200,92.402700,89.397700,90.417500,1882355
2018-04-27,90.377900,91.249200,89.863100,91.090800,972789
2018-04-30,91.179900,91.823500,90.902700,91.120500,1455982
2018-05-01,91.130400,91.274000,89.239300,89.754100,1660082
2018-05-02,83.664900,85.793700,81.674800,82.080700,4962308
2018-05-03,81.565900,83.001500,80.031200,81.783700,2740426
2018-05-04,80.843100,82.041100,80.080700,81.724300,1449927
2018-05-07,82.080700,82.407500,81.179700,81.615400,1203441
2018-05-08,81.763900,83.655000,81.556000,83.100600,1712620
2018-05-09,83.239200,83.724300,82.427300,82.664900,1376645
2018-05-10,82.981700,83.892600,82.755000,83.744100,1506148
2018-05-11,83.962000,85.952100,83.763900,85.585800,1383141
2018-05-14,85.783800,86.100600,84.437200,84.833300,1045319
2018-05-15,84.506500,84.863000,83.902600,84.338200,1454851
2018-05-16,84.377800,85.239200,84.249100,84.892700,1025040
2018-05-17,85.011500,87.100600,84.929500,86.694700,1729265
2018-05-18,86.625400,88.358100,86.407500,87.625400,1752590
2018-05-21,87.892700,89.328400,87.625400,89.021500,947760
2018-05-22,88.882800,89.343200,87.298700,87.476900,1229390
2018-05-23,87.120400,87.120400,85.981800,86.575900,1615386
2018-05-24,86.625400,87.377900,86.556100,87.130300,928976
2018-05-25,86.942200,87.516500,86.813500,87.358100,670926
2018-05-29,87.041200,87.385300,85.962000,87.061000,963251
2018-05-30,87.476900,89.160100,87.358100,88.546200,941990
2018-05-31,88.526300,88.723700,86.525900,86.585600,1295276
2018-06-01,87.202600,87.849500,86.595500,87.103100,1113866
2018-06-04,86.924000,88.178000,86.675200,87.541000,3034093
2018-06-05,87.849500,88.178000,87.093200,87.421600,1822627
2018-06-06,87.302200,87.700300,86.794600,87.381800,1487836
2018-06-07,87.789800,88.088400,87.381800,87.570900,962469
2018-06-08,87.491300,88.168000,87.401700,87.899300,1211975
2018-06-11,88.048600,88.755200,87.590800,88.257600,1023126
2018-06-12,88.466600,90.676000,88.267500,90.397300,1544013
2018-06-13,90.636200,91.313000,90.039100,90.357500,1312072
2018-06-14,90.496900,90.546600,89.830100,89.999200,551598
2018-06-15,89.710600,90.128600,87.023500,89.660900,1414282
2018-06-18,89.113500,90.556600,88.317300,90.198300,1385503
2018-06-19,89.889800,90.049000,88.317300,89.551400,1529941
2018-06-20,89.561300,90.447100,89.113500,89.840000,867847
2018-06-21,89.949500,89.949500,89.163200,89.362300,1433525
2018-06-22,89.571300,89.879800,87.949100,88.187900,1235852
2018-06-25,87.799800,87.799800,84.674700,85.182300,1645124
2018-06-26,85.590300,86.237300,84.187100,84.485600,1021662
2018-06-27,84.545400,86.416400,83.301300,83.321200,923475
2018-06-28,83.072400,83.550100,81.838300,83.132100,1157629
2018-06-29,83.191800,84.306500,83.191800,83.261500,1494725
2018-07-02,83.261500,85.281800,83.261500,85.212200,1605061
2018-07-03,85.341500,86.242200,84.386100,84.585200,1009780
2018-07-05,84.953400,85.082800,83.351100,83.998000,1633698
2018-07-06,83.818800,84.376200,83.301300,84.057700,1346482
2018-07-09,84.346300,85.640100,84.147300,85.451000,1350427
2018-07-10,85.461000,85.918800,85.013100,85.470900,722310
2018-07-11,86.107900,86.496000,84.983300,85.431100,947798
2018-07-12,85.630200,85.739600,84.943400,85.421200,858740
2018-07-13,86.287000,86.605500,85.391300,86.326800,1009173
2018-07-16,86.784600,88.377000,85.840200,86.884200,1692729
2018-07-17,86.685100,87.650500,86.685100,87.282300,1266098
2018-07-18,87.371800,88.775100,86.933900,88.416800,786799
2018-07-19,88.028700,89.740500,87.750000,89.163200,1551980
2018-07-20,89.073700,90.138600,88.695800,89.889800,894123
2018-07-23,89.889800,90.715800,88.659200,89.213000,1232301
2018-07-24,89.571300,89.988300,88.506400,89.551400,1236736
2018-07-25,89.760400,91.442300,89.432000,91.313000,1140228
2018-07-26,91.253200,91.840400,89.555500,91.412500,1454451
2018-07-27,91.362700,92.049400,90.347600,91.014400,1016892
2018-07-30,90.865100,92.059400,89.571300,90.039100,1515528
2018-07-31,90.457100,92.188800,90.327700,91.790700,1991363
2018-08-01,93.353200,95.443200,91.940000,94.925700,2109699
2018-08-02,95.015200,95.591500,94.030000,94.975400,1306540
2018-08-03,94.975400,95.801500,93.492500,95.333700,1021858
2018-08-06,95.433200,95.930800,95.204300,95.761700,783664
2018-08-07,95.542700,95.929900,94.657000,95.861200,1022531
2018-08-08,95.672100,96.299100,94.513400,95.612400,790462
2018-08-09,94.129500,95.721900,94.089700,94.298700,1055105
2018-08-10,93.950300,94.776400,93.552200,94.448000,925933
2018-08-13,94.696800,94.696800,93.313400,93.492500,773232
2018-08-14,93.701500,94.104600,93.313400,93.522400,920072
2018-08-15,92.825700,94.258800,92.686400,94.119500,872992
2018-08-16,94.487800,95.950800,94.477800,95.940800,708800
2018-08-17,95.970700,97.025600,92.133700,96.677300,1009404
2018-08-20,96.547900,97.443600,96.448400,96.906200,800280
2018-08-21,80.813200,97.341000,80.813200,96.747000,790360
2018-08-22,96.756900,98.329400,96.756900,96.806700,681345
2018-08-23,96.796700,97.304300,95.811400,95.940800,569109
2018-08-24,96.169700,96.378700,95.831300,96.040300,484202
2018-08-27,96.269200,97.015700,96.060200,96.348900,820004
2018-08-28,96.488200,96.796700,95.612400,95.861200,560543
2018-08-29,95.811400,96.060200,95.184400,95.612400,593202
2018-08-30,95.572600,95.672100,94.318600,95.124700,689900
2018-08-31,95.244100,95.911000,94.816200,95.622300,939454
2018-09-04,95.403400,96.796700,95.174500,95.632300,826533
2018-09-05,95.015200,96.557900,95.015200,96.110000,1158164
2018-09-06,96.370000,98.000000,96.370000,97.200000,1258032
2018-09-07,96.940000,97.720000,95.860000,96.440000,638236
