Date,Open,High,Low,Close,Volume
2017-10-16,74.375800,74.897200,73.746300,74.110200,2315845
2017-10-17,74.789000,75.556200,73.441300,73.579000,2615935
2017-10-18,74.297100,75.507000,73.608500,75.320100,2010551
2017-10-19,74.602100,76.343200,74.061000,76.215300,1832679
2017-10-20,77.218600,77.907200,76.953000,77.779300,2181456
2017-10-23,77.838400,77.926900,77.169400,77.258000,2230051
2017-10-24,77.710500,78.733500,77.700600,78.261300,1963316
2017-10-25,78.910600,78.940100,77.061200,77.592400,1329845
2017-10-26,77.828500,78.699100,77.828500,78.408900,1313259
2017-10-27,78.054800,78.694100,77.897400,78.487600,965401
2017-10-30,77.985900,78.281000,77.110400,77.533400,960513
2017-10-31,77.356300,78.182600,77.179300,77.287500,1206367
2017-11-01,77.789200,78.477700,77.110400,77.169400,1161243
2017-11-02,77.169400,78.615500,76.825200,78.143300,1484196
2017-11-03,77.907200,78.940100,77.749800,78.448200,1584339
2017-11-06,78.212100,78.418700,77.582600,78.241700,1124402
2017-11-07,78.192500,78.408900,75.762800,75.900500,1606671
2017-11-08,75.428300,75.625100,74.336500,74.897200,1980854
2017-11-09,74.218400,75.054500,73.126500,74.051200,1393162
2017-11-10,74.316800,74.975900,73.667600,73.706900,1165647
2017-11-13,73.116700,75.890700,72.949500,75.684100,2256345
2017-11-14,75.280800,78.054800,75.280800,77.425200,2557814
2017-11-15,76.431700,78.384300,75.575900,77.592400,1942937
2017-11-16,78.241700,78.684300,77.031700,77.139900,1237679
2017-11-17,77.021900,78.517100,76.608800,77.838400,1262438
2017-11-20,78.113800,78.733500,77.985900,78.497400,1222872
2017-11-21,78.753200,78.753200,77.897400,78.103900,1171181
2017-11-22,78.212100,78.782700,77.877700,78.044900,875462
2017-11-24,78.290800,78.359700,77.258000,77.385900,433526
2017-11-27,77.474400,77.995700,77.110400,77.356300,1039552
2017-11-28,77.385900,79.687700,77.385900,79.510600,1762534
2017-11-29,80.130300,83.445300,80.120500,82.127200,3202183
2017-11-30,82.805900,83.888000,81.851800,81.950100,2650521
2017-12-01,82.087800,83.425600,80.130300,82.412400,2054497
2017-12-04,84.183100,85.363500,83.140400,83.720700,3165900
2017-12-05,83.809300,84.212600,82.481300,82.569800,1365893
2017-12-06,82.284600,82.648500,81.733700,81.871400,1386751
2017-12-07,81.418900,83.573200,81.350100,83.051800,1812893
2017-12-08,83.514200,84.232200,83.297800,84.006000,1348219
2017-12-11,83.828900,84.074900,83.012500,83.287900,1257950
2017-12-12,84.468300,84.852000,83.533800,84.468300,1571357
2017-12-13,84.409300,85.038900,83.346900,83.425600,1626558
2017-12-14,83.800800,83.939000,82.665500,82.675400,1478683
2017-12-15,83.307200,84.792900,83.060400,84.195600,3543931
2017-12-18,85.005100,85.725700,84.630000,85.153200,1676243
2017-12-19,85.933000,86.357500,85.350600,85.429600,2150398
2017-12-20,86.387100,86.505600,84.521400,85.449300,1215674
2017-12-21,86.071200,86.940000,85.923200,86.535200,2063494
