Date,Open,High,Low,Close,Volume
2017-10-16,96.088400,96.708400,95.990000,96.570600,4911623
2017-10-17,96.836300,96.905200,96.304900,96.797000,5942501
2017-10-18,96.797000,96.924900,95.999900,96.688700,5404326
2017-10-19,96.629700,97.722000,96.555700,97.436700,5634272
2017-10-20,97.869700,98.076300,97.367800,97.820500,5938716
2017-10-23,97.544900,97.604000,97.062700,97.131600,5888226
2017-10-24,96.954400,97.289000,96.501700,96.728100,4966173
2017-10-25,96.491900,96.659200,95.901400,96.245900,5144415
2017-10-26,96.029400,97.899200,95.704600,96.993800,6167514
2017-10-27,96.344300,96.797000,95.350300,96.747800,7868685
2017-10-30,96.560800,96.767500,96.149900,96.482100,7093151
2017-10-31,96.383700,96.527300,95.836700,96.255700,5701674
2017-11-01,96.570600,97.879500,96.442700,97.456300,6920435
2017-11-02,97.298900,97.544900,96.457500,96.787100,6799214
2017-11-03,96.797000,97.800700,96.344300,97.072500,5417514
2017-11-06,96.806800,99.523000,96.787100,99.040800,14728723
2017-11-07,99.680400,101.264800,99.139200,99.995300,12177479
2017-11-08,100.261000,100.379100,98.824200,99.572200,8023234
2017-11-09,99.227700,102.258800,99.198200,101.048300,13172478
2017-11-10,103.321600,104.551800,102.426100,103.115000,16701518
2017-11-13,102.485100,103.469200,102.327700,103.075600,7856012
2017-11-14,102.908300,102.908300,101.363200,101.530500,6929251
2017-11-15,101.117200,102.308000,100.820800,102.042300,5691471
2017-11-16,101.983200,102.327700,101.127100,101.953700,6410860
2017-11-17,101.579800,102.337500,101.334700,101.796300,7500844
2017-11-20,101.776600,101.776600,101.068000,101.117200,5112563
2017-11-21,101.333700,101.530500,101.156600,101.363200,5725938
2017-11-22,101.579800,101.678200,101.058200,101.107400,4140660
2017-11-24,101.274700,101.284500,100.822000,101.009000,2217591
2017-11-27,100.999100,101.333700,100.753100,101.156600,4007511
2017-11-28,100.930200,102.224300,100.546400,101.766700,8401145
2017-11-29,101.855300,104.571400,101.786400,103.567700,14503076
2017-11-30,103.685700,104.030200,102.805000,103.154300,9948999
2017-12-01,102.918100,104.168000,102.219400,103.577500,9258403
2017-12-04,104.807600,110.879600,104.807600,108.468500,17823953
2017-12-05,107.789500,108.291400,104.827300,105.516200,13055578
2017-12-06,105.467000,106.274000,103.685700,103.784200,8121673
2017-12-07,104.059700,104.315600,102.829600,103.587300,9948639
2017-12-08,103.398900,104.142900,103.247600,103.398900,6536601
2017-12-11,104.033700,105.988000,103.934500,105.978100,7433971
2017-12-12,106.573300,106.970100,105.735100,106.573300,8147001
2017-12-13,107.287600,107.327300,105.898800,106.751900,10368257
2017-12-14,106.434500,110.650600,106.345200,109.688300,27571330
2017-12-15,111.087100,111.106900,109.718100,110.382700,19978625
2017-12-18,110.948200,111.097000,109.425400,110.144600,12270002
2017-12-19,110.442200,111.493800,109.886700,110.918400,10546560
2017-12-20,110.729900,111.404500,108.815300,108.815300,8661137
2017-12-21,108.845100,110.204100,108.318500,108.696300,9372829
2017-12-22,108.616900,108.810400,107.585200,107.803400,7378369
2017-12-26,107.624900,108.497900,107.029700,107.257800,3982398
2017-12-27,107.555400,107.684400,106.598100,106.781700,5624037
2017-12-28,107.138800,107.188400,106.206300,106.910600,3477741
2017-12-29,107.188400,107.476100,106.652700,106.652700,4538403
2018-01-02,108.081200,110.918400,107.694300,110.908500,11014303
2018-01-03,111.295400,112.287400,110.561300,111.384700,9237926
2018-01-04,112.049300,112.098900,110.739800,111.335100,7417409
2018-01-05,111.781500,111.781500,110.353000,110.729900,6008285
2018-01-08,110.005700,110.392600,108.666500,109.142700,8052594
2018-01-09,109.251800,109.976000,108.984000,109.063300,5838021
2018-01-10,109.083200,109.618900,108.140700,108.597100,6059991
2018-01-11,109.370800,110.194200,108.636700,110.104900,6426959
2018-01-12,110.432300,111.821200,110.114900,111.573100,5899861
2018-01-16,112.168400,112.257600,109.737900,109.807300,8069201
2018-01-17,110.313300,111.315200,109.683300,111.077100,7030711
2018-01-18,110.849000,111.097000,109.321200,109.539500,8070928
2018-01-19,110.085100,110.204100,108.964100,109.708100,10514262
2018-01-22,109.390700,110.665400,109.182400,110.214100,8073624
2018-01-23,109.390700,110.253700,109.013700,109.529600,7477282
2018-01-24,110.075200,110.541400,109.410500,109.618900,7211784
2018-01-25,109.718100,110.928300,109.241900,109.668500,6291011
2018-01-26,109.926400,111.635000,109.787500,111.295400,7743825
2018-01-29,111.206100,111.553300,110.353000,110.650600,6847766
