Date,Open,High,Low,Close,Volume
2017-10-16,48.720000,49.450000,48.320000,49.030000,2164027
2017-10-17,49.000000,49.165000,48.680000,48.850000,1629223
2017-10-18,48.830000,50.090000,48.700000,49.710000,2999640
2017-10-19,49.550000,49.870000,49.040000,49.320000,2778344
2017-10-20,49.720000,49.840000,49.240000,49.300000,1824063
2017-10-23,49.480000,49.700000,48.730000,48.980000,1892691
2017-10-24,48.870000,49.070000,48.590000,49.000000,1474784
2017-10-25,48.900000,49.040000,48.260000,49.000000,1968814
2017-10-26,48.870000,49.030000,47.910000,47.920000,1676220
2017-10-27,47.570000,47.600000,46.410000,46.490000,4215683
2017-10-30,46.230000,49.000000,46.070000,48.390000,6043096
2017-10-31,48.420000,48.920000,47.530000,48.540000,2900399
2017-11-01,48.850000,49.130000,48.340000,48.770000,3100078
2017-11-02,48.720000,48.790000,47.950000,48.270000,1889323
2017-11-03,47.830000,48.300000,47.550000,48.070000,2379227
2017-11-06,49.850000,51.560000,49.570000,50.820000,5894399
2017-11-07,50.810000,51.150000,49.610000,50.070000,2565179
2017-11-08,49.990000,50.200000,48.447500,48.730000,3750512
2017-11-09,50.000000,51.890000,48.880000,50.300000,4499295
2017-11-10,50.130000,51.290000,50.000000,50.810000,2211731
2017-11-13,50.310000,50.870000,49.710000,50.860000,2263837
2017-11-14,50.700000,50.780000,50.040000,50.510000,2215918
2017-11-15,50.510000,50.870000,49.520000,50.610000,2532023
2017-11-16,50.460000,51.010000,50.025000,50.500000,2113716
2017-11-17,50.460000,50.790000,50.160000,50.660000,2041606
2017-11-20,50.600000,50.700000,49.280000,50.010000,1671308
2017-11-21,50.030000,50.180000,49.440000,50.040000,1892609
2017-11-22,50.040000,50.770000,49.770000,50.430000,1765874
2017-11-24,50.400000,50.780000,49.630000,49.870000,482857
2017-11-27,49.990000,49.990000,49.120000,49.650000,1570697
2017-11-28,49.800000,50.470000,49.420000,50.410000,2164366
2017-11-29,50.330000,51.660000,50.120000,51.280000,3026609
2017-11-30,51.250000,51.750000,50.210000,50.650000,2642043
2017-12-01,50.160000,51.080000,49.920000,50.320000,2485422
2017-12-04,50.540000,52.140000,50.350000,51.600000,2968408
2017-12-05,52.030000,52.530000,51.480000,52.030000,2495653
2017-12-06,52.030000,52.270000,49.290000,49.310000,3571415
2017-12-07,49.090000,49.420000,48.300000,48.950000,3322802
2017-12-08,49.360000,49.380000,48.480000,48.590000,1959308
2017-12-11,48.650000,49.700000,48.540000,49.430000,3160325
2017-12-12,49.570000,50.080000,49.510000,49.630000,1105248
2017-12-13,49.820000,50.320000,48.790000,48.990000,2639023
2017-12-14,49.060000,49.240000,48.450000,48.520000,1869430
2017-12-15,48.910000,48.980000,48.222000,48.570000,3042161
2017-12-18,48.800000,50.110000,48.730000,49.850000,2167712
2017-12-19,49.850000,49.850000,48.350100,48.470000,1739133
2017-12-20,48.930000,49.000000,48.490000,48.700000,1410212
2017-12-21,48.710000,49.840000,48.680000,49.120000,1628948
2017-12-22,49.110000,49.350000,48.430000,48.530000,1482550
2017-12-26,48.530000,48.850000,48.160000,48.340000,792824
2017-12-27,48.440000,48.460000,47.590000,47.670000,1196203
2017-12-28,47.670000,47.870000,47.470000,47.850000,975684
2017-12-29,47.700000,47.990000,47.610000,47.750000,1242264
2018-01-02,48.410000,50.490000,48.170000,50.200000,2876097
2018-01-03,50.070000,50.485000,49.220000,49.360000,2095629
2018-01-04,49.700000,49.700000,49.090000,49.380000,1370591
2018-01-05,49.390000,49.480000,48.450000,49.220000,2357490
2018-01-08,49.100000,49.240000,48.570000,48.900000,1886460
2018-01-09,49.000000,49.200000,48.520000,48.570000,1435924
2018-01-10,48.390000,48.510000,48.000000,48.410000,2131016
2018-01-11,48.420000,49.350000,48.270000,49.250000,1792058
2018-01-12,49.690000,49.780000,49.130000,49.480000,1461503
2018-01-16,49.570000,49.710000,47.930000,47.990000,2820055
2018-01-17,47.300000,47.380000,45.140000,45.450000,6754729
2018-01-18,45.440000,46.050000,45.100000,45.160000,3514932
2018-01-19,45.020000,45.580000,44.830000,45.260000,3164303
2018-01-22,45.360000,46.740000,45.240000,46.260000,2655352
2018-01-23,46.110000,46.460000,46.000000,46.330000,1544094
2018-01-24,46.560000,47.790000,46.430000,47.730000,2988135
2018-01-25,47.870000,48.213000,46.950000,47.030000,1607577
2018-01-26,47.210000,47.320000,46.510000,47.190000,1418424
2018-01-29,46.810000,47.640000,46.620300,47.300000,1715302
2018-01-30,47.360000,47.630000,47.120000,47.260000,1459469
2018-01-31,47.130000,47.541600,46.740000,46.900000,1793419
2018-02-01,46.750000,47.480000,46.730000,47.160000,1676443
2018-02-02,46.960000,47.586000,46.540000,46.790000,1960223
2018-02-05,46.620000,47.080000,44.670000,44.730000,3009797
2018-02-06,44.440000,45.750000,42.480000,43.320000,4373636
2018-02-07,44.750000,45.690000,44.090000,45.100000,4809805
2018-02-08,45.190000,45.390000,43.750000,43.770000,3059174
2018-02-09,44.090000,44.390000,42.285000,43.400000,3599719
2018-02-12,43.540000,44.350000,43.340000,44.000000,1955333
2018-02-13,43.840000,44.400000,43.430000,44.330000,2108668
2018-02-14,43.860000,45.080000,43.480000,44.930000,2011662
2018-02-15,45.130000,46.190000,44.630000,45.690000,2899624
2018-02-16,45.620000,46.300000,45.355000,45.690000,2188517
2018-02-20,45.580000,45.760000,44.440000,44.570000,3824910
2018-02-21,44.130000,45.150000,43.130000,43.180000,4234182
2018-02-22,43.490000,44.890000,43.430000,43.870000,3160071
2018-02-23,44.280000,44.860000,43.460000,44.480000,2737013
2018-02-26,44.630000,45.050000,44.260000,44.950000,1412940
2018-02-27,45.030000,45.030000,43.580000,43.640000,3985640
2018-02-28,43.640000,43.765000,41.670000,41.690000,4061224
2018-03-01,41.630000,42.030000,40.290000,40.720000,3626118
2018-03-02,40.320000,41.150000,40.220000,40.980000,2049013
2018-03-05,40.760000,41.900000,40.460000,41.450000,1627076
2018-03-06,41.740000,41.780000,40.951800,41.220000,1616913
2018-03-07,41.280000,41.660000,40.950000,41.420000,1714088
2018-03-08,41.680000,41.900000,41.320000,41.380000,2164165
2018-03-09,41.570000,41.700000,40.620000,40.760000,2280181
2018-03-12,40.900000,41.580000,40.780000,41.350000,2065935
2018-03-13,41.600000,41.750000,40.760000,40.990000,1935913
2018-03-14,40.970000,41.220000,40.470000,40.500000,1791867
2018-03-15,40.500000,41.200000,39.920000,40.080000,1794824
2018-03-16,40.350000,41.339200,40.205000,40.760000,3186084
2018-03-19,40.630000,40.640000,39.145000,39.650000,2404215
2018-03-20,39.760000,40.030000,38.582500,38.800000,3004654
2018-03-21,38.690000,39.660000,38.682900,39.060000,1566520
2018-03-22,38.680000,38.790000,37.750000,37.770000,2356661
2018-03-23,38.310000,38.360000,36.620000,36.650000,2489445
