Date,Open,High,Low,Close,Volume
2017-10-16,118.810000,119.000000,117.050000,117.480000,2601806
2017-10-17,117.200000,118.150000,115.630000,115.980000,3130345
2017-10-18,113.410000,113.750000,110.310000,113.160000,9784696
2017-10-19,112.000000,113.080000,111.120000,113.070000,3183207
2017-10-20,113.600000,114.280000,113.150000,113.620000,1988808
2017-10-23,113.810000,114.430000,112.730000,113.660000,2204960
2017-10-24,113.680000,114.720000,112.763000,113.390000,2006147
2017-10-25,113.200000,114.880000,112.590000,114.560000,3205348
2017-10-26,115.070000,117.060000,115.020000,115.830000,2453215
2017-10-27,116.830000,117.550000,115.410000,116.890000,2892120
2017-10-30,117.130000,117.770000,116.640000,117.580000,2614074
2017-10-31,118.125000,119.840000,116.370000,119.600000,5477404
2017-11-01,116.000000,116.600000,111.280000,114.470000,9669214
2017-11-02,114.350000,114.520000,112.600000,112.690000,3438269
2017-11-03,113.470000,113.760000,112.570000,113.200000,2925310
2017-11-06,112.990000,113.500000,110.760000,112.460000,3642475
2017-11-07,112.290000,112.720000,110.080000,111.700000,2830314
2017-11-08,112.450000,115.600000,112.100000,114.150000,3393953
2017-11-09,112.990000,113.300000,110.940000,111.890000,3445746
2017-11-10,111.260000,112.830000,110.820000,112.750000,2534088
2017-11-13,112.000000,113.240000,111.190000,112.010000,3168263
2017-11-14,110.600000,113.900000,110.390000,112.270000,3618044
2017-11-15,112.720000,112.870000,110.520000,111.480000,2585931
2017-11-16,111.850000,113.130000,111.210000,111.600000,2445824
2017-11-17,108.990000,109.550000,107.500000,108.820000,8556371
2017-11-20,108.280000,108.450000,106.750000,107.640000,5975006
2017-11-21,107.780000,108.769900,107.540000,107.710000,3298413
2017-11-22,108.040000,108.440000,106.610000,107.320000,2558220
2017-11-24,107.660000,108.580000,107.590000,107.940000,1306290
2017-11-27,107.860000,108.285000,106.790000,106.990000,2540099
2017-11-28,106.990000,110.520000,106.740000,109.470000,5499398
2017-11-29,109.210000,109.390000,104.950000,105.490000,5590651
2017-11-30,106.110000,106.500000,105.060000,106.350000,5395195
2017-12-01,105.860000,106.870000,103.950000,106.020000,3859396
2017-12-04,105.530000,105.875000,100.680000,100.830000,6573170
2017-12-05,100.550000,105.192600,99.630000,103.380000,4582266
2017-12-06,102.960000,103.920000,100.410000,103.180000,4668409
2017-12-07,103.230000,105.600000,102.750000,104.370000,3590483
2017-12-08,104.490000,106.400000,104.420000,105.270000,3535367
2017-12-11,105.610000,108.160000,105.000000,107.920000,3998236
2017-12-12,108.000000,108.920000,107.020000,107.660000,3880660
2017-12-13,107.710000,108.310000,105.220000,105.540000,3790114
2017-12-14,105.200000,107.620000,104.700000,106.420000,2751181
2017-12-15,107.770000,109.680000,106.630000,109.280000,6107280
2017-12-18,109.890000,110.000000,106.560000,107.340000,4375271
2017-12-19,107.420000,107.755800,106.690000,107.000000,2077177
2017-12-20,107.500000,108.870000,107.150000,108.450000,2650972
2017-12-21,107.880000,108.735000,107.780000,107.970000,2804598
2017-12-22,108.310000,108.310000,105.675000,106.020000,2424624
2017-12-26,105.660000,106.020000,104.650000,105.060000,1690146
2017-12-27,105.400000,106.440000,104.580000,105.230000,2527483
2017-12-28,105.290000,105.550000,104.550000,105.310000,1439145
2017-12-29,105.290000,105.680000,104.390000,105.060000,2113576
2018-01-02,106.150000,110.000000,105.350000,109.450000,4599120
2018-01-03,109.750000,111.330000,109.370000,109.750000,3210580
2018-01-04,109.870000,110.550000,106.670000,107.190000,3777937
2018-01-05,108.020000,112.755000,107.590000,112.390000,5962962
2018-01-08,113.500000,114.169000,111.200000,113.220000,4579079
2018-01-09,113.330000,113.650000,110.460000,112.180000,4111726
2018-01-10,111.500000,113.300000,111.286000,112.250000,2493593
2018-01-11,112.560000,113.000000,111.700000,112.000000,2788765
2018-01-12,110.490000,113.899900,110.490000,113.130000,3467371
2018-01-16,114.000000,114.700000,111.610000,111.920000,3570784
2018-01-17,113.000000,113.430000,111.520000,113.140000,2708990
2018-01-18,114.050000,115.630000,113.200000,115.280000,4353909
2018-01-19,115.350000,116.410000,114.721000,116.180000,3534229
2018-01-22,116.320000,118.300000,115.820000,117.990000,4235813
2018-01-23,117.880000,118.669900,116.941000,117.670000,3449687
2018-01-24,118.410000,118.410000,114.260000,114.660000,6553553
2018-01-25,115.700000,115.970000,113.670000,114.500000,3457720
2018-01-26,115.330000,116.240000,113.540000,115.200000,3417625
2018-01-29,115.210000,119.410000,115.210000,117.650000,6486518
2018-01-30,116.400000,119.320000,116.400000,118.700000,8493560
2018-01-31,129.550000,131.010000,126.470000,126.960000,14727303
2018-02-01,126.750000,130.060000,126.011000,128.180000,6297155
2018-02-02,127.680000,128.170000,124.460000,124.530000,6471203
2018-02-05,123.730000,126.210000,120.680000,121.640000,4533443
2018-02-06,118.860000,123.349900,117.760000,123.130000,4652254
2018-02-07,122.860000,125.000000,122.180000,123.050000,4066883
2018-02-08,123.000000,123.000000,116.520000,116.540000,5478948
2018-02-09,117.960000,122.140000,114.670000,120.640000,5945147
2018-02-12,121.780000,124.160000,121.530000,122.220000,3695119
2018-02-13,120.850000,123.130000,120.580000,122.280000,2388692
2018-02-14,121.230000,124.870000,121.230000,123.770000,4293416
2018-02-15,124.830000,127.030000,123.440000,126.480000,3207060
2018-02-16,126.430000,126.790000,125.140000,126.020000,3214545
2018-02-20,125.370000,127.550000,125.350000,126.340000,2540562
2018-02-21,126.610000,128.100000,124.810000,124.900000,3191738
2018-02-22,125.790000,126.350000,123.920000,124.610000,1919655
2018-02-23,125.100000,127.280000,123.740000,127.100000,2476862
2018-02-26,127.390000,128.800000,126.910000,128.570000,2877814
2018-02-27,128.060000,128.600000,125.550000,125.800000,3158806
2018-02-28,126.510000,127.750000,123.670000,123.700000,3495961
2018-03-01,124.540000,124.940000,121.330000,122.170000,3919219
2018-03-02,120.940000,125.310000,120.580000,125.090000,2935819
2018-03-05,124.160000,126.629900,123.690000,126.100000,1642530
2018-03-06,126.480000,126.590000,123.460000,124.550000,2269266
2018-03-07,123.630000,127.510000,123.249200,127.170000,2679259
2018-03-08,127.380000,129.870000,126.800000,128.820000,3693595
2018-03-09,129.970000,130.860000,128.190000,128.490000,2647546
2018-03-12,128.560000,129.250000,127.560000,128.120000,2341087
2018-03-13,129.050000,129.296700,125.880000,126.570000,2948564
2018-03-14,126.890000,128.080000,123.640000,127.970000,3579541
2018-03-15,128.190000,129.850000,126.540000,129.120000,2690652
2018-03-16,130.350000,131.130000,128.130000,128.520000,4187150
2018-03-19,127.530000,128.080000,124.170000,125.440000,3207737
2018-03-20,125.770000,127.780000,125.030000,126.850000,1960133
