Date,Open,High,Low,Close,Volume
2017-10-16,75.015000,75.303800,74.523800,74.764600,1698111
2017-10-17,74.706800,74.976400,74.080900,74.726100,3760758
2017-10-18,74.774200,75.457900,74.702000,74.966800,1975036
2017-10-19,75.092000,76.526800,74.841600,76.526800,1321038
2017-10-20,76.392000,76.868700,76.223500,76.652000,1795688
2017-10-23,76.883100,77.229800,76.339000,77.046800,1217724
2017-10-24,76.623100,76.979400,76.372700,76.912000,1384734
2017-10-25,76.469000,76.671300,75.640900,76.083800,1734420
2017-10-26,76.632700,76.947300,75.795000,75.814200,1359617
2017-10-27,75.689000,76.680900,75.679400,76.526800,966804
2017-10-30,76.401600,76.830100,76.199400,76.642400,1751084
2017-10-31,77.605300,77.653500,76.343800,76.989000,2026032
2017-11-01,77.152700,77.152700,76.069400,76.151300,1378566
2017-11-02,76.295700,76.469000,75.717900,76.141600,1851542
2017-11-03,75.910500,77.085300,75.910500,76.575000,1185900
2017-11-06,76.623100,76.777200,75.910500,75.929800,927103
2017-11-07,76.045300,76.738700,75.766100,76.459400,1647068
2017-11-08,76.353500,77.451300,76.353500,77.229800,2393112
2017-11-09,77.017900,77.383900,76.392000,77.364600,1377437
2017-11-10,76.960100,77.268300,76.565300,77.095000,1232134
2017-11-13,77.210500,78.144600,77.186400,78.096400,1096078
2017-11-14,77.971300,79.733500,77.730500,79.579400,2575468
2017-11-15,79.810500,80.292000,78.655000,78.809000,1554871
2017-11-16,78.818700,78.972700,78.472000,78.722400,1384340
2017-11-17,78.452700,78.751300,77.769000,77.894200,1574315
2017-11-20,77.846100,78.019400,77.412700,77.451300,1342924
2017-11-21,77.537900,77.663100,77.220100,77.249000,1464761
2017-11-22,77.249000,77.460900,76.767600,77.181600,1157993
2017-11-24,77.470500,78.135000,77.374200,77.566800,567613
2017-11-27,77.634200,78.019400,77.364600,77.826800,918158
2017-11-28,78.048300,78.342000,77.865300,78.135000,1356629
2017-11-29,77.971300,78.597200,77.701600,78.395000,1354763
2017-11-30,78.346800,78.809000,78.000100,78.260100,2391785
2017-12-01,78.693500,78.924600,77.499400,77.769000,1600928
2017-12-04,77.749800,78.183100,77.172000,77.287600,1608162
2017-12-05,76.815700,76.815700,66.579400,67.407500,17109960
2017-12-06,65.924600,67.407500,65.289000,66.174900,10027619
2017-12-07,66.377200,69.603100,65.732000,69.112000,7682644
2017-12-08,69.140900,70.593000,68.601600,69.140900,5823869
2017-12-11,69.034900,70.517900,68.996400,70.277200,3807996
2017-12-12,66.040100,67.571200,64.788300,66.040100,10717432
2017-12-13,66.858600,67.889000,66.117200,67.214900,4615756
2017-12-14,66.290500,67.080100,66.117200,66.723800,4087576
2017-12-15,66.916400,67.792700,66.887500,67.128300,4531667
2017-12-18,67.426800,68.351200,67.426800,68.322400,3687099
2017-12-19,68.283800,68.481200,67.012700,67.263100,4518932
2017-12-20,67.214900,67.484600,65.394900,65.770500,6041477
2017-12-21,63.738600,64.037200,60.349000,60.965300,9494457
2017-12-22,61.543100,62.958600,61.408300,62.814200,4807726
2017-12-26,62.833500,62.881600,61.620100,61.668300,2666872
2017-12-27,61.668300,62.448300,61.572000,62.014900,2085424
2017-12-28,62.321100,62.457200,61.553200,62.155900,1964403
2017-12-29,62.311400,62.457200,61.426800,61.475400,2125647
2018-01-02,61.854500,61.854500,60.843600,61.485100,2387937
2018-01-03,61.446300,61.951700,60.610300,60.999100,3595666
2018-01-04,61.086600,61.528900,60.454700,60.551900,3970894
2018-01-05,60.882400,61.363600,60.299200,61.222700,3719790
2018-01-08,61.154600,62.486400,60.999100,62.408600,3473944
2018-01-09,62.418400,62.544700,61.446300,61.747600,5086104
2018-01-10,61.835100,61.932300,60.765800,61.086600,3587148
2018-01-11,61.407400,61.650400,60.270000,60.581100,2945423
2018-01-12,60.406100,61.125500,59.540900,59.706200,3170664
2018-01-16,59.793700,60.075600,58.948000,59.618700,5043850
2018-01-17,59.881200,60.231100,59.463200,59.988100,3045456
2018-01-18,59.949200,60.892200,59.871500,60.192300,3358988
2018-01-19,60.143600,60.843600,59.725600,60.386700,3222289
2018-01-22,60.610300,60.833800,60.075600,60.406100,2595179
2018-01-23,60.435300,60.999100,60.114500,60.308900,2948751
2018-01-24,60.386700,60.396400,59.803400,59.978400,3296099
2018-01-25,59.978400,60.736600,59.910300,60.668600,2682837
2018-01-26,60.989400,61.086600,59.861700,60.717200,2638257
2018-01-29,60.435300,61.718400,60.172800,60.668600,3377356
2018-01-30,60.658900,61.222700,60.464400,60.756100,2668036
2018-01-31,60.775500,61.106000,59.570100,60.785200,8259686
2018-02-01,60.707500,65.674900,59.813200,60.017300,8274442
2018-02-02,59.745100,60.221400,59.453500,59.881200,4418230
2018-02-05,59.725600,60.231100,58.646600,58.821600,5521031
2018-02-06,58.238300,59.113200,57.120400,58.675800,4053804
2018-02-07,58.461900,59.268800,57.888400,58.024500,3077462
2018-02-08,57.839800,57.956400,56.410800,56.449700,3765726
2018-02-09,56.848200,57.625900,56.022000,57.295400,4457682
2018-02-12,57.402300,58.695200,57.052400,58.384200,2853644
2018-02-13,57.995300,58.734100,57.723100,58.491100,2338888
2018-02-14,58.150800,58.345300,57.519000,57.587000,2033381
2018-02-15,58.063400,58.442500,57.538400,58.413300,2878674
2018-02-16,58.364700,59.657600,58.364700,59.346500,4010051
2018-02-20,59.113200,59.220200,58.189700,58.627200,2635617
2018-02-21,58.666100,58.957700,57.402300,57.441200,3382567
2018-02-22,57.674500,58.510500,57.227400,58.073100,2882467
2018-02-23,60.270000,60.814400,59.201700,60.435300,3884370
2018-02-26,60.338100,60.425600,59.584700,59.900600,2902955
2018-02-27,59.871500,60.872700,59.142400,59.152100,3497726
2018-02-28,59.414600,59.638200,58.666100,58.899400,3906195
2018-03-01,58.957700,59.920100,58.568800,59.084100,3417127
2018-03-02,59.016000,59.589600,57.392600,57.927300,3112932
2018-03-05,57.752300,59.142400,57.470400,58.977100,2790683
2018-03-06,58.802200,58.918800,57.800900,58.393900,2319709
2018-03-07,58.530000,58.938200,57.159300,57.460700,2400438
2018-03-08,57.373200,58.180000,57.246800,57.898100,1715998
2018-03-09,57.849500,57.946700,57.295400,57.723100,2594540
2018-03-12,57.625900,58.714700,57.606500,58.520200,2155800
2018-03-13,58.228600,61.183800,57.470400,60.328300,5551073
2018-03-14,60.678300,62.875200,60.678300,62.029500,7544483
2018-03-15,62.039200,62.894700,61.767000,62.214200,5951913
2018-03-16,62.379500,63.332100,61.971200,63.332100,9180847
2018-03-19,63.264100,63.447800,61.971200,62.243400,3397046
2018-03-20,62.311400,62.632200,60.581100,60.989400,4268922
2018-03-21,61.028300,61.232400,60.046400,60.202000,1911519
2018-03-22,60.163100,62.243400,60.163100,61.164300,3191378
2018-03-23,61.300400,61.844800,60.328300,60.425600,2949323
2018-03-26,60.668600,60.795000,59.754800,60.279700,2683974
2018-03-27,60.279700,62.003500,59.997800,61.387900,2216569
2018-03-28,61.834500,62.227100,61.284900,61.903200,2537595
