Date,Open,High,Low,Close,Volume
2017-10-16,62.736100,63.518800,62.276200,63.049200,2489934
2017-10-17,64.154800,64.673300,63.890600,64.066700,3794441
2017-10-18,64.017800,64.389600,63.841700,64.096100,2330216
2017-10-19,63.900400,64.105900,63.636200,63.753600,2103132
2017-10-20,64.105900,64.419000,63.822100,64.360300,2648105
2017-10-23,64.321100,65.010900,64.311300,64.673300,2488174
2017-10-24,65.054900,65.857200,64.986400,65.299500,2980195
2017-10-25,65.299500,65.505000,64.452300,65.064700,2745131
2017-10-26,65.348500,65.602800,64.996200,65.387600,2006067
2017-10-27,65.475600,66.322000,65.270200,65.925700,3545190
2017-10-30,65.818100,66.180100,65.622400,65.886600,3841723
2017-10-31,65.573500,65.671300,62.941600,63.068700,9603582
2017-11-01,63.166600,63.489500,62.657800,62.687200,5365549
2017-11-02,62.794800,62.843700,62.178400,62.246900,4037090
2017-11-03,62.423000,63.362200,62.198000,62.716500,4439470
2017-11-06,62.863300,63.411200,62.599100,63.127400,3690440
2017-11-07,62.657800,62.992900,61.327200,61.718500,4358115
2017-11-08,61.679400,61.855500,60.867300,61.170600,2553277
2017-11-09,60.769500,60.970000,58.861600,60.153100,5954140
2017-11-10,60.025900,60.309600,59.634500,60.280300,3613357
2017-11-13,60.299800,60.299800,59.869300,60.065000,2557309
2017-11-14,59.898700,60.143300,59.419300,59.429000,2850095
2017-11-15,59.184400,59.389900,58.206000,58.303900,4276694
2017-11-16,57.267700,58.934900,56.695500,58.224600,10266696
2017-11-17,58.066800,59.428200,57.899100,59.043400,5091761
2017-11-20,59.063200,59.620600,58.816500,59.447900,5449384
2017-11-21,59.526800,59.872100,59.210200,59.536700,3277548
2017-11-22,59.931300,61.243400,59.901700,61.046100,5881522
2017-11-24,61.144700,61.282800,60.730400,60.799400,2182603
2017-11-27,60.789600,61.440700,60.789600,61.046100,3663521
2017-11-28,61.776100,63.300300,61.736600,63.285500,6466878
2017-11-29,63.196700,63.699800,62.950100,63.009300,3929495
2017-11-30,63.315100,64.183200,63.177000,63.946500,5307042
2017-12-01,64.035200,64.420000,62.683700,63.818200,4002806
2017-12-04,64.469300,65.751800,64.203000,64.222700,4531121
2017-12-05,63.960400,64.439700,63.719600,63.808300,2806107
2017-12-06,63.768900,64.498900,63.680100,63.857700,3011741
2017-12-07,63.985900,64.913300,63.808300,64.893500,3412629
2017-12-08,64.942800,65.870200,64.706100,65.653100,3973899
2017-12-11,65.465700,66.008300,65.404000,65.515000,2291936
2017-12-12,65.801100,66.126700,65.376900,65.771500,2756398
2017-12-13,65.998400,66.639700,65.909700,66.294400,3306823
2017-12-14,66.521300,66.915900,65.603800,65.613700,2887715
2017-12-15,66.097100,66.619900,65.850400,66.353600,4387039
2017-12-18,66.866600,67.951700,66.600200,67.438800,3989432
2017-12-19,67.537400,67.843200,67.231600,67.616300,3494373
2017-12-20,68.070100,68.800200,67.762800,68.030700,5109796
2017-12-21,68.316800,68.859300,67.882700,68.642300,2668652
2017-12-22,68.770600,68.898800,68.257600,68.721200,1790218
2017-12-26,68.760700,68.829700,68.425300,68.593000,1002200
2017-12-27,68.810000,68.839600,68.464700,68.810000,1043448
2017-12-28,68.918500,69.056700,68.597900,69.036900,1452960
2017-12-29,69.096100,69.263800,68.750800,68.750800,1848874
2018-01-02,69.115800,69.806400,68.760700,69.786700,3086515
2018-01-03,69.766900,70.497000,69.273700,70.427900,3308783
2018-01-04,70.536400,70.842300,70.248400,70.526600,2806379
