Date,Open,High,Low,Close,Volume
2017-10-16,62.956900,63.455800,62.138700,62.418100,1992710
2017-10-17,62.378200,63.351000,62.258500,63.176400,2440829
2017-10-18,63.076600,63.585500,62.488000,62.797300,1621071
2017-10-19,62.507900,63.026700,62.228500,62.917000,2979347
2017-10-20,62.936900,63.635300,62.697500,63.206300,1979713
2017-10-23,63.545600,64.503400,62.797300,62.827200,3305941
2017-10-24,63.415800,64.194100,62.996800,63.904700,2848213
2017-10-25,63.455800,63.765100,60.502500,60.722000,6972326
2017-10-26,60.722000,60.722000,58.068000,59.933800,6846637
2017-10-27,59.414900,64.882500,59.105600,63.166400,11653173
2017-10-30,63.156400,63.495700,61.480200,61.809500,5409650
2017-10-31,62.068900,62.936900,61.500200,62.398200,2963345
2017-11-01,62.936900,63.237800,61.779600,61.919200,3375101
2017-11-02,61.759600,62.847100,61.400400,61.889300,2166406
2017-11-03,61.999100,63.096600,60.672100,62.637600,2822249
2017-11-06,63.136500,63.894800,62.448000,63.685200,3827658
2017-11-07,63.685200,63.974600,62.617700,63.096600,2663753
2017-11-08,63.226300,64.663000,62.667500,64.303800,5371413
2017-11-09,64.422900,65.830400,64.422900,65.790500,9547121
2017-11-10,65.700600,65.910200,64.313100,65.061800,22746698
2017-11-13,65.071800,65.700600,64.113500,64.462900,8251678
2017-11-14,64.313100,64.422900,60.220600,60.490100,5644776
2017-11-15,59.811300,59.891200,58.453800,59.402100,6962914
2017-11-16,60.100800,60.100800,58.633500,59.192500,2679689
2017-11-17,59.242400,59.591700,58.653400,58.922900,2701753
2017-11-20,58.643400,59.292300,57.864900,59.222400,3718864
2017-11-21,59.232400,59.501900,57.815000,58.214200,2349793
2017-11-22,58.214200,58.673400,57.894800,58.074500,1721472
2017-11-24,58.014600,58.234200,57.116200,57.545400,1167237
2017-11-27,57.695200,57.805000,56.367600,56.776800,3714423
2017-11-28,56.776800,57.136200,56.237800,56.766900,2834065
2017-11-29,56.796800,58.174300,56.577200,58.004600,2846614
