Date,Open,High,Low,Close,Volume
2017-10-16,79.768700,81.131300,79.507700,80.609500,2092917
2017-10-17,80.648100,81.759500,80.590100,81.759500,1559887
2017-10-18,81.131300,81.933500,81.131300,81.817500,1421186
2017-10-19,82.146100,82.561600,81.696700,82.494000,1516121
2017-10-20,82.387700,82.841900,82.107400,82.783900,1617487
2017-10-23,83.054500,83.102800,82.358700,82.368300,1725587
2017-10-24,82.774200,83.499100,81.836800,83.093200,1796695
2017-10-25,83.228500,83.586000,81.537200,83.441100,1586639
2017-10-26,83.856600,84.078900,83.218800,83.286400,1012807
2017-10-27,83.247800,83.924300,82.987000,83.856600,1142415
2017-10-30,83.789000,83.789000,83.131800,83.489400,1146722
2017-10-31,83.296100,83.731000,83.151100,83.363800,979249
2017-11-01,83.421700,83.460400,82.378000,82.793600,1368664
2017-11-02,83.015900,83.837300,82.416700,83.731000,2217076
2017-11-03,83.576400,84.900400,83.402400,84.078900,1062341
2017-11-06,84.011300,84.349500,83.344400,83.460400,956047
2017-11-07,83.450700,84.146600,83.141500,83.934000,911719
2017-11-08,83.803400,84.456700,83.588600,84.213500,1937939
2017-11-09,83.940100,84.565100,83.608100,84.389300,1346507
2017-11-10,83.930300,84.262300,83.100300,83.129600,1196622
2017-11-13,83.227300,84.652900,83.227300,84.604100,1476054
2017-11-14,84.389300,85.443900,84.164700,85.365800,1219673
2017-11-15,85.443900,85.883300,84.252600,84.399100,1581441
2017-11-16,84.233100,84.457600,83.783900,83.881500,875348
2017-11-17,83.647200,85.170500,83.647200,84.477200,1216439
2017-11-20,84.477200,84.477200,83.227300,83.637400,1007723
2017-11-21,83.705700,84.086600,83.481100,83.598300,788488
2017-11-22,83.510400,83.700900,82.856200,83.500700,572538
2017-11-24,83.539700,83.901000,83.266300,83.364000,235103
2017-11-27,83.588600,84.350200,83.246800,84.057300,1463578
2017-11-28,84.428400,84.760400,84.096300,84.311200,1218178
2017-11-29,83.988900,84.330700,83.451800,84.125600,831648
2017-11-30,84.203800,84.721300,83.735000,84.447900,1405060
2017-12-01,84.779900,85.043500,83.110100,83.510400,1319732
2017-12-04,83.676400,83.720400,82.084700,82.387500,2665858
2017-12-05,82.563200,82.602300,80.825100,81.176600,1701765
2017-12-06,81.420700,81.850400,81.049700,81.625800,1148476
2017-12-07,81.567200,81.752700,81.049700,81.733200,801164
2017-12-08,81.577000,82.294700,81.323100,82.065200,944958
2017-12-11,81.869900,82.641400,81.684400,82.592500,2303628
2017-12-12,81.303500,83.227300,81.176600,81.303500,1540970
2017-12-13,81.401200,81.830900,81.020400,81.362100,1228513
2017-12-14,81.108200,81.293800,79.926700,80.717600,1288603
2017-12-15,81.069200,82.114000,80.991100,81.830900,4644377
2017-12-18,81.713700,82.114000,80.385600,80.746900,1789030
2017-12-19,80.834800,80.922700,79.067400,79.125900,1702625
2017-12-20,78.950200,79.370100,78.295900,78.315400,978310
2017-12-21,78.012700,78.901400,77.788100,78.237300,978724
2017-12-22,78.403300,78.940400,78.281300,78.422900,1164611
2017-12-26,78.637700,78.950200,77.944400,78.022500,634836
2017-12-27,78.090900,78.725600,77.928800,78.608400,1021727
2017-12-28,78.852500,79.262700,78.579100,79.252900,790609
2017-12-29,79.536100,79.682600,79.195100,79.477500,777111
2018-01-02,79.790000,80.688300,78.999000,80.659100,1813171
2018-01-03,80.385600,81.010600,79.604400,79.770400,1474880
2018-01-04,79.614200,79.838800,78.540000,78.647500,1095264
2018-01-05,78.784200,79.008800,77.807700,78.042000,1328504
2018-01-08,78.208000,78.979500,78.095700,78.940400,1110989
2018-01-09,78.842800,79.116200,77.944400,78.237300,938233
2018-01-10,77.876000,78.032300,77.143600,77.612400,981308
2018-01-11,77.417100,78.022500,77.099700,77.309700,1483632
2018-01-12,76.889800,77.338900,76.352700,76.382000,998700
2018-01-16,76.548000,76.743300,75.053900,75.844900,1352420
2018-01-17,76.167100,76.870200,75.952300,76.665200,1347579
2018-01-18,76.694500,76.760400,75.542200,75.962100,1069089
2018-01-19,76.118300,76.479600,74.956300,75.180900,1382694
2018-01-22,75.678900,76.020700,74.848900,75.024600,1348141
2018-01-23,75.161300,76.557700,75.063700,75.835100,1321203
2018-01-24,75.796100,75.844900,74.809800,74.897700,1945725
2018-01-25,74.897700,76.264800,74.751500,76.245300,1061739
2018-01-26,76.450300,76.684700,75.630100,76.450300,1370052
2018-01-29,76.167100,76.308700,74.917200,75.024600,1055213
2018-01-30,75.005100,76.533300,75.005100,76.069500,1786171
2018-01-31,76.040200,76.958100,75.102800,76.840900,1632272
2018-02-01,76.626100,77.124100,74.975800,75.307800,1843430
2018-02-02,74.936800,75.639800,74.116500,74.194600,1209803
2018-02-05,74.087200,74.839100,72.642000,72.661500,1697217
2018-02-06,71.909600,72.602900,70.259300,72.026800,2439251
2018-02-07,71.959700,73.610600,71.781700,71.939900,1759927
2018-02-08,71.742200,72.859300,71.168800,71.198400,1572721
2018-02-09,71.504900,74.006000,71.317100,73.284400,1616980
2018-02-12,73.403000,74.144500,72.582500,73.778700,1249783
2018-02-13,73.709500,74.421300,72.809900,74.193900,757855
2018-02-14,73.679800,74.065400,72.888900,73.136100,821031
2018-02-15,73.442500,75.528500,73.007600,75.439500,1626899
2018-02-16,75.370300,76.121600,75.370300,75.844800,1349620
2018-02-20,75.380200,75.834900,73.986300,74.569500,905033
2018-02-21,74.559700,75.182500,73.581000,73.590800,1197966
2018-02-22,73.847900,74.965000,73.452400,74.174100,1797459
2018-02-23,73.956600,76.971800,72.711000,76.853200,2000542
2018-02-26,77.070700,77.110200,75.676800,76.072200,1118804
2018-02-27,76.121600,77.466100,75.152800,75.172600,1873686
2018-02-28,75.528500,75.837200,74.935300,74.955100,1782260
2018-03-01,75.004500,76.349000,74.707900,75.014400,1797949
2018-03-02,74.945200,75.933800,74.796900,75.666900,1660416
2018-03-05,75.587800,77.950500,75.182500,77.673700,1493560
2018-03-06,77.485900,77.485900,76.319400,76.833400,1452107
2018-03-07,76.527000,76.833400,75.360400,75.884400,1456628
2018-03-08,76.161200,76.161200,75.360400,75.785500,1437256
2018-03-09,75.943700,76.072200,75.320900,75.904100,1600000
2018-03-12,76.042500,76.418200,75.716300,76.349000,1054033
2018-03-13,76.507200,77.298100,75.973300,76.210600,826614
2018-03-14,76.457800,77.020100,76.190800,76.615900,998519
2018-03-15,76.645600,77.520500,76.309500,76.645600,1087095
2018-03-16,76.902600,78.108700,76.764200,77.980200,3495548
2018-03-19,77.980200,78.336100,77.268400,77.644100,1325366
2018-03-20,77.466100,78.108700,77.317800,77.861600,1520115
2018-03-21,77.851700,78.098800,76.566500,77.357400,1172084
2018-03-22,77.456200,79.235700,77.042000,77.456200,1174969
2018-03-23,77.723200,78.247100,76.309500,76.467600,831670
2018-03-26,76.596200,77.377100,76.418200,77.248600,748508
2018-03-27,77.327700,79.196200,77.031100,78.385500,1038526
2018-03-28,78.662300,79.136800,77.752800,78.098800,1299900
2018-03-29,78.306400,78.790800,77.861600,77.881300,1301651
2018-04-02,78.059300,78.977700,77.387000,77.990100,1222519
2018-04-03,77.831900,78.830400,77.535300,78.286700,1175225
2018-04-04,78.296500,79.127000,77.742900,78.336100,1156056
2018-04-05,78.355900,79.047900,77.001500,78.850200,1311932
2018-04-06,79.107200,79.107200,77.861600,78.079000,1041057
2018-04-09,78.098800,78.711700,77.841800,78.059300,928172
2018-04-10,78.266900,78.790800,77.426600,77.614400,1497202
2018-04-11,77.565000,77.980200,77.268400,77.555100,753440
2018-04-12,77.683600,77.918100,76.269900,76.467600,709943
2018-04-13,76.615900,77.871400,76.615900,77.752800,1360652
2018-04-16,78.039500,78.919400,77.920900,78.721600,1255781
2018-04-17,78.692000,79.482900,78.266900,79.235700,1247755
2018-04-18,79.393900,79.675100,78.583200,78.652400,1457906
2018-04-19,78.593100,79.443300,78.108700,79.107200,1896901
2018-04-20,79.097300,79.215900,77.723200,78.079000,1416409
2018-04-23,78.425100,78.830400,77.960400,78.346000,879397
2018-04-24,78.593100,79.967300,78.474500,79.186300,1386613
2018-04-25,78.474500,79.235700,77.317800,78.514000,1221633
2018-04-26,78.731500,80.402200,78.355900,80.362700,1715539
2018-04-27,80.155100,81.479800,80.016700,81.173300,1949921
2018-04-30,81.222800,81.499200,80.639500,80.659300,1061438
2018-05-01,80.688900,80.896500,80.066100,80.303400,935926
2018-05-02,80.125400,80.787800,79.898100,80.679000,1926989
2018-05-03,80.570300,81.687400,79.898100,81.410600,1596679
2018-05-04,81.380900,81.677500,81.094300,81.262300,972854
2018-05-07,81.242500,81.479800,80.461600,80.619700,917772
2018-05-08,80.006800,80.036500,78.039500,78.494300,1539068
2018-05-09,78.640000,78.892000,77.570000,78.020000,1025270
2018-05-10,78.620000,79.060000,78.030000,78.960000,727249
2018-05-11,79.150000,79.220000,78.670000,78.850000,493225
2018-05-14,79.060000,79.130000,78.110000,78.550000,1228099
2018-05-15,78.160000,78.380000,77.090000,77.550000,1015744
2018-05-16,77.670000,77.770000,76.580000,76.970000,894820
2018-05-17,76.990000,77.150000,76.020000,76.260000,1292529
2018-05-18,76.300000,76.510000,75.450000,76.140000,1012942
2018-05-21,76.430000,76.480000,75.780000,76.250000,877697
2018-05-22,76.560000,77.090000,76.090000,76.680000,989234
2018-05-23,76.920000,78.790000,76.790000,78.740000,1958781
2018-05-24,78.520000,79.550000,78.190000,79.480000,1252780
2018-05-25,79.480000,80.160000,79.480000,79.730000,1128167
2018-05-29,79.570000,80.460000,79.240000,79.620000,1607544
2018-05-30,79.510000,80.410000,79.185000,80.320000,1981992
2018-05-31,80.410000,81.130000,79.890000,80.910000,1740695
2018-06-01,80.680000,80.780000,79.600000,80.110000,1599104
2018-06-04,80.370000,80.530000,78.250000,78.300000,1651624
2018-06-05,78.290000,78.620000,77.580000,77.710000,1226615
2018-06-06,77.710000,77.840000,76.230000,76.400000,877292
2018-06-07,75.890000,77.210000,75.830000,76.630000,5445749
2018-06-08,76.830000,77.040000,76.030000,76.890000,2166521
2018-06-11,76.870000,77.060000,75.910000,76.050000,3538450
2018-06-12,76.100000,77.170000,76.050000,76.980000,4268281
2018-06-13,76.980000,77.520000,76.230000,76.310000,1998602
2018-06-14,76.480000,77.000000,76.200000,76.710000,1965984
2018-06-15,76.730000,78.260000,76.170000,78.210000,2890294
2018-06-18,78.000000,79.040000,77.800000,78.400000,3414826
2018-06-19,78.640000,80.000000,78.640000,79.980000,2606899
2018-06-20,80.000000,80.400000,79.480000,80.250000,3330876
2018-06-21,80.190000,80.820000,79.580000,79.840000,1844358
2018-06-22,80.230000,80.720000,79.700000,80.210000,2309335
2018-06-25,80.400000,81.200000,80.190000,81.020000,2770299
