Date,Open,High,Low,Close,Volume
2017-10-16,11.247200,11.397300,11.219000,11.369100,32349675
2017-10-17,11.378500,11.547300,11.369100,11.509800,55273235
2017-10-18,11.519200,11.584900,11.416000,11.434800,30783686
2017-10-19,11.387900,11.491100,11.303500,11.472300,29678158
2017-10-20,11.510300,11.529300,11.396300,11.491300,28171651
2017-10-23,11.500800,11.576800,11.434300,11.434300,21504813
2017-10-24,11.500800,11.643200,11.482700,11.576800,34651185
2017-10-25,11.538800,11.538800,11.367800,11.434300,47674841
2017-10-26,11.586300,11.719200,11.453300,11.652700,49003126
2017-10-27,11.614800,11.624300,11.405900,11.453300,33925366
2017-10-30,11.405800,11.538800,11.348800,11.491300,36457435
2017-10-31,11.538800,11.681200,11.518800,11.652700,42010246
2017-11-01,11.776200,11.842700,11.657700,11.728700,43495830
2017-11-02,11.709700,11.804700,11.643200,11.795200,40923421
2017-11-03,11.785700,11.833200,11.700200,11.738200,33220261
2017-11-06,11.738200,11.804700,11.681200,11.709700,20178513
2017-11-07,11.728700,11.757200,11.500800,11.548300,41536291
2017-11-08,11.529300,11.548300,11.405800,11.453300,34127543
2017-11-09,11.405800,11.443800,11.329800,11.434300,26257259
2017-11-10,11.396300,11.481800,11.377300,11.405800,35298374
2017-11-13,11.405800,11.605300,11.367800,11.548300,30415855
2017-11-14,11.491300,11.548300,11.386800,11.415300,25893421
2017-11-15,11.367800,11.424800,11.272900,11.396300,28441307
2017-11-16,11.396300,11.443800,11.329800,11.434300,28269046
2017-11-17,11.415300,11.453300,11.382100,11.405800,31117727
2017-11-20,11.424800,11.538800,11.415300,11.519800,32352040
2017-11-21,11.529300,11.610000,11.510300,11.510300,28510260
2017-11-22,11.500800,11.538800,11.443800,11.462800,36184010
2017-11-24,11.491300,11.538800,11.424800,11.491300,9549629
2017-11-27,11.481800,11.576800,11.453300,11.500800,28525156
2017-11-28,11.538800,11.624300,11.472300,11.595800,33199323
2017-11-29,11.624300,11.937700,11.614800,11.928200,64865974
2017-11-30,11.899700,12.013600,11.795200,11.890200,49224189
2017-12-01,11.985100,12.061100,11.728700,11.947100,52458736
2017-12-04,12.013600,12.165600,11.956600,11.994600,39558857
2017-12-05,11.795200,11.985100,11.776200,11.804700,45527163
2017-12-06,11.747700,11.804700,11.662200,11.757200,28453762
2017-12-07,11.942400,11.956600,11.709700,11.899700,25417119
2017-12-08,11.899700,11.975600,11.804700,11.975600,21981870
2017-12-11,11.937700,11.994600,11.880700,11.947100,44194633
2017-12-12,11.966100,11.999400,11.880700,11.966100,54370612
2017-12-13,11.975600,12.084900,11.956600,11.994600,31858995
2017-12-14,12.013600,12.051600,11.785700,11.833200,37073960
2017-12-15,11.880700,12.023100,11.871200,11.947100,48655453
2017-12-18,12.023100,12.108600,11.975600,12.023100,25022657
2017-12-19,12.070600,12.137100,12.023100,12.051600,23056884
2017-12-20,12.080100,12.108600,12.013600,12.080100,18989429
2017-12-21,12.099100,12.127600,11.994600,11.994600,21004663
2017-12-22,12.023100,12.023100,11.928200,11.947100,17876156
2017-12-26,11.937700,12.013600,11.918700,11.966100,11664564
2017-12-27,11.937700,11.947100,11.823700,11.871200,17005626
2017-12-28,11.852200,11.947100,11.842700,11.947100,14793534
2017-12-29,11.947100,11.975600,11.861700,11.861700,18362455
2018-01-02,11.890200,12.023100,11.871200,12.023100,20773320
2018-01-03,12.042100,12.156100,12.032600,12.118100,29765638
2018-01-04,12.137100,12.384000,12.127600,12.327000,37478200
2018-01-05,12.403000,12.555000,12.384000,12.536000,46121873
2018-01-08,12.545500,12.555000,12.450500,12.488500,33828330
2018-01-09,12.517000,12.555000,12.422000,12.422000,27924109
2018-01-10,12.403000,12.478000,12.308000,12.374500,56517139
2018-01-11,12.365000,12.536000,12.346000,12.498000,28342293
2018-01-12,12.441000,12.621400,12.441000,12.564400,56979186
2018-01-16,12.640400,12.801900,12.355500,12.441000,53961375
2018-01-17,11.947100,11.947100,11.491300,11.567300,132412533
2018-01-18,11.567300,11.586300,11.415300,11.462800,66541729
2018-01-19,11.510300,11.510300,11.310900,11.396300,51303747
2018-01-22,11.415300,11.472300,11.301400,11.415300,52851915
2018-01-23,11.424800,11.424800,11.301400,11.358300,51830968
2018-01-24,11.396300,11.481800,11.320300,11.443800,63300483
2018-01-25,11.329800,11.329800,10.864500,10.988000,114886820
2018-01-26,11.007000,11.111400,10.921500,11.063900,52496001
2018-01-29,11.112600,11.161200,10.810900,10.820700,55113971
2018-01-30,10.791500,10.927700,10.752500,10.762300,52068187
2018-01-31,10.791500,10.815800,10.606600,10.674700,57644576
2018-02-01,10.655200,10.703900,10.557900,10.626000,41352192
2018-02-02,10.587100,10.587100,10.334100,10.421700,72312922
2018-02-05,10.489800,10.509300,9.964400,9.964400,96756955
2018-02-06,9.993500,10.499500,9.915700,10.470400,139938127
2018-02-07,10.460600,10.742800,10.412000,10.470400,68041787
2018-02-08,10.499500,10.567700,10.139500,10.149200,73990734
2018-02-09,10.285500,10.353600,9.964400,10.246500,72103620
2018-02-12,10.382800,10.528700,10.259800,10.412000,49068946
2018-02-13,10.343900,10.402200,10.246500,10.304900,36884488
2018-02-14,10.266000,10.460600,10.217400,10.450900,27844338
2018-02-15,10.509300,10.509300,10.353600,10.470400,28208311
2018-02-16,10.412000,10.528700,10.236800,10.324400,41041761
2018-02-20,10.295200,10.382800,10.266000,10.343900,27617865
2018-02-21,10.363300,10.460600,10.304900,10.314700,36037720
2018-02-22,10.314700,10.441200,10.275700,10.343900,25409561
2018-02-23,10.382800,10.421700,10.334100,10.412000,21786781
2018-02-26,10.450900,10.655200,10.412000,10.596900,27157756
2018-02-27,10.635800,10.694200,10.314700,10.324400,43502012
2018-02-28,10.392500,10.499500,10.285500,10.324400,41321429
2018-03-01,10.363300,10.402200,9.925400,10.013000,75841414
2018-03-02,9.964400,10.139500,9.867000,10.120000,60491864
2018-03-05,10.032500,10.343900,10.022700,10.295200,44021329
2018-03-06,10.363300,10.392500,10.188200,10.343900,30978946
2018-03-07,10.227100,10.353600,10.149200,10.343900,30046598
2018-03-08,10.363300,10.392500,10.197900,10.324400,26947958
2018-03-09,10.343900,10.441200,10.285500,10.441200,26684375
2018-03-12,10.402200,10.557900,10.392500,10.519000,33800918
2018-03-13,10.548200,10.684400,10.441200,10.489800,44456812
2018-03-14,10.947200,11.132000,10.713600,10.723400,91985319
2018-03-15,10.752500,10.947200,10.655200,10.772000,47645277
2018-03-16,10.820700,10.918000,10.762300,10.849900,80684224
2018-03-19,10.849900,10.869300,10.577400,10.713600,63122538
2018-03-20,10.752500,10.830400,10.674700,10.694200,45612813
2018-03-21,10.703900,10.883900,10.635800,10.801200,38550957
2018-03-22,10.703900,10.762300,10.441200,10.460600,51280905
2018-03-23,10.499500,10.557900,10.227100,10.275700,39950867
2018-03-26,10.450900,10.577400,10.392500,10.538500,52325512
2018-03-27,10.557900,10.626000,10.431400,10.538500,40677320
2018-03-28,10.538500,10.655200,10.441200,10.567700,42263662
2018-03-29,10.635800,10.830400,10.621200,10.781700,39863962
2018-04-02,10.762300,10.791500,10.412000,10.567700,43598094
2018-04-03,10.713600,10.879000,10.606600,10.849900,42523917
2018-04-04,10.577400,11.054200,10.509300,11.025000,44834639
2018-04-05,11.034700,11.073700,10.927700,11.044500,28755606
2018-04-06,10.976400,11.044500,10.772000,10.879000,31920686
2018-04-09,10.947200,11.073700,10.898500,10.947200,36462658
2018-04-10,11.132000,11.239100,11.102900,11.141800,44005015
2018-04-11,11.073700,11.180700,10.995800,11.122300,32979038
2018-04-12,11.190400,11.229400,10.947200,11.005500,47133732
2018-04-13,11.044500,11.083400,10.927700,10.976400,34598783
2018-04-16,11.054200,11.141800,10.966600,11.073700,32803268
2018-04-17,11.122300,11.141800,10.995800,11.073700,30906803
2018-04-18,11.073700,11.171000,10.995800,11.025000,46226082
2018-04-19,11.025000,11.093400,10.699600,10.808100,49154173
2018-04-20,10.857400,10.877100,10.630600,10.670000,44930027
2018-04-23,10.689700,10.887000,10.679900,10.887000,31936522
2018-04-24,10.896800,11.015100,10.778500,10.808100,39624986
2018-04-25,10.808100,11.005300,10.719300,10.956000,40356076
2018-04-26,11.261700,11.370200,11.133500,11.271500,80676755
2018-04-27,11.242000,11.399700,11.222200,11.330700,33375943
2018-04-30,11.370200,11.562500,11.064500,11.084200,66090895
2018-05-01,11.094000,11.192700,10.946100,11.103900,61430446
2018-05-02,11.103900,11.108800,10.965800,11.054600,41899467
2018-05-03,11.015100,11.054600,10.817900,11.044700,38907404
2018-05-04,11.005300,11.251800,10.936300,11.202500,32043468
2018-05-07,11.202500,11.281400,11.153200,11.182800,27510279
2018-05-08,11.163100,11.212400,11.079200,11.113800,25754109
2018-05-09,11.054600,11.123600,10.867200,10.906700,43731958
2018-05-10,10.887000,11.094000,10.867200,11.054600,32023835
2018-05-11,11.064500,11.089100,11.005300,11.034900,19837675
2018-05-14,11.074300,11.133500,11.015100,11.025000,27903121
2018-05-15,10.946100,11.094000,10.906700,11.064500,26950114
2018-05-16,11.054600,11.242000,11.044700,11.242000,28976692
2018-05-17,11.242000,11.320900,11.222200,11.301100,20741087
2018-05-18,11.281400,11.311000,11.143300,11.172900,23893731
2018-05-21,11.261700,11.389900,11.232100,11.350400,31011916
2018-05-22,11.419500,11.473700,11.350400,11.360300,22360885
2018-05-23,11.340600,11.389900,11.172900,11.281400,23595004
2018-05-24,11.291300,11.488500,11.281400,11.458900,34876334
2018-05-25,11.399700,11.444100,11.311000,11.350400,19337470
2018-05-29,11.439200,11.458900,11.202500,11.281400,31324274
