Date,Open,High,Low,Close,Volume
2017-10-16,15.116500,15.443400,14.898600,15.126400,26131977
2017-10-17,14.878800,14.918400,14.522200,14.789600,22915214
2017-10-18,14.641000,14.759900,14.482500,14.690600,15252001
2017-10-19,14.591500,14.695500,14.314100,14.670700,15985631
2017-10-20,14.779700,14.898600,14.571700,14.690600,14307072
2017-10-23,14.710400,14.769800,14.621200,14.670700,16018360
2017-10-24,14.859000,15.086800,14.759900,15.086800,20956000
2017-10-25,15.116500,15.433500,14.304200,14.561800,30437913
2017-10-26,14.690600,14.759900,14.462700,14.551900,16863119
2017-10-27,14.096200,14.185400,13.769300,13.997100,22873999
2017-10-30,13.927800,14.125900,13.808900,13.808900,15066065
2017-10-31,13.808900,13.903000,13.709900,13.848500,14397629
2017-11-01,14.264600,14.551900,14.135800,14.244800,18478825
2017-11-02,14.135800,14.433000,14.017000,14.096200,13059602
2017-11-03,14.066500,14.135900,13.908000,14.017000,8681334
2017-11-06,14.195300,14.512200,14.116000,14.502300,14020614
2017-11-07,14.353800,14.432900,14.225000,14.413200,10558993
2017-11-08,14.482500,14.799500,14.343800,14.720300,15949421
2017-11-09,14.502300,14.660800,14.333900,14.581600,15859870
2017-11-10,14.591500,14.839100,14.254700,14.274500,13518207
2017-11-13,14.195300,14.502300,14.175400,14.294300,9908239
2017-11-14,14.145700,14.165500,13.442400,13.670200,27677701
2017-11-15,13.462200,13.660300,13.095700,13.501800,17992765
2017-11-16,13.581100,13.640500,13.363200,13.491900,13654152
2017-11-17,13.383000,13.799000,13.373100,13.729700,15334576
2017-11-20,13.610800,13.898100,13.600900,13.818800,13823694
2017-11-21,13.967400,14.150700,13.937700,14.017000,12985276
2017-11-22,14.096200,14.175400,13.977300,14.106100,9338906
2017-11-24,14.145700,14.403300,14.116000,14.215100,6136288
2017-11-27,14.116000,14.165500,13.833700,13.957500,11047393
2017-11-28,13.828700,14.116000,13.749500,14.076400,11794120
2017-11-29,13.804000,14.051600,13.709900,13.878300,11271253
2017-11-30,13.967400,14.017000,13.709900,13.789100,18073300
2017-12-01,13.808900,14.175400,13.709900,13.977300,13706073
2017-12-04,14.116000,14.512200,14.066500,14.165500,16978959
2017-12-05,13.912900,14.007000,13.680100,13.977300,19535161
2017-12-06,13.977300,14.324000,13.977300,14.215100,22659379
2017-12-07,14.066500,14.730200,14.066500,14.700500,20610031
2017-12-08,14.829200,14.859000,14.710400,14.829200,12024545
2017-12-11,14.908500,15.017500,14.809400,14.878800,15508974
2017-12-12,15.562300,15.597000,14.967900,15.562300,24138467
2017-12-13,15.552400,16.196300,15.532600,16.166500,27314271
2017-12-14,16.166500,16.285400,15.998100,16.037800,23485241
2017-12-15,16.235900,16.830200,16.226000,16.820300,36565956
2017-12-18,16.820300,17.295800,16.661800,17.186900,25429218
2017-12-19,17.117500,17.285900,17.033300,17.167100,17764819
2017-12-20,17.355300,17.513800,17.206700,17.493900,20886491
2017-12-21,17.632600,18.172500,17.563300,18.009100,20761700
2017-12-22,18.019000,18.137800,17.840700,17.929800,13649056
2017-12-26,17.929800,18.613300,17.860500,18.494500,16561215
2017-12-27,18.553900,18.880800,18.326000,18.514300,17299489
