Date,Open,High,Low,Close,Volume
2017-10-16,42.126800,42.264600,41.880800,41.900400,1102859
2017-10-17,41.998900,42.126800,41.747900,41.870900,1341681
2017-10-18,41.841400,42.038200,41.782300,41.880800,965633
2017-10-19,41.743000,42.382700,41.605200,42.382700,1577325
2017-10-20,42.609100,42.766600,42.353200,42.510700,1142758
2017-10-23,42.559900,42.559900,41.826600,41.910300,1898983
2017-10-24,41.920100,42.067000,41.861100,42.048100,1203035
2017-10-25,41.998900,42.062900,41.772500,41.831600,1398583
2017-10-26,41.979200,42.313800,41.880800,42.018600,716612
2017-10-27,41.831600,42.205600,41.821700,42.067800,836846
2017-10-30,41.969300,42.363100,41.831600,42.313800,1347420
2017-10-31,42.461500,42.855200,42.236500,42.412300,1435883
2017-11-01,42.746900,43.455600,42.461500,43.248900,2118948
2017-11-02,43.189800,43.819800,43.150500,43.760700,2246113
2017-11-03,43.859200,46.201700,43.859200,46.123000,2725777
2017-11-06,46.329700,47.889700,46.329700,47.806100,2488873
2017-11-07,47.934000,48.002900,47.225400,47.323800,1661624
2017-11-08,47.215500,47.589500,46.536400,46.871000,1841272
2017-11-09,46.437900,46.703700,46.113100,46.310000,1664754
2017-11-10,46.260800,46.575700,46.132800,46.300100,895273
2017-11-13,46.221400,46.300100,45.500900,45.945800,1200864
2017-11-14,45.699700,45.699700,44.754800,44.941800,1235561
2017-11-15,44.823700,44.902500,44.292200,44.558000,1162569
2017-11-16,44.685900,45.798200,44.630700,45.689900,3357696
2017-11-17,45.719400,46.078700,45.650500,45.965500,1337210
2017-11-20,45.867100,46.487200,45.749000,46.044200,1322080
2017-11-21,46.250900,47.087600,46.162300,46.812000,1411139
2017-11-22,47.028500,47.058000,46.359200,46.516700,2030082
2017-11-24,46.664300,46.688900,46.063900,46.152500,601107
2017-11-27,46.054100,46.388700,45.768600,46.191900,1008515
2017-11-28,46.221400,46.935000,46.083600,46.890700,1847909
2017-11-29,46.949800,47.983200,46.930100,47.441900,1280800
2017-11-30,47.471400,47.983200,47.284400,47.648600,1477278
2017-12-01,47.697800,48.160400,46.772600,47.904500,1100914
2017-12-04,48.349300,49.802500,48.260400,48.823800,1952783
