Date,Open,High,Low,Close,Volume
2017-10-16,43.894100,44.031700,43.579500,43.884300,1510527
2017-10-17,43.756500,43.982600,43.618900,43.825300,923748
2017-10-18,43.805600,44.071100,43.677800,43.864600,1170213
2017-10-19,43.559900,44.061200,43.422200,43.736800,743010
2017-10-20,43.933400,44.611800,43.933400,44.611800,991158
2017-10-23,44.611800,44.611800,43.776100,43.854800,1063118
2017-10-24,44.189000,44.395500,43.795800,44.080900,1115403
2017-10-25,43.933400,44.036700,43.206100,43.677800,1096806
2017-10-26,44.012100,44.159500,43.717200,43.982600,868589
2017-10-27,43.933400,43.982600,43.284600,43.510700,1195192
2017-10-30,43.363300,43.638500,43.137100,43.137100,986802
2017-10-31,43.225600,43.481200,43.058500,43.323900,2340494
2017-11-01,43.687700,44.071100,43.147000,43.245300,2270987
2017-11-02,42.684900,42.684900,37.278000,38.477400,7255289
2017-11-03,37.887600,39.086900,37.074100,38.585500,4762868
2017-11-06,38.359400,39.548900,38.241500,39.332700,2318999
2017-11-07,39.401500,39.490000,38.369300,38.870600,1580397
2017-11-08,38.752700,38.752700,38.143100,38.251300,1709023
2017-11-09,37.858100,38.506900,37.730300,38.339800,1143417
2017-11-10,38.005500,38.497100,37.867900,38.467600,1200587
2017-11-13,38.202100,38.860800,37.897400,38.703500,1584876
2017-11-14,38.428200,38.634700,37.946500,38.418400,1769006
2017-11-15,38.113700,38.312600,37.808900,37.976000,2332642
2017-11-16,38.123500,38.556000,38.005500,38.418400,1478557
2017-11-17,38.359400,39.003300,38.103800,38.546200,936492
2017-11-20,38.516700,38.526500,38.143100,38.280800,1550473
2017-11-21,38.438100,38.568300,38.329900,38.329900,1288469
2017-11-22,38.359400,39.195000,38.359400,38.821500,1231662
2017-11-24,38.880500,38.988600,38.398700,38.408600,316872
2017-11-27,38.379100,39.263900,38.379100,39.204900,892501
2017-11-28,39.244200,40.473000,39.214700,40.423900,1692449
2017-11-29,40.394400,40.885900,40.310800,40.807300,1576313
