Date,Open,High,Low,Close,Volume
2017-10-16,160.982000,161.177700,159.797600,160.737300,2586716
2017-10-17,160.737300,161.422400,158.085800,159.885700,4189197
2017-10-18,159.954200,160.756800,159.885700,159.983600,2758595
2017-10-19,160.032500,160.629600,159.318000,159.778000,2676062
2017-10-20,160.492600,160.668700,159.288600,159.964000,4166481
2017-10-23,160.561100,162.738900,160.277200,161.246200,3995110
2017-10-24,161.177700,162.929800,161.158100,162.508900,3686663
2017-10-25,162.587200,163.409400,161.873000,162.548000,4189398
2017-10-26,162.861200,164.378400,162.584000,164.094500,3750464
2017-10-27,163.262500,164.192400,162.929800,163.791100,3720385
2017-10-30,163.448500,163.448500,161.383300,161.804100,3906265
2017-10-31,161.892200,162.812300,161.598600,162.264200,2922416
2017-11-01,162.890600,163.203800,161.618200,161.872700,3568321
2017-11-02,161.510500,161.510500,157.125500,159.259300,6518907
2017-11-03,159.552900,161.490900,159.229900,160.903700,3080941
2017-11-06,161.305000,161.383300,159.552900,160.737300,3275469
2017-11-07,160.610000,160.913400,159.376700,160.189100,3198129
2017-11-08,159.875900,161.187500,159.807400,160.570900,2912866
2017-11-09,160.619800,160.654100,158.838400,159.807400,3405186
2017-11-10,159.875900,161.089600,159.474600,160.629600,3554945
2017-11-13,161.148400,163.105900,160.766600,161.843300,7189270
2017-11-14,160.150000,164.574100,159.690000,164.495800,10284002
2017-11-15,163.889000,163.889000,161.843300,161.960800,5534520
2017-11-16,163.145100,164.202200,162.538200,163.947700,4587949
2017-11-17,163.458300,164.858000,162.538200,164.182600,4530127
2017-11-20,164.574100,167.070000,164.241300,166.835100,4699894
2017-11-21,166.913400,169.194000,166.541500,169.194000,6229029
2017-11-22,169.223400,169.272300,168.391400,168.411000,4133497
2017-11-24,168.459900,169.428900,168.100200,168.675300,1853587
2017-11-27,169.203800,171.200600,168.724200,170.466500,4539828
2017-11-28,171.181000,173.021100,169.322300,172.825300,6048963
2017-11-29,173.700900,175.530700,172.825300,174.369800,4902161
2017-11-30,175.176500,177.734300,174.527200,176.898100,9180664
2017-12-01,177.389900,177.665400,173.828800,177.488300,4683390
2017-12-04,180.213300,183.282600,180.213300,181.895500,6193849
