Date,Open,High,Low,Close,Volume
2017-10-16,18.687400,18.716200,18.510200,18.591600,5313440
2017-10-17,18.582000,18.610800,18.457400,18.534100,3869021
2017-10-18,18.524500,19.042000,18.524500,19.022900,9808040
2017-10-19,18.955800,19.123500,18.850400,19.003700,7298698
2017-10-20,19.003700,19.003700,18.582000,18.649100,11379916
2017-10-23,18.716200,18.812000,18.495800,18.524500,5908778
2017-10-24,18.572400,18.840800,18.543700,18.840800,7256271
2017-10-25,18.802400,18.859900,18.467000,18.543700,6733950
2017-10-26,18.649100,18.668300,18.438300,18.591600,4283057
2017-10-27,18.582000,18.735400,18.452700,18.629900,6068729
2017-10-30,18.620400,18.697000,18.457400,18.495800,7293120
2017-10-31,18.562900,18.754500,18.481400,18.744900,6994151
2017-11-01,18.840800,19.051600,18.764100,18.907900,7492053
2017-11-02,18.620400,18.697000,18.265800,18.649100,10004833
2017-11-03,18.610800,19.051600,18.543700,18.812000,5002474
2017-11-06,18.965400,19.142700,18.821600,18.965400,4930994
2017-11-07,18.955800,19.195400,18.802400,18.965400,5915504
2017-11-08,18.965400,19.348700,18.927000,19.348700,8692219
2017-11-09,19.262400,19.387000,18.917400,19.166600,9878554
2017-11-10,19.099500,19.224100,19.032400,19.157000,7205588
2017-11-13,19.089900,19.252900,18.994100,19.195400,4283844
2017-11-14,19.089900,19.161800,18.974900,19.137900,3209092
2017-11-15,19.022900,19.118700,18.927000,18.936600,4459021
2017-11-16,18.955800,19.176200,18.831200,19.137900,4893899
2017-11-17,18.994100,19.185800,18.994100,19.061200,4336398
2017-11-20,19.089900,19.118600,18.850400,18.879100,4945846
2017-11-21,18.994100,19.089900,18.917400,18.965400,6317909
2017-11-22,18.955800,19.094700,18.840800,18.955800,4822275
2017-11-24,19.022900,19.032400,18.927000,18.974900,1425846
2017-11-27,18.955800,19.070800,18.764100,18.783300,4257285
2017-11-28,18.802400,18.907900,18.476600,18.649100,10782697
2017-11-29,18.649100,18.936600,18.649100,18.850400,8398663
2017-11-30,18.946200,19.070800,18.812000,18.965400,9409736
2017-12-01,19.061200,19.061200,18.514900,18.697000,6374105
2017-12-04,19.118700,19.224100,18.955800,19.032400,5336131
2017-12-05,19.051600,19.118700,18.888700,18.907900,5798958
2017-12-06,18.879100,19.056400,18.687400,18.792900,6597483
2017-12-07,18.773700,18.974900,18.735400,18.831200,4211915
2017-12-08,18.869500,19.027700,18.831200,19.013300,4147920
2017-12-11,18.955800,19.022900,18.850400,19.003700,4498071
2017-12-12,19.022900,19.032400,18.821600,19.022900,7561255
2017-12-13,19.042000,19.109100,18.946200,19.022900,7764189
2017-12-14,18.984500,19.051600,18.831200,18.955800,4786983
2017-12-15,19.013300,19.329500,18.984500,19.300800,11660756
2017-12-18,19.454100,19.770400,19.367900,19.722400,8067098
2017-12-19,19.789500,19.789500,19.343900,19.434900,6848085
2017-12-20,19.559500,19.578700,19.195400,19.214500,7224685
2017-12-21,19.329500,19.425400,19.166600,19.214500,6510802
2017-12-22,19.252900,19.319900,19.195400,19.300800,4287345
2017-12-26,19.310400,19.444500,19.291200,19.339100,2016270
2017-12-27,19.387000,19.415800,19.276800,19.310400,3089240
2017-12-28,19.378300,19.533500,19.252100,19.523800,3212199
2017-12-29,19.533500,19.533500,19.261800,19.261800,2950704
2018-01-02,19.378300,19.436500,19.184200,19.349200,5114788
2018-01-03,19.349200,19.485000,19.232700,19.281200,4121858
2018-01-04,19.261800,19.407400,19.198800,19.232700,4883233
2018-01-05,19.281200,19.310400,19.135700,19.271500,3775702
2018-01-08,19.407400,19.805200,19.300700,19.785800,9354150
2018-01-09,19.795500,19.863500,19.654800,19.834400,8968542
2018-01-10,19.747000,20.202100,19.659700,20.038100,10205576
2018-01-11,20.144900,20.166200,19.834400,19.960500,8056923
2018-01-12,20.018700,20.047800,19.708200,19.756700,5165612
2018-01-16,19.795500,20.106100,19.693700,19.717900,7582560
2018-01-17,19.824700,20.339000,19.766400,20.309800,6384614
2018-01-18,20.271000,20.271000,19.839200,19.892600,6405052
2018-01-19,19.892600,20.130300,19.892600,20.106100,6045644
2018-01-22,20.144900,20.203100,20.043000,20.193400,3988600
2018-01-23,20.222500,20.702800,20.164300,20.668900,5112606
2018-01-24,20.688300,20.892100,20.581500,20.659200,6774310
