Date,Open,High,Low,Close,Volume
2017-10-16,235.208100,236.797400,234.175000,235.595500,1121772
2017-10-17,237.810700,240.810600,236.092200,238.833800,1691953
2017-10-18,239.578900,243.969500,239.578900,239.708000,1099848
2017-10-19,239.747700,241.396700,236.991100,241.078800,796692
2017-10-20,242.280800,245.250900,241.655000,244.178100,742585
2017-10-23,244.515900,247.247600,242.558900,244.496000,730285
2017-10-24,243.810600,245.896600,241.486100,244.853600,648435
2017-10-25,245.429800,247.416500,244.277500,246.711200,744612
2017-10-26,248.280700,252.591900,246.671500,249.850200,1142057
2017-10-27,250.784000,262.803600,249.562100,257.250700,1892373
2017-10-30,257.201100,258.581900,253.671200,253.962700,1374100
2017-10-31,253.972700,255.144800,251.489300,253.654800,796131
2017-11-01,254.548800,256.773900,252.562100,253.783900,605100
2017-11-02,253.227600,256.197800,252.234300,254.648100,656317
2017-11-03,254.211100,256.813700,252.254100,254.985900,688891
2017-11-06,254.379900,256.615000,252.134900,252.790600,1197721
2017-11-07,253.446200,255.522300,252.299500,254.608400,1075448
2017-11-08,251.181300,252.472700,237.006000,241.863600,2594286
2017-11-09,239.777500,245.866800,238.694800,245.817200,1950924
2017-11-10,244.317200,245.618500,240.015900,242.767500,1265482
2017-11-13,242.866900,243.343700,239.171600,239.340400,1445140
2017-11-14,239.141800,239.966300,236.320600,237.969600,1925422
2017-11-15,237.820600,237.820600,231.582300,231.731300,1618798
2017-11-16,232.337200,236.479600,231.324000,234.343800,2041263
2017-11-17,233.320700,236.112000,231.731300,231.910100,1032865
2017-11-20,231.612100,233.737900,230.360500,231.930000,1768525
2017-11-21,232.486300,235.128600,232.267700,234.850500,1200149
2017-11-22,235.069000,237.830500,233.996200,236.718000,1259709
2017-11-24,237.790800,240.135100,235.625300,238.913300,557550
2017-11-27,240.214600,242.449700,237.949700,241.943100,1743508
2017-11-28,242.131800,243.611900,239.966300,242.598700,1075151
2017-11-29,242.022500,249.393300,241.158300,248.469400,1452890
2017-11-30,249.452900,259.605000,248.628400,259.128200,1937450
2017-12-01,259.078500,260.230800,249.949500,256.813700,1370699
2017-12-04,259.783800,260.757300,249.522400,250.605200,2500040
2017-12-05,251.658100,253.962700,249.651500,251.658100,927747
2017-12-06,252.373300,252.880000,247.744300,248.638300,1295660
2017-12-07,250.227700,253.495800,249.045600,252.214400,1031713
2017-12-08,251.876700,256.396500,250.083600,254.787200,985160
2017-12-11,254.787200,255.840200,250.078700,251.350200,947277
2017-12-12,252.949500,253.952800,249.164800,252.949500,898880
2017-12-13,252.939600,256.356700,251.558800,254.538900,1004063
2017-12-14,256.565300,257.081900,248.747600,248.946200,1353594
2017-12-15,250.883300,255.532200,248.340300,251.956100,2329548
2017-12-18,251.678000,251.687900,244.714500,244.744300,1261993
2017-12-19,244.088700,246.443000,240.393400,243.532400,1654969
