Date,Open,High,Low,Close,Volume
2017-10-16,25.157300,25.595900,25.157300,25.440600,6057733
2017-10-17,25.401500,25.518700,25.333100,25.509000,4045679
2017-10-18,25.518700,25.636000,25.440600,25.479700,3580363
2017-10-19,25.333100,25.489400,25.196300,25.225600,3198392
2017-10-20,25.460100,25.592000,25.401500,25.430800,3499046
2017-10-23,25.518700,25.557800,25.152400,25.167000,4954573
2017-10-24,25.215900,25.626200,25.196300,25.557800,5946003
2017-10-25,23.515900,24.522200,23.320500,23.994600,14040931
2017-10-26,23.994600,24.356100,23.936000,24.287700,9890881
2017-10-27,24.365900,24.698100,24.209600,24.619900,7826341
2017-10-30,24.629700,24.649200,24.160700,24.346400,7205337
2017-10-31,24.346400,24.595500,24.229100,24.258400,6696941
2017-11-01,24.424500,24.424500,23.945800,24.287700,6596901
2017-11-02,24.219400,24.248700,23.809000,23.838300,5532312
2017-11-03,23.936000,24.111900,23.779700,23.984900,4562486
2017-11-06,23.906700,24.287700,23.857900,24.170500,6048552
2017-11-07,24.160700,24.248700,23.896900,23.936000,5097050
2017-11-08,23.916500,24.287700,23.769900,24.219400,5457897
2017-11-09,24.024000,24.883700,23.984900,24.766500,13396804
2017-11-10,24.522200,24.600400,24.170500,24.424500,7274371
2017-11-13,24.317100,24.913000,24.296500,24.776200,6157133
2017-11-14,24.766500,26.056100,24.746900,25.821600,12604996
2017-11-15,25.655500,26.290600,25.303800,25.352700,8717868
2017-11-16,25.528500,25.850900,25.450300,25.587100,5920523
2017-11-17,25.528500,25.811800,25.401500,25.694600,4505621
2017-11-20,25.450300,26.466400,25.411300,26.349200,6868467
2017-11-21,26.573900,26.652000,26.173300,26.358900,5201740
2017-11-22,26.476200,26.779000,26.344300,26.388300,4819518
2017-11-24,26.388300,26.808400,26.290600,26.710700,2489966
2017-11-27,26.827900,26.994000,26.476200,26.749700,6885666
2017-11-28,26.769300,27.638800,26.720400,27.541100,9066061
