Date,Open,High,Low,Close,Volume
2017-10-16,103.444500,104.791100,102.566300,104.732600,2080093
2017-10-17,105.230300,105.669400,104.156900,105.396100,1099644
2017-10-18,105.571800,105.610800,103.551900,105.474200,863223
2017-10-19,104.137400,105.449800,103.210400,105.435200,709023
2017-10-20,106.420700,106.508600,105.279000,105.718200,836109
2017-10-23,106.352400,106.352400,104.849700,105.191200,1162867
2017-10-24,105.152200,105.547400,104.469100,105.083900,1028470
2017-10-25,104.761900,105.005800,102.663900,104.127600,1597521
2017-10-26,104.449600,107.123300,104.414100,106.215800,2349172
2017-10-27,105.571800,106.850100,101.092900,105.454700,2477321
2017-10-30,105.552300,106.001100,103.873900,104.752100,1900976
2017-10-31,105.171700,106.976900,104.264200,106.254800,2733970
2017-11-01,107.338000,107.342900,100.595200,102.605400,2316109
2017-11-02,102.673700,103.864100,101.971100,103.805600,1739934
2017-11-03,103.512800,104.069100,103.015200,103.727500,1156007
2017-11-06,103.756800,104.400800,102.517500,102.956600,1125077
2017-11-07,102.878600,104.957000,102.615100,104.898500,1254063
2017-11-08,104.986300,105.240000,103.727500,104.488600,1111129
2017-11-09,103.952000,103.961700,99.316900,99.921900,2104575
2017-11-10,99.726700,100.605000,99.151100,99.960900,2176486
2017-11-13,99.063200,100.536700,98.780200,99.463300,2259068
2017-11-14,99.462000,100.315900,98.834900,100.257000,1844412
2017-11-15,100.149100,101.395500,98.647400,101.042200,2109443
2017-11-16,101.572200,104.977900,100.886200,102.828500,2262348
2017-11-17,103.800100,104.546000,99.648500,99.766300,1693609
2017-11-20,100.100000,101.336600,99.831900,100.610400,1615509
2017-11-21,101.346500,102.936400,101.336600,102.789200,1508630
2017-11-22,103.721600,103.721600,101.945100,102.534000,1206427
2017-11-24,102.789200,103.466400,102.151300,103.093500,891437
2017-11-27,101.719400,103.152400,100.404200,102.455500,1323952
2017-11-28,102.337700,105.233100,102.337700,105.174200,1670536
2017-11-29,105.174200,105.385200,97.077100,98.490400,3461417
2017-11-30,99.619100,102.396600,99.098900,100.345400,3569483
2017-12-01,99.383500,102.072700,97.869800,101.945100,2205134
2017-12-04,102.759800,102.946100,98.343200,99.010600,1882628
2017-12-05,99.275600,102.720500,98.195900,100.737900,1434192
2017-12-06,99.952800,101.061800,99.275600,100.836100,1271193
2017-12-07,101.199200,103.054200,100.953900,102.642000,1213479
2017-12-08,103.132700,103.868800,101.886300,102.053100,1017085
2017-12-11,102.318100,102.750000,100.590700,101.925500,1114089
2017-12-12,101.886300,102.102200,100.139200,101.150200,1297789
2017-12-13,101.346500,102.337700,100.414100,101.945100,1169933
2017-12-14,103.584200,104.349700,102.023700,102.485000,1372598
2017-12-15,102.396600,104.251600,101.267900,103.672500,2648414
2017-12-18,107.539500,110.140400,106.989900,109.158900,1753042
2017-12-19,108.943000,110.071700,108.373800,109.551500,1308166
2017-12-20,111.004100,112.309500,109.311100,110.366100,1530447
