Date,Open,High,Low,Close,Volume
2017-10-16,18.209300,18.238200,18.045600,18.113000,7374783
2017-10-17,17.949300,18.055200,17.843300,17.987800,13074780
2017-10-18,17.930000,18.045600,17.785600,17.891500,18359242
2017-10-19,17.824100,18.074500,17.737400,17.958900,16578722
2017-10-20,18.055200,18.064800,17.698900,17.737400,10159715
2017-10-23,17.679600,17.718200,17.371500,17.448500,14055093
2017-10-24,17.496700,17.631500,17.376300,17.593000,18149340
2017-10-25,17.515900,17.612200,17.178900,17.294500,17815336
2017-10-26,17.342600,17.438900,17.207800,17.333000,14522506
2017-10-27,17.236700,17.626700,17.160600,17.361900,17199946
2017-10-30,17.424400,17.695900,17.375900,17.550500,10822293
2017-10-31,17.521400,17.599000,17.366300,17.560200,14474456
2017-11-01,17.695900,17.822000,17.502000,17.579600,10526296
2017-11-02,17.521400,17.569900,17.191700,17.259600,12594890
2017-11-03,17.259600,17.298400,17.056000,17.201400,13227381
2017-11-06,17.269300,17.579600,17.259600,17.531100,12685266
2017-11-07,17.569900,17.652300,17.414700,17.492300,9192759
2017-11-08,17.463200,17.537700,17.361400,17.453500,10239456
2017-11-09,17.356600,17.482600,17.279000,17.366300,10060314
2017-11-10,17.317800,17.356600,17.114100,17.133500,9152133
2017-11-13,17.104400,17.152900,16.881400,16.929900,9465183
2017-11-14,16.891100,17.007500,16.745700,16.900800,15039849
2017-11-15,16.726300,16.774800,16.483900,16.513000,18971842
2017-11-16,16.532400,16.580800,16.299600,16.319000,15395940
2017-11-17,16.319000,16.513000,16.193000,16.493600,12236931
2017-11-20,16.464500,16.648700,16.416000,16.542100,9987619
2017-11-21,16.629300,16.648700,16.299600,16.357800,10450287
2017-11-22,16.406300,16.677800,16.406300,16.580800,9398540
2017-11-24,16.658400,16.857200,16.639000,16.668100,5146138
2017-11-27,16.629300,16.648700,16.328700,16.445100,11961856
2017-11-28,16.483900,16.677800,16.406300,16.513000,16091923
2017-11-29,16.483900,16.561500,16.173600,16.251200,21742557
2017-11-30,16.260900,16.736000,16.260900,16.706900,28363262
2017-12-01,16.774800,16.920200,16.668100,16.881400,15082283
2017-12-04,16.871700,16.968700,16.716600,16.726300,16108310
2017-12-05,16.609900,16.823300,16.551800,16.619600,13974212
2017-12-06,16.571100,16.716600,16.377200,16.590500,15331070
2017-12-07,16.590500,16.910500,16.542000,16.832900,17648880
2017-12-08,16.891100,17.308100,16.852300,17.249900,21169498
2017-12-11,17.220800,17.569900,17.211100,17.414700,14200191
2017-12-12,17.211100,17.477800,17.182000,17.211100,13881156
2017-12-13,17.220800,17.385600,17.191700,17.308100,13765167
2017-12-14,17.259600,17.443800,17.237800,17.298400,13308043
2017-12-15,17.366300,17.599000,17.356600,17.385600,22930965
