Date,Open,High,Low,Close,Volume
2017-10-16,39.361400,39.530900,38.504500,38.871700,4697534
2017-10-17,38.796400,39.436700,38.542100,39.088300,2519104
2017-10-18,39.163600,39.775700,38.805800,39.662700,3313078
2017-10-19,39.502600,39.733300,39.173100,39.549700,1933994
2017-10-20,39.982900,41.376500,39.841600,41.197600,4087029
2017-10-23,41.273000,42.911400,41.131700,41.357700,4979023
2017-10-24,41.357700,42.026300,41.018700,41.838000,3092609
2017-10-25,41.593100,41.932100,40.717400,41.706100,2230905
2017-10-26,40.943400,42.158100,40.679700,41.649600,3807717
2017-10-27,40.830400,42.177000,40.293600,42.101600,3823670
2017-10-30,41.838000,41.838000,40.058200,40.331300,6092591
2017-10-31,40.331300,41.056400,40.241800,40.529000,3848163
2017-11-01,40.924500,41.800300,40.053500,41.065800,5355223
2017-11-02,43.975500,45.614000,43.419900,44.352200,9628195
2017-11-03,44.258000,44.644100,43.561200,43.994400,5643074
2017-11-06,44.333400,45.661100,44.163900,44.804200,4223938
2017-11-07,44.860700,45.416300,43.664900,44.201500,3724780
2017-11-08,44.135600,44.757100,43.787200,44.615900,2897584
2017-11-09,44.276900,45.708200,44.097900,45.435100,3650986
2017-11-10,45.397400,47.261900,45.312700,46.762800,4457756
2017-11-13,46.518000,47.299600,45.519800,46.094300,4324341
2017-11-14,45.482200,46.433300,45.482200,46.395600,2193293
2017-11-15,46.113100,46.791100,45.519800,46.386200,6355591
2017-11-16,43.928400,46.461500,43.928400,46.254300,6387204
2017-11-17,47.939900,48.759200,46.998300,47.535000,4732639
2017-11-20,47.572700,47.892800,46.315600,47.139500,3450001
2017-11-21,47.196000,47.214800,46.461500,46.791100,2794475
2017-11-22,46.972200,47.296300,46.505100,46.514700,2617699
2017-11-24,46.981700,47.315300,46.028600,46.095300,2075271
2017-11-27,46.276400,48.401900,46.104800,47.982600,3878850
2017-11-28,48.068300,50.041400,47.715700,49.869800,3506166
2017-11-29,49.888900,50.837300,49.326500,50.070000,6338872
2017-11-30,49.917500,54.510200,49.879400,53.444200,11238528
2017-12-01,53.244000,53.568100,51.556900,53.234500,5394969
2017-12-04,53.968500,55.484000,53.863600,54.426000,4953816
2017-12-05,53.739700,53.854100,52.605400,52.710300,2740239
2017-12-06,52.967600,53.773100,52.615000,52.624500,3066104
2017-12-07,52.920000,53.358400,51.900100,52.519600,3919165
2017-12-08,54.597500,54.640400,52.462400,54.597500,4241317
2017-12-11,54.540400,55.283800,53.978000,55.274300,3717931
2017-12-12,55.588800,55.979600,54.826300,55.588800,3578259
2017-12-13,55.827100,56.427600,55.449700,56.065400,3362301
2017-12-14,56.599200,57.504700,55.236200,55.827100,5467709
2017-12-15,56.198900,56.694500,55.064600,55.388700,8805885
2017-12-18,55.932000,58.205300,55.536400,58.152900,4475323
2017-12-19,57.971800,58.572300,57.314100,57.514200,4491822
2017-12-20,57.666800,58.029000,56.951900,57.571400,3658494
2017-12-21,57.943200,58.057600,56.656400,57.752500,4314906
2017-12-22,57.609600,58.515100,57.218800,58.486500,1868521
2017-12-26,58.372100,60.145000,58.286300,60.002000,2028900
2017-12-27,59.830400,59.830400,58.205300,58.381600,2009693
2017-12-28,58.429300,58.505500,57.638200,58.162400,1693249
2017-12-29,58.343500,58.381600,57.361700,57.399900,1548596
2018-01-02,58.381600,58.562700,57.085300,57.085300,3615360
2018-01-03,57.209200,57.371300,55.121800,55.436300,5718735
2018-01-04,49.507600,49.984200,46.848300,48.611600,21161111
2018-01-05,48.735600,48.830900,47.558400,48.001600,6911159
2018-01-08,47.744300,48.001600,46.152500,46.362200,5723541
2018-01-09,46.476500,46.486100,44.799000,45.161200,6588872
2018-01-10,45.161200,46.391700,44.970500,46.066700,4702866
2018-01-11,46.114300,47.706100,46.066700,47.668000,5353652
2018-01-12,47.477400,48.621200,47.105700,47.343900,4133567
2018-01-16,47.658500,48.049300,46.314500,46.695800,6883958
2018-01-17,46.724400,47.363000,46.562300,46.657600,2542324
2018-01-18,46.705300,47.053200,46.581400,46.724400,2094075
2018-01-19,46.886400,48.497300,46.581400,48.316200,3407087
2018-01-22,48.268500,49.626800,47.872600,49.602900,3333481
2018-01-23,49.707800,50.889700,49.650600,50.708600,3532761
2018-01-24,50.718100,50.889700,50.089100,50.699100,4450296
2018-01-25,50.746700,50.826900,49.145400,49.898400,3422479
2018-01-26,50.327300,50.327300,49.457700,49.822200,3138708
2018-01-29,49.698300,50.365500,49.583900,49.669700,2447627
2018-01-30,49.183500,49.450400,48.230400,48.602100,3168008
2018-01-31,48.897600,49.288400,47.258100,47.744300,3296200
2018-02-01,47.220000,47.958700,46.733900,47.038900,2726896
2018-02-02,46.562300,46.853000,44.932400,45.285100,5217878
2018-02-05,44.827600,46.162000,43.740900,43.836300,3701007
2018-02-06,42.711500,45.532900,42.301700,44.989600,4492801
2018-02-07,45.742600,47.544100,45.370900,46.810200,4587041
