Date,Open,High,Low,Close,Volume
2017-10-16,149.580000,150.350000,149.020000,149.670000,352537
2017-10-17,149.460000,150.470000,148.600000,149.730000,527769
2017-10-18,149.950000,150.240000,147.530000,147.990000,697414
2017-10-19,148.290000,152.045000,147.275000,151.320000,1508958
2017-10-20,151.600000,152.260000,150.810000,151.720000,692597
2017-10-23,152.240000,152.240000,151.090000,151.770000,537706
2017-10-24,151.300000,151.870000,149.730000,150.860000,704489
2017-10-25,150.750000,154.770000,150.750000,152.710000,1262836
2017-10-26,153.360000,154.240000,152.010000,153.390000,1266192
2017-10-27,154.040000,156.440000,153.500000,155.400000,910744
2017-10-30,155.070000,155.400000,152.720000,154.170000,724095
2017-10-31,153.850000,154.540000,152.090000,153.710000,591610
2017-11-01,153.630000,154.990000,151.010000,151.310000,656099
2017-11-02,151.660000,152.410000,150.910000,151.810000,578410
2017-11-03,152.250000,153.890000,152.250000,153.740000,462849
2017-11-06,153.210000,154.590000,151.475000,151.740000,467081
2017-11-07,152.230000,152.700000,150.330000,152.390000,603615
2017-11-08,151.870000,153.120000,150.000000,151.790000,482949
2017-11-09,151.160000,152.140000,149.375000,152.090000,699663
2017-11-10,151.550000,151.790000,149.840000,150.460000,466279
2017-11-13,149.750000,150.550000,149.490000,149.870000,461790
2017-11-14,149.680000,150.523000,148.440000,149.910000,591957
2017-11-15,149.410000,149.849900,148.020000,149.370000,452774
2017-11-16,150.270000,152.000000,149.730000,151.020000,590644
2017-11-17,150.440000,151.190000,149.690000,150.360000,468509
2017-11-20,149.250000,151.190000,147.700000,150.720000,1371768
2017-11-21,151.380000,153.290000,150.880000,152.840000,621306
2017-11-22,152.820000,153.850000,151.870000,151.910000,554759
2017-11-24,151.720000,152.250000,149.390000,151.090000,389412
2017-11-27,150.780000,151.670000,150.280000,151.550000,597399
2017-11-28,151.910000,151.910000,149.940000,151.220000,1120811
2017-11-29,151.240000,157.320000,150.725000,157.020000,1036387
2017-11-30,156.980000,159.545000,155.280000,158.270000,1029696
2017-12-01,158.350000,158.690000,154.950000,156.490000,657889
2017-12-04,156.620000,160.120000,156.510000,157.910000,812265
2017-12-05,155.090000,158.480000,154.693100,155.220000,573412
2017-12-06,155.450000,156.440000,153.410000,155.510000,619618
2017-12-07,155.450000,156.479900,154.670000,155.260000,371166
2017-12-08,155.350000,157.000000,155.250000,156.260000,672327
2017-12-11,155.680000,157.540000,155.250000,155.790000,527350
2017-12-12,156.020000,156.910000,155.250000,156.020000,481834
2017-12-13,155.360000,156.770000,154.590000,156.260000,456046
2017-12-14,156.670000,157.900000,155.600000,155.840000,505464
2017-12-15,156.530000,159.760000,156.230000,159.060000,1028883
2017-12-18,159.850000,162.090000,159.665000,161.460000,755166
