Date,Open,High,Low,Close,Volume
2017-10-16,312.052400,312.960100,310.100500,311.271600,588257
2017-10-17,311.037400,311.257000,309.397800,310.617800,741610
2017-10-18,310.676300,311.149700,307.133600,307.982700,1131513
2017-10-19,307.982700,309.446600,305.494000,309.222100,727774
2017-10-20,310.285900,312.306200,308.987900,312.306200,933370
2017-10-23,313.340700,313.828700,312.179300,313.018600,1238958
2017-10-24,307.123800,309.378300,303.141900,305.620900,2567774
2017-10-25,305.337800,308.358400,303.825100,304.918200,1658847
2017-10-26,305.903900,306.860300,296.017400,300.487300,1599418
2017-10-27,300.545900,302.912600,300.350700,300.594700,998712
2017-10-30,301.082700,302.956500,300.419000,301.209500,1157460
2017-10-31,301.726800,302.385600,300.731300,300.750800,693912
2017-11-01,301.619400,302.214800,298.867200,299.228300,1016082
2017-11-02,298.750100,303.385900,298.750100,303.385900,868911
2017-11-03,303.444500,304.354300,301.604800,302.536800,652239
2017-11-06,302.273300,304.430200,301.258300,302.624700,717346
2017-11-07,302.624700,305.835600,302.624700,305.757500,874524
2017-11-08,305.903900,308.109500,305.767300,308.051000,730128
2017-11-09,307.280000,307.484900,302.819900,303.600600,890609
2017-11-10,302.839400,304.186200,302.312400,303.688500,630850
2017-11-13,303.522600,305.747700,302.849100,305.425700,702812
2017-11-14,304.498500,306.450400,303.229800,306.196700,605687
2017-11-15,305.572100,306.235700,303.073600,303.171200,754876
2017-11-16,303.610400,305.282000,303.522600,305.132900,635588
2017-11-17,304.098400,304.918200,302.058600,302.253800,692334
2017-11-20,302.741800,307.982700,302.556500,307.084800,902098
2017-11-21,307.660600,309.983400,307.045800,309.319700,858021
2017-11-22,308.704900,309.241700,306.789300,307.299500,685744
2017-11-24,307.514200,308.626800,307.445900,308.226700,320919
2017-11-27,308.402300,309.270900,307.470300,309.085500,657817
2017-11-28,309.163600,311.749900,308.568200,311.340000,967205
2017-11-29,311.818200,313.487100,310.676300,313.047900,1190559
2017-11-30,313.892500,315.188800,312.768000,313.401400,2626221
2017-12-01,313.342500,313.902300,305.554700,307.950900,1707449
2017-12-04,310.278400,310.848000,306.026000,306.193000,1365859
2017-12-05,308.864200,308.864200,304.513600,304.582400,1170963
2017-12-06,306.387400,307.459900,304.690400,306.379600,824790
2017-12-07,306.242100,309.708800,306.222400,308.785700,972381
2017-12-08,310.887300,310.887300,307.833000,310.190000,853887
2017-12-11,309.797200,311.550200,309.502600,310.504300,765760
2017-12-12,310.229300,311.221200,309.266900,310.229300,1082388
2017-12-13,310.985500,314.103600,310.632000,312.095300,862435
2017-12-14,312.507700,313.313100,310.749800,311.329200,867643
2017-12-15,312.979100,317.585100,312.723800,317.035100,1929416
2017-12-18,317.791300,318.135100,313.283600,316.976200,1254405
2017-12-19,316.976200,317.339600,314.049600,314.236200,930995
2017-12-20,314.108500,315.498200,311.957800,312.026500,932407
2017-12-21,313.283600,313.480000,311.329200,311.506000,868675
2017-12-22,312.596100,313.519300,311.908700,312.331000,542941
2017-12-26,312.655100,314.039800,312.272000,312.802400,517446
2017-12-27,313.941600,313.941600,312.370400,313.715700,574679
2017-12-28,314.098700,316.524500,313.980900,316.328000,721724
2017-12-29,316.445900,317.359200,315.267400,315.296900,731198
2018-01-02,316.229800,316.838700,311.810500,312.831800,1189564
2018-01-03,313.263900,315.758400,312.920200,315.454000,893570
2018-01-04,315.434300,321.042000,315.237900,320.865200,1442980
2018-01-05,320.148300,324.263200,320.138500,323.772200,1241109
2018-01-08,323.065100,324.489100,321.935700,322.279400,1084475
2018-01-09,323.104400,325.883700,322.529900,324.587300,865854
