Date,Open,High,Low,Close,Volume
2017-10-16,187.667200,190.467500,187.018800,189.003500,2836340
2017-10-17,191.685900,192.078900,188.551500,191.155300,3836983
2017-10-18,193.641100,197.405100,189.750200,196.991600,5396264
2017-10-19,194.928300,197.492700,191.528700,197.473100,3019452
2017-10-20,198.966600,202.739600,198.907600,201.757000,3105205
2017-10-23,202.621700,204.773400,200.489500,202.297400,2842628
2017-10-24,203.063800,203.152200,199.723200,202.248300,1975592
2017-10-25,202.209000,202.209000,195.527600,199.526600,2662569
2017-10-26,201.128200,205.009300,200.715500,203.171900,1869202
2017-10-27,204.429600,204.763600,200.931700,204.370600,1984702
2017-10-30,203.260300,204.567100,200.931700,202.602000,1389609
2017-10-31,203.712300,206.424100,202.916400,204.930700,1646447
2017-11-01,206.777900,206.777900,197.044500,199.379200,2806359
2017-11-02,199.457800,203.407700,197.993800,203.211200,2365764
2017-11-03,203.584600,204.321500,201.442600,203.456800,1883632
2017-11-06,203.948100,204.242900,200.833400,203.063800,2248804
2017-11-07,202.975400,206.188300,202.896800,205.539800,1360933
2017-11-08,205.549700,207.721100,203.270100,207.554100,1565032
2017-11-09,205.726500,206.168700,199.703500,202.690400,2125065
2017-11-10,202.267900,204.026700,200.990700,203.771200,1715631
2017-11-13,201.786500,205.716700,200.990600,205.579100,1457631
2017-11-14,205.117300,205.746200,202.945900,204.999400,1005242
2017-11-15,206.335700,207.170900,202.454600,204.233000,2177795
2017-11-16,204.871700,210.973300,204.862000,209.499500,2259486
2017-11-17,213.085800,213.213600,205.893600,206.797500,1960154
2017-11-20,208.025700,212.437300,207.858700,211.346700,1949387
2017-11-21,213.360900,215.866400,212.761600,215.090200,2149387
2017-11-22,215.375200,215.669900,210.501700,211.415500,1883727
2017-11-24,212.309600,213.724500,211.867500,213.046500,808728
2017-11-27,208.860900,209.735300,204.370600,207.249500,2732691
2017-11-28,207.937300,211.631700,206.070400,209.420900,2496619
2017-11-29,207.956900,208.168200,185.957700,191.243700,7980992
2017-11-30,193.965400,195.265900,187.971800,188.974000,5047672
2017-12-01,186.684700,187.932500,177.537100,184.532900,5659574
2017-12-04,186.380100,186.527500,176.367900,177.586300,5351766
2017-12-05,177.349800,184.020100,173.211600,177.872000,5164761
2017-12-06,176.413800,181.606200,174.886600,181.517500,3991602
2017-12-07,184.335400,187.320800,183.034800,186.374900,3334609
2017-12-08,188.434200,190.158400,183.291000,183.714700,3476281
2017-12-11,184.956100,185.429100,181.290900,182.827900,2803037
2017-12-12,181.832800,182.640700,178.473000,178.896700,2207180
2017-12-13,179.074000,182.101000,178.610900,178.640500,3228685
2017-12-14,178.630700,181.714600,178.325200,179.418900,2957002
2017-12-15,180.591400,184.695000,179.133100,183.576700,3977864
2017-12-18,184.887200,188.000600,183.951100,186.286300,3414045
2017-12-19,185.360100,186.631100,182.916600,183.369800,2391367
2017-12-20,188.089300,189.015500,184.542300,186.049800,3290599
2017-12-21,186.010400,186.365100,182.029900,182.906800,2671936
2017-12-22,182.522500,185.222200,181.389400,183.941300,1580370
2017-12-26,181.547100,183.941300,179.625800,181.596300,1707046
2017-12-27,182.039700,184.276300,181.290900,182.640700,1610542
2017-12-28,183.202300,184.246700,182.177700,182.808200,1310127
2017-12-29,182.847600,183.970900,181.310600,181.359900,1381029
2018-01-02,182.424000,186.729600,181.162800,186.493200,2037307
2018-01-03,187.872500,190.966300,186.828200,189.665800,2583342
2018-01-04,192.128900,193.951700,190.306200,190.532800,2227207
2018-01-05,192.030400,194.276800,191.587000,193.508300,1712974
2018-01-08,193.439400,196.552800,193.360500,194.966500,2762693
2018-01-09,195.301500,196.809000,190.522900,194.661100,2954987
2018-01-10,191.478700,192.355600,187.488300,188.838100,3510771
2018-01-11,189.232200,189.981000,185.636000,186.335500,2816395
2018-01-12,186.335500,188.565700,185.527600,185.734500,2788086
2018-01-16,189.350500,192.936900,185.626100,187.586800,4251112
2018-01-17,191.665900,202.632000,190.897300,202.060500,6497101
2018-01-18,200.011200,203.311800,196.818900,202.425100,4198801
2018-01-19,202.819200,204.494200,200.109800,204.474500,2614988
2018-01-22,205.331700,206.750400,204.149300,206.110000,2823113
2018-01-23,207.922900,211.972400,206.908100,211.903400,4339722
2018-01-24,211.036400,211.036400,203.521500,206.642100,5464897
2018-01-25,212.819800,215.262300,196.070100,196.316400,8278831
2018-01-26,198.976600,203.380800,197.331200,199.587500,4761552
2018-01-29,198.277100,199.301800,190.434300,193.084700,4005981
2018-01-30,189.271600,192.414700,186.463600,188.266700,3794567
2018-01-31,190.069700,190.976200,187.448900,188.700200,2838376
2018-02-01,187.202600,191.271800,185.428900,186.325700,3053541
2018-02-02,183.961000,184.069400,175.743800,176.423600,5527560
2018-02-05,172.916100,180.207100,167.812300,167.841900,5895274
2018-02-06,166.019100,176.364500,164.856500,175.714200,5890327
2018-02-07,173.241200,176.788200,169.073500,169.103000,3403275
2018-02-08,170.117900,170.526700,159.821700,159.841400,4934369
2018-02-09,163.378600,164.826900,154.520900,163.427800,5937091
2018-02-12,165.930400,171.911100,164.807200,170.403600,4150722
2018-02-13,169.043900,170.186800,165.644700,170.019300,2841567
2018-02-14,168.876400,180.394300,168.482300,180.315500,5836961
2018-02-15,180.276100,183.044700,176.482800,182.975700,4179184
2018-02-16,182.039700,188.389800,181.931400,185.143300,4335579
2018-02-20,184.177800,193.163500,183.665400,190.591900,3296465
2018-02-21,191.685600,192.128900,186.414300,186.443900,3271257
2018-02-22,187.360200,187.636100,184.180200,185.586700,1752907
2018-02-23,187.439000,190.818500,185.833000,190.256900,2227288
2018-02-26,191.705300,196.040500,190.306200,195.508400,2363054
2018-02-27,195.232600,196.848400,190.522900,190.621500,2822258
2018-02-28,191.577200,193.774400,188.513000,189.035200,3608320
2018-03-01,189.655900,192.759500,185.350200,187.271500,3003635
2018-03-02,182.325400,192.020600,179.480800,191.665900,2775807
2018-03-05,189.990900,197.075000,188.423100,195.774500,3292353
2018-03-06,197.690700,206.936200,197.068400,205.395300,7636315
2018-03-07,203.311100,209.761200,201.641800,209.148800,5625612
2018-03-08,211.381100,212.309600,208.368400,210.136500,3780373
2018-03-09,211.657700,223.313300,211.321800,222.197100,6656799
2018-03-12,222.740400,227.185300,220.271000,225.851800,4928822
2018-03-13,227.224800,232.005600,219.707900,221.229100,4946176
2018-03-14,220.271000,223.357700,218.354700,219.915400,3291909
2018-03-15,221.258700,224.222000,219.826500,220.350000,2446239
2018-03-16,221.436500,222.246500,218.577000,219.204200,2495774
2018-03-19,215.687800,216.359400,209.455000,214.917300,4098138
2018-03-20,215.816200,218.483100,215.282800,216.448300,2223840
2018-03-21,219.154800,225.032000,218.305300,221.535300,3567495
2018-03-22,217.801600,220.201800,212.023200,212.191100,3249459
2018-03-23,211.430500,213.741900,200.081100,200.150300,5223498
2018-03-26,208.072100,212.388600,204.733500,212.329400,3458795
