Date,Open,High,Low,Close,Volume
2017-10-16,94.866300,94.962800,93.949300,94.306400,1196565
2017-10-17,94.489800,94.982500,94.065100,94.798700,1527128
2017-10-18,94.634600,95.175100,94.412600,94.847000,1540281
2017-10-19,94.509100,96.314200,94.219500,95.937700,1941203
2017-10-20,96.487900,96.526500,95.184800,95.503300,2142249
2017-10-23,95.464700,95.957000,95.078600,95.136500,1570072
2017-10-24,95.609500,97.945500,95.551600,97.433900,2973694
2017-10-25,97.076700,97.125000,95.628800,96.285200,2435124
2017-10-26,96.931900,98.177100,96.208000,97.713800,3166896
2017-10-27,95.561300,97.202200,94.335400,95.570900,3433949
2017-10-30,95.677100,104.084500,95.387100,102.318100,8374598
2017-10-31,101.130800,101.681000,99.412700,99.933900,4100706
2017-11-01,100.590300,101.565200,99.571900,99.837400,3111738
2017-11-02,99.962900,100.628900,99.374100,99.943600,2547870
2017-11-03,99.460900,102.240900,98.804500,101.912700,2075370
2017-11-06,102.144400,103.273700,101.825800,102.791100,1786854
2017-11-07,102.868300,103.476400,101.555600,102.240900,1778240
2017-11-08,101.961000,102.337400,101.276600,102.183000,1615120
2017-11-09,101.642400,102.298800,100.291100,100.571000,2271624
2017-11-10,100.561300,101.150100,99.856700,100.638500,1533303
2017-11-13,100.020800,101.082600,99.432000,100.571000,1547815
2017-11-14,99.586400,101.111500,99.557500,100.136600,1796600
2017-11-15,99.605700,99.856700,98.244700,98.939700,1438019
2017-11-16,99.460900,100.001500,98.688700,99.615400,2331497
2017-11-17,99.470600,101.015000,98.959000,100.291100,1544230
2017-11-20,100.252400,100.783300,99.813200,100.648200,1940429
2017-11-21,101.005400,101.275600,100.020800,100.213800,1916080
2017-11-22,100.474500,100.723000,99.682900,99.827700,1436871
2017-11-24,100.387600,101.034300,100.262100,100.715800,929672
2017-11-27,100.995700,101.150100,99.962900,100.754400,1627261
2017-11-28,100.551700,101.632800,99.876000,101.294900,2009168
2017-11-29,101.545900,102.211900,101.150100,101.362500,1704022
2017-11-30,101.845100,102.183000,100.542000,101.063300,2758033
2017-12-01,101.507300,101.825800,99.383700,100.484100,2332740
2017-12-04,100.737300,102.334100,100.299100,101.078100,2143733
2017-12-05,101.126700,103.152000,100.951500,101.827800,2171059
2017-12-06,101.662300,102.450900,101.662300,101.934900,2102072
2017-12-07,102.197800,103.775200,102.012800,103.707000,1604612
2017-12-08,104.320400,104.797500,103.814100,104.320400,1720779
2017-12-11,104.505400,105.206500,104.291200,104.680700,1462929
2017-12-12,104.174400,105.284400,103.979600,104.174400,2484650
2017-12-13,104.437300,104.768300,103.638800,104.670900,2463131
2017-12-14,104.875400,105.128600,102.363300,102.655400,2380222
2017-12-15,103.210400,103.668100,102.358400,103.239600,3640757
2017-12-18,104.690400,107.173300,104.193800,106.676700,2501996
2017-12-19,106.589100,107.105200,105.995200,106.082800,2030029
2017-12-20,106.667000,108.536500,106.394400,107.027300,1815248
2017-12-21,106.959100,108.020400,106.365200,107.377800,1680591
2017-12-22,106.657300,107.338800,106.550200,107.085700,1202076
2017-12-26,107.338800,107.338800,106.628000,107.037000,462229
2017-12-27,107.037000,107.222000,106.706400,107.134400,677078
2017-12-28,107.475200,108.332000,107.251200,108.234600,1058650
2017-12-29,108.682500,108.682500,107.300000,107.416700,1019742
2018-01-02,108.127500,109.305700,107.777000,109.276500,1127775
2018-01-03,108.877300,109.461500,107.786700,109.305700,1437330
2018-01-04,109.831500,110.454600,108.867500,109.831500,1630994
2018-01-05,110.269600,111.447800,109.373800,111.360100,1082016
2018-01-08,111.389400,111.389400,110.065100,111.107000,1283204
2018-01-09,111.321200,113.273400,111.204400,112.119600,1794033
2018-01-10,111.691200,112.333800,111.155700,112.002800,1235998
2018-01-11,113.424400,114.836200,112.100100,114.602500,1892030
2018-01-12,114.553800,114.894600,113.327000,114.583000,2070462
2018-01-16,114.865400,115.021200,112.080700,112.840100,1996269
2018-01-17,113.200400,113.959900,112.674600,113.804100,1704023
2018-01-18,113.200400,114.232500,112.460400,113.813800,2248395
2018-01-19,114.300700,116.832200,114.067000,116.764100,2863969
2018-01-22,115.848800,116.549900,115.400900,115.809900,2067828
2018-01-23,115.400900,115.917000,114.553800,115.313300,1479389
2018-01-24,116.043600,117.260700,115.313300,115.809900,1701386
2018-01-25,116.452500,117.767000,116.452500,117.562500,1585020
2018-01-26,118.107800,118.575100,117.017200,118.292800,2157188
2018-01-29,118.419400,118.740700,117.513800,117.728000,1228242
2018-01-30,116.754400,117.952000,115.264600,115.722200,3319073
2018-01-31,116.102000,117.182800,115.722200,116.686200,3213885
2018-02-01,115.965700,116.588800,113.813800,114.466200,3431741
2018-02-02,114.466200,114.738800,108.594900,109.218000,4224647
2018-02-05,108.799400,110.016500,104.624200,105.907500,3146641
2018-02-06,103.298100,111.340700,103.210400,110.824600,4939488
2018-02-07,110.152800,111.219000,107.299900,107.368000,3163677
2018-02-08,107.192800,107.650400,102.733300,103.005900,2543583
2018-02-09,104.330200,104.992300,100.115100,104.174400,3151806
2018-02-12,105.381700,107.796500,105.294100,106.813000,2260652
2018-02-13,106.491700,107.678300,105.196700,106.754600,1852823
2018-02-14,105.849100,109.675700,105.391500,109.052500,1757511
2018-02-15,110.318300,111.438000,105.878300,107.075900,3118308
2018-02-16,106.910400,107.572400,105.410900,105.751700,2782445
2018-02-20,105.157800,106.744900,104.583300,105.732300,2295796
2018-02-21,105.800400,108.332000,105.498600,106.219100,1984497
2018-02-22,106.910400,108.770200,106.608600,107.913300,1509685
2018-02-23,108.555900,109.188800,107.397300,108.663000,1516611
2018-02-26,108.906500,109.033000,106.725400,107.601700,2469276
2018-02-27,107.601700,108.020400,106.306700,106.774100,2054449
2018-02-28,107.299900,107.387500,105.323300,105.372000,2226615
2018-03-01,105.440200,107.621200,104.505400,105.284400,3693767
2018-03-02,104.783200,105.687300,103.230400,105.363000,2403928
2018-03-05,104.930600,107.151600,104.105000,106.797800,2413583
2018-03-06,107.377700,109.215500,106.738900,107.849400,1794573
2018-03-07,107.063200,108.075400,105.913300,107.495600,2144003
2018-03-08,108.026300,108.448900,106.591500,107.485800,2181313
2018-03-09,108.429200,110.552000,107.967400,110.345600,1860100
2018-03-12,110.738700,110.886200,108.920600,109.225300,2024971
2018-03-13,109.716700,110.650300,108.065600,108.439100,2233231
2018-03-14,109.284200,109.284200,106.493200,106.876500,1592595
2018-03-15,107.466100,107.534900,105.205700,105.618500,2014888
2018-03-16,105.638200,106.689700,104.743800,105.333500,4500742
2018-03-19,105.363000,105.471100,103.682400,104.930600,2581655
2018-03-20,105.638200,106.719200,105.087800,105.618500,2591925
2018-03-21,105.638200,110.424300,104.950200,109.294100,3351960
2018-03-22,107.810100,108.773200,104.606300,104.763500,2968788
2018-03-23,104.832300,105.648000,102.611200,102.748800,2569240
2018-03-26,103.987100,104.655400,101.657900,103.279500,3045173
2018-03-27,103.928100,104.517800,101.933100,102.345900,2432965
2018-03-28,102.326200,103.623500,100.557200,101.372900,2304176
2018-03-29,101.510500,104.380200,101.510500,103.859300,2258674
2018-04-02,103.594000,104.124700,100.596500,101.923300,1750224
2018-04-03,102.139500,102.606300,100.665300,102.345900,1724496
2018-04-04,99.368100,101.196000,94.532800,100.960200,4713551
2018-04-05,101.608800,103.672600,101.427000,103.043600,2069745
2018-04-06,101.726700,102.208300,98.198600,99.053600,2404111
2018-04-09,99.780800,100.075700,97.687500,97.717000,3719946
2018-04-10,99.672700,101.992100,99.092900,100.576900,3205416
2018-04-11,100.095300,100.842200,99.338600,100.449100,1708111
2018-04-12,101.422100,102.729200,101.048600,101.913500,4214910
2018-04-13,102.267300,102.778300,100.861900,101.264800,1750231
2018-04-16,102.385200,103.436800,101.726700,102.739000,2314532
2018-04-17,103.505500,104.684900,102.817600,104.213100,1788540
2018-04-18,105.392500,107.564400,104.891300,106.994400,3163178
2018-04-19,106.542300,106.591500,104.823100,105.746300,2390271
2018-04-20,105.893700,106.444000,104.871600,105.824900,2673923
2018-04-23,105.648000,106.660200,105.392500,106.453900,2178516
2018-04-24,106.837100,107.643000,103.004300,104.114900,2491121
2018-04-25,103.682400,104.154200,102.306600,103.574300,3471623
2018-04-26,103.947800,105.289300,103.289300,104.655400,2058189
2018-04-27,107.269600,107.652800,103.191100,104.832300,3208172
2018-04-30,104.832300,105.883900,103.505500,103.908500,2200486
2018-05-01,103.682400,103.928000,101.284500,102.001900,2341611
2018-05-02,102.345900,103.819900,101.933100,102.945400,2599838
2018-05-03,102.876600,103.073100,100.906100,102.159200,2170914
2018-05-04,101.746400,103.171400,100.694800,102.984700,2129453
2018-05-07,103.181200,104.262300,102.365500,102.798000,1903563
2018-05-08,102.699700,102.856900,101.677600,102.739000,3054781
2018-05-09,103.426900,108.498000,103.426900,108.006600,3547028
2018-05-10,107.987000,111.554500,107.839600,110.483200,3471986
2018-05-11,110.532400,111.574100,110.041000,110.630600,2234442
2018-05-14,110.925500,111.376000,109.647900,110.050800,1854391
2018-05-15,109.726500,110.552000,109.235100,110.237500,1534176
2018-05-16,111.977000,114.375000,111.819800,113.323400,3360147
2018-05-17,113.117100,114.276700,112.950000,114.188300,2311451
2018-05-18,114.109700,114.856600,113.913100,114.217800,1903891
2018-05-21,114.984300,115.682100,114.227600,115.505200,1770785
2018-05-22,115.750900,116.743500,114.050700,114.168600,1715326
2018-05-23,113.215300,113.824700,111.220300,113.667400,1573412
2018-05-24,113.647800,117.333200,113.510200,115.004000,2659054
2018-05-25,113.805000,114.217800,111.102400,111.800100,2545295
2018-05-29,110.738700,112.497900,109.058200,109.529900,2548003
2018-05-30,110.483200,112.173600,109.824800,111.918100,1866354
2018-05-31,111.868900,111.868900,109.962400,110.188400,2126893
2018-06-01,112.448800,113.274300,110.512700,111.171200,1667298
2018-06-04,111.623200,112.380000,111.122000,111.436500,1377520
2018-06-05,111.033600,113.736200,111.033600,113.451200,1850959
2018-06-06,114.502800,116.035900,113.569100,116.006400,2368054
2018-06-07,115.976900,116.802500,115.377400,116.497800,2256881
2018-06-08,116.061700,117.251100,115.476900,117.042900,1837909
2018-06-11,117.429500,117.657400,115.913000,116.487900,1508377
2018-06-12,116.557300,116.686100,115.655300,116.626600,989277
2018-06-13,116.557300,116.592000,114.396600,114.505600,2296854
2018-06-14,114.912000,114.912000,112.880200,113.137900,1490820
2018-06-15,116.279700,116.805000,113.177500,114.297500,3493565
2018-06-18,113.127900,114.515500,113.127900,113.692900,1637099
2018-06-19,111.968300,112.404400,109.371500,110.263600,2403376
2018-06-20,110.600600,110.600600,108.073200,109.024600,2978317
