Date,Open,High,Low,Close,Volume
2017-10-16,19.086000,19.114600,18.552100,18.962000,21666687
2017-10-17,18.952500,19.057400,18.761800,19.019200,8497399
2017-10-18,19.066900,19.381500,19.000200,19.209900,6793376
2017-10-19,19.133600,19.372000,19.009700,19.248000,5317780
2017-10-20,19.438700,20.239500,19.419700,20.182300,13356122
2017-10-23,20.277700,20.769000,20.277700,20.334900,12171911
2017-10-24,20.468300,20.611300,20.163300,20.401600,8563491
2017-10-25,20.353900,20.525500,20.144200,20.249100,8364703
2017-10-26,20.287200,20.468300,19.944000,20.344400,7825241
2017-10-27,19.410100,19.543600,18.685600,18.771400,25437159
2017-10-30,18.344100,18.676000,17.751300,17.961000,24134224
2017-10-31,17.903800,18.027800,17.646400,17.884800,12870296
2017-11-01,17.970600,18.704600,17.879800,18.065900,14932235
2017-11-02,18.189800,18.442500,17.875200,17.903800,11041651
2017-11-03,17.922900,17.942000,17.474800,17.503400,14959864
2017-11-06,17.465300,17.503400,17.103000,17.312800,14676504
2017-11-07,17.312800,17.322300,16.593000,16.712100,20434262
2017-11-08,16.693100,17.093500,16.607300,16.750300,19900157
2017-11-09,17.169800,19.162200,16.969600,18.590200,60766899
2017-11-10,18.599800,19.448300,18.590200,19.047800,28654541
2017-11-13,19.057400,19.162200,17.922900,18.428200,21387161
2017-11-14,18.256600,18.809500,18.199400,18.780900,10707200
2017-11-15,18.533000,19.295700,18.431200,19.047800,15102064
2017-11-16,19.066900,19.467300,18.696100,19.305200,11564777
2017-11-17,19.715200,19.963100,19.290900,19.400600,14008138
2017-11-20,19.391000,19.944000,19.176500,19.829600,11268249
2017-11-21,19.839100,19.848700,19.400600,19.467300,10126402
2017-11-22,19.581700,20.153700,19.362400,19.667500,10326197
2017-11-24,20.306300,20.639900,20.029800,20.087000,12860843
2017-11-27,20.153700,20.365100,19.638900,20.220500,16701516
2017-11-28,20.411100,21.192900,20.134700,21.135700,16163501
2017-11-29,21.240500,23.061400,21.192900,22.861200,30789807
2017-11-30,23.023300,23.738300,22.622900,22.689600,26021812
2017-12-01,22.727800,23.261600,22.298800,23.061400,14783061
2017-12-04,23.500000,25.034900,23.500000,24.596300,27017682
2017-12-05,24.596300,24.634500,23.604800,24.043400,16185571
2017-12-06,23.976600,24.215000,23.461800,23.919400,12347650
2017-12-07,24.338900,24.747500,24.005200,24.100600,13003258
2017-12-08,24.596300,24.634500,23.671600,24.596300,13582075
2017-12-11,24.882300,24.958600,24.440900,24.682100,10524929
2017-12-12,24.491400,25.135000,24.472400,24.491400,9436107
2017-12-13,24.520000,25.006300,24.291200,24.624900,9430828
2017-12-14,24.641800,24.932100,23.645300,23.993600,12283286
2017-12-15,24.090400,24.332300,23.684000,23.790500,15521344
2017-12-18,23.984000,25.125600,23.984000,25.009500,12099310
2017-12-19,25.154600,25.319100,24.409700,24.429000,9486328
2017-12-20,24.670900,24.787000,24.332300,24.506400,10724247
2017-12-21,24.622500,24.980500,24.458000,24.738600,8261378
2017-12-22,24.835300,24.903100,24.564400,24.835300,7332694
2017-12-26,24.922400,26.189700,24.903100,25.977000,12209849
2017-12-27,25.996300,26.006000,24.748300,24.806300,9910195
2017-12-28,24.816000,24.980500,24.400000,24.883700,9053973
2017-12-29,24.903100,25.096600,24.361300,24.371000,6932617
2018-01-02,24.970800,25.473900,24.816000,25.454500,12512857
2018-01-03,25.473900,25.773800,24.429000,24.506400,18650249
2018-01-04,24.922400,24.999800,22.677900,23.693700,36761880
2018-01-05,23.742100,23.935600,23.316400,23.684000,15655546
2018-01-08,23.800100,24.264500,22.910000,23.645300,21249127
2018-01-09,23.809800,24.129100,23.592200,23.887200,10381553
2018-01-10,23.616300,24.980500,23.616300,24.767600,13314541
2018-01-11,24.641800,25.493200,24.535400,25.444900,8853996
2018-01-12,25.648000,26.538100,25.648000,26.015700,13571054
2018-01-16,26.180100,26.305900,24.994700,25.077200,12322773
2018-01-17,24.980500,25.609300,24.816000,25.386800,8059672
2018-01-18,25.435200,26.025400,25.396500,25.735100,6768302
2018-01-19,25.870600,26.131800,25.522300,26.131800,5626646
2018-01-22,26.160800,26.412300,25.870600,26.364000,7038018
2018-01-23,26.470400,26.596200,25.996300,26.470400,6833484
2018-01-24,26.412300,26.741300,25.977000,26.364000,9893427
2018-01-25,26.422000,26.422000,25.599700,25.773800,8191747
2018-01-26,25.744800,26.518800,25.648000,26.509100,7240050
2018-01-29,26.334900,26.740600,26.151100,26.422000,4604522
2018-01-30,26.305900,26.364000,25.280500,25.396500,7986049
2018-01-31,25.473900,25.638400,24.941800,25.106200,6470966
2018-02-01,24.912700,25.294900,24.651500,24.787000,6132675
2018-02-02,24.554800,24.709500,23.909500,24.080700,10778585
2018-02-05,23.751800,24.080700,22.677900,22.706900,13566824
2018-02-06,22.252200,23.606600,21.739400,23.374400,13717048
2018-02-07,23.316400,24.172600,23.268000,23.954900,8930414
2018-02-08,23.974300,24.216200,23.219600,23.219600,8868654
2018-02-09,23.422800,23.795300,22.348900,23.364800,11298860
2018-02-12,23.626000,23.703400,23.084200,23.403500,7716546
2018-02-13,23.355100,24.177500,23.277700,24.071000,7371415
2018-02-14,23.925900,24.980500,23.809800,24.806300,7412380
2018-02-15,24.980500,25.619000,24.932200,25.599700,8702417
2018-02-16,25.541600,25.686700,25.106200,25.406200,7084747
2018-02-20,25.183600,25.425500,24.724100,24.816000,7691144
2018-02-21,24.874000,25.242800,24.699900,24.757900,8049443
2018-02-22,24.912700,25.531900,24.796600,25.319100,7453206
2018-02-23,25.454500,26.209200,25.086900,25.870600,11097135
2018-02-26,26.160800,26.576800,25.643200,26.557500,14229029
2018-02-27,28.802000,30.030700,27.021900,27.476600,49154569
2018-02-28,27.950600,28.918100,27.921600,28.453700,20876789
2018-03-01,28.463400,28.627900,27.186300,28.298900,15812893
2018-03-02,27.902300,29.692100,27.863600,29.421200,16218509
2018-03-05,29.237400,29.653400,28.811700,29.363200,11863576
2018-03-06,29.459900,29.667900,28.773000,29.372900,9008036
2018-03-07,29.024600,29.453200,28.802000,28.947200,8844536
2018-03-08,29.034200,29.072900,27.892600,27.979700,9206878
2018-03-09,28.357000,28.434400,27.457200,27.941000,9608142
2018-03-12,27.941000,28.182800,27.708800,27.824900,6937665
2018-03-13,27.979700,29.300400,27.902300,28.850400,12574427
2018-03-14,28.838200,28.980200,28.162100,28.642200,10561183
2018-03-15,28.838200,29.014500,27.980800,28.220800,6461312
2018-03-16,28.142400,28.794100,27.985700,28.318800,11000930
2018-03-19,28.358000,28.994900,27.917100,28.710800,9648637
2018-03-20,28.750000,28.955700,28.078700,28.348200,8096683
2018-03-21,28.338400,28.642200,28.073800,28.103200,4888304
2018-03-22,27.917100,28.289400,27.466300,27.701500,5625985
2018-03-23,27.799500,27.848500,26.633400,26.662800,9078785
2018-03-26,27.064600,27.471200,26.692200,27.338900,9049836
