Date,Open,High,Low,Close,Volume
2017-10-16,161.386600,161.679300,160.411100,160.967200,2133063
2017-10-17,160.879400,161.952400,160.713500,161.347600,2379725
2017-10-18,161.240300,162.176800,159.874600,161.708600,2798259
2017-10-19,161.757300,162.859600,160.879400,162.420700,2478221
2017-10-20,163.132800,163.786400,161.445200,162.225600,5577713
2017-10-23,162.030500,162.030500,159.094200,159.338100,6214780
2017-10-24,161.211100,162.406000,159.582000,159.864900,7855167
2017-10-25,159.406400,161.074500,159.006400,159.572200,3716202
2017-10-26,160.118500,160.616000,159.738000,159.991700,2934412
2017-10-27,160.069700,161.786600,159.757600,161.337900,2298244
2017-10-30,160.957400,162.479200,160.630600,162.157300,2050964
2017-10-31,162.176800,163.308400,162.059300,162.820600,2873004
2017-11-01,161.659800,163.874200,161.513500,162.293900,2186059
2017-11-02,162.898700,164.342400,162.420700,163.981500,2290972
2017-11-03,163.883900,165.298400,163.494500,164.518000,1960340
2017-11-06,164.761900,166.244600,164.469200,165.903200,3088388
2017-11-07,165.932500,166.634800,165.366700,166.586100,2506006
2017-11-08,166.000800,166.732400,165.298400,165.932500,2605530
2017-11-09,164.586300,165.054500,162.030500,162.908400,4218989
2017-11-10,162.323100,162.713300,159.513700,161.533000,4226775
2017-11-13,161.415900,163.835100,161.035500,163.269400,2605607
2017-11-14,162.752300,164.293600,162.489100,163.991200,2180883
2017-11-15,163.581500,164.557000,163.054700,163.220600,2019256
2017-11-16,163.571800,164.752100,163.425400,163.971700,2293402
2017-11-17,163.435200,163.591400,162.089000,162.635300,2221422
2017-11-20,163.230300,163.737600,162.674300,162.840100,2442260
2017-11-21,163.444900,165.113100,163.405900,164.176600,2653109
2017-11-22,165.122800,166.176300,164.536700,164.908200,2719456
2017-11-24,164.742400,165.405700,164.683800,164.966700,963233
2017-11-27,164.761900,165.035000,163.971700,164.820400,2082561
2017-11-28,165.083800,167.181100,164.898400,167.142100,2909928
2017-11-29,167.493300,167.805400,164.908200,166.254400,4590301
2017-11-30,167.059100,169.934300,166.175900,168.756700,6023705
2017-12-01,169.541800,169.914700,167.206300,169.639900,4279176
2017-12-04,170.032400,170.238500,167.245500,167.461400,3943113
2017-12-05,170.395400,170.994100,169.237600,169.757700,3228719
2017-12-06,170.238500,171.180600,169.767500,170.238500,2619230
2017-12-07,169.325900,170.052100,168.707700,169.679200,2284815
2017-12-08,169.806700,170.300200,169.286600,169.914700,2241149
2017-12-11,169.708600,170.012800,169.002100,170.012800,2340780
2017-12-12,169.011900,169.963800,168.639000,169.011900,2805872
2017-12-13,169.218000,170.709600,169.178700,170.307200,2554009
2017-12-14,170.415200,170.827300,169.600700,169.904900,2667075
2017-12-15,171.043200,171.818400,170.434800,170.807700,7435241
2017-12-18,171.602600,172.495500,170.856800,170.945100,2426273
2017-12-19,171.131500,171.632000,169.846000,170.150200,3122460
2017-12-20,170.582000,170.631100,168.501600,168.953000,2749398
2017-12-21,169.375000,169.522200,168.462300,168.639000,2343276
2017-12-22,168.609500,168.825400,167.363300,168.217000,3234143
2017-12-26,167.893200,168.432900,167.628200,168.089400,1280227
2017-12-27,168.128700,169.512400,167.652800,169.443700,1596817
2017-12-28,170.022600,170.307200,169.394600,169.865600,1800068
2017-12-29,169.747900,169.747900,168.707700,168.903900,2201771
2018-01-02,170.483900,171.219700,169.433800,169.983400,3696871
2018-01-03,169.993200,170.395500,168.786200,169.267000,3789590
2018-01-04,170.003000,170.876400,169.502500,170.454400,2756369
2018-01-05,170.748800,171.730100,170.160000,170.797900,3737690
2018-01-08,170.493700,170.954900,169.698800,170.680100,2060827
2018-01-09,170.974500,170.974500,169.777300,170.297400,2674280
2018-01-10,170.258200,170.748800,169.247400,170.268000,2173176
2018-01-11,170.317000,171.288500,168.884300,170.150200,3077963
2018-01-12,170.120800,170.542700,169.649700,170.326800,2901615
2018-01-16,170.375900,171.151100,169.649700,170.434800,3662624
2018-01-17,171.092300,172.407200,170.631100,171.710500,4129573
2018-01-18,171.916600,172.166800,170.650700,171.308200,2154754
2018-01-19,171.720300,173.339500,171.121700,172.829200,3746267
2018-01-22,172.682000,173.525900,172.323800,172.917500,3217879
2018-01-23,172.289500,174.428700,171.582900,173.506300,3197644
2018-01-24,173.987100,173.987100,171.975500,172.829200,2810819
2018-01-25,173.104000,173.319900,171.396500,172.377800,2815838
2018-01-26,172.387600,175.066600,171.740000,175.027300,3957724
2018-01-29,174.968500,175.361000,173.928300,174.448400,6091905
2018-01-30,173.790900,174.350200,167.657700,169.257200,9612974
2018-01-31,170.356300,171.038300,167.088500,167.942200,7004176
2018-02-01,167.088500,170.297400,165.738700,168.688000,4751328
2018-02-02,167.608600,169.502400,165.832400,166.215100,4604454
2018-02-05,165.459500,166.288700,150.985100,160.788500,7309275
2018-02-06,155.391200,162.947400,155.293100,162.093600,7019960
2018-02-07,161.779600,165.116100,161.445900,162.613700,4974029
2018-02-08,162.594100,162.636200,155.793600,155.999600,5655988
2018-02-09,156.990800,158.953400,152.329500,157.795500,7187079
2018-02-12,159.336100,162.790300,158.482400,160.837500,5255925
2018-02-13,159.954300,160.768800,158.698300,159.365600,5405988
2018-02-14,158.423500,158.992700,156.696400,157.000600,5865565
2018-02-15,158.129100,158.502000,155.842600,157.775800,5012104
2018-02-16,156.490300,156.912300,154.812300,154.841700,7165793
2018-02-20,154.066500,156.186100,153.355000,154.223500,5211141
2018-02-21,154.812300,158.305700,154.655200,155.675800,7833396
2018-02-22,155.980000,158.384200,155.931000,157.658100,4398165
2018-02-23,158.423500,160.258600,158.423500,160.013200,4272364
2018-02-26,160.935700,161.671600,159.267400,160.523500,4525196
2018-02-27,161.122100,161.426300,157.638400,157.658100,4907530
2018-02-28,158.428300,159.198600,155.752100,155.771900,6116820
2018-03-01,155.831100,158.428300,153.273500,153.757400,5608962
2018-03-02,147.052100,148.572900,145.007900,146.420100,11754262
2018-03-05,146.429900,149.590000,146.074400,149.145600,6397841
2018-03-06,149.362900,149.817100,148.256800,149.313500,5015408
2018-03-07,147.990200,150.834300,147.812500,150.478800,4492049
2018-03-08,150.824400,152.681000,150.745400,152.513100,4291386
2018-03-09,153.678300,155.762000,152.908100,155.278100,5076480
2018-03-12,155.771900,157.460600,155.539800,155.771900,4461502
2018-03-13,156.581700,157.895100,156.236000,156.245900,4333091
2018-03-14,157.016200,157.519800,155.278100,156.265700,3878961
2018-03-15,156.729800,160.126900,156.611300,159.593600,5925708
2018-03-16,159.860200,161.193400,159.564000,160.334300,14293754
2018-03-19,159.978700,160.334300,156.236000,157.026100,4307627
2018-03-20,157.756800,158.665300,157.263100,157.391400,3105129
2018-03-21,158.003700,158.408600,156.315000,156.680400,3871947
2018-03-22,155.880500,157.134700,154.893000,155.080600,3669437
2018-03-23,155.623800,156.107700,152.987100,153.046300,3447383
2018-03-26,154.261000,156.226200,154.261000,156.038500,3476951
2018-03-27,156.522400,157.772100,154.517700,155.515100,3519139
2018-03-28,155.870600,157.766700,155.850900,156.433500,3913249
2018-03-29,157.016200,157.835800,154.428900,154.428900,5289487
2018-04-02,156.295300,158.161700,153.313000,155.752100,6960137
2018-04-03,156.008900,158.527100,155.337400,158.398700,4719350
2018-04-04,156.522400,160.126900,155.910200,159.712100,4888038
2018-04-05,160.373800,162.508300,159.731900,161.904400,4503889
2018-04-06,160.393500,161.736500,158.902300,159.238100,4321878
2018-04-09,160.196000,161.529200,159.050500,159.218400,3581531
2018-04-10,160.798400,161.917500,160.028100,160.739100,3926051
2018-04-11,160.472500,162.013000,160.250300,161.302000,2711129
2018-04-12,161.548900,163.336300,159.524500,159.603500,5178889
2018-04-13,160.136700,161.124300,159.248000,159.712100,2452777
2018-04-16,159.287500,160.413300,158.853000,159.613400,3115186
2018-04-17,160.363900,161.440300,160.038000,160.521900,2861915
2018-04-18,160.561400,161.272400,159.722000,159.791100,2503128
2018-04-19,159.593600,160.077500,156.798900,157.539600,3276623
2018-04-20,157.342100,158.724600,156.532300,156.789000,3961213
2018-04-23,156.986600,157.697600,156.176800,157.006300,3051878
2018-04-24,157.756800,157.835800,154.805100,155.357100,2904359
2018-04-25,155.130000,155.376900,153.076000,153.994400,3710228
2018-04-26,154.507900,157.470400,153.708000,156.917400,3680630
2018-04-27,157.490200,157.855600,156.236000,156.324900,4141496
2018-04-30,162.635200,165.854500,161.706900,165.350900,12954744
2018-05-01,164.304100,164.422600,160.077500,161.400800,6560143
2018-05-02,160.126900,161.158800,158.438200,158.675200,4318436
2018-05-03,158.596200,158.833200,157.095200,158.082700,3450094
2018-05-04,157.954300,163.385700,157.904900,162.970900,4283643
2018-05-07,164.689200,165.212600,162.595700,162.941300,3378990
2018-05-08,162.388300,163.524000,161.706900,162.714200,2808116
2018-05-09,162.941300,163.148700,161.015600,162.190800,2762488
2018-05-10,162.398200,163.573300,162.259900,163.010400,1675139
2018-05-11,162.941300,163.909100,162.793200,163.326400,2258462
2018-05-14,163.583200,163.909100,162.269800,162.664800,2537289
2018-05-15,162.220400,162.595700,160.304600,161.025500,3471278
2018-05-16,161.203300,161.894500,159.722000,160.837900,2522035
2018-05-17,160.600900,161.193400,158.724600,159.297400,2975505
2018-05-18,159.662700,160.808300,158.546800,158.971500,2318045
2018-05-21,159.761500,159.949100,158.606100,159.465200,2424012
2018-05-22,160.038000,160.067600,157.174200,157.460600,3224003
2018-05-23,157.707400,159.633100,157.172800,159.603500,3835129
2018-05-24,159.099900,160.571300,158.438200,160.363900,3378040
2018-05-25,160.413300,161.904400,160.077500,161.173600,2582090
2018-05-29,160.403400,160.689800,158.213400,158.616000,3197053
2018-05-30,159.396100,160.077500,158.811000,159.801000,2396547
2018-05-31,159.169000,159.613400,157.944400,158.013600,4881141
2018-06-01,158.908000,159.057100,158.033500,158.172600,3203782
2018-06-04,159.086900,159.494300,158.550200,159.226000,3174562
2018-06-05,158.977600,159.991200,157.993700,158.490600,2952304
2018-06-06,158.798700,161.382500,158.341500,161.372600,3586190
2018-06-07,162.734100,168.945300,162.674500,168.428600,8342535
2018-06-08,167.971400,170.495700,167.414900,167.862100,5056578
2018-06-11,167.991300,167.991300,165.228500,165.457100,3246464
2018-06-12,165.785100,166.202500,165.198800,165.695600,2985260
2018-06-13,165.954000,166.570200,165.516700,165.546500,3140508
2018-06-14,166.003700,166.898100,165.645900,166.013600,2389963
2018-06-15,165.069500,165.566400,163.568900,165.427300,7384360
2018-06-18,164.503100,165.546500,162.793700,165.248400,4297727
2018-06-19,163.598700,164.483200,163.221100,163.946500,3350429
2018-06-20,163.886900,164.503100,161.362700,161.551500,3649511
2018-06-21,162.277000,162.585000,158.551200,159.534100,4655807
2018-06-22,160.269500,164.115500,160.259600,163.529100,10927291
2018-06-25,161.988800,161.988800,157.963900,158.818500,6126774
2018-06-26,159.017300,160.850900,158.808600,159.911700,3375117
2018-06-27,158.063300,159.494300,156.403600,156.443400,4962140
2018-06-28,156.274400,156.353900,154.137800,155.350200,4136532
2018-06-29,155.787500,156.970100,155.101800,155.717900,4024512
2018-07-02,155.022200,155.896800,154.485600,155.896800,3023959
2018-07-03,156.383700,156.840900,155.340300,155.509200,1437699
2018-07-05,155.926600,156.691800,155.529100,156.344000,2248320
2018-07-06,156.791200,159.573800,156.473200,158.431000,3441328
2018-07-09,159.474500,159.802400,158.381300,158.947700,2479345
2018-07-10,158.838400,159.981300,158.470700,159.623500,2189197
2018-07-11,157.904300,158.719200,156.721600,157.635900,3203795
2018-07-12,158.162600,158.783800,157.834700,158.132800,2362637
2018-07-13,156.423500,157.775100,154.316700,157.526600,5187847
2018-07-16,157.635900,158.291800,156.980000,157.794900,2818613
2018-07-17,157.576300,159.007400,157.576300,158.758900,1877482
2018-07-18,158.858300,158.878200,156.831000,156.950200,3824120
2018-07-19,156.612300,157.655800,156.135300,156.433400,4871531
2018-07-20,156.224700,157.367600,155.310400,156.990000,2699130
2018-07-23,156.821000,157.844600,156.065700,157.765100,2755965
2018-07-24,158.252100,158.590000,156.542800,156.960200,3388383
2018-07-25,156.711700,158.003600,156.433400,157.904300,4369823
2018-07-26,157.248400,157.904300,153.750200,155.171300,7409782
2018-07-27,155.608600,157.029700,155.429700,156.503000,4287282
2018-07-30,156.413600,159.027200,156.115400,157.655800,3274878
2018-07-31,157.715400,158.013600,156.254600,156.562600,3530344
2018-08-01,155.598700,156.244600,154.694300,155.946500,4253003
2018-08-02,155.678200,155.956100,152.180000,154.445800,6245890
2018-08-03,154.734000,155.996200,153.332800,155.240900,3673120
2018-08-06,155.062000,156.433400,154.495500,155.747700,2375200
2018-08-07,155.936500,156.224700,154.873200,155.071900,1929394
2018-08-08,155.519100,157.944000,155.201100,157.934100,2988536
2018-08-09,157.854600,158.629700,156.980000,158.311700,2764451
2018-08-10,157.357700,158.520400,156.890600,157.695600,3343459
2018-08-13,157.496800,158.003600,156.274400,157.158900,2879590
2018-08-14,157.367600,160.428500,157.208600,159.603600,3111910
2018-08-15,158.818500,159.464500,157.387500,158.888100,3355474
2018-08-16,159.156400,161.273200,159.156400,160.726600,2822325
2018-08-17,160.895600,160.895600,159.245900,160.150200,2527422
2018-08-20,160.289400,161.154000,160.100500,160.676900,2659503
2018-08-21,160.458300,160.945300,160.021000,160.040900,1920897
2018-08-22,160.408600,160.508000,159.086900,159.554000,2361539
2018-08-23,159.563900,159.792500,157.387500,158.063300,2755807
2018-08-24,157.755200,158.868200,157.317900,158.391200,2199440
2018-08-27,159.235900,159.524100,158.212300,159.484400,2627116
2018-08-28,159.554000,160.667000,159.161400,160.637200,2138158
2018-08-29,160.915500,162.326600,160.686900,162.098100,3168231
2018-08-30,162.018600,162.277000,161.365500,161.790000,3038737
2018-08-31,161.530000,162.910000,161.530000,162.230000,3649768
2018-09-04,161.810000,161.980000,160.070000,161.720000,3296272
2018-09-05,161.600000,163.400000,161.190000,163.240000,2749174
2018-09-06,163.040000,164.300000,162.700000,163.740000,3133754
2018-09-07,163.580000,164.200000,163.140000,163.900000,2868309
2018-09-10,164.480000,166.020000,164.240000,165.070000,3080082
2018-09-11,164.880000,165.930000,164.201000,164.620000,2946393
2018-09-12,164.320000,165.420000,163.740000,164.740000,2613354
2018-09-13,165.450000,165.460000,161.700000,162.400000,3668731
2018-09-14,163.000000,163.110000,160.250000,160.840000,3939824
2018-09-17,159.550000,159.820000,156.560000,158.140000,5360039
2018-09-18,158.170000,159.080000,157.580000,157.770000,3722864
2018-09-19,158.710000,159.490000,157.720000,159.180000,2821953
2018-09-20,160.210000,161.050000,159.370000,160.790000,3218707
2018-09-21,162.710000,165.300000,162.510000,165.300000,8805474
2018-09-24,163.900000,164.080000,161.120000,163.310000,4375289
2018-09-25,164.590000,167.180000,164.070000,166.410000,5282930
2018-09-26,166.400000,167.510000,165.550000,165.760000,3092556
2018-09-27,165.620000,167.270000,165.300000,166.530000,2390670
2018-09-28,166.740000,167.830000,166.510000,167.290000,3390221
2018-10-01,168.370000,168.950000,166.660000,166.670000,3126616
2018-10-02,166.350000,167.037700,165.180000,165.180000,3071198
2018-10-03,166.100000,167.600000,164.370000,164.660000,3830275
2018-10-04,164.890000,166.070000,164.500000,165.800000,3230440
2018-10-05,166.240000,167.490000,165.790000,166.570000,2822503
2018-10-08,166.250000,168.170000,166.120000,167.770000,2560488
2018-10-09,168.160000,170.560000,167.810000,169.830000,4158072
2018-10-10,171.990000,172.000000,168.220000,168.370000,4190540
2018-10-11,166.410000,167.670000,161.820000,162.970000,5430672
2018-10-12,163.930000,164.960000,161.860000,163.820000,3446093
