Date,Open,High,Low,Close,Volume
2017-10-16,55.332600,55.479700,54.606800,54.646000,5437894
2017-10-17,54.665700,55.435500,54.655900,55.420800,3017914
2017-10-18,55.430600,55.764100,55.312900,55.656200,2905912
2017-10-19,55.332600,56.038700,55.087400,55.999400,3403697
2017-10-20,56.195600,56.627100,56.048500,56.381900,3904883
2017-10-23,56.372100,56.381900,55.175600,55.254100,3734715
2017-10-24,55.450200,56.166200,55.450200,55.891600,3428911
2017-10-25,55.862100,56.038700,54.812800,55.352200,4895522
2017-10-26,56.411400,56.803600,54.793200,56.166200,4239542
2017-10-27,56.568300,57.794200,56.293700,57.343000,4159870
2017-10-30,57.372500,58.421800,57.127300,57.921700,3887715
2017-10-31,58.627800,59.002800,57.696100,58.588600,5157554
2017-11-01,59.078900,60.706900,58.912200,59.716400,5609440
2017-11-02,59.883100,61.138400,59.696800,60.971700,5216057
2017-11-03,61.060000,61.570000,60.706900,61.001100,3660716
2017-11-06,61.138400,61.324800,60.903100,61.148300,3695372
2017-11-07,61.373800,61.903400,60.947200,61.893600,3725447
2017-11-08,62.070100,62.187800,61.354200,62.001500,4834161
2017-11-09,61.413100,61.520900,59.726200,60.471600,5014833
2017-11-10,60.785400,61.079600,60.422500,60.530400,3220126
2017-11-13,60.599100,61.344400,60.520600,61.001100,2823438
2017-11-14,61.118800,61.864200,60.756000,61.658200,4490152
2017-11-15,59.673000,61.015500,59.327500,60.709500,4743604
2017-11-16,60.719400,61.770700,60.364000,61.212900,3981337
2017-11-17,61.055000,61.647300,60.847800,61.469600,3195943
2017-11-20,61.311700,61.726300,60.956300,61.143800,2573647
2017-11-21,61.390600,61.558400,61.005600,61.489300,2532882
2017-11-22,61.548600,61.597900,60.472600,61.212900,2955995
2017-11-24,61.361000,61.449900,60.788500,61.232700,1407446
2017-11-27,61.153700,61.647300,60.808200,61.084600,6393029
2017-11-28,61.489300,61.578200,60.862500,61.420200,2889915
2017-11-29,61.212900,61.440000,60.166600,60.610800,4231022
2017-11-30,60.897100,61.973000,60.650300,61.825000,4883684
2017-12-01,62.012500,62.249400,60.798300,62.032300,5187779
2017-12-04,62.111200,63.493300,61.808200,62.486400,4242885
2017-12-05,62.604800,64.569200,62.343200,63.710400,4256146
2017-12-06,63.493300,63.631500,62.456700,62.644300,2354799
2017-12-07,62.288900,63.246500,62.190200,63.177400,3362728
2017-12-08,63.917700,64.105300,63.128000,63.917700,3084744
2017-12-11,63.631500,64.243500,63.503100,63.631500,2768848
2017-12-12,63.661100,64.450800,63.443900,63.661100,2591904
2017-12-13,63.473500,63.582100,62.979900,63.325400,2966069
2017-12-14,63.335300,64.204000,63.236600,63.828900,4319031
2017-12-15,64.115200,65.339200,63.868400,64.904900,10013861
2017-12-18,65.023300,65.526800,64.885100,65.161500,3386423
2017-12-19,65.181300,65.270100,63.848600,63.917700,4367540
2017-12-20,64.223700,65.013500,63.927600,64.816000,5163554
2017-12-21,64.855500,65.931500,64.579100,65.477400,5675746
2017-12-22,65.842700,65.990700,65.368800,65.507000,3449475
2017-12-26,65.694600,66.207900,65.556400,65.980900,2309923
2017-12-27,65.862400,66.025300,65.507000,65.566300,2195495
2017-12-28,65.576100,65.704500,65.309600,65.546500,3124371
2017-12-29,65.615600,65.891000,65.112200,65.131900,2289136
2018-01-02,65.260200,66.385600,65.131900,66.316500,3055886
2018-01-03,66.592900,68.078500,66.543500,67.728100,4844035
2018-01-04,67.777500,68.167400,67.520800,67.797200,3156419
2018-01-05,67.984800,68.562200,67.629400,68.448700,3512317
2018-01-08,68.182200,68.784400,68.123000,68.498100,3212844
2018-01-09,68.498100,68.656000,68.024300,68.113100,2980252
2018-01-10,67.905800,68.735000,67.570200,68.616500,2719440
2018-01-11,68.823800,69.524700,68.458600,69.347000,2494515
2018-01-12,69.564200,70.581000,69.564200,70.502000,2628238
2018-01-16,70.679700,70.906700,69.702400,69.870200,4401465
2018-01-17,70.196000,71.548400,70.008400,71.054800,3489705
2018-01-18,70.857400,71.587900,70.245300,70.571100,3610580
2018-01-19,70.738900,71.104100,70.176200,70.965900,3894320
2018-01-22,71.114000,72.259100,70.798100,72.219600,4365722
2018-01-23,72.367700,72.555300,71.706300,72.180100,2852575
2018-01-24,72.426900,72.584900,70.373700,70.669800,3933937
2018-01-25,71.153500,71.305700,70.097300,70.166400,2895025
2018-01-26,70.373700,71.094300,70.274900,70.817900,3556083
2018-01-29,70.590800,70.822800,69.070600,69.248300,4153079
2018-01-30,68.162500,68.685600,66.938400,68.241400,4841675
2018-01-31,68.350000,68.744900,67.333300,68.379600,6424973
2018-02-01,68.873200,69.583900,66.259700,67.807100,6953478
2018-02-02,67.451700,68.557300,65.951200,66.543500,5035082
2018-02-05,65.230600,66.568200,62.417300,63.749900,5891644
2018-02-06,62.121100,65.092400,61.459700,64.845600,4615416
2018-02-07,66.099300,66.770600,64.105300,64.253400,5065003
2018-02-08,64.075700,64.509900,61.963200,61.982900,4379259
2018-02-09,62.634400,63.749900,60.670000,63.019400,4871417
2018-02-12,63.651200,64.855500,63.197100,63.937500,3423731
2018-02-13,63.838800,65.546500,63.463600,65.230600,3570969
2018-02-14,64.618600,67.540600,64.342200,67.283900,4690034
2018-02-15,67.283900,67.935400,66.020300,66.928500,4187177
2018-02-16,66.731100,67.550400,66.119100,67.056800,3301291
2018-02-20,67.048600,67.481600,65.438200,65.855700,3236025
2018-02-21,65.895500,67.083400,65.736400,65.875600,4522742
2018-02-22,66.134000,67.247400,66.014800,66.064500,4149547
2018-02-23,66.482000,66.770200,65.368600,66.412400,2896416
2018-02-26,66.521700,66.650900,65.666800,65.895500,3243153
2018-02-27,65.766200,66.690000,65.199600,65.209600,4395610
2018-02-28,65.567400,65.567400,63.668800,63.678700,5536573
2018-03-01,63.887500,65.189700,63.758300,64.404400,4264752
2018-03-02,63.996800,65.030600,63.718500,64.802000,2890128
2018-03-05,64.493900,66.099200,64.215500,65.766200,3662047
2018-03-06,66.223500,67.466100,65.835800,66.988900,3731063
2018-03-07,66.561500,67.704600,66.285500,67.277200,3536806
2018-03-08,67.714600,68.658900,66.988900,68.619200,4015615
2018-03-09,69.315000,70.259300,69.016800,69.802100,4110401
2018-03-12,69.822000,70.060500,68.758300,68.857700,3175940
2018-03-13,68.967100,69.871700,68.355700,68.827900,3246001
2018-03-14,69.235500,69.603300,68.738400,68.947200,3328600
2018-03-15,69.146000,69.354800,67.048600,68.221500,4534787
2018-03-16,68.102300,69.563500,68.092300,69.265300,6081673
2018-03-19,68.987000,69.155900,68.311000,68.798100,2773968
2018-03-20,69.285200,71.392600,69.026700,71.034700,4723539
2018-03-21,71.382600,73.440300,71.283200,72.774300,4355912
2018-03-22,71.939300,73.450200,71.680800,72.535700,3809487
2018-03-23,72.963200,74.036700,70.746400,70.855800,5858189
2018-03-26,71.670900,73.619200,71.651000,73.241500,4245366
2018-03-27,73.440300,74.474100,71.969100,72.446200,3640426
2018-03-28,72.694800,72.993000,71.163900,71.392600,4082257
2018-03-29,71.800100,73.201700,71.700700,72.674900,2790871
2018-04-02,72.515800,72.943300,70.418400,71.372700,3372649
2018-04-03,72.267300,72.353900,70.955200,72.167900,3659955
2018-04-04,71.163900,72.386600,69.891500,72.138100,4382756
2018-04-05,72.804100,73.509900,72.297100,72.973100,4706477
2018-04-06,72.277300,73.022800,71.104300,72.018800,3211517
2018-04-09,72.038700,72.555600,71.223600,71.243400,3889807
