Date,Open,High,Low,Close,Volume
2017-10-16,47.278300,48.013300,47.278300,47.964300,8178930
2017-10-17,48.699400,49.326600,47.997900,48.140800,15535036
2017-10-18,48.434800,49.444200,48.385800,49.150200,12094942
2017-10-19,48.797400,48.949300,48.204500,48.797400,10053117
2017-10-20,49.444200,49.895100,49.218800,49.669700,8454470
2017-10-23,49.865700,50.081300,49.385400,49.601100,6265815
2017-10-24,49.797100,50.365500,49.777500,50.051900,7849701
2017-10-25,50.483100,50.492900,48.924800,49.522600,9645824
2017-10-26,49.738300,50.179300,49.571600,49.757900,9715670
2017-10-27,49.640300,50.326300,49.503000,50.140100,9261076
2017-10-30,49.808600,50.015500,49.217700,49.700300,9020853
2017-10-31,49.710100,49.956400,49.198000,49.247200,9282996
2017-11-01,49.463900,49.784000,48.754700,48.882800,7842936
2017-11-02,48.784300,49.680600,48.764600,49.660900,7902296
2017-11-03,49.394900,49.660900,48.912300,49.266900,5916824
2017-11-06,49.129000,49.537800,49.001000,49.385100,4844249
2017-11-07,49.503300,49.828300,48.518300,48.646400,8823821
2017-11-08,48.469100,48.636500,47.996300,48.301700,8435662
2017-11-09,48.045600,48.538000,47.533400,48.085000,6189498
2017-11-10,48.272100,48.454300,47.986500,48.025900,5436518
2017-11-13,47.523600,48.025900,47.513700,47.897800,5730407
2017-11-14,47.641700,47.819000,47.237900,47.651600,5968532
2017-11-15,47.119700,47.794400,46.706000,47.375800,9749632
2017-11-16,47.661400,48.104700,47.641700,47.868300,7788965
2017-11-17,47.562900,48.158800,47.434900,47.966800,4992616
2017-11-20,48.173600,48.538000,47.927400,48.370600,4574628
2017-11-21,48.863100,49.010800,48.547900,48.636500,6036970
2017-11-22,48.597100,48.872900,48.331200,48.350900,3785942
2017-11-24,48.557700,48.646400,48.301700,48.321400,2692946
2017-11-27,48.242600,48.577400,47.976600,48.262300,5025564
2017-11-28,48.410000,49.769200,48.193300,49.641200,9001202
2017-11-29,50.143500,51.034900,50.040000,50.547300,9441147
2017-11-30,51.039800,51.788400,50.567000,50.833000,12158198
2017-12-01,51.098900,51.453500,49.956400,51.167800,10014020
2017-12-04,52.310400,52.566500,51.877000,51.886900,10640132
2017-12-05,51.226900,52.142900,51.015200,51.226900,7959697
2017-12-06,50.882200,51.571700,50.665500,50.911800,7701648
2017-12-07,50.567000,51.936100,50.488200,51.561800,8765625
2017-12-08,52.192200,52.192200,51.364800,52.093700,6488884
2017-12-11,51.778500,52.093700,51.739100,51.975500,6316908
2017-12-12,52.458100,53.285500,51.936100,53.039200,8151959
2017-12-13,53.147600,53.433200,52.320200,52.379300,10568359
2017-12-14,52.596000,52.990000,51.837600,51.847500,8190057
2017-12-15,52.251300,52.625600,51.906600,52.300500,12708046
2017-12-18,53.058900,53.078600,52.182300,52.438400,8442956
2017-12-19,52.733900,52.783200,52.103500,52.133100,7630623
2017-12-20,52.576300,52.684700,51.689900,51.719400,6435059
2017-12-21,52.014900,52.497500,51.768700,52.083800,11350613
2017-12-22,52.231600,52.305500,51.463300,51.926300,6153843
2017-12-26,51.749000,51.965600,51.305700,51.680000,3313782
2017-12-27,51.542100,51.797700,51.325400,51.778500,5786825
