Date,Open,High,Low,Close,Volume
2017-10-16,120.907500,123.102400,120.907500,122.084000,848972
2017-10-17,121.955500,122.009900,120.680100,121.065700,242435
2017-10-18,121.817100,122.093900,121.100300,121.204100,329220
2017-10-19,120.660300,121.085400,119.829800,120.620700,371374
2017-10-20,121.609400,121.990100,120.472400,120.620700,308946
2017-10-23,121.273300,121.352400,120.205500,120.324100,309682
2017-10-24,120.778900,120.778900,118.940000,119.088300,392998
2017-10-25,119.266200,119.454100,116.962600,117.199900,494776
2017-10-26,117.763400,119.553000,117.387700,118.890500,1003307
2017-10-27,119.760600,119.760600,117.931500,118.643400,529719
2017-10-30,117.921600,118.287400,116.102400,116.319900,450496
2017-10-31,115.637700,116.804400,115.352300,116.033200,878037
2017-11-01,116.873600,118.139100,115.954100,116.260600,548388
2017-11-02,115.093900,125.791600,113.864700,124.002100,739817
2017-11-03,124.545900,125.613700,121.134900,124.615100,571395
2017-11-06,125.099500,126.335400,124.575500,126.256300,723474
2017-11-07,126.147600,126.552900,124.180000,124.555800,262282
2017-11-08,124.802900,126.192000,124.743600,125.663100,228192
2017-11-09,125.050100,126.498500,124.476700,126.434300,308157
2017-11-10,126.266200,126.266200,123.458300,123.606600,312065
2017-11-13,123.132000,124.447000,122.884900,124.041600,350713
2017-11-14,123.517600,125.040200,123.354500,123.705500,452499
2017-11-15,122.855200,124.180000,122.400400,122.825500,293521
2017-11-16,123.139400,125.678200,123.139400,124.339400,409941
2017-11-17,123.803900,125.688000,123.803900,125.529400,275289
2017-11-20,125.975700,127.254000,125.757500,126.134400,240405
2017-11-21,127.502900,127.830200,125.866600,126.441800,437278
2017-11-22,126.630200,127.780500,125.350900,126.441800,304574
2017-11-24,126.957500,128.038400,126.441800,127.830200,95633
2017-11-27,128.018600,128.197100,127.339300,127.681400,281378
2017-11-28,128.345900,128.891300,127.602100,128.276400,468814
2017-11-29,128.702900,128.831800,125.380700,126.669900,425283
2017-11-30,127.126100,128.127700,126.521100,127.631800,481940
2017-12-01,127.582200,127.998800,125.282400,127.879800,352552
2017-12-04,128.841700,129.496200,126.263300,126.511200,597245
2017-12-05,126.650000,128.256600,126.352500,127.294600,379189
2017-12-06,127.245100,128.484700,126.719500,126.937600,220519
2017-12-07,126.590500,128.177300,126.223600,127.145900,271428
