Date,Open,High,Low,Close,Volume
2017-10-16,147.241000,147.786200,145.936500,147.513600,1349063
2017-10-17,147.494100,148.818200,147.036500,148.633200,1291075
2017-10-18,148.204800,148.740300,147.659600,148.506600,1074661
2017-10-19,148.633200,149.879300,148.175600,149.801400,1312436
2017-10-20,149.674900,150.161700,148.935000,150.083800,1437737
2017-10-23,149.908500,150.609500,149.275700,150.298000,1218286
2017-10-24,150.044800,150.317400,149.139400,150.142200,1429554
2017-10-25,149.869600,150.113000,147.357800,149.791700,1877334
2017-10-26,150.706900,151.875100,149.304900,149.334100,1473478
2017-10-27,149.334100,152.654000,149.324400,151.719400,1451836
2017-10-30,151.203400,152.060100,150.794500,151.252000,1353974
2017-10-31,150.989200,151.446800,150.229800,150.969700,1327652
2017-11-01,151.553900,151.602500,149.042100,149.324400,1436898
2017-11-02,149.431500,150.658200,144.446900,145.897500,3979313
2017-11-03,145.780700,149.100500,145.547000,148.613700,3085051
2017-11-06,148.857100,149.081000,147.640100,147.844600,1407880
2017-11-07,148.302200,151.699900,147.903000,151.378600,1968036
2017-11-08,150.891800,151.622000,149.840400,150.823700,1992742
2017-11-09,150.259000,151.495400,150.025700,151.145000,1194920
2017-11-10,150.492700,151.310500,149.782000,151.057300,1285824
2017-11-13,151.232600,152.848700,150.745800,152.634500,1000007
2017-11-14,152.371600,154.357700,152.118500,154.211700,1513750
2017-11-15,154.649800,155.068400,152.877900,153.199200,1330019
2017-11-16,153.238100,153.539900,152.215900,153.131000,1364736
2017-11-17,152.848700,153.126100,151.769700,151.914100,1077979
2017-11-20,152.079600,152.527400,151.203400,151.797200,1447429
2017-11-21,152.352200,152.741600,151.641500,152.079600,1332134
2017-11-22,152.082000,152.787400,151.425600,152.033000,1943421
2017-11-24,152.444500,153.228300,152.327000,152.865800,636127
2017-11-27,153.081300,154.364800,152.748200,153.816100,1517672
2017-11-28,154.306000,155.182800,153.884700,154.590100,1237271
2017-11-29,154.110000,155.080000,153.326300,154.570500,2088575
2017-11-30,154.884000,155.658000,154.178600,154.835000,3403680
2017-12-01,155.177900,155.961700,153.257700,154.276600,1428100
2017-12-04,154.452900,154.756700,152.366100,152.807000,1400931
2017-12-05,153.257700,153.649600,151.317800,152.483700,1702522
2017-12-06,153.345900,155.158300,152.630700,154.580300,1983880
2017-12-07,154.531300,154.972200,153.825900,154.972200,1452106
2017-12-08,155.266100,155.805000,154.198200,155.805000,1311953
2017-12-11,155.769100,156.118500,154.247200,156.020500,1608884
2017-12-12,153.884700,156.167500,153.639800,153.884700,1988733
2017-12-13,154.433400,154.835000,152.640600,153.296900,3603005
2017-12-14,153.551600,156.010700,152.415100,154.776300,2226969
2017-12-15,155.462100,155.814800,154.041500,155.217100,3493009
2017-12-18,155.403300,155.937200,152.944200,153.179300,1940796
2017-12-19,153.326300,153.806300,150.916200,150.974900,1564969
2017-12-20,150.974900,152.189800,150.377300,150.524300,2210488
2017-12-21,150.710400,152.121200,149.583700,151.347200,1787163
2017-12-22,151.768500,152.219200,151.170900,151.406000,1078767
2017-12-26,151.562800,152.199600,150.867200,150.877000,723501
2017-12-27,151.494200,152.199600,150.994500,152.140800,1076323
2017-12-28,152.052600,153.247900,152.003600,153.179300,856725
2017-12-29,153.669200,154.090500,152.846200,153.022600,1186595
2018-01-02,153.257700,153.492800,151.288400,151.944900,1191639
2018-01-03,150.965100,152.669900,148.702000,148.721600,2752031
2018-01-04,148.437500,149.926600,147.575300,147.957400,3407328
2018-01-05,148.310100,148.858700,147.545900,148.633400,2579542
2018-01-08,148.633400,150.132400,148.437500,149.858100,1806263
