Date,Open,High,Low,Close,Volume
2017-10-16,201.950000,202.830000,197.860000,202.680000,22105442
2017-10-17,200.110000,204.380000,197.770000,199.480000,23900118
2017-10-18,199.990000,200.010000,194.250000,195.540000,11198938
2017-10-19,193.010000,195.250000,191.160000,195.130000,7034602
2017-10-20,195.900000,196.380000,193.770000,194.160000,5995568
2017-10-23,194.170000,194.899900,191.034600,192.470000,6979994
2017-10-24,192.750000,196.735000,191.400000,196.020000,7069108
2017-10-25,195.380000,197.055000,193.010000,193.770000,5315269
2017-10-26,194.660000,197.610000,194.080000,195.210000,5185830
2017-10-27,197.200000,200.650000,196.220000,199.540000,8128567
2017-10-30,199.620000,201.099000,197.072100,198.370000,5439563
2017-10-31,198.210000,198.590000,195.218000,196.430000,5518595
2017-11-01,197.240000,199.199000,196.000000,198.000000,5017420
2017-11-02,197.450000,199.440000,197.090100,199.320000,3606332
2017-11-03,199.800000,200.550000,197.990000,200.010000,3678829
2017-11-06,200.000000,202.480000,198.090000,200.130000,5846581
2017-11-07,200.000000,200.610000,194.800000,195.890000,6467969
2017-11-08,196.000000,197.090000,194.740000,196.440000,4237398
2017-11-09,194.460000,194.490000,190.810000,193.900000,5979925
2017-11-10,191.610000,192.590000,189.500000,192.020000,6622168
2017-11-13,191.120000,196.050000,191.000000,195.080000,4606951
2017-11-14,193.640000,195.880000,193.000000,195.710000,3450513
2017-11-15,194.540000,195.420000,191.530000,192.120000,4203072
2017-11-16,194.330000,197.700000,193.750000,195.510000,5678355
2017-11-17,195.740000,195.950000,192.650000,193.200000,3906333
2017-11-20,193.300000,194.320000,191.900000,194.100000,3827474
2017-11-21,195.040000,197.520000,194.971000,196.230000,4787311
2017-11-22,196.580000,196.750000,193.630000,196.320000,5895402
2017-11-24,196.650000,196.900000,195.330000,195.750000,2160535
2017-11-27,195.560000,195.850000,194.000000,195.050000,3210145
2017-11-28,195.340000,199.680000,194.010000,199.180000,6981094
2017-11-29,198.910000,199.029000,184.320000,188.150000,14202713
2017-11-30,190.310000,190.860000,186.680000,187.580000,6630051
2017-12-01,186.990000,189.800000,185.000000,186.820000,6219531
2017-12-04,189.360000,189.720000,178.380000,184.040000,9069765
2017-12-05,183.500000,188.140000,181.190000,184.210000,5783697
2017-12-06,183.380000,186.484400,182.880000,185.300000,5490088
2017-12-07,185.710000,187.340000,183.220000,185.200000,4659542
2017-12-08,186.500000,189.420000,186.300000,188.540000,4987270
2017-12-11,187.850000,189.420000,185.910000,186.220000,5298583
2017-12-12,186.010000,187.850000,184.818300,185.730000,4265907
2017-12-13,186.100000,188.690000,185.410000,187.860000,4710041
2017-12-14,187.980000,192.640000,187.200000,189.560000,7792849
2017-12-15,189.610000,191.430000,188.010000,190.120000,7285641
2017-12-18,191.200000,191.650000,188.900000,190.420000,5010961
2017-12-19,190.180000,190.298100,185.750000,187.020000,7032978
2017-12-20,187.940000,189.110000,185.260000,188.820000,6545394
2017-12-21,189.440000,190.950000,187.580000,188.620000,4729836
2017-12-22,188.330000,190.950000,186.800000,189.940000,3878904
2017-12-26,189.780000,189.940000,186.400000,187.760000,3045652
2017-12-27,187.800000,188.100000,185.220000,186.240000,4002098
2017-12-28,187.180000,194.490000,186.850000,192.710000,10107392
2017-12-29,192.510000,193.950000,191.220000,191.960000,5187606
2018-01-02,196.100000,201.650000,195.420000,201.070000,10966889
2018-01-03,202.050000,206.210000,201.500000,205.050000,8591369
2018-01-04,206.200000,207.050000,204.000600,205.630000,6029616
2018-01-05,207.250000,210.020000,205.590000,209.990000,7033240
2018-01-08,210.020000,212.500000,208.440000,212.050000,5580178
2018-01-09,212.110000,212.980000,208.590000,209.310000,6125855
2018-01-10,207.570000,213.640000,206.910000,212.520000,5951486
2018-01-11,214.290000,217.750000,213.350000,217.240000,7659485
2018-01-12,217.180000,222.550000,216.000000,221.230000,8199423
2018-01-16,224.240000,226.070000,217.200000,221.530000,13516067
2018-01-17,221.000000,221.150000,216.320000,217.500000,9123056
2018-01-18,220.340000,220.580000,216.550000,220.330000,8225339
2018-01-19,222.750000,223.490000,218.500000,220.460000,10548567
2018-01-22,222.000000,227.785000,221.200000,227.580000,17703293
2018-01-23,255.050000,257.710000,248.020000,250.290000,27705332
2018-01-24,250.880000,261.710000,249.311000,261.300000,17352448
2018-01-25,263.000000,272.300000,260.230000,269.700000,15336378
2018-01-26,271.485000,274.600000,268.760000,274.600000,11021839
2018-01-29,274.200000,286.810000,273.920000,284.590000,17529749
2018-01-30,277.000000,282.730000,272.700000,278.800000,12482852
2018-01-31,281.940000,282.289000,269.580000,270.300000,11695072
2018-02-01,266.410000,271.950000,263.380000,265.070000,9669011
2018-02-02,263.000000,270.620000,262.710000,267.430000,9123610
2018-02-05,262.000000,267.899000,250.030000,254.260000,11896053
2018-02-06,247.700000,266.700000,245.000000,265.720000,12595801
