Date,Open,High,Low,Close,Volume
2017-10-16,25.836800,25.856200,25.526600,25.565400,2088375
2017-10-17,25.526600,25.672000,25.424800,25.642900,1720422
2017-10-18,25.594500,25.681700,25.546000,25.623600,1241166
2017-10-19,25.701100,25.953200,25.541100,25.943500,1522486
2017-10-20,25.924100,25.953200,25.662300,25.846500,1847664
2017-10-23,25.914400,26.030700,25.769000,26.001700,1225905
2017-10-24,25.933800,26.040400,25.681700,25.856200,1408264
2017-10-25,25.710800,25.749600,25.245500,25.730200,2197702
2017-10-26,25.807800,25.953200,25.594500,25.662300,1881154
2017-10-27,25.613900,25.773800,25.429700,25.633200,2724735
2017-10-30,25.610100,25.737000,25.536900,25.619800,1867308
2017-10-31,25.600300,25.902900,25.600300,25.737000,2200327
2017-11-01,26.342100,26.342100,25.776000,25.941900,3384354
2017-11-02,26.010200,26.337200,25.756500,26.293300,3368182
2017-11-03,26.205400,26.752000,26.146900,26.673900,3699443
2017-11-06,26.693400,26.698500,26.498200,26.556800,2241575
2017-11-07,26.586100,26.947200,26.547000,26.810600,1757849
2017-11-08,26.771500,26.942300,26.683700,26.859400,1462035
2017-11-09,26.752000,26.937400,26.664200,26.859400,1940666
2017-11-10,26.703200,26.791000,26.439700,26.547000,1700122
2017-11-13,26.595800,26.810600,26.498300,26.664200,2071976
2017-11-14,26.566600,26.947200,26.488500,26.917900,4529528
2017-11-15,26.976500,27.093600,26.556800,26.586100,2422316
2017-11-16,26.527500,26.810600,26.366500,26.664200,3621278
2017-11-17,26.576300,26.791000,26.371400,26.429900,6277742
2017-11-20,26.488500,26.586100,26.273800,26.439700,3164332
2017-11-21,26.527500,26.664200,26.478700,26.566600,2381719
2017-11-22,26.605600,26.693400,26.322600,26.390900,2272096
2017-11-24,26.459200,26.542200,26.371400,26.390900,611330
2017-11-27,26.429900,26.498200,26.229800,26.449400,2736967
2017-11-28,26.547000,26.673900,26.429900,26.547000,2397417
2017-11-29,26.449400,26.605600,26.322600,26.517800,2689151
2017-11-30,26.605600,26.913000,26.556800,26.869100,3768991
2017-12-01,26.937400,27.015500,26.425000,26.673900,2808754
