Date,Open,High,Low,Close,Volume
2017-10-16,25.879200,26.566300,25.739800,26.506600,5441605
2017-10-17,26.486600,26.486600,25.799600,25.889200,6414229
2017-10-18,25.789600,26.058500,25.729900,25.839400,4471279
2017-10-19,25.729900,25.889200,25.182200,25.431200,4846707
2017-10-20,25.510800,25.570600,25.192200,25.291800,3744115
2017-10-23,25.341500,25.431200,24.744100,24.783900,7504122
2017-10-24,24.923300,25.142400,24.843700,25.003000,3752832
2017-10-25,24.813800,24.943200,24.445400,24.813800,7443706
2017-10-26,24.933300,24.993000,24.475200,24.664400,3408461
2017-10-27,24.694300,25.242000,24.584800,25.232000,2922398
2017-10-30,25.182200,25.729900,24.803800,24.903400,4083929
2017-10-31,24.933300,25.072900,24.654200,24.923400,4420513
2017-11-01,25.122800,25.242400,24.569500,24.763900,7077748
2017-11-02,25.770800,27.355900,25.511600,25.890400,17476828
2017-11-03,26.020000,27.999600,26.020000,27.535300,11615008
2017-11-06,27.655000,28.402700,27.655000,28.163400,6282801
2017-11-07,28.213300,28.577100,28.153400,28.332900,4122320
2017-11-08,28.243200,28.362800,27.505400,27.934100,4859364
2017-11-09,27.984000,28.442500,27.560300,27.734700,3664646
2017-11-10,27.664900,28.352800,27.475500,28.263100,6410015
2017-11-13,28.173400,28.766600,27.944100,28.691800,5968465
2017-11-14,28.532300,28.965900,28.382700,28.831400,3970495
2017-11-15,28.781500,29.369700,28.472500,29.280000,3483633
2017-11-16,29.289900,29.688700,28.961000,29.349800,3628328
2017-11-17,29.309900,29.559100,29.090600,29.399600,3061340
2017-11-20,29.449500,29.549100,29.110500,29.230100,5796619
2017-11-21,29.529200,29.549100,29.200200,29.379700,3474768
2017-11-22,29.389600,29.569100,28.901100,29.130400,6876842
2017-11-24,29.339800,29.379700,28.751600,28.941000,1931525
2017-11-27,28.921100,29.150400,28.622000,28.681800,5932642
2017-11-28,28.881200,28.970900,28.332900,28.771500,4728451
2017-11-29,28.123500,28.751600,27.964000,28.113600,6191388
2017-11-30,28.153400,28.372800,27.435600,27.565200,6950264
2017-12-01,27.674900,28.342900,27.674900,27.864300,5373110
2017-12-04,27.774600,28.053700,27.256200,27.326000,9521102
2017-12-05,27.276100,27.684900,27.086700,27.236300,3109334
2017-12-06,27.256200,27.605100,26.967100,27.206300,3730653
2017-12-07,27.076700,27.764600,26.977500,27.645000,4023119
2017-12-08,27.694800,28.248100,27.645000,28.163400,3357654
2017-12-11,28.133500,29.115500,28.133500,29.040700,3959771
2017-12-12,28.612000,29.035700,28.592100,28.612000,4409578
2017-12-13,28.721700,28.721700,27.984000,28.063700,3664058
2017-12-14,28.053700,28.053700,27.540300,27.595200,3441150
2017-12-15,27.664900,27.844400,27.335900,27.415700,6005137
2017-12-18,27.525400,27.993900,27.375800,27.505400,4655833
2017-12-19,27.455600,27.655000,27.111600,27.166500,7813710
2017-12-20,27.296100,27.321000,26.608200,26.917200,7280022
2017-12-21,26.977100,27.684900,26.877400,27.375800,5046400
2017-12-22,27.465600,28.412600,27.246200,28.073700,8527917
2017-12-26,27.904200,28.372800,27.824400,28.342900,2622719
2017-12-27,28.372800,28.442500,27.575200,27.615100,4329020
2017-12-28,27.714800,28.033800,27.156500,27.924100,3265066
2017-12-29,27.824400,28.681800,27.824400,28.392700,4888390
2018-01-02,28.482400,28.911100,28.342900,28.811400,6522623
2018-01-03,28.861300,29.519200,28.522300,28.791500,7780672
2018-01-04,28.791500,29.200200,28.397700,28.462500,4346693
2018-01-05,28.552200,28.761600,28.293000,28.641900,4539174
2018-01-08,28.661900,29.309900,28.651900,29.080600,12297803
2018-01-09,29.230100,29.289900,28.592100,28.632000,3402511
2018-01-10,28.402700,28.422600,27.944100,28.153400,3241134
2018-01-11,28.283000,28.716700,28.123500,28.522300,6183606
2018-01-12,28.452500,28.811400,28.343900,28.612000,4825484
2018-01-16,28.711700,28.791500,27.764600,27.814500,4521264
2018-01-17,28.013900,28.073700,27.196400,27.345900,6914228
2018-01-18,26.957100,27.345900,26.378900,26.727800,10096114
2018-01-19,26.648100,26.912300,26.234300,26.817500,8705985
2018-01-22,26.907300,27.186400,26.628100,26.837500,10257892
2018-01-23,26.917200,27.375800,26.767700,27.056800,3161530
2018-01-24,26.937200,27.435600,26.917200,27.166500,4660043
2018-01-25,27.256200,27.784600,27.106700,27.565200,4606324
2018-01-26,27.964000,27.964000,27.156500,27.316000,5813987
2018-01-29,27.206300,27.316000,26.767700,26.777700,4122769
2018-01-30,26.628100,26.648100,25.631200,26.010000,7600091
2018-01-31,26.060000,26.249700,25.735600,25.960200,5764801
2018-02-01,25.840400,26.628900,25.650800,26.379400,5319115
2018-02-02,26.099900,26.329500,25.680800,26.139900,4394222
2018-02-05,25.970200,26.090000,25.022000,25.111800,7126706
2018-02-06,24.582900,25.635800,24.103800,25.461200,8603135
2018-02-07,26.678800,26.988200,25.271500,25.311500,12115754
2018-02-08,25.171700,25.231600,23.954100,23.954100,8448459
2018-02-09,24.103800,24.742500,23.704500,24.542900,8992343
2018-02-12,24.652700,24.837400,24.203600,24.672700,8545296
2018-02-13,24.632800,24.712600,24.403200,24.562900,4256732
2018-02-14,24.243500,25.022000,24.153700,24.752500,4243852
2018-02-15,24.952100,25.261600,24.732600,25.211600,3629551
2018-02-16,25.032000,25.506100,25.003100,25.171700,2938988
2018-02-20,25.111800,25.900300,24.982100,25.640800,5603907
2018-02-21,25.600900,25.640800,24.952100,24.952100,4785135
2018-02-22,25.061900,25.561000,25.012000,25.211600,3206756
2018-02-23,25.541000,26.424300,25.491100,26.369400,7695309
2018-02-26,26.489200,26.499200,25.725700,26.239700,3706539
2018-02-27,26.209700,26.349500,25.940300,25.940300,6401446
2018-02-28,25.950200,26.139900,25.740600,25.810500,5007718
2018-03-01,26.848500,27.447400,26.439300,26.868500,7636501
2018-03-02,26.958300,27.976300,26.858500,27.836600,5427399
2018-03-05,27.696900,28.964500,27.647000,28.894600,7935436
2018-03-06,28.894600,29.433600,28.824700,29.154100,6318375
2018-03-07,28.944500,29.488400,28.854700,29.323800,6168969
2018-03-08,29.463500,29.832800,29.443500,29.543300,6822493
2018-03-09,29.483500,29.772900,29.358700,29.693100,7617112
2018-03-12,29.643200,30.057400,29.543300,29.832800,6867657
2018-03-13,30.062300,30.182100,29.802800,29.942600,4602703
2018-03-14,29.942600,30.351800,29.892700,30.142200,5060169
2018-03-15,30.351800,30.781000,30.291900,30.711100,6782028
2018-03-16,30.731100,30.781000,30.232000,30.242000,6816490
2018-03-19,30.242000,30.571400,29.922600,30.112300,5618586
2018-03-20,30.262000,30.471600,30.142200,30.242000,3498456
2018-03-21,30.301900,30.671200,30.082300,30.132200,4293236
2018-03-22,30.341800,30.791000,29.932600,30.242000,5722682
2018-03-23,30.331800,30.591300,29.683100,29.733000,5135114
2018-03-26,29.912600,30.341800,29.728000,30.311900,4510244
2018-03-27,30.391700,31.085400,29.902700,29.942600,8099318
2018-03-28,30.521500,30.721100,30.002500,30.212100,6223046
2018-03-29,30.401700,30.786000,30.346800,30.471600,4356645
2018-04-02,30.501500,30.721100,29.912600,30.281900,6324361
2018-04-03,30.351800,30.571400,29.922600,30.411700,4499684
2018-04-04,30.232000,30.411700,29.792900,30.341800,4905910
2018-04-05,30.441600,30.641200,30.032400,30.252000,4198637
2018-04-06,30.142200,30.386700,29.757900,29.902700,5531075
2018-04-09,30.142200,30.651200,29.942600,30.471600,5067804
2018-04-10,30.771000,30.771000,30.102300,30.501500,3734889
2018-04-11,30.421700,30.741000,30.361800,30.581400,3198278
2018-04-12,30.581400,30.586300,29.792900,29.962500,5539642
2018-04-13,30.032400,30.321800,29.932600,30.072300,3776141
2018-04-16,30.192100,30.840900,30.172100,30.661200,4989708
2018-04-17,30.521500,31.275000,30.511500,31.190200,5779292
2018-04-18,31.409800,31.719200,31.300000,31.319900,4056798
2018-04-19,31.399800,31.659300,31.125300,31.429700,4359804
2018-04-20,31.429700,31.509600,31.030500,31.110300,2824183
2018-04-23,31.180200,31.250100,30.870800,31.150300,2842122
2018-04-24,31.349900,31.759100,30.800900,30.930700,4184716
2018-04-25,30.820900,31.080400,30.611300,31.030500,3098260
2018-04-26,31.140300,31.469600,30.975600,31.280000,3542555
2018-04-27,31.300000,31.549500,31.260100,31.449700,3110077
2018-04-30,31.370300,31.440200,30.940700,30.970600,5178322
2018-05-01,31.060500,31.260400,30.296300,30.621000,4959698
2018-05-02,30.561000,30.885700,30.216300,30.451100,5846288
2018-05-03,31.040600,32.758900,30.621000,32.319400,16097735
2018-05-04,32.419300,33.718000,32.379300,33.268500,9657581
2018-05-07,33.548200,34.342400,33.468300,34.127600,6825459
2018-05-08,33.837900,34.227500,33.748000,33.867900,7494534
2018-05-09,33.967800,34.267500,33.768000,34.197600,6262394
2018-05-10,34.467300,34.871900,34.337400,34.627200,5916039
2018-05-11,34.697100,35.136700,34.697100,34.876900,4338589
2018-05-14,34.906900,35.026800,34.647100,34.747100,4079177
2018-05-15,34.437300,34.437300,33.588200,33.718000,5588077
2018-05-16,34.007800,34.007800,33.438300,33.718000,4584799
2018-05-17,33.768000,33.897900,33.319400,33.518200,3485942
2018-05-18,33.518200,33.768000,33.408300,33.678100,2493305
2018-05-21,34.047700,34.047700,33.018700,33.468300,5111604
2018-05-22,33.528200,33.678100,33.198500,33.418300,10724228
2018-05-23,33.408300,33.558200,32.808900,33.118600,5345013
2018-05-24,33.468300,34.517300,33.438300,34.397400,7094781
2018-05-25,34.127600,34.242500,33.578200,33.947800,4896309
