Date,Open,High,Low,Close,Volume
2017-10-16,13.489600,13.568500,13.420600,13.489600,1704615
2017-10-17,13.450200,13.499500,13.381100,13.430400,1285096
2017-10-18,13.430400,13.578300,13.420600,13.538900,1219200
2017-10-19,13.460000,13.519200,13.361400,13.430400,1846326
2017-10-20,13.499500,13.588200,13.469900,13.519200,1318229
2017-10-23,13.529000,13.573400,13.474800,13.558600,1012706
2017-10-24,13.558600,13.588200,13.381100,13.440300,1497139
2017-10-25,13.430400,13.519200,13.331800,13.469900,1272026
2017-10-26,13.499500,13.627600,13.430400,13.489600,1756657
2017-10-27,13.469900,13.538900,13.302200,13.499500,1577961
2017-10-30,13.489600,13.637500,13.450200,13.617800,1394458
2017-10-31,13.637500,13.637500,13.435400,13.469900,1665480
2017-11-01,13.538900,13.672200,13.420600,13.519200,1900437
2017-11-02,13.479700,13.637500,13.391000,13.607900,1696441
2017-11-03,13.568500,13.677000,13.509300,13.677000,2278455
2017-11-06,13.696700,14.081200,13.647400,14.081200,4244384
2017-11-07,14.012200,14.322800,13.893900,13.953100,2639621
2017-11-08,13.884000,13.953100,13.817500,13.943200,1389368
2017-11-09,13.933300,14.357300,13.874200,14.160100,2515858
2017-11-10,14.456000,15.570200,14.386900,14.889800,5305841
2017-11-13,14.889800,15.195500,14.791200,15.018000,2704202
2017-11-14,14.958900,15.284300,14.899700,15.057500,3283552
2017-11-15,15.018000,15.067300,14.889900,14.978600,1929390
2017-11-16,14.968700,15.511100,14.939100,15.501200,2648250
2017-11-17,15.471600,15.708300,15.373000,15.619500,2524668
2017-11-20,15.609700,15.609700,15.402600,15.451900,2456257
2017-11-21,15.520900,15.599800,15.451900,15.570200,2537961
2017-11-22,15.599800,15.649100,15.535700,15.550500,2121244
2017-11-24,15.599800,15.599800,15.481500,15.550500,845567
2017-11-27,15.540600,15.590000,15.432200,15.520900,2445495
2017-11-28,15.580100,15.935100,15.511100,15.925200,3296335
2017-11-29,15.875900,16.201300,15.875900,16.122400,2313983
2017-11-30,16.171700,16.191500,15.875900,15.935100,3442140
2017-12-01,16.014000,16.092900,15.668800,15.974500,3096017
2017-12-04,16.033700,16.635200,15.974500,16.309800,3560208
2017-12-05,16.359100,16.418300,16.043500,16.171700,2584657
2017-12-06,16.171700,16.290100,16.009000,16.161900,3525389
2017-12-07,16.152000,16.161900,16.023800,16.132300,2694164
2017-12-08,16.191500,16.329500,16.132300,16.319700,2012219
2017-12-11,16.329500,16.516900,16.270300,16.359100,3381963
2017-12-12,16.378800,16.388700,15.915400,15.994200,2410057
2017-12-13,16.043500,16.102700,15.944900,16.053400,3082983
2017-12-14,16.053400,16.181600,15.895600,15.994200,3204151
2017-12-15,16.004100,16.023800,15.777300,15.797000,5256308
2017-12-18,15.885800,16.142200,15.846300,16.102700,3059654
2017-12-19,16.161900,16.230900,15.954800,16.043500,3640497
2017-12-20,16.112600,16.186500,15.994200,16.014000,2600072
2017-12-21,16.043500,16.270300,15.944900,16.112600,2069457
2017-12-22,16.092900,16.221000,16.083000,16.191500,2790126
2017-12-26,16.191500,16.250600,16.068200,16.083000,669504
2017-12-27,16.112600,16.152000,15.984400,16.023800,1312592
2017-12-28,16.053400,16.112600,15.944900,16.102700,1133486
2017-12-29,16.112600,16.152000,15.984400,15.984400,1380593
2018-01-02,16.073100,16.221000,16.004100,16.201300,2475013
2018-01-03,16.221000,16.299900,16.181600,16.260500,2816655
2018-01-04,16.309800,16.457700,16.275300,16.359100,2343244
2018-01-05,16.654900,16.862000,16.285100,16.566200,1798403
2018-01-08,16.566200,16.615500,16.438000,16.595800,3595574
2018-01-09,16.625300,16.733800,16.556300,16.645100,2128675
2018-01-10,16.615500,16.664800,16.536600,16.615500,2523825
2018-01-11,16.635200,16.980300,16.635200,16.842300,3338168
2018-01-12,16.871900,16.936000,16.743700,16.911300,1864885
2018-01-16,16.960600,17.019800,16.704200,16.733800,1854099
2018-01-17,16.733800,17.049400,16.704200,16.970500,1902051
2018-01-18,16.940900,16.990200,16.763400,16.773200,2863948
2018-01-19,16.842300,17.039500,16.728900,16.980300,4544118
2018-01-22,16.921200,16.950700,16.743700,16.940900,1733440
2018-01-23,16.871900,16.881700,16.714100,16.832400,1519840
2018-01-24,16.881700,16.950700,16.743700,16.852100,1711764
2018-01-25,16.871900,16.911300,16.743700,16.802800,1250092
2018-01-26,16.871900,16.921200,16.684500,16.901400,1314661
2018-01-29,16.862000,16.995100,16.773200,16.822600,1281706
2018-01-30,16.783100,16.970500,16.684500,16.812700,1990997
2018-01-31,16.802800,16.901400,16.709200,16.871900,1710674
2018-02-01,16.783100,16.857100,16.566200,16.585900,2126604
2018-02-02,16.546500,16.595800,16.161900,16.181600,2367804
2018-02-05,16.171700,16.359100,15.609700,15.609700,3209568
2018-02-06,15.392700,16.083000,15.008200,16.063300,6201938
2018-02-07,15.984400,16.127400,15.747700,15.836500,2698050
2018-02-08,15.787200,15.915400,15.422300,15.432200,2564849
2018-02-09,15.570200,16.122400,15.136400,15.550500,3827891
2018-02-12,15.688600,15.737900,15.451900,15.530800,2714308
2018-02-13,15.481500,16.023800,15.481500,15.994200,2672152
2018-02-14,15.885800,16.171700,15.836500,16.112600,2778247
2018-02-15,16.142200,16.260500,16.007500,16.142200,1885116
2018-02-16,16.092900,16.211200,15.974500,16.033700,2258819
2018-02-20,15.925200,16.004100,15.708300,15.728000,2015716
2018-02-21,15.737900,16.004100,15.737900,15.787200,3429116
2018-02-22,15.895600,16.112600,15.895600,15.994200,2407632
2018-02-23,16.073100,16.280200,15.915400,16.270300,1737633
2018-02-26,16.299900,16.428100,16.221000,16.408400,1085005
2018-02-27,16.378800,16.438000,16.142200,16.152000,1359675
2018-02-28,16.161900,16.226000,15.895600,15.905500,2055334
2018-03-01,15.885800,15.964700,15.481500,15.530800,2916092
2018-03-02,15.530800,15.678700,15.422300,15.649100,4372594
2018-03-05,15.570200,15.954800,15.540600,15.925200,1831376
2018-03-06,15.935100,16.211200,15.866100,16.191500,1962191
2018-03-07,16.043500,16.122400,15.875900,16.073100,1819293
2018-03-08,16.142200,16.161900,15.925200,15.994200,1075783
2018-03-09,16.073100,16.240800,16.004100,16.240800,1245250
2018-03-12,16.280200,16.438000,16.230900,16.319700,956805
2018-03-13,16.428800,16.532900,16.180800,16.240300,1025516
2018-03-14,16.319700,16.339500,16.141100,16.200600,1461180
2018-03-15,16.210500,16.364300,16.210500,16.289900,1751861
2018-03-16,16.309700,16.547800,16.309700,16.468500,2281365
2018-03-19,16.418900,16.518100,16.190700,16.210500,2723368
2018-03-20,16.240300,16.280000,16.141100,16.230400,1672445
2018-03-21,16.230400,16.448600,16.200600,16.379200,1560269
2018-03-22,16.250200,16.438700,16.121200,16.141100,2142708
2018-03-23,16.160900,16.200600,15.436700,15.436700,2207981
2018-03-26,15.615300,15.635100,15.213500,15.555800,2485869
2018-03-27,15.585500,15.754200,15.387100,15.456500,1557608
2018-03-28,15.456500,15.565700,15.307700,15.307700,3200482
2018-03-29,15.436700,15.823600,15.317700,15.674800,1930604
2018-04-02,15.635100,15.704600,15.158900,15.287900,1884811
2018-04-03,15.297800,15.535900,15.079600,15.516100,1979288
2018-04-04,15.307700,15.664900,15.218400,15.655000,2055141
2018-04-05,15.655000,15.813700,15.506100,15.625200,2166855
2018-04-06,15.466500,15.664900,15.253200,15.377200,1306775
2018-04-09,15.426800,15.774000,15.382100,15.526000,2583984
2018-04-10,15.655000,16.022000,15.615300,15.823600,1651344
2018-04-11,15.704600,15.803800,15.635100,15.674800,2031632
2018-04-12,15.754200,15.843500,15.635100,15.783900,957079
2018-04-13,15.774000,15.932700,15.565700,15.595400,943273
2018-04-16,15.684700,15.863300,15.605400,15.823600,2730545
2018-04-17,15.893100,16.002200,15.803800,15.972400,1472352
2018-04-18,15.972400,16.061700,15.868300,15.903000,1515782
2018-04-19,15.853400,16.091500,15.823600,16.061700,1550488
2018-04-20,16.101400,16.101400,15.967500,16.041900,2417061
2018-04-23,16.051800,16.141100,15.962500,16.051800,1107760
2018-04-24,16.111300,16.160900,15.744200,15.774000,1173026
2018-04-25,15.744200,15.823600,15.620200,15.754200,1094548
2018-04-26,15.863300,15.922800,15.754200,15.843500,1101045
2018-04-27,15.823600,16.160900,15.735000,15.883100,883248
2018-04-30,15.932700,16.031900,15.793900,15.853400,1387642
2018-05-01,15.813700,15.903000,15.689700,15.883100,1874515
2018-05-02,15.823600,15.873200,15.565700,15.585500,2250715
2018-05-03,15.575600,15.788900,15.426800,15.754200,1368156
2018-05-04,15.684700,16.022000,15.645000,16.012100,1236126
2018-05-07,16.031900,16.319700,15.962500,16.260100,1493696
