Date,Open,High,Low,Close,Volume
2017-10-16,105.858000,106.486800,105.703200,105.809600,1543239
2017-10-17,106.128900,106.370700,104.813200,105.248500,1605698
2017-10-18,105.780600,105.780600,104.880900,105.345300,1518894
2017-10-19,104.755100,106.086900,104.611000,106.032100,1281261
2017-10-20,107.048000,107.696100,106.544900,107.173700,1519219
2017-10-23,107.173700,107.860600,106.989900,107.183400,1048617
2017-10-24,107.870300,108.847400,107.628400,108.518500,1616383
2017-10-25,108.518500,108.770000,107.125400,107.628400,2008778
2017-10-26,107.957400,108.973200,107.938000,108.247600,1205279
2017-10-27,107.821900,108.508800,107.470700,108.373400,1091432
2017-10-30,107.860600,108.412100,107.609100,107.967000,1818842
2017-10-31,107.996100,108.305600,106.825400,106.864100,1564566
2017-11-01,107.367200,108.479800,106.777100,106.980200,1793470
2017-11-02,108.015400,109.650400,106.815800,109.263400,2352439
2017-11-03,109.040900,109.302100,107.918700,108.199200,1985137
2017-11-06,108.044400,109.074800,107.860700,108.731300,1416915
2017-11-07,109.050600,110.259900,107.783200,108.296000,1629039
2017-11-08,108.286300,109.340800,107.696100,108.779700,1966410
2017-11-09,108.257300,109.427900,107.647900,108.305600,1722310
2017-11-10,108.373400,108.624900,107.048000,107.115700,1805408
2017-11-13,106.322400,107.647800,105.916000,106.844800,1614487
2017-11-14,106.090200,106.365900,105.703200,105.993400,1794570
2017-11-15,104.764800,108.963500,104.522900,106.632000,2026746
2017-11-16,107.231800,107.918700,106.719000,106.777100,1857577
2017-11-17,106.235300,107.343000,106.041800,106.661000,1232693
2017-11-20,106.825400,106.999600,106.341700,106.438500,1662250
2017-11-21,106.864100,106.980200,106.356200,106.477200,1271648
2017-11-22,106.641600,107.038300,105.916000,106.128900,1252646
2017-11-24,106.654900,106.693900,106.041200,106.099700,575673
2017-11-27,106.236000,107.025100,106.236000,106.674400,1512857
2017-11-28,107.083500,110.069100,106.859500,109.908400,2625970
2017-11-29,110.824100,114.046000,110.337000,112.869700,2743151
2017-11-30,113.863300,114.545200,112.295000,112.840500,3784283
2017-12-01,112.996300,113.191200,109.499300,112.411900,1664527
2017-12-04,114.106800,114.934800,113.707400,113.736700,1789297
2017-12-05,114.126300,114.340600,112.353400,112.519000,1302141
2017-12-06,112.363200,113.220400,112.226800,112.392400,1247844
2017-12-07,111.944300,113.658700,111.788400,113.317800,1035868
2017-12-08,113.834100,114.165300,113.181400,114.116600,1184239
2017-12-11,113.989900,114.214000,112.752800,113.249600,1460071
2017-12-12,113.376200,113.970400,112.577500,113.376200,1841905
2017-12-13,113.074300,113.356800,110.979900,110.999400,1759715
