Date,Open,High,Low,Close,Volume
2017-10-16,37.690000,38.350000,37.640000,37.840000,1378668
2017-10-17,37.820000,37.830000,37.330000,37.450000,795882
2017-10-18,37.450000,37.580000,37.230000,37.400000,1030710
2017-10-19,37.290000,37.390000,36.880000,37.170000,809545
2017-10-20,37.350000,37.650000,36.940000,37.450000,1197807
2017-10-23,37.480000,37.570000,37.280000,37.480000,712185
2017-10-24,37.710000,38.060000,37.520000,37.880000,966555
2017-10-25,37.820000,38.060000,37.160000,37.370000,975456
2017-10-26,37.410000,37.970000,37.290000,37.830000,922124
2017-10-27,37.760000,38.230000,37.720000,37.980000,1002898
2017-10-30,37.860000,38.130000,37.790000,38.060000,944324
2017-10-31,38.150000,38.175000,37.670000,37.730000,1766738
2017-11-01,37.790000,37.970000,37.270000,37.340000,1958646
2017-11-02,36.790000,38.044700,36.040000,36.560000,2522737
2017-11-03,36.470000,36.630000,35.510000,35.660000,1915104
2017-11-06,35.710000,36.500000,35.620000,36.310000,1478720
2017-11-07,36.180000,36.265000,35.700000,36.210000,1683954
2017-11-08,36.050000,36.600000,35.840000,36.340000,1404489
2017-11-09,36.060000,36.190000,35.450000,35.510000,1261714
2017-11-10,35.430000,35.975000,35.380000,35.840000,850382
2017-11-13,35.660000,36.790000,35.660000,36.720000,1867952
2017-11-14,36.390000,36.390000,35.730000,35.750000,1838986
2017-11-15,35.550000,35.960000,35.300000,35.350000,1705125
2017-11-16,35.490000,36.075000,35.440000,35.970000,1703676
2017-11-17,35.810000,36.365000,35.810000,36.010000,1589178
2017-11-20,36.050000,36.710000,35.960000,36.470000,1611786
2017-11-21,36.790000,37.140000,36.550000,36.890000,1104695
2017-11-22,37.010000,37.010000,36.400000,36.470000,740860
2017-11-24,36.530000,36.530000,36.040000,36.130000,369104
2017-11-27,36.160000,36.310000,36.020000,36.160000,1021166
2017-11-28,36.380000,37.100000,36.369800,37.060000,1013905
2017-11-29,37.100000,37.710000,37.040000,37.650000,1511255
2017-11-30,37.740000,38.200000,37.265000,37.900000,1898858
2017-12-01,37.930000,38.000000,36.340000,37.390000,1965550
2017-12-04,37.890000,39.200000,37.890000,38.800000,2746870
2017-12-05,38.910000,38.950000,38.370000,38.420000,1796826
2017-12-06,38.260000,38.550000,38.010000,38.290000,1356614
2017-12-07,38.130000,38.630000,37.990000,38.450000,1006846
2017-12-08,38.730000,39.420000,38.380000,39.400000,1364573
2017-12-11,39.310000,39.530000,39.050000,39.170000,1595451
2017-12-12,39.120000,39.670000,39.070000,39.120000,1249353
2017-12-13,39.080000,39.080000,38.260000,38.290000,1606999
2017-12-14,38.220000,38.300000,37.185000,37.440000,1355897
2017-12-15,37.590000,38.460000,37.450000,37.720000,3365917
2017-12-18,37.850000,38.430000,37.850000,38.380000,1414529
2017-12-19,38.390000,38.440000,37.640000,37.800000,1164427
2017-12-20,38.100000,38.670000,37.950000,38.540000,1340027
2017-12-21,38.610000,39.560000,38.510000,39.400000,1484625
2017-12-22,39.640000,39.700000,39.010000,39.410000,955996
2017-12-26,39.380000,39.640000,39.380000,39.500000,476362
2017-12-27,39.570000,39.570000,39.200000,39.480000,633589
2017-12-28,39.700000,39.710000,39.260000,39.330000,570473
2017-12-29,39.560000,39.650000,39.099400,39.110000,534945
2018-01-02,39.290000,39.590000,39.030000,39.240000,885680
2018-01-03,39.350000,39.620000,38.950000,39.550000,973293
2018-01-04,39.750000,40.105000,39.460000,39.860000,1218959
2018-01-05,39.910000,39.910000,39.210000,39.510000,1417775
2018-01-08,39.570000,39.720000,38.700000,39.100000,1322841
2018-01-09,39.200000,39.370000,38.630000,38.640000,1753118
2018-01-10,38.700000,38.785500,38.060000,38.140000,1669836
2018-01-11,38.350000,39.160000,38.140000,39.070000,1614767
2018-01-12,39.230000,39.470000,38.950000,39.440000,1083041
2018-01-16,39.690000,39.790000,38.560000,38.690000,1248744
2018-01-17,39.000000,39.029900,38.330000,38.730000,1039921
2018-01-18,38.760000,39.000000,38.460000,38.530000,1190064
2018-01-19,38.670000,39.000000,38.370000,38.990000,1175594
2018-01-22,38.900000,39.270000,38.850000,39.090000,907637
2018-01-23,39.030000,39.180000,38.590000,38.870000,1367080
2018-01-24,39.190000,39.310000,38.680000,38.970000,1790917
2018-01-25,39.240000,39.240000,38.360000,38.890000,1450971
2018-01-26,39.000000,39.140000,38.740000,39.140000,1343846
2018-01-29,39.110000,39.590000,38.770000,38.870000,890516
2018-01-30,38.580000,38.690000,38.050000,38.400000,1306888
2018-01-31,38.950000,39.090000,38.290000,38.490000,1177724
2018-02-01,38.400000,38.580000,38.119900,38.260000,1406289
2018-02-02,38.000000,38.000000,36.070000,36.090000,2779731
2018-02-05,35.770000,36.250000,34.240000,34.400000,2299954
2018-02-06,33.710000,35.360000,33.100000,35.180000,2047228
2018-02-07,35.000000,35.600000,34.420000,34.450000,2807776
2018-02-08,34.480000,34.490000,33.500000,33.510000,2003437
2018-02-09,34.040000,34.230000,32.700000,33.530000,2084776
2018-02-12,33.730000,34.260000,33.480000,33.980000,1535663
2018-02-13,33.750000,34.010000,33.490000,33.720000,1020379
2018-02-14,33.440000,34.460000,33.300000,34.430000,1345729
2018-02-15,34.770000,34.830000,34.120000,34.830000,933307
2018-02-16,34.730000,35.450000,34.715000,35.070000,1123556
2018-02-20,34.910000,35.330000,34.761000,34.950000,1451087
2018-02-21,34.920000,35.730000,34.810000,34.840000,2165886
2018-02-22,36.250000,37.220000,35.820000,35.900000,3045851
2018-02-23,36.140000,36.140000,34.780000,35.670000,2007741
2018-02-26,35.650000,35.950000,35.310000,35.660000,1648439
2018-02-27,35.650000,36.100000,35.025000,35.040000,1702667
2018-02-28,35.180000,35.290000,34.440000,34.440000,2337853
2018-03-01,34.320000,34.620000,33.720000,33.860000,2162314
2018-03-02,33.520000,34.300000,33.340000,34.240000,1888266
2018-03-05,34.010000,34.550000,33.950000,34.220000,1419473
2018-03-06,34.330000,35.010000,34.210000,34.680000,1686093
2018-03-07,34.340000,35.390000,34.340000,35.170000,1898541
2018-03-08,35.230000,35.401400,34.900000,35.170000,1745236
2018-03-09,35.460000,36.070000,35.350000,35.990000,1020458
2018-03-12,35.990000,36.200000,35.690000,35.960000,898285
2018-03-13,36.120000,36.375000,35.270000,35.460000,1355438
2018-03-14,35.620000,35.670000,35.010000,35.070000,1435756
2018-03-15,35.250000,36.155000,34.810000,35.000000,3586158
2018-03-16,34.960000,35.590000,34.890000,35.360000,2128729
2018-03-19,35.250000,35.440000,34.630000,34.940000,1572210
2018-03-20,35.050000,35.190000,34.940000,35.100000,1213864
2018-03-21,35.190000,36.270000,35.190000,35.820000,1391423
2018-03-22,35.400000,35.840000,34.320000,34.390000,1546217
2018-03-23,34.500000,34.610000,33.130000,33.210000,1490510
2018-03-26,33.780000,34.340000,33.220000,34.250000,1867568
2018-03-27,34.430000,34.520000,33.820000,34.000000,1981424
2018-03-28,34.090000,34.180000,33.710000,33.870000,1856250
2018-03-29,34.140000,34.610000,34.070000,34.350000,1125463
2018-04-02,34.240000,34.355000,33.010000,33.530000,1282350
2018-04-03,33.630000,34.190000,33.400000,34.170000,1068492
2018-04-04,33.550000,34.570000,33.550000,34.510000,1140051
2018-04-05,34.700000,34.950000,34.440000,34.600000,875609
2018-04-06,34.270000,34.510000,33.120000,33.720000,1290362
2018-04-09,33.950000,34.040000,33.420000,33.460000,636000
2018-04-10,34.000000,34.270000,33.740000,34.170000,1216861
2018-04-11,33.840000,34.150000,33.600000,33.980000,786072
2018-04-12,34.190000,34.500000,34.100000,34.310000,631668
2018-04-13,34.530000,34.580000,34.050000,34.150000,1007415
2018-04-16,34.400000,34.750000,34.230000,34.540000,769577
2018-04-17,34.760000,35.060000,34.620000,34.680000,1358886
2018-04-18,34.800000,34.830000,34.230000,34.580000,1314569
2018-04-19,34.580000,34.580000,34.070000,34.280000,930222
2018-04-20,34.130000,34.490000,33.700000,33.810000,1524363
2018-04-23,33.810000,33.850000,33.455000,33.490000,1115664
2018-04-24,33.750000,33.790000,32.660000,32.710000,1649205
2018-04-25,32.710000,33.005000,32.530000,32.780000,1513118
2018-04-26,33.000000,33.000000,32.370000,32.830000,945440
2018-04-27,32.730000,33.090000,32.690000,32.920000,2014614
2018-04-30,33.050000,33.170000,32.500000,32.500000,1248666
2018-05-01,32.570000,32.880000,32.190000,32.810000,1517413
2018-05-02,32.770000,33.290000,32.700000,32.810000,2115075
2018-05-03,34.050000,34.370000,32.540000,34.060000,3455765
2018-05-04,34.010000,35.100000,33.610000,34.950000,1673032
2018-05-07,35.130000,35.420000,34.840000,35.140000,1456669
2018-05-08,35.250000,35.710000,35.210000,35.530000,1062865
2018-05-09,35.820000,36.130000,35.700000,36.080000,1443413
2018-05-10,36.150000,36.360000,35.770000,36.260000,922593
2018-05-11,36.300000,36.550000,36.125000,36.380000,1335491
2018-05-14,36.420000,36.650000,36.380000,36.490000,1053048
2018-05-15,36.310000,36.580000,36.140000,36.500000,999209
2018-05-16,36.550000,36.970000,36.390000,36.740000,1168177
2018-05-17,36.650000,37.060000,36.640000,36.720000,1133113
2018-05-18,36.770000,36.970000,36.610000,36.620000,677492
2018-05-21,36.840000,37.030000,36.780000,36.920000,678078
2018-05-22,36.770000,36.780000,36.160000,36.190000,981156
