Date,Open,High,Low,Close,Volume
2017-10-16,121.130000,121.230000,120.160000,120.890000,1015953
2017-10-17,120.360000,121.120000,120.080000,121.120000,1198245
2017-10-18,121.180000,121.270000,120.108900,120.690000,1074395
2017-10-19,120.000000,121.670000,118.680000,121.600000,1233377
2017-10-20,121.970000,122.360000,121.350000,121.800000,1394238
2017-10-23,122.210000,122.949900,122.010000,122.130000,1082897
2017-10-24,120.100000,121.740000,119.170000,121.280000,1680464
2017-10-25,120.930000,121.640000,119.680000,120.220000,1542448
2017-10-26,120.570000,121.150000,119.910000,120.290000,1507519
2017-10-27,120.780000,121.380000,120.000000,120.770000,1049584
2017-10-30,120.440000,121.240000,119.720000,121.100000,1075680
2017-10-31,121.340000,121.660000,120.410000,120.830000,1034761
2017-11-01,121.300000,121.640000,120.160000,121.260000,1197577
2017-11-02,121.030000,121.595000,120.380000,120.990000,928950
2017-11-03,120.810000,121.640000,120.800000,121.640000,866148
2017-11-06,121.700000,122.200000,121.010000,121.080000,962960
2017-11-07,121.490000,122.420000,120.870000,121.920000,1064735
2017-11-08,121.780000,124.450000,121.580000,123.920000,1388509
2017-11-09,123.100000,123.710000,121.700000,123.500000,1664575
2017-11-10,123.050000,124.560000,122.850000,124.180000,1141818
2017-11-13,123.940000,124.210000,123.110000,123.990000,1178194
2017-11-14,123.700000,124.530000,123.290000,124.490000,1099964
2017-11-15,124.130000,124.240000,122.970000,123.820000,970857
2017-11-16,124.900000,126.670000,124.390000,126.630000,2357615
2017-11-17,126.200000,126.460000,125.065000,125.950000,1376315
2017-11-20,126.390000,127.080000,125.880000,127.000000,966113
2017-11-21,127.740000,129.230000,127.320000,128.510000,1174351
2017-11-22,128.320000,128.320000,126.340000,126.590000,832475
2017-11-24,127.270000,128.360000,127.020000,128.360000,480521
2017-11-27,128.780000,129.110000,127.460000,128.200000,1058048
2017-11-28,128.710000,129.610000,128.250000,129.240000,1212379
2017-11-29,129.000000,129.010000,122.320000,124.490000,2166170
2017-11-30,125.360000,126.970000,124.630000,126.760000,1842180
2017-12-01,126.130000,126.770000,123.080000,125.260000,1433024
2017-12-04,126.460000,126.480000,120.280000,120.310000,2778972
2017-12-05,119.650000,123.100100,117.760000,120.870000,2263041
2017-12-06,120.890000,122.160000,120.100100,121.940000,1988106
2017-12-07,122.000000,124.400000,121.950000,123.800000,1153905
2017-12-08,124.570000,125.540000,124.168800,125.290000,1107754
2017-12-11,125.370000,126.930000,125.340000,126.620000,1654285
2017-12-12,125.750000,127.080000,125.160000,125.750000,1202533
2017-12-13,126.210000,127.950000,125.850000,126.490000,1383719
2017-12-14,126.750000,127.120000,125.590000,126.130000,1287703
2017-12-15,127.160000,129.170000,126.390000,128.780000,2185402
2017-12-18,129.980000,130.930000,128.520000,129.440000,1919271
2017-12-19,129.560000,129.980000,127.460000,128.860000,2600403
