Date,Open,High,Low,Close,Volume
2017-10-16,185.713500,186.602200,185.713500,186.335600,1423586
2017-10-17,185.990000,186.434300,185.861600,186.276300,810379
2017-10-18,186.128200,186.128200,183.709100,184.874200,1441009
2017-10-19,184.262000,184.770500,183.284500,184.597700,1216189
2017-10-20,185.219800,186.523200,184.597900,186.523200,1055687
2017-10-23,186.878700,187.591000,186.651600,186.691100,1251237
2017-10-24,186.621900,187.668600,186.128300,186.720700,1150292
2017-10-25,186.621900,187.481000,185.555500,186.809500,1342180
2017-10-26,187.303300,187.856200,177.038900,179.571800,4084772
2017-10-27,179.621100,181.194100,177.735200,178.011700,2400492
2017-10-30,178.219000,179.305200,177.044000,177.320500,2369104
2017-10-31,177.517900,178.920100,177.389600,177.932700,1517819
2017-11-01,178.722600,179.384200,177.922800,177.991900,1522303
2017-11-02,178.159800,181.951400,178.120300,181.704600,1686902
2017-11-03,182.267400,184.311400,181.141800,182.385900,1606439
2017-11-06,182.000800,183.284500,180.835700,182.139100,1098171
2017-11-07,182.889500,185.446900,182.731500,184.449600,1543432
2017-11-08,184.548400,186.167700,184.548400,185.466700,1263474
2017-11-09,184.805100,185.229700,181.724300,182.613000,1270501
2017-11-10,182.376000,183.254800,181.447900,182.484700,778290
2017-11-13,182.455000,182.464900,181.487400,182.139100,986310
2017-11-14,181.684800,183.333800,181.566400,181.625600,1316162
2017-11-15,181.191100,182.079800,180.026000,180.549300,1175449
2017-11-16,181.635500,182.168700,180.855400,181.951400,909932
2017-11-17,181.339200,181.754000,180.509800,180.549300,1051091
2017-11-20,180.717200,183.007000,180.253100,181.566400,2011135
2017-11-21,182.227900,184.647100,181.625600,184.242300,1307646
2017-11-22,183.610300,183.942500,182.484700,183.126500,797844
2017-11-24,183.215300,184.094100,183.215300,183.718900,434277
2017-11-27,183.659700,184.815000,183.185700,184.499000,1165598
2017-11-28,184.834700,186.671300,184.657000,186.375100,1432781
2017-11-29,187.234100,188.201800,185.920900,186.207200,1425322
2017-11-30,186.779900,188.942400,186.276400,188.744900,3122699
2017-12-01,188.774500,188.952200,182.045300,184.538500,1848589
2017-12-04,186.710800,186.811500,183.185700,183.205500,1306962
2017-12-05,183.057400,183.630100,181.507100,181.536700,1295939
2017-12-06,183.639900,184.755700,181.645300,182.869700,1214078
2017-12-07,182.889500,184.558200,182.869700,183.797900,1210427
2017-12-08,185.703600,185.713500,183.738700,185.703600,841120
